OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES61;2017;55565;PERNOCTACIONES;3664214.997562519;A
A;ES61;2017;55697;PERNOCTACIONES;6780726.102364878;A
A;ES61;2016;55698;PERNOCTACIONES;9402245.072918449;A
A;ES61;2016;55565;PERNOCTACIONES;3202231.176225344;A
A;ES61;2016;55697;PERNOCTACIONES;6200013.896693105;A
A;ES61;2015;55698;PERNOCTACIONES;8775337.91979373;A
A;ES61;2015;55565;PERNOCTACIONES;2980635.069606948;A
A;ES61;2015;55697;PERNOCTACIONES;5794702.850186782;A
A;ES61;2014;55698;PERNOCTACIONES;7784473.952413481;A
A;ES61;2014;55565;PERNOCTACIONES;2701686.646382254;A
A;ES61;2014;55697;PERNOCTACIONES;5082787.306031227;A
A;ES611;2020;55698;PERNOCTACIONES;426791.23453687;A
A;ES611;2020;55565;PERNOCTACIONES;363668.058470392;A
A;ES611;2020;55697;PERNOCTACIONES;63123.176066478;A
A;ES611;2019;55698;PERNOCTACIONES;1016673.29615878;A
A;ES611;2019;55565;PERNOCTACIONES;772025.464031395;A
A;ES611;2019;55697;PERNOCTACIONES;244647.832127385;A
A;ES611;2018;55698;PERNOCTACIONES;933223.595417957;A
A;ES611;2018;55565;PERNOCTACIONES;689762.68530943;A
A;ES611;2018;55697;PERNOCTACIONES;243460.910108527;A
A;ES611;2017;55698;PERNOCTACIONES;963677.153884001;A
A;ES611;2017;55565;PERNOCTACIONES;709478.55246297;A
A;ES611;2017;55697;PERNOCTACIONES;254198.601421031;A
A;ES611;2016;55698;PERNOCTACIONES;793483.247180666;A
A;ES611;2016;55565;PERNOCTACIONES;602400.98965254;A
A;ES611;2016;55697;PERNOCTACIONES;191082.257528126;A
A;ES611;2015;55698;PERNOCTACIONES;763038.38392863;A
A;ES611;2015;55565;PERNOCTACIONES;584065.54008616;A
A;ES611;2015;55697;PERNOCTACIONES;178972.84384247;A
A;ES611;2014;55698;PERNOCTACIONES;662855.340717386;A
A;ES611;2014;55565;PERNOCTACIONES;499866.829612756;A
A;ES611;2014;55697;PERNOCTACIONES;162988.51110463;A
A;ES612;2020;55698;PERNOCTACIONES;313459.458292654;A
A;ES612;2020;55565;PERNOCTACIONES;280021.015938273;A
A;ES612;2020;55697;PERNOCTACIONES;33438.442354381;A
A;ES612;2019;55698;PERNOCTACIONES;595375.972923007;A
A;ES612;2019;55565;PERNOCTACIONES;433999.505603606;A
A;ES612;2019;55697;PERNOCTACIONES;161376.467319401;A
A;ES612;2018;55698;PERNOCTACIONES;583607.15269253;A
A;ES612;2018;55565;PERNOCTACIONES;397800.90385042;A
A;ES612;2018;55697;PERNOCTACIONES;185806.24884211;A
A;ES612;2017;55698;PERNOCTACIONES;554369.52305193;A
A;ES612;2017;55565;PERNOCTACIONES;386987.65127468;A
A;ES612;2017;55697;PERNOCTACIONES;167381.87177725;A
A;ES612;2016;55698;PERNOCTACIONES;463286.12502395;A
A;ES612;2016;55565;PERNOCTACIONES;338204.49147594;A
A;ES612;2016;55697;PERNOCTACIONES;125081.63354801;A
A;ES612;2015;55698;PERNOCTACIONES;412676.211807278;A
A;ES612;2015;55565;PERNOCTACIONES;290975.29546659;A
A;ES612;2015;55697;PERNOCTACIONES;121700.916340688;A
A;ES612;2014;55698;PERNOCTACIONES;456662.89949534;A
A;ES612;2014;55565;PERNOCTACIONES;322988.97064798;A
A;ES612;2014;55697;PERNOCTACIONES;133673.92884736;A
A;ES613;2020;55698;PERNOCTACIONES;50863.015805579;A
A;ES613;2020;55565;PERNOCTACIONES;42398.914272478;A
A;ES613;2020;55697;PERNOCTACIONES;8464.101533101;A
A;ES613;2019;55698;PERNOCTACIONES;111202.826036747;A
A;ES613;2019;55565;PERNOCTACIONES;69489.642680739;A
A;ES613;2019;55697;PERNOCTACIONES;41713.183356008;A
A;ES613;2018;55698;PERNOCTACIONES;102532.3425497;A
A;ES613;2018;55565;PERNOCTACIONES;61328.79176329;A
A;ES613;2018;55697;PERNOCTACIONES;41203.55078641;A
A;ES613;2017;55698;PERNOCTACIONES;103174.324770483;A
A;ES613;2017;55565;PERNOCTACIONES;57421.676881945;A
A;ES613;2017;55697;PERNOCTACIONES;45752.647888538;A
A;ES613;2016;55698;PERNOCTACIONES;90739.937384415;A
A;ES613;2016;55565;PERNOCTACIONES;57961.169836925;A
A;ES613;2016;55697;PERNOCTACIONES;32778.76754749;A
A;ES613;2015;55698;PERNOCTACIONES;72634.20225493;A
A;ES613;2015;55565;PERNOCTACIONES;50036.686421466;A
A;ES613;2015;55697;PERNOCTACIONES;22597.515833464;A
A;ES613;2014;55698;PERNOCTACIONES;56307.221887212;A
A;ES613;2014;55565;PERNOCTACIONES;34955.182506312;A
A;ES613;2014;55697;PERNOCTACIONES;21352.0393809;A
A;ES614;2020;55698;PERNOCTACIONES;300978.002055511;A
A;ES614;2020;55565;PERNOCTACIONES;235357.198848972;A
A;ES614;2020;55697;PERNOCTACIONES;65620.803206539;A
A;ES614;2019;55698;PERNOCTACIONES;690976.113786606;A
A;ES614;2019;55565;PERNOCTACIONES;420330.76339396;A
A;ES614;2019;55697;PERNOCTACIONES;270645.350392646;A
A;ES614;2018;55698;PERNOCTACIONES;623928.98348304;A
A;ES614;2018;55565;PERNOCTACIONES;388301.03112673;A
A;ES614;2018;55697;PERNOCTACIONES;235627.95235631;A
A;ES614;2017;55698;PERNOCTACIONES;507900.75902845;A
A;ES614;2017;55565;PERNOCTACIONES;307808.24686457;A
A;ES614;2017;55697;PERNOCTACIONES;200092.51216388;A
A;ES614;2016;55698;PERNOCTACIONES;609615.75467965;A
A;ES614;2016;55565;PERNOCTACIONES;368013.25976389;A
A;ES614;2016;55697;PERNOCTACIONES;241602.49491576;A
A;ES614;2015;55698;PERNOCTACIONES;577079.46069398;A
A;ES614;2015;55565;PERNOCTACIONES;339015.7744014;A
A;ES614;2015;55697;PERNOCTACIONES;238063.68629258;A
A;ES614;2014;55698;PERNOCTACIONES;467864.276749143;A
A;ES614;2014;55565;PERNOCTACIONES;293362.03208706;A
A;ES614;2014;55697;PERNOCTACIONES;174502.244662083;A
A;ES615;2020;55698;PERNOCTACIONES;234237.11057079;A
A;ES615;2020;55565;PERNOCTACIONES;221036.071265925;A
A;ES615;2020;55697;PERNOCTACIONES;13201.039304865;A
A;ES615;2019;55698;PERNOCTACIONES;392303.400956423;A
A;ES615;2019;55565;PERNOCTACIONES;342225.185686941;A
A;ES615;2019;55697;PERNOCTACIONES;50078.215269482;A
A;ES615;2018;55698;PERNOCTACIONES;394612.19348594;A
A;ES615;2018;55565;PERNOCTACIONES;335868.04165526;A
A;ES615;2018;55697;PERNOCTACIONES;58744.15183068;A
A;ES615;2017;55698;PERNOCTACIONES;389308.562705529;A
A;ES615;2017;55565;PERNOCTACIONES;351612.465564;A
A;ES615;2017;55697;PERNOCTACIONES;37696.097141529;A
A;ES615;2016;55698;PERNOCTACIONES;305990.3529848;A
A;ES615;2016;55565;PERNOCTACIONES;269129.08381963;A
A;ES615;2016;55697;PERNOCTACIONES;36861.26916517;A
A;ES615;2015;55698;PERNOCTACIONES;298421.156167447;A
A;ES615;2015;55565;PERNOCTACIONES;273126.770328695;A
A;ES615;2015;55697;PERNOCTACIONES;25294.385838752;A
A;ES615;2014;55698;PERNOCTACIONES;284089.887484956;A
A;ES615;2014;55565;PERNOCTACIONES;259563.01531549;A
A;ES615;2014;55697;PERNOCTACIONES;24526.872169466;A
A;ES616;2020;55698;PERNOCTACIONES;114470.660241981;A
A;ES616;2020;55565;PERNOCTACIONES;112219.341521174;A
A;ES616;2020;55697;PERNOCTACIONES;2251.318720807;A
A;ES616;2019;55698;PERNOCTACIONES;163206.900998364;A
A;ES616;2019;55565;PERNOCTACIONES;157010.297555599;A
A;ES616;2019;55697;PERNOCTACIONES;6196.603442765;A
A;ES616;2018;55698;PERNOCTACIONES;163084.129520798;A
A;ES616;2018;55565;PERNOCTACIONES;155873.32798726;A
A;ES616;2018;55697;PERNOCTACIONES;7210.801533538;A
A;ES616;2017;55698;PERNOCTACIONES;157352.110653644;A
A;ES616;2017;55565;PERNOCTACIONES;146467.594483554;A
A;ES616;2017;55697;PERNOCTACIONES;10884.51617009;A
A;ES616;2016;55698;PERNOCTACIONES;147344.007675438;A
A;ES616;2016;55565;PERNOCTACIONES;135792.451150419;A
A;ES616;2016;55697;PERNOCTACIONES;11551.556525019;A
A;ES616;2015;55698;PERNOCTACIONES;114345.997962115;A
A;ES616;2015;55565;PERNOCTACIONES;108268.953630047;A
A;ES616;2015;55697;PERNOCTACIONES;6077.044332068;A
A;ES616;2014;55698;PERNOCTACIONES;101577.906655964;A
A;ES616;2014;55565;PERNOCTACIONES;95211.524519056;A
A;ES616;2014;55697;PERNOCTACIONES;6366.382136908;A
A;ES617;2020;55698;PERNOCTACIONES;1962103.730333664;A
A;ES617;2020;55565;PERNOCTACIONES;836432.980019548;A
A;ES617;2020;55697;PERNOCTACIONES;1125670.750314116;A
A;ES617;2019;55698;PERNOCTACIONES;6699959.694986533;A
A;ES617;2019;55565;PERNOCTACIONES;1376847.663336807;A
A;ES617;2019;55697;PERNOCTACIONES;5323112.031649726;A
A;ES617;2018;55698;PERNOCTACIONES;6423882.9736743;A
A;ES617;2018;55565;PERNOCTACIONES;1127943.5125875;A
A;ES617;2018;55697;PERNOCTACIONES;5295939.4610868;A
A;ES617;2017;55698;PERNOCTACIONES;6819122.3224187;A
A;ES617;2017;55565;PERNOCTACIONES;1292108.2333346;A
A;ES617;2017;55697;PERNOCTACIONES;5527014.0890841;A
A;ES617;2016;55698;PERNOCTACIONES;6200394.6698205;A
A;ES617;2016;55565;PERNOCTACIONES;1070429.6051819;A
A;ES617;2016;55697;PERNOCTACIONES;5129965.0646386;A
A;ES617;2015;55698;PERNOCTACIONES;5871069.81634;A
A;ES617;2015;55565;PERNOCTACIONES;1042235.5085066;A
A;ES617;2015;55697;PERNOCTACIONES;4828834.3078334;A
A;ES617;2014;55698;PERNOCTACIONES;5118900.3668441;A
A;ES617;2014;55565;PERNOCTACIONES;902425.0425573;A
A;ES617;2014;55697;PERNOCTACIONES;4216475.3242868;A
A;ES618;2020;55698;PERNOCTACIONES;348790.282574567;A
A;ES618;2020;55565;PERNOCTACIONES;206484.972080593;A
A;ES618;2020;55697;PERNOCTACIONES;142305.310493974;A
A;ES618;2019;55698;PERNOCTACIONES;1096081.419182886;A
A;ES618;2019;55565;PERNOCTACIONES;434351.680242602;A
A;ES618;2019;55697;PERNOCTACIONES;661729.738940284;A
A;ES618;2018;55698;PERNOCTACIONES;1088997.72918569;A
A;ES618;2018;55565;PERNOCTACIONES;450630.23492139;A
A;ES618;2018;55697;PERNOCTACIONES;638367.4942643;A
A;ES618;2017;55698;PERNOCTACIONES;950036.34341466;A
A;ES618;2017;55565;PERNOCTACIONES;412330.5766962;A
A;ES618;2017;55697;PERNOCTACIONES;537705.76671846;A
A;ES618;2016;55698;PERNOCTACIONES;791390.97816903;A
A;ES618;2016;55565;PERNOCTACIONES;360300.1253441;A
A;ES618;2016;55697;PERNOCTACIONES;431090.85282493;A
A;ES618;2015;55698;PERNOCTACIONES;666072.69063935;A
A;ES618;2015;55565;PERNOCTACIONES;292910.54076599;A
A;ES618;2015;55697;PERNOCTACIONES;373162.14987336;A
A;ES618;2014;55698;PERNOCTACIONES;636216.05257938;A
A;ES618;2014;55565;PERNOCTACIONES;293314.0491363;A
A;ES618;2014;55697;PERNOCTACIONES;342902.00344308;A
P;ES61;2021;55698;PERNOCTACIONES;6368622.502404931;A
P;ES61;2021;55565;PERNOCTACIONES;4042291.424310314;A
P;ES61;2021;55697;PERNOCTACIONES;2326331.078094617;A
P;ES611;2021;55698;PERNOCTACIONES;826027.732408574;A
P;ES611;2021;55565;PERNOCTACIONES;751447.257832708;A
P;ES611;2021;55697;PERNOCTACIONES;74580.474575866;A
P;ES612;2021;55698;PERNOCTACIONES;546609.824446833;A
P;ES612;2021;55565;PERNOCTACIONES;438766.792168841;A
P;ES612;2021;55697;PERNOCTACIONES;107843.032277992;A
P;ES613;2021;55698;PERNOCTACIONES;92150.552727181;A
P;ES613;2021;55565;PERNOCTACIONES;75976.180552043;A
P;ES613;2021;55697;PERNOCTACIONES;16174.372175138;A
P;ES614;2021;55698;PERNOCTACIONES;508186.1774131;A
P;ES614;2021;55565;PERNOCTACIONES;405934.645272458;A
P;ES614;2021;55697;PERNOCTACIONES;102251.532140642;A
P;ES615;2021;55698;PERNOCTACIONES;308405.854059868;A
P;ES615;2021;55565;PERNOCTACIONES;293817.419922208;A
P;ES615;2021;55697;PERNOCTACIONES;14588.43413766;A
P;ES616;2021;55698;PERNOCTACIONES;135037.629338762;A
P;ES616;2021;55565;PERNOCTACIONES;131100.96183318;A
P;ES616;2021;55697;PERNOCTACIONES;3936.667505582;A
P;ES617;2021;55698;PERNOCTACIONES;3291459.165200337;A
P;ES617;2021;55565;PERNOCTACIONES;1500738.696548389;A
P;ES617;2021;55697;PERNOCTACIONES;1790720.468651948;A
P;ES618;2021;55698;PERNOCTACIONES;660745.566810276;A
P;ES618;2021;55565;PERNOCTACIONES;444509.470180487;A
P;ES618;2021;55697;PERNOCTACIONES;216236.096629789;A
A;ES61;2020;55698;ESTANCIA_MEDIA;4.03378496193026;A
A;ES61;2020;55565;ESTANCIA_MEDIA;3.491838921711258;A
A;ES61;2020;55697;ESTANCIA_MEDIA;5.344467147722534;A
A;ES61;2019;55698;ESTANCIA_MEDIA;4.018919695146679;A
A;ES61;2019;55565;ESTANCIA_MEDIA;3.1800750297708515;A
A;ES61;2019;55697;ESTANCIA_MEDIA;4.763673952779457;A
A;ES61;2018;55698;ESTANCIA_MEDIA;4.1864446305010174;A
A;ES61;2018;55565;ESTANCIA_MEDIA;3.243313089605842;A
A;ES61;2018;55697;ESTANCIA_MEDIA;4.9627365849374225;A
A;ES61;2017;55698;ESTANCIA_MEDIA;4.330222748193943;A
A;ES61;2017;55565;ESTANCIA_MEDIA;3.381893021075531;A
A;ES61;2017;55697;ESTANCIA_MEDIA;5.103577921163772;A
A;ES61;2016;55698;ESTANCIA_MEDIA;4.544071399053295;A
A;ES61;2016;55565;ESTANCIA_MEDIA;3.395249020137609;A
A;ES61;2016;55697;ESTANCIA_MEDIA;5.50636143200778;A
A;ES61;2015;55698;ESTANCIA_MEDIA;4.808068307460809;A
