OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55107;516710;2014;VIAJEROS;44.816666667;A
A;55107;516711;2020;VIAJEROS;39.984459459;A
A;55107;516711;2019;VIAJEROS;329.747916667;A
A;55107;516711;2018;VIAJEROS;215.0202381;A
A;55107;516711;2017;VIAJEROS;124.25688505;A
A;55107;516711;2016;VIAJEROS;63.383333333;A
A;55107;516711;2015;VIAJEROS;86.9125;A
A;55107;516711;2014;VIAJEROS;102.6625;A
A;55107;55571;2020;VIAJEROS;38.875;A
A;55107;55571;2019;VIAJEROS;176.483333333;A
A;55107;55571;2018;VIAJEROS;106.56190476;A
A;55107;55571;2017;VIAJEROS;83.07798924;A
A;55107;55571;2016;VIAJEROS;85.089583333;A
A;55107;55571;2015;VIAJEROS;83.083333333;A
A;55107;55571;2014;VIAJEROS;54.229166667;A
A;55107;516713;2020;VIAJEROS;10.2;A
A;55107;516713;2019;VIAJEROS;640.495;A
A;55107;516713;2018;VIAJEROS;1320.7333333;A
A;55107;516713;2017;VIAJEROS;1062.3748279;A
A;55107;516713;2016;VIAJEROS;228.53333333;A
A;55107;516713;2015;VIAJEROS;86.9125;A
A;55107;516713;2014;VIAJEROS;53.533333333;A
A;55107;516715;2020;VIAJEROS;105.647619048;A
A;55107;516715;2019;VIAJEROS;124.133333333;A
A;55107;516715;2018;VIAJEROS;92.8125;A
A;55107;516715;2017;VIAJEROS;70.431724698;A
A;55107;516715;2016;VIAJEROS;78.425;A
A;55107;516715;2015;VIAJEROS;76.579166667;A
A;55107;55574;2020;VIAJEROS;237.389623552;A
A;55107;55574;2019;VIAJEROS;7145.99125;A
A;55107;55574;2018;VIAJEROS;6598.4416667;A
A;55107;55574;2017;VIAJEROS;6500.6161664;A
A;55107;55574;2016;VIAJEROS;2921.21875;A
A;55107;55574;2015;VIAJEROS;2090.7199561;A
A;55107;55574;2014;VIAJEROS;2098.3041667;A
A;55107;516716;2019;VIAJEROS;169.2;A
A;55107;516716;2018;VIAJEROS;200.8;A
A;55107;516716;2017;VIAJEROS;385.98129978;A
A;55107;516716;2016;VIAJEROS;260.2;A
A;55107;516716;2015;VIAJEROS;126.0;A
A;55107;516716;2014;VIAJEROS;161.0;A
A;55107;516717;2019;VIAJEROS;26.133333333;A
A;55107;516717;2018;VIAJEROS;16.2;A
A;55107;516717;2017;VIAJEROS;47.552571373;A
A;55107;516717;2016;VIAJEROS;43.266666667;A
A;55107;516718;2020;VIAJEROS;180.029166667;A
A;55107;516718;2019;VIAJEROS;640.275;A
A;55107;516718;2018;VIAJEROS;361.46666667;A
A;55107;516718;2017;VIAJEROS;136.82207887;A
A;55107;516718;2016;VIAJEROS;127.00833333;A
A;55107;516718;2015;VIAJEROS;130.93333333;A
A;55107;516718;2014;VIAJEROS;95.8125;A
A;55107;516719;2018;VIAJEROS;14.0;A
A;55107;516719;2017;VIAJEROS;18.624043276;A
A;55107;516720;2020;VIAJEROS;14.285714286;A
A;55107;516720;2019;VIAJEROS;179.679166667;A
A;55107;516720;2018;VIAJEROS;50.666666667;A
A;55107;516720;2017;VIAJEROS;24.545520517;A
A;55107;516720;2016;VIAJEROS;26.6;A
A;55107;516720;2015;VIAJEROS;42.4;A
A;55107;516720;2014;VIAJEROS;20.4;A
A;55107;516721;2019;VIAJEROS;47.333333333;A
A;55107;516721;2018;VIAJEROS;14.466666667;A
A;55107;516721;2017;VIAJEROS;31.197697337;A
A;55107;516721;2014;VIAJEROS;15.8125;A
A;55107;516722;2020;VIAJEROS;17.914285714;A
A;55107;516722;2019;VIAJEROS;170.4;A
A;55107;516722;2018;VIAJEROS;217.02142857;A
A;55107;516722;2017;VIAJEROS;225.4752256;A
A;55107;516722;2016;VIAJEROS;81.6;A
A;55107;516722;2015;VIAJEROS;146.6;A
A;55107;516722;2014;VIAJEROS;75.083333333;A
A;55107;516724;2020;VIAJEROS;10.333333333;A
A;55107;516724;2019;VIAJEROS;32.279166667;A
A;55107;516724;2018;VIAJEROS;85.277380952;A
A;55107;516724;2017;VIAJEROS;33.341274299;A
A;55107;516724;2015;VIAJEROS;20.466666667;A
A;55107;516724;2014;VIAJEROS;12.266666667;A
