OBS_STATUS;RESITUR;TEMPORAL;PARQUES_TURISMO;INDICATOR;OBS_VALUE;FREQ
A;55697;2019;55539;VIAJEROS;4467.109722222;A
A;55697;2019;55540;VIAJEROS;10643.236482687;A
A;55697;2019;55541;VIAJEROS;867711.257709438;A
A;55697;2020;55537;VIAJEROS;8338.243138551;A
A;55697;2020;55538;VIAJEROS;7799.499563433;A
A;55697;2020;55539;VIAJEROS;1025.103863431;A
A;55697;2020;55540;VIAJEROS;3186.771220542;A
A;55697;2020;55541;VIAJEROS;162642.625954004;A
A;55577;2014;55537;VIAJEROS;1146.166225;A
A;55577;2014;55538;VIAJEROS;7979.5420991;A
A;55577;2014;55539;VIAJEROS;1094.322186;A
A;55577;2014;55540;VIAJEROS;242.03909859;A
A;55577;2014;55541;VIAJEROS;27642.058291;A
A;55577;2015;55537;VIAJEROS;1207.5622228;A
A;55577;2015;55538;VIAJEROS;7267.1850995;A
A;55577;2015;55539;VIAJEROS;614.32061259;A
A;55577;2015;55540;VIAJEROS;205.36885965;A
A;55577;2015;55541;VIAJEROS;29101.724782;A
A;55577;2016;55537;VIAJEROS;1384.1904064;A
A;55577;2016;55538;VIAJEROS;7431.4929368;A
A;55577;2016;55539;VIAJEROS;619.51836298;A
A;55577;2016;55540;VIAJEROS;342.66320913;A
A;55577;2016;55541;VIAJEROS;37100.603959;A
A;55577;2017;55537;VIAJEROS;1790.0676296;A
A;55577;2017;55538;VIAJEROS;10401.669542;A
A;55577;2017;55539;VIAJEROS;642.21550523;A
A;55577;2017;55540;VIAJEROS;407.7152912;A
A;55577;2017;55541;VIAJEROS;44210.249427;A
A;55577;2018;55537;VIAJEROS;1214.0702643;A
A;55577;2018;55538;VIAJEROS;9948.1651528;A
A;55577;2018;55539;VIAJEROS;575.78181818;A
A;55577;2018;55540;VIAJEROS;466.26466271;A
A;55577;2018;55541;VIAJEROS;39865.962917;A
A;55577;2019;55537;VIAJEROS;1865.997801651;A
A;55577;2019;55538;VIAJEROS;9297.341944907;A
A;55577;2019;55539;VIAJEROS;320.818518519;A
A;55577;2019;55540;VIAJEROS;426.030259636;A
A;55577;2019;55541;VIAJEROS;44018.761620766;A
A;55577;2020;55537;VIAJEROS;501.716042876;A
A;55577;2020;55538;VIAJEROS;1011.150136765;A
A;55577;2020;55539;VIAJEROS;65.4;A
A;55577;2020;55540;VIAJEROS;69.770461776;A
A;55577;2020;55541;VIAJEROS;9625.896641419;A
A;516705;2014;55537;VIAJEROS;23.142361111;A
A;516705;2014;55538;VIAJEROS;320.63076725;A
A;516705;2014;55539;VIAJEROS;14.867183463;A
A;516705;2014;55540;VIAJEROS;32.177486188;A
A;516705;2014;55541;VIAJEROS;3054.9600384;A
A;516705;2015;55537;VIAJEROS;145.10744071;A
A;516705;2015;55538;VIAJEROS;449.45096297;A
A;516705;2015;55539;VIAJEROS;42.459146341;A
A;516705;2015;55540;VIAJEROS;27.989765168;A
A;516705;2015;55541;VIAJEROS;2686.2254434;A
A;516705;2016;55537;VIAJEROS;81.048685891;A
A;516705;2016;55538;VIAJEROS;318.31730369;A
A;516705;2016;55539;VIAJEROS;18.6;A
A;516705;2016;55540;VIAJEROS;30.672893332;A
A;516705;2016;55541;VIAJEROS;3378.3003237;A
A;516705;2017;55537;VIAJEROS;62.609489313;A
A;516705;2017;55538;VIAJEROS;613.34368127;A
A;516705;2017;55539;VIAJEROS;35.454931973;A
A;516705;2017;55540;VIAJEROS;24.235227912;A
A;516705;2017;55541;VIAJEROS;4055.483338;A
A;516705;2018;55537;VIAJEROS;66.170638629;A
A;516705;2018;55538;VIAJEROS;471.04216123;A
A;516705;2018;55539;VIAJEROS;28.666666667;A
A;516705;2018;55540;VIAJEROS;34.0;A
A;516705;2018;55541;VIAJEROS;4391.3346755;A
