OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES613;2014;PERS_MEDI_NO_REMU;18.388068496;A
A;ES614;2020;PERS_MEDI_NO_REMU;81.703409929;A
A;ES614;2019;PERS_MEDI_NO_REMU;115.056255804;A
A;ES614;2018;PERS_MEDI_NO_REMU;102.90864973;A
A;ES614;2017;PERS_MEDI_NO_REMU;104.761496;A
A;ES614;2016;PERS_MEDI_NO_REMU;102.37740286;A
A;ES614;2015;PERS_MEDI_NO_REMU;110.49627116;A
A;ES614;2014;PERS_MEDI_NO_REMU;92.680791677;A
A;ES615;2020;PERS_MEDI_NO_REMU;3.572395785;A
A;ES615;2019;PERS_MEDI_NO_REMU;4.088510815;A
A;ES615;2018;PERS_MEDI_NO_REMU;4.116812674;A
A;ES615;2017;PERS_MEDI_NO_REMU;5.855417917;A
A;ES615;2016;PERS_MEDI_NO_REMU;5.213947158;A
A;ES615;2015;PERS_MEDI_NO_REMU;2.791712417;A
A;ES615;2014;PERS_MEDI_NO_REMU;4.083333333;A
A;ES616;2020;PERS_MEDI_NO_REMU;55.101407617;A
A;ES616;2019;PERS_MEDI_NO_REMU;77.587357792;A
A;ES616;2018;PERS_MEDI_NO_REMU;71.485944734;A
A;ES616;2017;PERS_MEDI_NO_REMU;66.775877623;A
A;ES616;2016;PERS_MEDI_NO_REMU;66.783988723;A
A;ES616;2015;PERS_MEDI_NO_REMU;60.403002953;A
A;ES616;2014;PERS_MEDI_NO_REMU;46.696985247;A
A;ES617;2020;PERS_MEDI_NO_REMU;107.172721974;A
A;ES617;2019;PERS_MEDI_NO_REMU;169.279515919;A
A;ES617;2018;PERS_MEDI_NO_REMU;166.90786016;A
A;ES617;2017;PERS_MEDI_NO_REMU;182.86060975;A
A;ES617;2016;PERS_MEDI_NO_REMU;168.66372895;A
A;ES617;2015;PERS_MEDI_NO_REMU;143.46286713;A
A;ES617;2014;PERS_MEDI_NO_REMU;131.77020378;A
A;ES618;2020;PERS_MEDI_NO_REMU;40.349078632;A
A;ES618;2019;PERS_MEDI_NO_REMU;36.261244273;A
A;ES618;2018;PERS_MEDI_NO_REMU;25.775618272;A
A;ES618;2017;PERS_MEDI_NO_REMU;18.573028845;A
A;ES618;2016;PERS_MEDI_NO_REMU;32.538145668;A
A;ES618;2015;PERS_MEDI_NO_REMU;43.597319604;A
A;ES618;2014;PERS_MEDI_NO_REMU;37.940333881;A
P;ES61;2021;PERS_MEDI_NO_REMU;558.041048434;A
P;ES611;2021;PERS_MEDI_NO_REMU;37.379708542;A
P;ES612;2021;PERS_MEDI_NO_REMU;51.641151486;A
P;ES613;2021;PERS_MEDI_NO_REMU;20.352243021;A
P;ES614;2021;PERS_MEDI_NO_REMU;99.242232165;A
P;ES615;2021;PERS_MEDI_NO_REMU;4.061718551;A
P;ES616;2021;PERS_MEDI_NO_REMU;65.215758994;A
P;ES617;2021;PERS_MEDI_NO_REMU;219.983014434;A
P;ES618;2021;PERS_MEDI_NO_REMU;60.165221241;A
A;ES61;2020;PERS_MEDI_REMU_FIJO;1960.674632362;A
A;ES61;2019;PERS_MEDI_REMU_FIJO;3035.941221976;A
A;ES61;2018;PERS_MEDI_REMU_FIJO;2807.84513093;A
A;ES61;2017;PERS_MEDI_REMU_FIJO;2840.044383407;A
A;ES61;2016;PERS_MEDI_REMU_FIJO;2585.446897979;A
A;ES61;2015;PERS_MEDI_REMU_FIJO;2468.377843614;A
A;ES61;2014;PERS_MEDI_REMU_FIJO;2305.50080612;A
A;ES611;2020;PERS_MEDI_REMU_FIJO;94.599259319;A
A;ES611;2019;PERS_MEDI_REMU_FIJO;80.931534579;A
A;ES611;2018;PERS_MEDI_REMU_FIJO;83.776295733;A
A;ES611;2017;PERS_MEDI_REMU_FIJO;79.841683848;A
A;ES611;2016;PERS_MEDI_REMU_FIJO;81.893396121;A
A;ES611;2015;PERS_MEDI_REMU_FIJO;77.839739797;A
A;ES611;2014;PERS_MEDI_REMU_FIJO;62.232771049;A
A;ES612;2020;PERS_MEDI_REMU_FIJO;119.340929351;A
A;ES612;2019;PERS_MEDI_REMU_FIJO;151.486611333;A
A;ES612;2018;PERS_MEDI_REMU_FIJO;163.21500872;A
A;ES612;2017;PERS_MEDI_REMU_FIJO;199.02360095;A
A;ES612;2016;PERS_MEDI_REMU_FIJO;165.62769213;A
A;ES612;2015;PERS_MEDI_REMU_FIJO;160.51408264;A
A;ES612;2014;PERS_MEDI_REMU_FIJO;181.88934365;A
A;ES613;2020;PERS_MEDI_REMU_FIJO;34.043368921;A
A;ES613;2019;PERS_MEDI_REMU_FIJO;50.61982786;A
A;ES613;2018;PERS_MEDI_REMU_FIJO;41.033080606;A
A;ES613;2017;PERS_MEDI_REMU_FIJO;35.556243291;A
A;ES613;2016;PERS_MEDI_REMU_FIJO;31.895769106;A
A;ES613;2015;PERS_MEDI_REMU_FIJO;31.232354773;A
A;ES613;2014;PERS_MEDI_REMU_FIJO;27.570379056;A
A;ES614;2020;PERS_MEDI_REMU_FIJO;151.208780037;A
A;ES614;2019;PERS_MEDI_REMU_FIJO;246.850668376;A
A;ES614;2018;PERS_MEDI_REMU_FIJO;190.68760345;A
A;ES614;2017;PERS_MEDI_REMU_FIJO;160.98905249;A
A;ES614;2016;PERS_MEDI_REMU_FIJO;189.10435377;A
A;ES614;2015;PERS_MEDI_REMU_FIJO;179.51737468;A
A;ES614;2014;PERS_MEDI_REMU_FIJO;124.0910844;A
A;ES615;2020;PERS_MEDI_REMU_FIJO;33.962970269;A
A;ES615;2019;PERS_MEDI_REMU_FIJO;50.943120141;A
A;ES615;2018;PERS_MEDI_REMU_FIJO;35.519967159;A
A;ES615;2017;PERS_MEDI_REMU_FIJO;39.94249134;A
A;ES615;2016;PERS_MEDI_REMU_FIJO;28.215241614;A
A;ES615;2015;PERS_MEDI_REMU_FIJO;14.417784233;A
A;ES615;2014;PERS_MEDI_REMU_FIJO;9.75;A
A;ES616;2020;PERS_MEDI_REMU_FIJO;29.431907328;A
A;ES616;2019;PERS_MEDI_REMU_FIJO;39.277809094;A
A;ES616;2018;PERS_MEDI_REMU_FIJO;32.298540122;A
A;ES616;2017;PERS_MEDI_REMU_FIJO;35.258266088;A
A;ES616;2016;PERS_MEDI_REMU_FIJO;35.281319128;A
A;ES616;2015;PERS_MEDI_REMU_FIJO;35.683577601;A
A;ES616;2014;PERS_MEDI_REMU_FIJO;49.621177985;A
A;ES617;2020;PERS_MEDI_REMU_FIJO;1275.487684953;A
A;ES617;2019;PERS_MEDI_REMU_FIJO;2046.308141392;A
A;ES617;2018;PERS_MEDI_REMU_FIJO;1908.6334668;A
A;ES617;2017;PERS_MEDI_REMU_FIJO;2010.2344687;A
A;ES617;2016;PERS_MEDI_REMU_FIJO;1816.0109145;A
A;ES617;2015;PERS_MEDI_REMU_FIJO;1744.8968239;A
A;ES617;2014;PERS_MEDI_REMU_FIJO;1667.4130805;A
A;ES618;2020;PERS_MEDI_REMU_FIJO;222.599732184;A
A;ES618;2019;PERS_MEDI_REMU_FIJO;369.523509201;A
A;ES618;2018;PERS_MEDI_REMU_FIJO;352.68116834;A
A;ES618;2017;PERS_MEDI_REMU_FIJO;279.1985767;A
A;ES618;2016;PERS_MEDI_REMU_FIJO;237.41821161;A
A;ES618;2015;PERS_MEDI_REMU_FIJO;224.27610599;A
A;ES618;2014;PERS_MEDI_REMU_FIJO;182.93296948;A
P;ES61;2021;PERS_MEDI_REMU_FIJO;2442.455441784;A
P;ES611;2021;PERS_MEDI_REMU_FIJO;136.940388049;A
P;ES612;2021;PERS_MEDI_REMU_FIJO;190.137139485;A
P;ES613;2021;PERS_MEDI_REMU_FIJO;42.424859482;A
P;ES614;2021;PERS_MEDI_REMU_FIJO;191.642744193;A
P;ES615;2021;PERS_MEDI_REMU_FIJO;47.978807758;A
P;ES616;2021;PERS_MEDI_REMU_FIJO;39.440078397;A
P;ES617;2021;PERS_MEDI_REMU_FIJO;1526.250549139;A
P;ES618;2021;PERS_MEDI_REMU_FIJO;267.640875281;A
A;ES61;2020;PERS_MEDI_REMU_EVEN;532.481062633;A
A;ES61;2019;PERS_MEDI_REMU_EVEN;1253.514149532;A
A;ES61;2018;PERS_MEDI_REMU_EVEN;1272.272276205;A
A;ES61;2017;PERS_MEDI_REMU_EVEN;1169.956082663;A
A;ES61;2016;PERS_MEDI_REMU_EVEN;1001.043816804;A
A;ES61;2015;PERS_MEDI_REMU_EVEN;991.780983626;A
A;ES61;2014;PERS_MEDI_REMU_EVEN;928.763277662;A
A;ES611;2020;PERS_MEDI_REMU_EVEN;65.417498073;A
A;ES611;2019;PERS_MEDI_REMU_EVEN;170.745972967;A
A;ES611;2018;PERS_MEDI_REMU_EVEN;147.20201351;A
A;ES611;2017;PERS_MEDI_REMU_EVEN;140.86062601;A
A;ES611;2016;PERS_MEDI_REMU_EVEN;126.83175941;A
A;ES611;2015;PERS_MEDI_REMU_EVEN;113.96599984;A
A;ES611;2014;PERS_MEDI_REMU_EVEN;101.83113811;A
A;ES612;2020;PERS_MEDI_REMU_EVEN;82.082853487;A
A;ES612;2019;PERS_MEDI_REMU_EVEN;114.548674038;A
A;ES612;2018;PERS_MEDI_REMU_EVEN;125.86619261;A
A;ES612;2017;PERS_MEDI_REMU_EVEN;93.123310182;A
A;ES612;2016;PERS_MEDI_REMU_EVEN;97.223834635;A
A;ES612;2015;PERS_MEDI_REMU_EVEN;102.57963692;A
A;ES612;2014;PERS_MEDI_REMU_EVEN;130.14171544;A
A;ES613;2020;PERS_MEDI_REMU_EVEN;15.979192792;A
A;ES613;2019;PERS_MEDI_REMU_EVEN;16.808727681;A
A;ES613;2018;PERS_MEDI_REMU_EVEN;19.423445125;A
A;ES613;2017;PERS_MEDI_REMU_EVEN;21.224302725;A
A;ES613;2016;PERS_MEDI_REMU_EVEN;24.45907822;A
A;ES613;2015;PERS_MEDI_REMU_EVEN;24.344742306;A
A;ES613;2014;PERS_MEDI_REMU_EVEN;15.247386771;A
A;ES614;2020;PERS_MEDI_REMU_EVEN;63.356190258;A
A;ES614;2019;PERS_MEDI_REMU_EVEN;131.589176528;A
A;ES614;2018;PERS_MEDI_REMU_EVEN;145.73530394;A
A;ES614;2017;PERS_MEDI_REMU_EVEN;117.40093222;A
A;ES614;2016;PERS_MEDI_REMU_EVEN;105.14872638;A
A;ES614;2015;PERS_MEDI_REMU_EVEN;117.23896193;A
A;ES614;2014;PERS_MEDI_REMU_EVEN;113.03780216;A
A;ES615;2020;PERS_MEDI_REMU_EVEN;19.4355713;A
