D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3143;2004;Euros por habitante;;--;A
3143;2005;Euros por habitante;8.245558751689844;;A
3143;2006;Euros por habitante;7.451020723992879;;A
3143;2007;Euros por habitante;10.107154283511248;;A
3143;2008;Euros por habitante;9.947811683448025;;A
3143;2009;Euros por habitante;9.388459471839363;;A
3143;2010;Euros por habitante;10.15461025369978;;A
3143;2011;Euros por habitante;9.674269569549578;;A
3143;2012;Euros por habitante;10.042230728782304;;A
3143;2013;Euros por habitante;10.651754772686576;;A
3143;2014;Euros por habitante;11.050796394551956;;A
3143;2015;Euros por habitante;12.81867597006089;;A
3143;2016;Euros por habitante;9.631969000397108;;A
3143;2017;Euros por habitante;8.32072389987291;;A
3143;2018;Euros por habitante;9.62635161902271;;A
3143;2019;Euros por habitante;7.593738686786885;;A
3143;2020;Euros por habitante;7.839450028986463;;A
2240;2004;Euros por habitante;8.281261194978295;;A
2240;2005;Euros por habitante;10.401370153552378;;A
2240;2006;Euros por habitante;13.205322743697193;;A
2240;2007;Euros por habitante;15.728665917894991;;A
2240;2008;Euros por habitante;15.61088596677805;;A
2240;2009;Euros por habitante;14.322042029598265;;A
2240;2010;Euros por habitante;12.584530876250623;;A
2240;2011;Euros por habitante;11.744372246632865;;A
2240;2012;Euros por habitante;8.300103742616667;;A
2240;2013;Euros por habitante;8.051168648566525;;A
2240;2014;Euros por habitante;7.884900091489697;;A
2240;2015;Euros por habitante;8.657524459232647;;A
2240;2016;Euros por habitante;8.64249929830743;;A
2240;2017;Euros por habitante;8.549934892412608;;A
2240;2018;Euros por habitante;9.288679998415054;;A
2240;2019;Euros por habitante;9.532206430593309;;A
2240;2020;Euros por habitante;9.979159825598794;;A
273834;2004;Euros por habitante;4.923591131015937;e;A
273834;2005;Euros por habitante;5.219103962237691;e;A
273834;2006;Euros por habitante;5.5337250976646075;e;A
273834;2007;Euros por habitante;6.2519072633595885;e;A
273834;2008;Euros por habitante;6.662107813527001;e;A
273834;2009;Euros por habitante;6.298473607457373;e;A
273834;2010;Euros por habitante;6.479531218970507;e;A
273834;2011;Euros por habitante;6.50905860241682;e;A
273834;2012;Euros por habitante;5.610330279248617;e;A
273834;2013;Euros por habitante;5.80943605121913;e;A
273834;2014;Euros por habitante;5.713405604660435;e;A
273834;2015;Euros por habitante;5.864765632031909;e;A
273834;2016;Euros por habitante;6.004768647674603;e;A
273834;2017;Euros por habitante;6.185266085084434;e;A
273834;2018;Euros por habitante;6.418316696256924;e;A
273834;2019;Euros por habitante;6.618356345061842;e;A
273834;2020;Euros por habitante;7.180517868269125;e;A
273823;2004;Euros por habitante;5.156374197589278;e;A
273823;2005;Euros por habitante;5.388072572529419;e;A
273823;2006;Euros por habitante;5.693529390280473;e;A
273823;2007;Euros por habitante;6.21333102596878;e;A
273823;2008;Euros por habitante;6.470477393910356;e;A
273823;2009;Euros por habitante;6.272627072568849;e;A
273823;2010;Euros por habitante;6.382647571168936;e;A
273823;2011;Euros por habitante;6.510772435385096;e;A
273823;2012;Euros por habitante;5.829319350679104;e;A
273823;2013;Euros por habitante;6.015441548881071;e;A
273823;2014;Euros por habitante;5.816079193079059;e;A
273823;2015;Euros por habitante;6.061810528676968;e;A
273823;2016;Euros por habitante;6.111740461954634;e;A
273823;2017;Euros por habitante;6.309895497607188;e;A
273823;2018;Euros por habitante;6.39994092806546;e;A
