ESTADO_DATO;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;CNAE09;SEXO_SOCIOS
P;ES618;46367;2021;SOC_CONST;4465.0;A;_Z;_Z
P;ES618;46361;2021;SOC_CONST;17.0;A;_Z;_Z
P;ES618;46364;2021;SOC_CONST;4412.0;A;_Z;_Z
P;ES618;46366;2021;SOC_CONST;36.0;A;_Z;_Z
P;3026;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3026;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3026;46366;2021;SOC_CONST;1.0;A;_Z;_Z
P;3028;46367;2021;SOC_CONST;191.0;A;_Z;_Z
P;3028;46361;2021;SOC_CONST;1.0;A;_Z;_Z
P;3028;46364;2021;SOC_CONST;188.0;A;_Z;_Z
P;3028;46366;2021;SOC_CONST;2.0;A;_Z;_Z
P;3029;46367;2021;SOC_CONST;14.0;A;_Z;_Z
P;3029;46364;2021;SOC_CONST;14.0;A;_Z;_Z
P;3030;46367;2021;SOC_CONST;5.0;A;_Z;_Z
P;3030;46364;2021;SOC_CONST;5.0;A;_Z;_Z
P;3031;46367;2021;SOC_CONST;14.0;A;_Z;_Z
P;3031;46364;2021;SOC_CONST;14.0;A;_Z;_Z
P;3032;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3032;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3034;46367;2021;SOC_CONST;6.0;A;_Z;_Z
P;3034;46364;2021;SOC_CONST;6.0;A;_Z;_Z
P;3035;46367;2021;SOC_CONST;21.0;A;_Z;_Z
P;3035;46364;2021;SOC_CONST;21.0;A;_Z;_Z
P;3037;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3037;46364;2021;SOC_CONST;8.0;A;_Z;_Z
P;3038;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3038;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3039;46367;2021;SOC_CONST;9.0;A;_Z;_Z
P;3039;46364;2021;SOC_CONST;9.0;A;_Z;_Z
P;3040;46367;2021;SOC_CONST;11.0;A;_Z;_Z
P;3040;46364;2021;SOC_CONST;11.0;A;_Z;_Z
P;3041;46367;2021;SOC_CONST;38.0;A;_Z;_Z
P;3041;46364;2021;SOC_CONST;38.0;A;_Z;_Z
P;3042;46367;2021;SOC_CONST;65.0;A;_Z;_Z
P;3042;46364;2021;SOC_CONST;64.0;A;_Z;_Z
P;3042;46366;2021;SOC_CONST;1.0;A;_Z;_Z
P;3043;46367;2021;SOC_CONST;30.0;A;_Z;_Z
P;3043;46364;2021;SOC_CONST;30.0;A;_Z;_Z
P;3044;46367;2021;SOC_CONST;6.0;A;_Z;_Z
P;3044;46364;2021;SOC_CONST;6.0;A;_Z;_Z
P;3045;46367;2021;SOC_CONST;19.0;A;_Z;_Z
P;3045;46364;2021;SOC_CONST;19.0;A;_Z;_Z
P;3046;46367;2021;SOC_CONST;49.0;A;_Z;_Z
P;3046;46364;2021;SOC_CONST;49.0;A;_Z;_Z
P;3047;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3047;46364;2021;SOC_CONST;3.0;A;_Z;_Z
P;3048;46367;2021;SOC_CONST;28.0;A;_Z;_Z
P;3048;46364;2021;SOC_CONST;28.0;A;_Z;_Z
P;3133;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3133;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3049;46367;2021;SOC_CONST;38.0;A;_Z;_Z
P;3049;46364;2021;SOC_CONST;38.0;A;_Z;_Z
P;3051;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3051;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3052;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3052;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3053;46367;2021;SOC_CONST;6.0;A;_Z;_Z
P;3053;46364;2021;SOC_CONST;6.0;A;_Z;_Z
P;3054;46367;2021;SOC_CONST;24.0;A;_Z;_Z
