D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2021;6949;3143;38434;% de personal que utiliza ordenadores al menos una vez por semana;;A
2009;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2010;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2011;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2012;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2013;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2014;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;;A
2015;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;65.41975634580058;A
2016;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;58.74277626354195;A
2017;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;63.157611223366295;A
2018;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;67.83055324053957;A
2019;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;65.23538790055282;A
2020;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;70.71800034934498;A
2021;6949;3143;38434;% de personal que utiliza ordenadores con fines empresariales;70.81958619691538;A
2009;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;;A
2010;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;;A
2011;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;46.65122778800714;A
2012;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;57.074920630789215;A
2013;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;46.68527549547829;A
2014;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;53.69986578857018;A
2015;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;62.874850987553266;A
2016;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;63.31025201787184;A
2017;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;63.309439481129914;A
2018;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;69.20820262688868;A
2019;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;;A
2020;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;;A
2021;6949;3143;38434;% de empresas que utilizan alguna tipología de software de código abierto;65.53251902660647;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);25.658319375926986;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);40.80351585434396;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);40.461399872675955;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);34.618044859313336;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);35.791429064215336;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);48.607928275701816;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);37.55051793820651;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);45.27463658783633;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos (b);45.88329567222707;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;11.96992101863807;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;23.28857428843831;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;18.88951599988587;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;18.589843628078278;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;22.50380769044122;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;30.773801892013203;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;23.773022428939683;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;31.333762228297253;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Sistemas operativos;30.068479466436305;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);78.69342294079809;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);87.68410850062597;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);94.785258269316;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);88.64683898191794;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);93.36315174992208;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);94.24008032522924;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);95.62988624546041;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);95.0677446752811;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet (b);95.5496078278093;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;36.71144799029158;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;50.04563533254738;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;44.250758952130795;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;47.60323355909984;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;58.70194254004674;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;59.66363235574749;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;60.54274495844314;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;65.79467736768171;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Navegadores de Internet;62.616064929607;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);72.93429163392078;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);73.68487905421539;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);71.48430388591446;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);72.34160035803754;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);64.98317737807554;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);71.32698810719484;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);67.84538151537987;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);65.27466410702722;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas (b);62.10650659044036;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;34.02474252570982;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;42.055586237086466;A
