D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2009;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);14.950286725270603;A
2010;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);22.44956659911862;A
2011;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);24.66275447989341;A
2012;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);26.611361220747582;A
2013;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);29.991543889508776;A
2014;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);26.09339916918239;A
2015;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);22.50149314597015;A
2016;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);34.60656732945833;A
2017;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);30.49615176828848;A
2018;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);29.35821879691862;A
2019;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);29.1463217739659;A
2020;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);27.99541972980769;A
2021;6949;3143;38434;% de empresas con conexión a Internet y sitio/página web (a);21.217227565043206;A
2009;6949;3143;38434;% Servicios web: Presentación de la empresa (b);79.38863118213555;A
2010;6949;3143;38434;% Servicios web: Presentación de la empresa (b);78.3812216802912;A
2011;6949;3143;38434;% Servicios web: Presentación de la empresa (b);73.84156340946745;A
2012;6949;3143;38434;% Servicios web: Presentación de la empresa (b);83.02174637420579;A
2013;6949;3143;38434;% Servicios web: Presentación de la empresa (b);91.1212929497512;A
2014;6949;3143;38434;% Servicios web: Presentación de la empresa (b);73.25158334456273;A
2015;6949;3143;38434;% Servicios web: Presentación de la empresa (b);72.92721757635509;A
2016;6949;3143;38434;% Servicios web: Presentación de la empresa (b);77.34255544622182;A
2017;6949;3143;38434;% Servicios web: Presentación de la empresa (b);78.2619156813626;A
2018;6949;3143;38434;% Servicios web: Presentación de la empresa (b);75.76945858628083;A
2019;6949;3143;38434;% Servicios web: Presentación de la empresa (b);76.14716770803118;A
2020;6949;3143;38434;% Servicios web: Presentación de la empresa (b);70.79855563747051;A
2021;6949;3143;38434;% Servicios web: Presentación de la empresa (b);69.24834132718472;A
2009;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
2010;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
2011;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
2012;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
2013;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
2014;6949;3143;38434;% Servicios web: Recepción de pedidos o reservas online (b);;A
