D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;6949;3143;38434;% de empresas con impresión 3D;1.540427112426003;A
2020;6949;3143;38434;% de empresas con impresión 3D;3.0004985733541303;A
2018;6949;3143;38434;% de empresas que usaron impresoras 3D propias (a);24.633119993190686;A
2020;6949;3143;38434;% de empresas que usaron impresoras 3D propias (a);15.18440181081673;A
2018;6949;3143;38434;% de empresas que usaron servicios de impresión 3D proporcionados por otra empresa (a);80.73559192563758;A
2020;6949;3143;38434;% de empresas que usaron servicios de impresión 3D proporcionados por otra empresa (a);93.77266148968955;A
2018;6949;3143;38434;% de empresas con impresión 3D para modelos o prototipos de venta (a);35.39805124189118;A
2020;6949;3143;38434;% de empresas con impresión 3D para modelos o prototipos de venta (a);8.0580179585022;A
2018;6949;3143;38434;% de empresas con impresión 3D para modelos o prototipos de uso interno (a);41.485137480725804;A
2020;6949;3143;38434;% de empresas con impresión 3D para modelos o prototipos de uso interno (a);15.803005681802565;A
2018;6949;3143;38434;% de empresas con impresión 3D para productos de venta excluyendo prototipos o modelos (a);8.851119643855888;A
2020;6949;3143;38434;% de empresas con impresión 3D para productos de venta excluyendo prototipos o modelos (a);12.85262823482179;A
2018;6949;3143;38434;% de empresas con impresión 3D para productos de uso interno excluyendo prototipos o modelos (a);16.692508901342272;A
2020;6949;3143;38434;% de empresas con impresión 3D para productos de uso interno excluyendo prototipos o modelos (a);38.453824708276905;A
