D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2014;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;83940.07361545971;A
2014;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;12478.44229613326;A
2014;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4473.812976265421;A
2014;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2725.3439816446003;A
2014;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;932.86474274272;A
2014;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2867.14856397345;A
2014;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1479.2720315070699;A
2014;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;26947.50592398052;A
2014;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;44514.12539534592;A
2014;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;15512.07147745655;A
2014;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4988.812782459;A
2014;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1311.13047260825;A
2014;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;9181.66763282466;A
2014;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;311.55214306039005;A
2014;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;11697.85718803731;A
2014;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1511.03369889977;A
2015;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;58850.67194015248;A
2015;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;16709.1075270247;A
2015;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6185.16808606523;A
2015;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;5492.36350868196;A
2015;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1181.90250429124;A
2015;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1869.11474427503;A
2015;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1980.55868371124;A
2015;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2465.70483441771;A
2015;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;39675.85957871007;A
2015;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;20314.848679088107;A
2015;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3503.16970551573;A
2015;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1017.5949619195201;A
2015;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6224.702329094191;A
2015;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;162.7685833653;A
2015;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;5685.56643215513;A
2015;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2767.20888757209;A
2016;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;95909.40350281016;A
2016;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;14563.872789782441;A
2016;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4654.3238046451;A
2016;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1519.61572718283;A
2016;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2518.4146970155202;A
2016;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3362.27227691186;A
2016;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2509.24628402713;A
2016;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4845.70150345805;A
2016;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;76499.82920956967;A
2016;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;27741.94519446024;A
2016;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;15525.18126061046;A
2016;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1560.2292763274;A
2016;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;13853.97746368669;A
2016;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;340.1822920038;A
2016;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;14172.35798655144;A
2016;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3305.95573592964;A
2017;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;110698.48475691055;A
2017;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;17495.66145758155;A
2017;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6780.76927837553;A
2017;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2600.1382328936;A
2017;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2792.77251535885;A
2017;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2890.03456408073;A
2017;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2431.94686687284;A
2017;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6200.60922687594;A
2017;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;87002.21407245306;A
2017;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;33818.42982241725;A
2017;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;8833.51787376508;A
2017;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2468.07065747269;A
2017;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;21401.54436106556;A
2017;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;815.986408129205;A
2017;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;16199.35323188776;A
2017;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3465.31171771552;A
2018;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;129319.79999913987;A
2018;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;20885.34671260766;A
2018;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6645.19460923574;A
2018;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6154.58975609355;A
2018;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2202.06814689424;A
2018;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3923.14794706199;A
2018;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1960.3462533221402;A
2018;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6837.44703693214;A
2018;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;101597.00624960006;A
2018;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;61988.077278361525;A
2018;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;8939.10522611596;A
2018;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3447.65124236518;A
2018;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;10441.67778756898;A
2018;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1015.5417377918001;A
2018;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;8908.80659776614;A
2018;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6856.14637963048;A
2019;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;85998.35039264896;A
2019;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;18350.83494644759;A
2019;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4534.96623999733;A
2019;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4042.08061310644;A
2019;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;1703.7135225836;A
2019;838685;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3810.9858707770004;A
2019;7627;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4259.08869998322;A
2019;7663;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;5065.26046514711;A
2019;7716;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;62582.25498105427;A
2019;7859;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;20140.3229825553;A
2019;7958;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;12175.99519056602;A
2019;7888;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2523.90370673977;A
2019;8031;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;15813.787621042731;A
2019;8094;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;498.89140000000003;A
2019;8165;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;6470.96848848317;A
2019;8255;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4958.38559166728;A
2020;6949;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;160434.09366882738;A
2020;7058;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;19417.75544181991;A
2020;7605;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;4499.92389080563;A
2020;838683;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;3189.5340424701;A
2020;838684;38282;3143;38435;Gasto total en bienes de TIC durante el año anterior;2922.2870827238803;A
