D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;6949;3143;38434;% de empresas que utiliza algún tipo de robot;2.385783594692611;A
2020;6949;3143;38434;% de empresas que utiliza algún tipo de robot;1.8855132636472691;A
2018;6949;3143;38434;% de empresas que utilizan robots industriales (a);73.09638302778662;A
2020;6949;3143;38434;% de empresas que utilizan robots industriales (a);91.15899596599412;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio (a);36.44679720060024;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio (a);36.94680075694798;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de vigilancia, seguridad o inspección (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de vigilancia, seguridad o inspección (b);8.520069915963639;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para transporte de personas o bienes (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para transporte de personas o bienes (b);4.474440987638293;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de limpieza o eliminación de residuos (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de limpieza o eliminación de residuos (b);52.119806470382954;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para sistemas de gestión de almacén (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para sistemas de gestión de almacén (b);32.47125240030551;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para trabajos de ensamblaje realizados por servicios de robots (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para trabajos de ensamblaje realizados por servicios de robots (b);23.951182484341874;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de dependiente de tienda robótico (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para tareas de dependiente de tienda robótico (b);;A
2018;6949;3143;38434;% de empresas que utilizan robots de servicio para trabajos de construcción o tareas de reparación de daños (b);;A
2020;6949;3143;38434;% de empresas que utilizan robots de servicio para trabajos de construcción o tareas de reparación de daños (b);28.425623471980167;A
