D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;7716;24097;3143;38435;% de empresas que utiliza algún tipo de robot;9.427380107503852;A
2018;7859;24097;3143;38435;% de empresas que utiliza algún tipo de robot;11.964346305056143;A
2018;7958;24097;3143;38435;% de empresas que utiliza algún tipo de robot;9.587981177945535;A
2018;7888;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2018;8094;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2018;8165;24097;3143;38435;% de empresas que utiliza algún tipo de robot;20.8339554628124;A
2018;8255;24097;3143;38435;% de empresas que utiliza algún tipo de robot;8.196604668265756;A
2020;6949;24097;3143;38435;% de empresas que utiliza algún tipo de robot;14.483080882925872;A
2020;7058;24097;3143;38435;% de empresas que utiliza algún tipo de robot;32.84740047387845;A
2020;7605;24097;3143;38435;% de empresas que utiliza algún tipo de robot;20.96927842707182;A
2020;838683;24097;3143;38435;% de empresas que utiliza algún tipo de robot;33.75;A
2020;838684;24097;3143;38435;% de empresas que utiliza algún tipo de robot;63.94891944487632;A
2020;838685;24097;3143;38435;% de empresas que utiliza algún tipo de robot;54.4905797383507;A
2020;7627;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;7663;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;7716;24097;3143;38435;% de empresas que utiliza algún tipo de robot;10.144398464491731;A
2020;7859;24097;3143;38435;% de empresas que utiliza algún tipo de robot;11.53385523773748;A
2020;7958;24097;3143;38435;% de empresas que utiliza algún tipo de robot;10.265193106176932;A
2020;7888;24097;3143;38435;% de empresas que utiliza algún tipo de robot;13.39700341257791;A
2020;8031;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;8094;24097;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;8165;24097;3143;38435;% de empresas que utiliza algún tipo de robot;24.519031939391915;A
2020;8255;24097;3143;38435;% de empresas que utiliza algún tipo de robot;1.512874571987174;A
2018;6949;38221;3143;38435;% de empresas que utiliza algún tipo de robot;21.633408052524285;A
2018;7058;38221;3143;38435;% de empresas que utiliza algún tipo de robot;55.622075762061094;A
2018;7605;38221;3143;38435;% de empresas que utiliza algún tipo de robot;74.50980392156863;A
2018;838683;38221;3143;38435;% de empresas que utiliza algún tipo de robot;66.66666666666666;A
