ESTADO_DATO;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES61;55549;2020;VIAJEROS;13446.411993788;A;_Z;_Z
A;ES61;55550;2014;VIAJEROS;21324.06609337;A;_Z;_Z
A;ES61;55550;2015;VIAJEROS;23556.6242765;A;_Z;_Z
A;ES61;55550;2016;VIAJEROS;26760.05370731;A;_Z;_Z
A;ES61;55550;2017;VIAJEROS;33567.99287096;A;_Z;_Z
A;ES61;55550;2018;VIAJEROS;35198.6507654;A;_Z;_Z
A;ES61;55550;2019;VIAJEROS;39428.208914749;A;_Z;_Z
A;ES61;55550;2020;VIAJEROS;17250.255714247;A;_Z;_Z
A;ES61;55551;2014;VIAJEROS;29585.79641158;A;_Z;_Z
A;ES61;55551;2015;VIAJEROS;36395.764653;A;_Z;_Z
A;ES61;55551;2016;VIAJEROS;43056.9548507;A;_Z;_Z
A;ES61;55551;2017;VIAJEROS;44204.68434811;A;_Z;_Z
A;ES61;55551;2018;VIAJEROS;52379.8467183;A;_Z;_Z
A;ES61;55551;2019;VIAJEROS;59894.256193605;A;_Z;_Z
A;ES61;55551;2020;VIAJEROS;22138.666338165;A;_Z;_Z
A;ES61;55552;2014;VIAJEROS;32296.27848521;A;_Z;_Z
A;ES61;55552;2015;VIAJEROS;39319.34358866;A;_Z;_Z
A;ES61;55552;2016;VIAJEROS;43629.28520924;A;_Z;_Z
A;ES61;55552;2017;VIAJEROS;49629.07262001;A;_Z;_Z
A;ES61;55552;2018;VIAJEROS;54759.02634885;A;_Z;_Z
A;ES61;55552;2019;VIAJEROS;60189.649937062;A;_Z;_Z
A;ES61;55552;2020;VIAJEROS;25271.270803498;A;_Z;_Z
A;ES61;55553;2014;VIAJEROS;25346.75000558;A;_Z;_Z
A;ES61;55553;2015;VIAJEROS;31670.98420211;A;_Z;_Z
A;ES61;55553;2016;VIAJEROS;34532.74776281;A;_Z;_Z
A;ES61;55553;2017;VIAJEROS;39142.59254789;A;_Z;_Z
A;ES61;55553;2018;VIAJEROS;42891.43030891;A;_Z;_Z
A;ES61;55553;2019;VIAJEROS;44748.073855229;A;_Z;_Z
A;ES61;55553;2020;VIAJEROS;21714.57249498;A;_Z;_Z
A;ES61;55554;2014;VIAJEROS;9344.702567642;A;_Z;_Z
A;ES61;55554;2015;VIAJEROS;9899.70180242;A;_Z;_Z
A;ES61;55554;2016;VIAJEROS;14278.54344628;A;_Z;_Z
A;ES61;55554;2017;VIAJEROS;15410.47558764;A;_Z;_Z
A;ES61;55554;2018;VIAJEROS;15051.26987451;A;_Z;_Z
A;ES61;55554;2019;VIAJEROS;17877.200588677;A;_Z;_Z
A;ES61;55554;2020;VIAJEROS;13066.233013772;A;_Z;_Z
A;ES61;55555;2014;VIAJEROS;134536.1457512;A;_Z;_Z
A;ES61;55555;2015;VIAJEROS;148318.4859854;A;_Z;_Z
A;ES61;55555;2016;VIAJEROS;162847.3894222;A;_Z;_Z
A;ES61;55555;2017;VIAJEROS;196454.5177243;A;_Z;_Z
A;ES61;55555;2018;VIAJEROS;191327.6331084;A;_Z;_Z
A;ES61;55555;2019;VIAJEROS;228373.134096806;A;_Z;_Z
A;ES61;55555;2020;VIAJEROS;108287.544956056;A;_Z;_Z
A;ES61;55556;2014;VIAJEROS;21332.49506113;A;_Z;_Z
A;ES61;55556;2015;VIAJEROS;27248.22866087;A;_Z;_Z
A;ES61;55556;2016;VIAJEROS;29018.53807335;A;_Z;_Z
A;ES61;55556;2017;VIAJEROS;36604.97819859;A;_Z;_Z
A;ES61;55556;2018;VIAJEROS;38608.34800588;A;_Z;_Z
A;ES61;55556;2019;VIAJEROS;42903.900912385;A;_Z;_Z
A;ES61;55556;2020;VIAJEROS;20374.956253214;A;_Z;_Z
A;ES61;55557;2014;VIAJEROS;4103.619373568;A;_Z;_Z
A;ES61;55557;2015;VIAJEROS;4640.577487753;A;_Z;_Z
A;ES61;55557;2016;VIAJEROS;5841.00607329;A;_Z;_Z
A;ES61;55557;2017;VIAJEROS;5393.04665856;A;_Z;_Z
A;ES61;55557;2018;VIAJEROS;6208.01762548;A;_Z;_Z
A;ES61;55557;2019;VIAJEROS;6610.245245578;A;_Z;_Z
A;ES61;55557;2020;VIAJEROS;2725.956571693;A;_Z;_Z
A;ES61;55558;2014;VIAJEROS;14707.38165367;A;_Z;_Z
A;ES61;55558;2015;VIAJEROS;19541.25552168;A;_Z;_Z
A;ES61;55558;2016;VIAJEROS;21721.17717513;A;_Z;_Z
A;ES61;55558;2017;VIAJEROS;22081.88470978;A;_Z;_Z
A;ES61;55558;2018;VIAJEROS;25002.61498703;A;_Z;_Z
A;ES61;55558;2019;VIAJEROS;29619.330663475;A;_Z;_Z
A;ES61;55558;2020;VIAJEROS;16275.724972779;A;_Z;_Z
A;ES61;55559;2014;VIAJEROS;2431.621279812;A;_Z;_Z
A;ES61;55559;2015;VIAJEROS;3030.789289053;A;_Z;_Z
A;ES61;55559;2016;VIAJEROS;3223.023279368;A;_Z;_Z
A;ES61;55559;2017;VIAJEROS;2919.232573299;A;_Z;_Z
A;ES61;55559;2018;VIAJEROS;3223.418105157;A;_Z;_Z
A;ES61;55559;2019;VIAJEROS;3692.491300631;A;_Z;_Z
A;ES61;55559;2020;VIAJEROS;1514.286514806;A;_Z;_Z
A;ES61;55544;2014;VIAJEROS;6933.102503222;A;_Z;_Z
A;ES61;55544;2015;VIAJEROS;8906.82466398;A;_Z;_Z
A;ES61;55544;2016;VIAJEROS;8607.24372026;A;_Z;_Z
A;ES61;55544;2017;VIAJEROS;9419.92397425;A;_Z;_Z
A;ES61;55544;2018;VIAJEROS;10434.21006121;A;_Z;_Z
A;ES61;55544;2019;VIAJEROS;11139.959330981;A;_Z;_Z
A;ES61;55544;2020;VIAJEROS;5471.292381361;A;_Z;_Z
A;ES61;55561;2014;VIAJEROS;2849.972866421;A;_Z;_Z
A;ES61;55561;2015;VIAJEROS;3715.387015206;A;_Z;_Z
A;ES61;55561;2016;VIAJEROS;5206.48104321;A;_Z;_Z
A;ES61;55561;2017;VIAJEROS;4531.224474604;A;_Z;_Z
A;ES61;55561;2018;VIAJEROS;5234.726798005;A;_Z;_Z
A;ES61;55561;2019;VIAJEROS;5590.528688656;A;_Z;_Z
A;ES61;55561;2020;VIAJEROS;2396.660735276;A;_Z;_Z
A;ES61;55562;2014;VIAJEROS;1688.931873956;A;_Z;_Z
A;ES61;55562;2015;VIAJEROS;2135.612760998;A;_Z;_Z
A;ES61;55562;2016;VIAJEROS;2291.882679789;A;_Z;_Z
A;ES61;55562;2017;VIAJEROS;2940.67925107;A;_Z;_Z
A;ES61;55562;2018;VIAJEROS;2993.99529923;A;_Z;_Z
A;ES61;55562;2019;VIAJEROS;3482.133543935;A;_Z;_Z
A;ES61;55562;2020;VIAJEROS;1645.730317969;A;_Z;_Z
A;ES611;55564;2014;VIAJEROS;107659.332069012;A;_Z;_Z
A;ES611;55564;2015;VIAJEROS;127023.061324258;A;_Z;_Z
A;ES611;55564;2016;VIAJEROS;130458.94968484;A;_Z;_Z
A;ES611;55564;2017;VIAJEROS;158325.30469054;A;_Z;_Z
A;ES611;55564;2018;VIAJEROS;149325.303027549;A;_Z;_Z
A;ES611;55564;2019;VIAJEROS;171976.706573538;A;_Z;_Z
A;ES611;55564;2020;VIAJEROS;82691.666529249;A;_Z;_Z
A;ES611;55543;2014;VIAJEROS;42654.833008;A;_Z;_Z
A;ES611;55543;2015;VIAJEROS;47161.452089;A;_Z;_Z
A;ES611;55543;2016;VIAJEROS;51620.618002;A;_Z;_Z
A;ES611;55543;2017;VIAJEROS;65256.724402;A;_Z;_Z
A;ES611;55543;2018;VIAJEROS;58204.459059;A;_Z;_Z
A;ES611;55543;2019;VIAJEROS;68768.629054217;A;_Z;_Z
A;ES611;55543;2020;VIAJEROS;37321.186847729;A;_Z;_Z
A;ES611;55563;2014;VIAJEROS;65004.499061012;A;_Z;_Z
A;ES611;55563;2015;VIAJEROS;79861.609235258;A;_Z;_Z
A;ES611;55563;2016;VIAJEROS;78838.33168284;A;_Z;_Z
A;ES611;55563;2017;VIAJEROS;93068.58028854;A;_Z;_Z
A;ES611;55563;2018;VIAJEROS;91120.843968549;A;_Z;_Z
A;ES611;55563;2019;VIAJEROS;103208.077519321;A;_Z;_Z
A;ES611;55563;2020;VIAJEROS;45370.47968152;A;_Z;_Z
A;ES611;55545;2014;VIAJEROS;1896.1134187;A;_Z;_Z
A;ES611;55545;2015;VIAJEROS;2134.3095036;A;_Z;_Z
A;ES611;55545;2016;VIAJEROS;2333.6676503;A;_Z;_Z
A;ES611;55545;2017;VIAJEROS;2304.9761625;A;_Z;_Z
A;ES611;55545;2018;VIAJEROS;2631.2461141;A;_Z;_Z
A;ES611;55545;2019;VIAJEROS;2048.874745299;A;_Z;_Z
A;ES611;55545;2020;VIAJEROS;576.937576258;A;_Z;_Z
A;ES611;55546;2014;VIAJEROS;22.433467742;A;_Z;_Z
A;ES611;55546;2015;VIAJEROS;96.833333333;A;_Z;_Z
A;ES611;55546;2016;VIAJEROS;2107.3548155;A;_Z;_Z
A;ES611;55546;2017;VIAJEROS;1337.3856994;A;_Z;_Z
A;ES611;55546;2018;VIAJEROS;1565.76085;A;_Z;_Z
A;ES611;55546;2019;VIAJEROS;1103.168164559;A;_Z;_Z
A;ES611;55546;2020;VIAJEROS;75.032590126;A;_Z;_Z
A;ES611;55547;2014;VIAJEROS;164.86923423;A;_Z;_Z
A;ES611;55547;2015;VIAJEROS;156.42050035;A;_Z;_Z
A;ES611;55547;2016;VIAJEROS;350.86847052;A;_Z;_Z
A;ES611;55547;2017;VIAJEROS;330.0460138;A;_Z;_Z
A;ES611;55547;2018;VIAJEROS;367.42121409;A;_Z;_Z
A;ES611;55547;2019;VIAJEROS;452.660816462;A;_Z;_Z
A;ES611;55547;2020;VIAJEROS;279.865316921;A;_Z;_Z
A;ES611;55548;2014;VIAJEROS;187.25;A;_Z;_Z
A;ES611;55548;2015;VIAJEROS;208.3552608;A;_Z;_Z
A;ES611;55548;2016;VIAJEROS;293.53644765;A;_Z;_Z
A;ES611;55548;2017;VIAJEROS;477.63041078;A;_Z;_Z
A;ES611;55548;2018;VIAJEROS;688.2938564;A;_Z;_Z
A;ES611;55548;2019;VIAJEROS;595.533327625;A;_Z;_Z
A;ES611;55548;2020;VIAJEROS;278.780564476;A;_Z;_Z
A;ES611;55549;2014;VIAJEROS;3345.9265996;A;_Z;_Z
A;ES611;55549;2015;VIAJEROS;2402.0341666;A;_Z;_Z
A;ES611;55549;2016;VIAJEROS;3165.8532279;A;_Z;_Z
A;ES611;55549;2017;VIAJEROS;4332.058343;A;_Z;_Z
A;ES611;55549;2018;VIAJEROS;4794.4148106;A;_Z;_Z
A;ES611;55549;2019;VIAJEROS;4954.676243945;A;_Z;_Z
A;ES611;55549;2020;VIAJEROS;2032.352367826;A;_Z;_Z
A;ES611;55550;2014;VIAJEROS;4437.7344351;A;_Z;_Z
A;ES611;55550;2015;VIAJEROS;5416.904849;A;_Z;_Z
A;ES611;55550;2016;VIAJEROS;4528.8589022;A;_Z;_Z
A;ES611;55550;2017;VIAJEROS;6727.299425;A;_Z;_Z
A;ES611;55550;2018;VIAJEROS;7153.4855558;A;_Z;_Z
A;ES611;55550;2019;VIAJEROS;9282.055813067;A;_Z;_Z
A;ES611;55550;2020;VIAJEROS;3268.700933588;A;_Z;_Z
A;ES611;55551;2014;VIAJEROS;4072.8103757;A;_Z;_Z
A;ES611;55551;2015;VIAJEROS;5705.0928258;A;_Z;_Z
A;ES611;55551;2016;VIAJEROS;7838.9000877;A;_Z;_Z
A;ES611;55551;2017;VIAJEROS;7006.1680244;A;_Z;_Z
