MACROECO;TIME_PERIOD;OBS_STATUS;REF_AREA;INDICATOR;OBS_VALUE;FREQ;CNAE_09_CRA_NEW
93039;1996;A;ES61;NR;225485.0;A;_Z
93039;1997;A;ES61;NR;250377.0;A;_Z
93039;1998;A;ES61;NR;268546.0;A;_Z
93039;1999;A;ES61;NR;261930.0;A;_Z
93039;2000;A;ES61;NR;264733.0;A;_Z
93039;2001;A;ES61;NR;281495.0;A;_Z
93039;2002;A;ES61;NR;280304.0;A;_Z
93039;2003;A;ES61;NR;278929.0;A;_Z
93039;2004;A;ES61;NR;263132.0;A;_Z
93039;2005;A;ES61;NR;267096.0;A;_Z
93039;2006;A;ES61;NR;253043.0;A;_Z
93039;2007;A;ES61;NR;244881.0;A;_Z
93039;2008;A;ES61;NR;230278.0;A;_Z
93039;2009;A;ES61;NR;226376.0;A;_Z
93039;2010;A;ES61;NR;238899.0;A;_Z
93039;2011;A;ES61;NR;230248.0;A;_Z
93039;2012;A;ES61;NR;216147.0;A;_Z
93039;2013;A;ES61;NR;208881.0;A;_Z
93039;2014;A;ES61;NR;237022.0;A;_Z
93039;2015;A;ES61;NR;235114.0;A;_Z
93039;2016;A;ES61;NR;262061.0;A;_Z
93039;2017;A;ES61;NR;276605.0;A;_Z
93039;2018;A;ES61;NR;261894.0;A;_Z
93039;2019;P;ES61;NR;266840.0;A;_Z
93039;2020;AV;ES61;NR;271736.0;A;_Z
93039;2021;1E;ES61;NR;279335.0;A;_Z
93040;1996;A;ES61;NR;244196.0;A;_Z
93040;1997;A;ES61;NR;254099.0;A;_Z
93040;1998;A;ES61;NR;263478.0;A;_Z
93040;1999;A;ES61;NR;273899.0;A;_Z
93040;2000;A;ES61;NR;280566.0;A;_Z
93040;2001;A;ES61;NR;279274.0;A;_Z
93040;2002;A;ES61;NR;276477.0;A;_Z
93040;2003;A;ES61;NR;282791.0;A;_Z
93040;2004;A;ES61;NR;287308.0;A;_Z
93040;2005;A;ES61;NR;289599.0;A;_Z
93040;2006;A;ES61;NR;285448.0;A;_Z
93040;2007;A;ES61;NR;283997.0;A;_Z
93040;2008;A;ES61;NR;281056.0;A;_Z
93040;2009;A;ES61;NR;249528.0;A;_Z
93040;2010;A;ES61;NR;237669.0;A;_Z
93040;2011;A;ES61;NR;229080.0;A;_Z
93040;2012;A;ES61;NR;211605.0;A;_Z
93040;2013;A;ES61;NR;197295.0;A;_Z
93040;2014;A;ES61;NR;197663.0;A;_Z
93040;2015;A;ES61;NR;202391.0;A;_Z
93040;2016;A;ES61;NR;219803.0;A;_Z
93040;2017;A;ES61;NR;231386.0;A;_Z
93040;2018;A;ES61;NR;241780.0;A;_Z
93040;2019;P;ES61;NR;247331.0;A;_Z
93040;2020;AV;ES61;NR;238093.0;A;_Z
93040;2021;1E;ES61;NR;238453.0;A;_Z
93041;1996;A;ES61;NR;218635.0;A;_Z
93041;1997;A;ES61;NR;227879.0;A;_Z
93041;1998;A;ES61;NR;234538.0;A;_Z
93041;1999;A;ES61;NR;244306.0;A;_Z
93041;2000;A;ES61;NR;250465.0;A;_Z
93041;2001;A;ES61;NR;249830.0;A;_Z
93041;2002;A;ES61;NR;245872.0;A;_Z
93041;2003;A;ES61;NR;250587.0;A;_Z
93041;2004;A;ES61;NR;252972.0;A;_Z
93041;2005;A;ES61;NR;252567.0;A;_Z
93041;2006;A;ES61;NR;248446.0;A;_Z
93041;2007;A;ES61;NR;246929.0;A;_Z
93041;2008;A;ES61;NR;243681.0;A;_Z
93041;2009;A;ES61;NR;213572.0;A;_Z
93041;2010;A;ES61;NR;201441.0;A;_Z
93041;2011;A;ES61;NR;190907.0;A;_Z
93041;2012;A;ES61;NR;173469.0;A;_Z
93041;2013;A;ES61;NR;163617.0;A;_Z
93041;2014;A;ES61;NR;163600.0;A;_Z
93041;2015;A;ES61;NR;167368.0;A;_Z
93041;2016;A;ES61;NR;181911.0;A;_Z
93041;2017;A;ES61;NR;191639.0;A;_Z
93041;2018;A;ES61;NR;200912.0;A;_Z
93041;2019;P;ES61;NR;205541.0;A;_Z
93041;2020;AV;ES61;NR;194841.0;A;_Z
93041;2021;1E;ES61;NR;192483.0;A;_Z
93042;1996;A;ES61;NR;171300.0;A;_Z
93042;1997;A;ES61;NR;180227.0;A;_Z
93042;1998;A;ES61;NR;209081.0;A;_Z
93042;1999;A;ES61;NR;253763.0;A;_Z
93042;2000;A;ES61;NR;300617.0;A;_Z
93042;2001;A;ES61;NR;325682.0;A;_Z
93042;2002;A;ES61;NR;336999.0;A;_Z
93042;2003;A;ES61;NR;362935.0;A;_Z
93042;2004;A;ES61;NR;401161.0;A;_Z
93042;2005;A;ES61;NR;433164.0;A;_Z
93042;2006;A;ES61;NR;475734.0;A;_Z
93042;2007;A;ES61;NR;495099.0;A;_Z
93042;2008;A;ES61;NR;421314.0;A;_Z
93042;2009;A;ES61;NR;283678.0;A;_Z
93042;2010;A;ES61;NR;244876.0;A;_Z
93042;2011;A;ES61;NR;208963.0;A;_Z
93042;2012;A;ES61;NR;158802.0;A;_Z
93042;2013;A;ES61;NR;135779.0;A;_Z
93042;2014;A;ES61;NR;137406.0;A;_Z
93042;2015;A;ES61;NR;154800.0;A;_Z
93042;2016;A;ES61;NR;166886.0;A;_Z
93042;2017;A;ES61;NR;169799.0;A;_Z
93042;2018;A;ES61;NR;194144.0;A;_Z
93042;2019;P;ES61;NR;208565.0;A;_Z
93042;2020;AV;ES61;NR;187834.0;A;_Z
93042;2021;1E;ES61;NR;210056.0;A;_Z
93044;1996;A;ES61;NR;1524587.0;A;_Z
93044;1997;A;ES61;NR;1559268.0;A;_Z
93044;1998;A;ES61;NR;1603302.0;A;_Z
93044;1999;A;ES61;NR;1668945.0;A;_Z
93044;2000;A;ES61;NR;1774384.0;A;_Z
93044;2001;A;ES61;NR;1838332.0;A;_Z
93044;2002;A;ES61;NR;1898714.0;A;_Z
93044;2003;A;ES61;NR;1973737.0;A;_Z
93044;2004;A;ES61;NR;2054060.0;A;_Z
93044;2005;A;ES61;NR;2144837.0;A;_Z
93044;2006;A;ES61;NR;2274858.0;A;_Z
93044;2007;A;ES61;NR;2356051.0;A;_Z
93044;2008;A;ES61;NR;2388879.0;A;_Z
93044;2009;A;ES61;NR;2348958.0;A;_Z
93044;2010;A;ES61;NR;2317513.0;A;_Z
93044;2011;A;ES61;NR;2285206.0;A;_Z
93044;2012;A;ES61;NR;2223083.0;A;_Z
93044;2013;A;ES61;NR;2190765.0;A;_Z
93044;2014;A;ES61;NR;2231622.0;A;_Z
93044;2015;A;ES61;NR;2338388.0;A;_Z
93044;2016;A;ES61;NR;2345812.0;A;_Z
93044;2017;A;ES61;NR;2427662.0;A;_Z
93044;2018;A;ES61;NR;2471663.0;A;_Z
93044;2019;P;ES61;NR;2544300.0;A;_Z
93044;2020;AV;ES61;NR;2257081.0;A;_Z
93044;2021;1E;ES61;NR;2453530.0;A;_Z
93043;1996;A;ES61;NR;611453.0;A;_Z
93043;1997;A;ES61;NR;621076.0;A;_Z
93043;1998;A;ES61;NR;630395.0;A;_Z
93043;1999;A;ES61;NR;673980.0;A;_Z
93043;2000;A;ES61;NR;708378.0;A;_Z
93043;2001;A;ES61;NR;728913.0;A;_Z
93043;2002;A;ES61;NR;744592.0;A;_Z
