MACROECO;TIME_PERIOD;OBS_STATUS;REF_AREA;INDICATOR;OBS_VALUE;FREQ;CNAE_09_CRA_NEW
93017;1996;A;ES61;TAS_INTER_PREC_CORR;5.893248207;A;_Z
93017;1997;A;ES61;TAS_INTER_PREC_CORR;6.326681168;A;_Z
93017;1998;A;ES61;TAS_INTER_PREC_CORR;7.542097581;A;_Z
93017;1999;A;ES61;TAS_INTER_PREC_CORR;9.063978578;A;_Z
93017;2000;A;ES61;TAS_INTER_PREC_CORR;8.542699347;A;_Z
93017;2001;A;ES61;TAS_INTER_PREC_CORR;7.587485695;A;_Z
93017;2002;A;ES61;TAS_INTER_PREC_CORR;7.261731774;A;_Z
93017;2003;A;ES61;TAS_INTER_PREC_CORR;7.743287348;A;_Z
93017;2004;A;ES61;TAS_INTER_PREC_CORR;8.114734507;A;_Z
93017;2005;A;ES61;TAS_INTER_PREC_CORR;7.77642169;A;_Z
93017;2006;A;ES61;TAS_INTER_PREC_CORR;8.055865179;A;_Z
93017;2007;A;ES61;TAS_INTER_PREC_CORR;8.103375404;A;_Z
93017;2008;A;ES61;TAS_INTER_PREC_CORR;5.009903253;A;_Z
93017;2009;A;ES61;TAS_INTER_PREC_CORR;-1.999318386;A;_Z
93017;2010;A;ES61;TAS_INTER_PREC_CORR;1.896823806;A;_Z
93017;2011;A;ES61;TAS_INTER_PREC_CORR;-0.415148608;A;_Z
93017;2012;A;ES61;TAS_INTER_PREC_CORR;-2.953963765;A;_Z
93017;2013;A;ES61;TAS_INTER_PREC_CORR;-2.020692986;A;_Z
93017;2014;A;ES61;TAS_INTER_PREC_CORR;1.282165577;A;_Z
93017;2015;A;ES61;TAS_INTER_PREC_CORR;2.250037396;A;_Z
93017;2016;A;ES61;TAS_INTER_PREC_CORR;2.587242576;A;_Z
93017;2017;A;ES61;TAS_INTER_PREC_CORR;4.387909803;A;_Z
93017;2018;A;ES61;TAS_INTER_PREC_CORR;2.985107247;A;_Z
93017;2019;P;ES61;TAS_INTER_PREC_CORR;1.02870874;A;_Z
93017;2020;AV;ES61;TAS_INTER_PREC_CORR;-7.242574136;A;_Z
93017;2021;1E;ES61;TAS_INTER_PREC_CORR;8.768814659;A;_Z
93018;1996;A;ES61;TAS_INTER_PREC_CORR;5.408941526;A;_Z
93018;1997;A;ES61;TAS_INTER_PREC_CORR;6.907912513;A;_Z
93018;1998;A;ES61;TAS_INTER_PREC_CORR;7.866668063;A;_Z
93018;1999;A;ES61;TAS_INTER_PREC_CORR;9.442971945;A;_Z
93018;2000;A;ES61;TAS_INTER_PREC_CORR;8.47621708;A;_Z
93018;2001;A;ES61;TAS_INTER_PREC_CORR;8.066129888;A;_Z
93018;2002;A;ES61;TAS_INTER_PREC_CORR;7.268794058;A;_Z
93018;2003;A;ES61;TAS_INTER_PREC_CORR;7.660016044;A;_Z
93018;2004;A;ES61;TAS_INTER_PREC_CORR;7.820720774;A;_Z
93018;2005;A;ES61;TAS_INTER_PREC_CORR;7.678310958;A;_Z
93018;2006;A;ES61;TAS_INTER_PREC_CORR;7.832527849;A;_Z
93018;2007;A;ES61;TAS_INTER_PREC_CORR;7.417237409;A;_Z
93018;2008;A;ES61;TAS_INTER_PREC_CORR;3.221659358;A;_Z
93018;2009;A;ES61;TAS_INTER_PREC_CORR;-4.609217503;A;_Z
93018;2010;A;ES61;TAS_INTER_PREC_CORR;2.413224772;A;_Z
93018;2011;A;ES61;TAS_INTER_PREC_CORR;-0.351692986;A;_Z
93018;2012;A;ES61;TAS_INTER_PREC_CORR;-1.783187265;A;_Z
93018;2013;A;ES61;TAS_INTER_PREC_CORR;-2.260879228;A;_Z
93018;2014;A;ES61;TAS_INTER_PREC_CORR;1.824491877;A;_Z
93018;2015;A;ES61;TAS_INTER_PREC_CORR;1.754457926;A;_Z
93018;2016;A;ES61;TAS_INTER_PREC_CORR;2.848973126;A;_Z
93018;2017;A;ES61;TAS_INTER_PREC_CORR;5.189571242;A;_Z
93018;2018;A;ES61;TAS_INTER_PREC_CORR;2.792730385;A;_Z
93018;2019;P;ES61;TAS_INTER_PREC_CORR;-0.249254158;A;_Z
93018;2020;AV;ES61;TAS_INTER_PREC_CORR;-12.538928773;A;_Z
93018;2021;1E;ES61;TAS_INTER_PREC_CORR;8.783777781;A;_Z
93011;1996;A;ES61;TAS_INTER_PREC_CORR;7.329389332;A;_Z
93011;1997;A;ES61;TAS_INTER_PREC_CORR;4.633963686;A;_Z
93011;1998;A;ES61;TAS_INTER_PREC_CORR;6.576309937;A;_Z
93011;1999;A;ES61;TAS_INTER_PREC_CORR;7.922597106;A;_Z
93011;2000;A;ES61;TAS_INTER_PREC_CORR;8.74573884;A;_Z
93011;2001;A;ES61;TAS_INTER_PREC_CORR;6.129310262;A;_Z
93011;2002;A;ES61;TAS_INTER_PREC_CORR;7.239824094;A;_Z
93011;2003;A;ES61;TAS_INTER_PREC_CORR;8.001670333;A;_Z
93011;2004;A;ES61;TAS_INTER_PREC_CORR;9.024145352;A;_Z
93011;2005;A;ES61;TAS_INTER_PREC_CORR;8.076537286;A;_Z
93011;2006;A;ES61;TAS_INTER_PREC_CORR;8.736525111;A;_Z
93011;2007;A;ES61;TAS_INTER_PREC_CORR;10.177117152;A;_Z
93011;2008;A;ES61;TAS_INTER_PREC_CORR;10.279198419;A;_Z
93011;2009;A;ES61;TAS_INTER_PREC_CORR;5.1989284;A;_Z
93011;2010;A;ES61;TAS_INTER_PREC_CORR;0.605351334;A;_Z
93011;2011;A;ES61;TAS_INTER_PREC_CORR;-0.576697196;A;_Z
93011;2012;A;ES61;TAS_INTER_PREC_CORR;-5.941332294;A;_Z
93011;2013;A;ES61;TAS_INTER_PREC_CORR;-1.380737234;A;_Z
93011;2014;A;ES61;TAS_INTER_PREC_CORR;-0.149920628;A;_Z
93011;2015;A;ES61;TAS_INTER_PREC_CORR;3.584559091;A;_Z
93011;2016;A;ES61;TAS_INTER_PREC_CORR;1.894893411;A;_Z
93011;2017;A;ES61;TAS_INTER_PREC_CORR;2.247439092;A;_Z
93011;2018;A;ES61;TAS_INTER_PREC_CORR;3.513542008;A;_Z
93011;2019;P;ES61;TAS_INTER_PREC_CORR;4.514665689;A;_Z
93011;2020;AV;ES61;TAS_INTER_PREC_CORR;6.546012327;A;_Z
93011;2021;1E;ES61;TAS_INTER_PREC_CORR;8.736837307;A;_Z
93020;1996;A;ES61;TAS_INTER_PREC_CORR;7.90799933;A;_Z
93020;1997;A;ES61;TAS_INTER_PREC_CORR;2.812851559;A;_Z
93020;1998;A;ES61;TAS_INTER_PREC_CORR;5.515990089;A;_Z
93020;1999;A;ES61;TAS_INTER_PREC_CORR;8.364597016;A;_Z
93020;2000;A;ES61;TAS_INTER_PREC_CORR;6.831626755;A;_Z
93020;2001;A;ES61;TAS_INTER_PREC_CORR;5.975805728;A;_Z
93020;2002;A;ES61;TAS_INTER_PREC_CORR;6.820009248;A;_Z
93020;2003;A;ES61;TAS_INTER_PREC_CORR;6.355517447;A;_Z
93020;2004;A;ES61;TAS_INTER_PREC_CORR;8.702655776;A;_Z
