D_SEXO_0;D_EPD_RELACTIVIDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3690;5882;2018;5732;3143;Población;874752.9667799999;A
3690;5882;2018;5733;3143;Población;115135.6483;A
3690;5882;2017;5732;3143;Población;862311.873;A
3690;5882;2017;5733;3143;Población;111708.35454999999;A
3690;5882;2016;5732;3143;Población;851324.68391;A
3690;5882;2016;5733;3143;Población;106355.1612;A
3690;5882;2015;5732;3143;Población;836719.69649;A
3690;5882;2015;5733;3143;Población;95712.04871999999;A
3690;5882;2014;5732;3143;Población;847480.1337;A
3690;5882;2014;5733;3143;Población;95586.37198;A
3690;5883;2020;5732;3143;Población;2619383.35882;A
3690;5883;2020;5733;3143;Población;158294.64113;A
3690;5883;2019;5732;3143;Población;2602959.67558;A
3690;5883;2019;5733;3143;Población;160514.07522;A
3690;5883;2018;5732;3143;Población;2590051.26419;A
3690;5883;2018;5733;3143;Población;159670.98583000002;A
3690;5883;2017;5732;3143;Población;2589942.31423;A
3690;5883;2017;5733;3143;Población;156122.9361;A
3690;5883;2016;5732;3143;Población;2597538.9974700003;A
3690;5883;2016;5733;3143;Población;152619.00294;A
3690;5883;2015;5732;3143;Población;2613760.73181;A
3690;5883;2015;5733;3143;Población;142575.01834;A
3690;5883;2014;5732;3143;Población;2622299.93054;A
3690;5883;2014;5733;3143;Población;135908.32238;A
3691;5870;2020;5732;3143;Población;3742493.71804;A
3691;5870;2020;5733;3143;Población;108544.12209;A
3691;5870;2019;5732;3143;Población;3812322.41672;A
3691;5870;2019;5733;3143;Población;115926.29377999999;A
3691;5870;2018;5732;3143;Población;3796137.16567;A
3691;5870;2018;5733;3143;Población;114272.33175000001;A
3691;5870;2017;5732;3143;Población;3819413.8130900003;A
3691;5870;2017;5733;3143;Población;113104.64519;A
3691;5870;2016;5732;3143;Población;3849055.42002;A
3691;5870;2016;5733;3143;Población;113187.31346;A
3691;5870;2015;5732;3143;Población;3912239.61309;A
3691;5870;2015;5733;3143;Población;107844.21428;A
3691;5870;2014;5732;3143;Población;3921062.7692799997;A
3691;5870;2014;5733;3143;Población;96848.94235;A
3691;5865;2020;5732;3143;Población;2909502.60856;A
3691;5865;2020;5733;3143;Población;76771.27409;A
3691;5865;2019;5732;3143;Población;3011098.16335;A
3691;5865;2019;5733;3143;Población;81398.98972;A
3691;5865;2018;5732;3143;Población;2932031.30367;A
3691;5865;2018;5733;3143;Población;75862.45126;A
3691;5865;2017;5732;3143;Población;2848750.16336;A
3691;5865;2017;5733;3143;Población;74949.40483;A
3691;5865;2016;5732;3143;Población;2741681.50526;A
