D_SEXO_0;D_EPD_GRUPOSEDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;5837;2018;5732;3143;Población;775658.25006;A
3691;5837;2018;5733;3143;Población;20342.75001;A
3691;5837;2017;5732;3143;Población;778917.4054500001;A
3691;5837;2017;5733;3143;Población;18781.594670000002;A
3691;5837;2016;5732;3143;Población;786238.00023;A
3691;5837;2016;5733;3143;Población;18392.499929999998;A
3691;5837;2015;5732;3143;Población;798426.83865;A
3691;5837;2015;5733;3143;Población;17358.66138;A
3691;5837;2014;5732;3143;Población;810598.7662600001;A
3691;5837;2014;5733;3143;Población;16181.48357;A
3691;5838;2020;5732;3143;Población;2188931.30561;A
3691;5838;2020;5733;3143;Población;87021.44421;A
3691;5838;2019;5732;3143;Población;2221784.61819;A
3691;5838;2019;5733;3143;Población;90622.13221000001;A
3691;5838;2018;5732;3143;Población;2248952.34043;A
3691;5838;2018;5733;3143;Población;95676.15978;A
3691;5838;2017;5732;3143;Población;2291249.11594;A
3691;5838;2017;5733;3143;Población;92646.13442;A
3691;5838;2016;5732;3143;Población;2337075.28254;A
3691;5838;2016;5733;3143;Población;93779.71804;A
3691;5838;2015;5732;3143;Población;2392928.28521;A
3691;5838;2015;5733;3143;Población;91710.21503;A
3691;5838;2014;5732;3143;Población;2435590.13649;A
3691;5838;2014;5733;3143;Población;91212.61666;A
3691;5840;2020;5732;3143;Población;2203463.82051;A
3691;5840;2020;5733;3143;Población;271873.67965;A
3691;5840;2019;5732;3143;Población;2154309.2031199997;A
3691;5840;2019;5733;3143;Población;272363.54687;A
3691;5840;2018;5732;3143;Población;2108610.83775;A
3691;5840;2018;5733;3143;Población;268194.16196;A
3691;5840;2017;5732;3143;Población;2073028.56462;A
3691;5840;2017;5733;3143;Población;261224.43574;A
3691;5840;2016;5732;3143;Población;2032247.41165;A
3691;5840;2016;5733;3143;Población;259112.33881;A
3691;5840;2015;5732;3143;Población;1997235.50799;A
3691;5840;2015;5733;3143;Población;243227.74178;A
3691;5840;2014;5732;3143;Población;1963432.1920699999;A
3691;5840;2014;5733;3143;Población;230123.30994;A
3691;5835;2020;5732;3143;Población;5186332.37613;A
3691;5835;2020;5733;3143;Población;380104.37389;A
3691;5835;2019;5732;3143;Población;5158340.82145;A
3691;5835;2019;5733;3143;Población;383540.92910999997;A
3691;5835;2018;5732;3143;Población;5133221.42824;A
3691;5835;2018;5733;3143;Población;384213.07175;A
3691;5835;2017;5732;3143;Población;5143195.08601;A
3691;5835;2017;5733;3143;Población;372652.16483;A
3691;5835;2016;5732;3143;Población;5155560.69442;A
3691;5835;2016;5733;3143;Población;371284.55678;A
3691;5835;2015;5732;3143;Población;5188590.6318500005;A
3691;5835;2015;5733;3143;Población;352296.61819;A
3691;5835;2014;5732;3143;Población;5209621.094819999;A
3691;5835;2014;5733;3143;Población;337517.41017;A
3689;5837;2020;5732;3143;Porcentaje;15.83024539286852;A
3689;5837;2020;5733;3143;Porcentaje;6.073976710741338;A
3689;5837;2019;5732;3143;Porcentaje;15.644381525085327;A
3689;5837;2019;5733;3143;Porcentaje;6.099904071063072;A
3689;5837;2018;5732;3143;Porcentaje;15.650984468382372;A
3689;5837;2018;5733;3143;Porcentaje;5.156976502892905;A
3689;5837;2017;5732;3143;Porcentaje;15.640430931231315;A
3689;5837;2017;5733;3143;Porcentaje;4.984552835339516;A
3689;5837;2016;5732;3143;Porcentaje;15.742771137561284;A
3689;5837;2016;5733;3143;Porcentaje;4.852958526684424;A
3689;5837;2015;5732;3143;Porcentaje;15.802721999370867;A
3689;5837;2015;5733;3143;Porcentaje;5.531399225591022;A
3689;5837;2014;5732;3143;Porcentaje;16.0049805187303;A
3689;5837;2014;5733;3143;Porcentaje;4.779299259583243;A
3689;5838;2020;5732;3143;Porcentaje;42.675435329368916;A
3689;5838;2020;5733;3143;Porcentaje;21.54429004777094;A
