D_EPD_COMPHOGACTIVIDAD_0;D_TEMPORAL_0;D_EPD_PRESENCDISCAPAC_0;D_TERRITORIO_0;D_EPD_AMBITOESTUDHOG_0;INDICATOR;OBS_VALUE;FREQ
5823;2014;5778;3143;5798;Hogares;176599.84008999998;A
5823;2014;5779;3143;5798;Hogares;87675.26142;A
5824;2020;5778;3143;5798;Hogares;2278724.2196299997;A
5824;2020;5779;3143;5798;Hogares;349016.18388;A
5824;2019;5778;3143;5798;Hogares;2247059.75324;A
5824;2019;5779;3143;5798;Hogares;352944.96555;A
5824;2018;5778;3143;5798;Hogares;2232892.58875;A
5824;2018;5779;3143;5798;Hogares;356576.29669;A
5824;2017;5778;3143;5798;Hogares;2253168.2317999997;A
5824;2017;5779;3143;5798;Hogares;342427.30026;A
5824;2016;5778;3143;5798;Hogares;2260578.90346;A
5824;2016;5779;3143;5798;Hogares;339543.57599000004;A
5824;2015;5778;3143;5798;Hogares;2254389.74489;A
5824;2015;5779;3143;5798;Hogares;325020.85242;A
5824;2014;5778;3143;5798;Hogares;2278793.39905;A
5824;2014;5779;3143;5798;Hogares;311570.23029;A
5820;2020;5778;3143;5798;Porcentaje;90.78740392577708;A
5820;2020;5779;3143;5798;Porcentaje;69.16912125570742;A
5820;2019;5778;3143;5798;Porcentaje;92.0222470630111;A
5820;2019;5779;3143;5798;Porcentaje;70.23182616409473;A
5820;2018;5778;3143;5798;Porcentaje;92.08187275013634;A
5820;2018;5779;3143;5798;Porcentaje;69.27336723527291;A
5820;2017;5778;3143;5798;Porcentaje;92.23286010826669;A
5820;2017;5779;3143;5798;Porcentaje;70.35481674711026;A
5820;2016;5778;3143;5798;Porcentaje;92.77676575676804;A
5820;2016;5779;3143;5798;Porcentaje;71.56848886670053;A
5820;2015;5778;3143;5798;Porcentaje;92.6832049580651;A
5820;2015;5779;3143;5798;Porcentaje;71.99866920772382;A
5820;2014;5778;3143;5798;Porcentaje;92.25029174809694;A
5820;2014;5779;3143;5798;Porcentaje;71.86019301703037;A
5816;2020;5778;3143;5798;Porcentaje;64.13983997665666;A
5816;2020;5779;3143;5798;Porcentaje;41.82770647397636;A
5816;2019;5778;3143;5798;Porcentaje;65.78959745767405;A
5816;2019;5779;3143;5798;Porcentaje;43.407405282367264;A
5816;2018;5778;3143;5798;Porcentaje;63.99205330516595;A
5816;2018;5779;3143;5798;Porcentaje;39.647378948721006;A
5816;2017;5778;3143;5798;Porcentaje;61.419230800820145;A
5816;2017;5779;3143;5798;Porcentaje;38.91422989020531;A
5816;2016;5778;3143;5798;Porcentaje;58.09945835996959;A
5816;2016;5779;3143;5798;Porcentaje;37.12931630716905;A
5816;2015;5778;3143;5798;Porcentaje;55.0225647149812;A
5816;2015;5779;3143;5798;Porcentaje;33.362283623537614;A
5816;2014;5778;3143;5798;Porcentaje;51.30682966728861;A
5816;2014;5779;3143;5798;Porcentaje;32.223417958304964;A
5819;2020;5778;3143;5798;Porcentaje;26.647563949120446;A
5819;2020;5779;3143;5798;Porcentaje;27.341414781731068;A
5819;2019;5778;3143;5798;Porcentaje;26.232649605337024;A
5819;2019;5779;3143;5798;Porcentaje;26.824420881727463;A
5819;2018;5778;3143;5798;Porcentaje;28.08981944497038;A
5819;2018;5779;3143;5798;Porcentaje;29.625988286551912;A
5819;2017;5778;3143;5798;Porcentaje;30.81362930744655;A
5819;2017;5779;3143;5798;Porcentaje;31.440586856904947;A
5819;2016;5778;3143;5798;Porcentaje;34.677307396798454;A
5819;2016;5779;3143;5798;Porcentaje;34.43917255953148;A
5819;2015;5778;3143;5798;Porcentaje;37.66064024308391;A
5819;2015;5779;3143;5798;Porcentaje;38.63638558418621;A
5819;2014;5778;3143;5798;Porcentaje;40.94346208080833;A
5819;2014;5779;3143;5798;Porcentaje;39.6367750587254;A
5823;2020;5778;3143;5798;Porcentaje;9.212596074222908;A
5823;2020;5779;3143;5798;Porcentaje;30.830878744292566;A
5823;2019;5778;3143;5798;Porcentaje;7.977752936988916;A
5823;2019;5779;3143;5798;Porcentaje;29.768173835905277;A
5823;2018;5778;3143;5798;Porcentaje;7.918127249863667;A
5823;2018;5779;3143;5798;Porcentaje;30.726632764727086;A
5823;2017;5778;3143;5798;Porcentaje;7.767139891733317;A
5823;2017;5779;3143;5798;Porcentaje;29.645183252889744;A
5823;2016;5778;3143;5798;Porcentaje;7.223234243231948;A
5823;2016;5779;3143;5798;Porcentaje;28.43151113329947;A
5823;2015;5778;3143;5798;Porcentaje;7.316795041934883;A
5823;2015;5779;3143;5798;Porcentaje;28.001330792276185;A
5823;2014;5778;3143;5798;Porcentaje;7.749708251903057;A
5823;2014;5779;3143;5798;Porcentaje;28.13980698296964;A
5824;2020;5778;3143;5798;Porcentaje;100.0;A
5824;2020;5779;3143;5798;Porcentaje;100.0;A
5824;2019;5778;3143;5798;Porcentaje;100.0;A
5824;2019;5779;3143;5798;Porcentaje;100.0;A
5824;2018;5778;3143;5798;Porcentaje;100.0;A
5824;2018;5779;3143;5798;Porcentaje;100.0;A
5824;2017;5778;3143;5798;Porcentaje;100.0;A
5824;2017;5779;3143;5798;Porcentaje;100.0;A
5824;2016;5778;3143;5798;Porcentaje;100.0;A
5824;2016;5779;3143;5798;Porcentaje;100.0;A
5824;2015;5778;3143;5798;Porcentaje;100.0;A
5824;2015;5779;3143;5798;Porcentaje;100.0;A
5824;2014;5778;3143;5798;Porcentaje;100.0;A
5824;2014;5779;3143;5798;Porcentaje;100.0;A
