D_SEXO_0;D_EPD_SITUACIONDEPEND_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;38404;2018;5732;3143;Población;5133221.42824;A
3691;38404;2018;5733;3143;Población;384213.07175;A
3691;38404;2017;5732;3143;Población;5143195.08601;A
3691;38404;2017;5733;3143;Población;372652.16483;A
3691;38404;2016;5732;3143;Población;5155560.69442;A
3691;38404;2016;5733;3143;Población;371284.55678;A
3691;38404;2015;5732;3143;Población;5188590.6318500005;A
3691;38404;2015;5733;3143;Población;352296.61819;A
3691;38404;2014;5732;3143;Población;5209621.094819999;A
3691;38404;2014;5733;3143;Población;337517.41017;A
3689;38403;2020;5732;3143;Porcentaje;0.03660759421645017;A
3689;38403;2020;5733;3143;Porcentaje;20.377709637703997;A
3689;38403;2019;5732;3143;Porcentaje;0.11868655542449137;A
3689;38403;2019;5733;3143;Porcentaje;19.2326791109899;A
3689;38403;2018;5732;3143;Porcentaje;0.04610703116037918;A
3689;38403;2018;5733;3143;Porcentaje;18.040577009885116;A
3689;38403;2017;5732;3143;Porcentaje;0.058390676648933826;A
3689;38403;2017;5733;3143;Porcentaje;16.29969338874299;A
3689;38403;2016;5732;3143;Porcentaje;0.028360730515499623;A
3689;38403;2016;5733;3143;Porcentaje;16.253957418463052;A
3689;38403;2015;5732;3143;Porcentaje;0.06431291092177681;A
3689;38403;2015;5733;3143;Porcentaje;14.339699249628818;A
3689;38403;2014;5732;3143;Porcentaje;0.039085513772366;A
3689;38403;2014;5733;3143;Porcentaje;17.61187863068204;A
3689;38402;2020;5732;3143;Porcentaje;99.96339240578355;A
3689;38402;2020;5733;3143;Porcentaje;79.622290362296;A
3689;38402;2019;5732;3143;Porcentaje;99.8813134445755;A
3689;38402;2019;5733;3143;Porcentaje;80.76732088901008;A
3689;38402;2018;5732;3143;Porcentaje;99.95389296883963;A
3689;38402;2018;5733;3143;Porcentaje;81.95942299011489;A
3689;38402;2017;5732;3143;Porcentaje;99.94160932335107;A
3689;38402;2017;5733;3143;Porcentaje;83.70030661125702;A
3689;38402;2016;5732;3143;Porcentaje;99.9716392694845;A
3689;38402;2016;5733;3143;Porcentaje;83.74604258153695;A
3689;38402;2015;5732;3143;Porcentaje;99.9356870890782;A
3689;38402;2015;5733;3143;Porcentaje;85.66030075037119;A
3689;38402;2014;5732;3143;Porcentaje;99.96091448622762;A
3689;38402;2014;5733;3143;Porcentaje;82.38812136931797;A
3689;38404;2020;5732;3143;Porcentaje;100.0;A
3689;38404;2020;5733;3143;Porcentaje;100.0;A
3689;38404;2019;5732;3143;Porcentaje;100.0;A
3689;38404;2019;5733;3143;Porcentaje;100.0;A
3689;38404;2018;5732;3143;Porcentaje;100.0;A
3689;38404;2018;5733;3143;Porcentaje;100.0;A
3689;38404;2017;5732;3143;Porcentaje;100.0;A
3689;38404;2017;5733;3143;Porcentaje;100.0;A
3689;38404;2016;5732;3143;Porcentaje;100.0;A
3689;38404;2016;5733;3143;Porcentaje;100.0;A
3689;38404;2015;5732;3143;Porcentaje;100.0;A
3689;38404;2015;5733;3143;Porcentaje;100.0;A
3689;38404;2014;5732;3143;Porcentaje;100.0;A
3689;38404;2014;5733;3143;Porcentaje;100.0;A
3690;38403;2020;5732;3143;Porcentaje;0.06689666917596135;A
3690;38403;2020;5733;3143;Porcentaje;19.209276948944808;A
3690;38403;2019;5732;3143;Porcentaje;0.07674887201450237;A
3690;38403;2019;5733;3143;Porcentaje;18.00771136760626;A
3690;38403;2018;5732;3143;Porcentaje;0.016662838530146582;A
3690;38403;2018;5733;3143;Porcentaje;18.14427327507407;A
3690;38403;2017;5732;3143;Porcentaje;0.048307611838527324;A
3690;38403;2017;5733;3143;Porcentaje;17.15204493902674;A
3690;38403;2016;5732;3143;Porcentaje;0.0811842259944494;A
3690;38403;2016;5733;3143;Porcentaje;18.45091612285696;A
3690;38403;2015;5732;3143;Porcentaje;0.06714165756039712;A
3690;38403;2015;5733;3143;Porcentaje;16.622442820581437;A
3690;38403;2014;5732;3143;Porcentaje;0.08577708651110721;A
3690;38403;2014;5733;3143;Porcentaje;17.108094959033664;A
3690;38402;2020;5732;3143;Porcentaje;99.93310333082404;A
3690;38402;2020;5733;3143;Porcentaje;80.7907230510552;A
3690;38402;2019;5732;3143;Porcentaje;99.92325112798551;A
3690;38402;2019;5733;3143;Porcentaje;81.99228863239374;A
3690;38402;2018;5732;3143;Porcentaje;99.98333716146986;A
3690;38402;2018;5733;3143;Porcentaje;81.85572672492593;A
3690;38402;2017;5732;3143;Porcentaje;99.95169238816146;A
3690;38402;2017;5733;3143;Porcentaje;82.84795506097326;A
3690;38402;2016;5732;3143;Porcentaje;99.91881577400554;A
3690;38402;2016;5733;3143;Porcentaje;81.54908387714303;A
3690;38402;2015;5732;3143;Porcentaje;99.93285834243962;A
3690;38402;2015;5733;3143;Porcentaje;83.37755717941855;A
3690;38402;2014;5732;3143;Porcentaje;99.9142229134889;A
3690;38402;2014;5733;3143;Porcentaje;82.89190504096634;A
3690;38404;2020;5732;3143;Porcentaje;100.0;A
3690;38404;2020;5733;3143;Porcentaje;100.0;A
3690;38404;2019;5732;3143;Porcentaje;100.0;A
3690;38404;2019;5733;3143;Porcentaje;100.0;A
3690;38404;2018;5732;3143;Porcentaje;100.0;A
3690;38404;2018;5733;3143;Porcentaje;100.0;A
3690;38404;2017;5732;3143;Porcentaje;100.0;A
3690;38404;2017;5733;3143;Porcentaje;100.0;A
3690;38404;2016;5732;3143;Porcentaje;100.0;A
3690;38404;2016;5733;3143;Porcentaje;100.0;A
3690;38404;2015;5732;3143;Porcentaje;100.0;A
3690;38404;2015;5733;3143;Porcentaje;100.0;A
3690;38404;2014;5732;3143;Porcentaje;100.0;A
3690;38404;2014;5733;3143;Porcentaje;100.0;A
3691;38403;2020;5732;3143;Porcentaje;0.051905244492038;A
3691;38403;2020;5733;3143;Porcentaje;19.891115307681314;A
3691;38403;2019;5732;3143;Porcentaje;0.09752430527818241;A
3691;38403;2019;5733;3143;Porcentaje;18.72002309547724;A
3691;38403;2018;5732;3143;Porcentaje;0.03125047969243767;A
3691;38403;2018;5733;3143;Porcentaje;18.083671027520165;A
3691;38403;2017;5732;3143;Porcentaje;0.05331317992308933;A
3691;38403;2017;5733;3143;Porcentaje;16.6567867835456;A
3691;38403;2016;5732;3143;Porcentaje;0.05497492393150566;A
3691;38403;2016;5733;3143;Porcentaje;17.157032003285146;A
