D_SEXO_0;D_EPD_NIVELESTUDIOSTER_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3690;38324;2017;5732;3143;Población;20564.70808;A
3690;38324;2017;5733;3143;Población;10906.5071;A
3690;38324;2016;5732;3143;Población;24937.38363;A
3690;38324;2016;5733;3143;Población;11124.04078;A
3690;38324;2015;5732;3143;Población;26175.56225;A
3690;38324;2015;5733;3143;Población;12931.22967;A
3690;38324;2014;5732;3143;Población;26654.520510000002;A
3690;38324;2014;5733;3143;Población;11036.92546;A
3690;38325;2020;5732;3143;Población;1479799.53683;A
3690;38325;2020;5733;3143;Población;77229.10495000001;A
3690;38325;2019;5732;3143;Población;271689.00778;A
3690;38325;2019;5733;3143;Población;42718.51642;A
3690;38325;2018;5732;3143;Población;294665.61108;A
3690;38325;2018;5733;3143;Población;44240.19145;A
3690;38325;2017;5732;3143;Población;301131.59262;A
3690;38325;2017;5733;3143;Población;39822.01704;A
3690;38325;2016;5732;3143;Población;322923.86269000004;A
3690;38325;2016;5733;3143;Población;38185.30466;A
3690;38325;2015;5732;3143;Población;358585.59148;A
3690;38325;2015;5733;3143;Población;42030.4411;A
3690;38325;2014;5732;3143;Población;374418.02751;A
3690;38325;2014;5733;3143;Población;42861.00372;A
3690;38332;2020;5732;3143;Población;866056.65285;A
3690;38332;2020;5733;3143;Población;28809.39417;A
3690;38332;2019;5732;3143;Población;2311640.2501;A
3690;38332;2019;5733;3143;Población;108453.51759999999;A
3690;38332;2018;5732;3143;Población;2278697.91874;A
3690;38332;2018;5733;3143;Población;106279.62828;A
3690;38332;2017;5732;3143;Población;2268246.0135299996;A
3690;38332;2017;5733;3143;Población;105394.41196;A
3690;38332;2016;5732;3143;Población;2249677.75115;A
3690;38332;2016;5733;3143;Población;103309.6575;A
3690;38332;2015;5732;3143;Población;2228999.57808;A
3690;38332;2015;5733;3143;Población;87613.34757;A
3690;38332;2014;5732;3143;Población;2221227.38252;A
3690;38332;2014;5733;3143;Población;82010.39319999999;A
3690;38328;2020;5732;3143;Población;866056.65285;A
3690;38328;2020;5733;3143;Población;28809.39417;A
3690;38328;2019;5732;3143;Población;1491487.05073;A
3690;38328;2019;5733;3143;Población;83399.78936;A
3690;38328;2018;5732;3143;Población;1485818.88826;A
3690;38328;2018;5733;3143;Población;81057.3517;A
3690;38328;2017;5732;3143;Población;1488231.02816;A
3690;38328;2017;5733;3143;Población;79358.29144;A
3690;38328;2016;5732;3143;Población;1478438.45012;A
3690;38328;2016;5733;3143;Población;82303.55350000001;A
3690;38328;2015;5732;3143;Población;1478871.58063;A
3690;38328;2015;5733;3143;Población;71925.59746;A
3690;38328;2014;5732;3143;Población;1487316.97676;A
3690;38328;2014;5733;3143;Población;69151.91881;A
3690;38330;2019;5732;3143;Población;820153.19937;A
3690;38330;2019;5733;3143;Población;25053.72824;A
3690;38330;2018;5732;3143;Población;792879.03048;A
3690;38330;2018;5733;3143;Población;25222.276579999998;A
3690;38330;2017;5732;3143;Población;780014.98537;A
3690;38330;2017;5733;3143;Población;26036.12052;A
3690;38330;2016;5732;3143;Población;771239.30103;A
3690;38330;2016;5733;3143;Población;21006.104;A
3690;38330;2015;5732;3143;Población;750127.9974499999;A
3690;38330;2015;5733;3143;Población;15687.750109999999;A
3690;38330;2014;5732;3143;Población;733910.40576;A
3690;38330;2014;5733;3143;Población;12858.47439;A
3690;38333;2020;5732;3143;Población;2619383.35882;A
3690;38333;2020;5733;3143;Población;158294.64113;A
3690;38333;2019;5732;3143;Población;2602959.67558;A
