D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;3690;4306;48939;46593;3143;Población;261.5957575;M
2005;3690;4306;48940;46593;3143;Población;1365.273755;M
2005;3690;4306;48946;46593;3143;Población;1875.134405;M
2005;3691;4191;48952;46593;3143;Población;970.3350575;M
2005;3691;4191;48934;46593;3143;Población;47.6738975;M
2005;3691;4191;48936;46593;3143;Población;380.792355;M
2005;3691;4191;48937;46593;3143;Población;37.764145;M
2005;3691;4191;48939;46593;3143;Población;124.22856;M
2005;3691;4191;48940;46593;3143;Población;505.020915;M
2005;3691;4191;48946;46593;3143;Población;465.3141425;M
2005;3691;272250;48952;46593;3143;Población;1330.354205;M
2005;3691;272250;48934;46593;3143;Población;95.877165;M
2005;3691;272250;48936;46593;3143;Población;924.9200275;M
2005;3691;272250;48937;46593;3143;Población;17.291655;M
2005;3691;272250;48939;46593;3143;Población;147.297665;M
2005;3691;272250;48940;46593;3143;Población;1072.2176925;M
2005;3691;272250;48946;46593;3143;Población;258.1365125;M
2005;3691;4210;48952;46593;3143;Población;1253.8192975;M
2005;3691;4210;48934;46593;3143;Población;72.32705;M
2005;3691;4210;48936;46593;3143;Población;848.328265;M
2005;3691;4210;48937;46593;3143;Población;5.30675;M
2005;3691;4210;48939;46593;3143;Población;112.16385;M
2005;3691;4210;48940;46593;3143;Población;960.492115;M
2005;3691;4210;48946;46593;3143;Población;293.3271825;M
2005;3691;272251;48952;46593;3143;Población;955.699575;M
2005;3691;272251;48934;46593;3143;Población;37.22365;M
2005;3691;272251;48936;46593;3143;Población;566.8888975;M
2005;3691;272251;48937;46593;3143;Población;2.2105125;M
2005;3691;272251;48939;46593;3143;Población;66.1666025;M
2005;3691;272251;48940;46593;3143;Población;633.0555;M
2005;3691;272251;48946;46593;3143;Población;322.644075;M
2005;3691;4235;48952;46593;3143;Población;749.5786875;M
2005;3691;4235;48934;46593;3143;Población;11.5392125;M
2005;3691;4235;48936;46593;3143;Población;260.5486;M
2005;3691;4235;48937;46593;3143;Población;0.60995;M
2005;3691;4235;48939;46593;3143;Población;30.639565;M
2005;3691;4235;48940;46593;3143;Población;291.188165;M
2005;3691;4235;48946;46593;3143;Población;458.3905225;M
2005;3691;4305;48952;46593;3143;Población;1106.60386;M
2005;3691;4305;48934;46593;3143;Población;0.6050775;M
2005;3691;4305;48936;46593;3143;Población;17.63805;M
2005;3691;4305;48937;46593;3143;Población;;M
2005;3691;4305;48939;46593;3143;Población;0.626635;M
2005;3691;4305;48940;46593;3143;Población;18.264685;M
2005;3691;4305;48946;46593;3143;Población;1088.339175;M
2005;3691;4306;48952;46593;3143;Población;6366.3906825;M
2005;3691;4306;48934;46593;3143;Población;265.2460525;M
2005;3691;4306;48936;46593;3143;Población;2999.116195;M
2005;3691;4306;48937;46593;3143;Población;63.1830125;M
2005;3691;4306;48939;46593;3143;Población;481.1228775;M
2005;3691;4306;48940;46593;3143;Población;3480.2390725;M
2005;3691;4306;48946;46593;3143;Población;2886.15161;M
2006;3689;4191;48952;46593;3143;Población;488.9720825;M
2006;3689;4191;48934;46593;3143;Población;21.27444;M
