D_TEMPORAL_0;D_CNO11_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2011;6728;3691;3143;Parados;95.2817125;M
2011;6744;3689;3143;Parados;238.23806;M
2011;6744;3690;3143;Parados;242.1177775;M
2011;6744;3691;3143;Parados;480.3558375;M
2011;6727;3689;3143;Parados;644.58858;M
2011;6727;3690;3143;Parados;561.920105;M
2011;6727;3691;3143;Parados;1206.508685;M
2012;6038;3689;3143;Parados;2.72577;M
2012;6038;3690;3143;Parados;0.8511325;M
2012;6038;3691;3143;Parados;3.5769025;M
2012;6203;3689;3143;Parados;12.251005;M
2012;6203;3690;3143;Parados;16.4072425;M
2012;6203;3691;3143;Parados;28.6582475;M
2012;6333;3689;3143;Parados;20.67076;M
2012;6333;3690;3143;Parados;13.13988;M
2012;6333;3691;3143;Parados;33.81064;M
2012;6375;3689;3143;Parados;10.2499025;M
2012;6375;3690;3143;Parados;22.2861025;M
2012;6375;3691;3143;Parados;32.536005;M
2012;6463;3689;3143;Parados;55.891805;M
2012;6463;3690;3143;Parados;92.48827;M
2012;6463;3691;3143;Parados;148.380075;M
2012;6489;3689;3143;Parados;9.1893025;M
2012;6489;3690;3143;Parados;1.58801;M
2012;6489;3691;3143;Parados;10.7773125;M
2012;6601;3689;3143;Parados;104.986595;M
2012;6601;3690;3143;Parados;9.7461975;M
2012;6601;3691;3143;Parados;114.7327925;M
2012;6667;3689;3143;Parados;30.598565;M
2012;6667;3690;3143;Parados;2.9960425;M
2012;6667;3691;3143;Parados;33.5946075;M
2012;6726;3689;3143;Parados;146.2094325;M
2012;6726;3690;3143;Parados;138.257965;M
2012;6726;3691;3143;Parados;284.4673975;M
2012;5989;3689;3143;Parados;0.18129;M
2012;5989;3690;3143;Parados;;M
2012;5989;3691;3143;Parados;0.18129;M
2012;6728;3689;3143;Parados;51.1674725;M
2012;6728;3690;3143;Parados;69.1066275;M
2012;6728;3691;3143;Parados;120.2741;M
2012;6744;3689;3143;Parados;299.94062;M
2012;6744;3690;3143;Parados;278.7354025;M
2012;6744;3691;3143;Parados;578.6760225;M
2012;6727;3689;3143;Parados;744.06252;M
2012;6727;3690;3143;Parados;645.6028725;M
2012;6727;3691;3143;Parados;1389.6653925;M
2013;6038;3689;3143;Parados;2.109355;M
2013;6038;3690;3143;Parados;0.933925;M
2013;6038;3691;3143;Parados;3.04328;M
2013;6203;3689;3143;Parados;10.933765;M
2013;6203;3690;3143;Parados;19.3922525;M
2013;6203;3691;3143;Parados;30.3260175;M
2013;6333;3689;3143;Parados;20.4957675;M
2013;6333;3690;3143;Parados;11.8101875;M
2013;6333;3691;3143;Parados;32.305955;M
2013;6375;3689;3143;Parados;8.9815875;M
2013;6375;3690;3143;Parados;20.188975;M
2013;6375;3691;3143;Parados;29.1705625;M
2013;6463;3689;3143;Parados;60.7151675;M
2013;6463;3690;3143;Parados;85.0292175;M
2013;6463;3691;3143;Parados;145.744385;M
2013;6489;3689;3143;Parados;7.1582225;M
2013;6489;3690;3143;Parados;2.2066975;M
2013;6489;3691;3143;Parados;9.36492;M
2013;6601;3689;3143;Parados;91.5831375;M
2013;6601;3690;3143;Parados;7.0765825;M
2013;6601;3691;3143;Parados;98.65972;M
2013;6667;3689;3143;Parados;31.2240275;M
2013;6667;3690;3143;Parados;3.41429;M
2013;6667;3691;3143;Parados;34.6383175;M
2013;6726;3689;3143;Parados;141.6958775;M
2013;6726;3690;3143;Parados;144.69557;M
2013;6726;3691;3143;Parados;286.3914475;M
2013;5989;3689;3143;Parados;0.1490875;M
2013;5989;3690;3143;Parados;;M
2013;5989;3691;3143;Parados;0.1490875;M
2013;6728;3689;3143;Parados;50.9045375;M
2013;6728;3690;3143;Parados;74.2922;M
2013;6728;3691;3143;Parados;125.1967375;M
2013;6744;3689;3143;Parados;341.9924225;M
