D_TEMPORAL_0;D_SEXO_0;D_CNO11_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;3689;6463;4191;3143;Ocupados;59.90813;M
2010;3689;6463;4210;3143;Ocupados;137.518765;M
2010;3689;6463;4235;3143;Ocupados;123.4504375;M
2010;3689;6463;4305;3143;Ocupados;1.8969225;M
2010;3689;6463;4306;3143;Ocupados;322.774255;M
2010;3689;6489;4191;3143;Ocupados;6.6009275;M
2010;3689;6489;4210;3143;Ocupados;24.97641;M
2010;3689;6489;4235;3143;Ocupados;30.0022975;M
2010;3689;6489;4305;3143;Ocupados;1.8596775;M
2010;3689;6489;4306;3143;Ocupados;63.4393125;M
2010;3689;6601;4191;3143;Ocupados;67.3257125;M
2010;3689;6601;4210;3143;Ocupados;145.278165;M
2010;3689;6601;4235;3143;Ocupados;97.8885175;M
2010;3689;6601;4305;3143;Ocupados;0.3751225;M
2010;3689;6601;4306;3143;Ocupados;310.8675175;M
2010;3689;6667;4191;3143;Ocupados;23.80307;M
2010;3689;6667;4210;3143;Ocupados;79.2190225;M
2010;3689;6667;4235;3143;Ocupados;57.21683;M
2010;3689;6667;4305;3143;Ocupados;1.1837525;M
2010;3689;6667;4306;3143;Ocupados;161.422675;M
2010;3689;6726;4191;3143;Ocupados;61.3273925;M
2010;3689;6726;4210;3143;Ocupados;99.127215;M
2010;3689;6726;4235;3143;Ocupados;51.50504;M
2010;3689;6726;4305;3143;Ocupados;0.1707725;M
2010;3689;6726;4306;3143;Ocupados;212.13042;M
2010;3689;5989;4191;3143;Ocupados;11.063575;M
2010;3689;5989;4210;3143;Ocupados;8.4153625;M
2010;3689;5989;4235;3143;Ocupados;3.431255;M
2010;3689;5989;4305;3143;Ocupados;;M
2010;3689;5989;4306;3143;Ocupados;22.9101925;M
2010;3689;6727;4191;3143;Ocupados;286.4304725;M
2010;3689;6727;4210;3143;Ocupados;762.7717825;M
2010;3689;6727;4235;3143;Ocupados;588.3807125;M
2010;3689;6727;4305;3143;Ocupados;10.177605;M
2010;3689;6727;4306;3143;Ocupados;1647.7605725;M
2010;3690;6038;4191;3143;Ocupados;2.74255;M
2010;3690;6038;4210;3143;Ocupados;17.3564375;M
2010;3690;6038;4235;3143;Ocupados;12.5564425;M
2010;3690;6038;4305;3143;Ocupados;0.6403825;M
2010;3690;6038;4306;3143;Ocupados;33.2958125;M
2010;3690;6203;4191;3143;Ocupados;38.6680575;M
2010;3690;6203;4210;3143;Ocupados;108.0036625;M
2010;3690;6203;4235;3143;Ocupados;67.5903525;M
2010;3690;6203;4305;3143;Ocupados;1.697075;M
2010;3690;6203;4306;3143;Ocupados;215.9591475;M
2010;3690;6333;4191;3143;Ocupados;30.5071975;M
2010;3690;6333;4210;3143;Ocupados;70.43933;M
2010;3690;6333;4235;3143;Ocupados;33.161665;M
2010;3690;6333;4305;3143;Ocupados;1.7020975;M
2010;3690;6333;4306;3143;Ocupados;135.81029;M
2010;3690;6375;4191;3143;Ocupados;30.5552375;M
2010;3690;6375;4210;3143;Ocupados;65.4264625;M
2010;3690;6375;4235;3143;Ocupados;26.7508325;M
2010;3690;6375;4305;3143;Ocupados;0.2328025;M
2010;3690;6375;4306;3143;Ocupados;122.965335;M
2010;3690;6463;4191;3143;Ocupados;113.456075;M
2010;3690;6463;4210;3143;Ocupados;179.37436;M
2010;3690;6463;4235;3143;Ocupados;120.0878375;M
2010;3690;6463;4305;3143;Ocupados;4.9312675;M
2010;3690;6463;4306;3143;Ocupados;417.84954;M
2010;3690;6489;4191;3143;Ocupados;0.60733;M
2010;3690;6489;4210;3143;Ocupados;2.576375;M
2010;3690;6489;4235;3143;Ocupados;5.392055;M
2010;3690;6489;4305;3143;Ocupados;0.3436175;M
2010;3690;6489;4306;3143;Ocupados;8.9193775;M
2010;3690;6601;4191;3143;Ocupados;6.5382325;M
2010;3690;6601;4210;3143;Ocupados;9.0443675;M
2010;3690;6601;4235;3143;Ocupados;6.28083;M
2010;3690;6601;4305;3143;Ocupados;;M
2010;3690;6601;4306;3143;Ocupados;21.86343;M
2010;3690;6667;4191;3143;Ocupados;2.5334625;M
2010;3690;6667;4210;3143;Ocupados;7.4229075;M
