D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_CLASEINACTIV_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;3689;4191;47511;3143;Inactivos;176.325635;M
2005;3689;4191;47512;3143;Inactivos;;M
2005;3689;4191;47517;3143;Inactivos;6.0984325;M
2005;3689;4191;47513;3143;Inactivos;3.6277725;M
2005;3689;4191;47514;3143;Inactivos;1.391065;M
2005;3689;4191;47520;3143;Inactivos;10.832495;M
2005;3689;4191;47522;3143;Inactivos;5.4587225;M
2005;3689;4191;47523;3143;Inactivos;203.7341225;M
2005;3689;4210;47511;3143;Inactivos;30.517855;M
2005;3689;4210;47512;3143;Inactivos;3.7492475;M
2005;3689;4210;47517;3143;Inactivos;19.0711175;M
2005;3689;4210;47513;3143;Inactivos;22.7751475;M
2005;3689;4210;47514;3143;Inactivos;9.213165;M
2005;3689;4210;47520;3143;Inactivos;20.4148225;M
2005;3689;4210;47522;3143;Inactivos;12.0619325;M
2005;3689;4210;47523;3143;Inactivos;117.8032875;M
2005;3689;4235;47511;3143;Inactivos;0.9827;M
2005;3689;4235;47512;3143;Inactivos;110.8450175;M
2005;3689;4235;47517;3143;Inactivos;19.9306875;M
2005;3689;4235;47513;3143;Inactivos;50.848;M
2005;3689;4235;47514;3143;Inactivos;21.0006075;M
2005;3689;4235;47520;3143;Inactivos;19.2587725;M
2005;3689;4235;47522;3143;Inactivos;7.66896;M
2005;3689;4235;47523;3143;Inactivos;230.534745;M
2005;3689;4305;47511;3143;Inactivos;0.4889525;M
2005;3689;4305;47512;3143;Inactivos;435.95471;M
2005;3689;4305;47517;3143;Inactivos;1.8463425;M
2005;3689;4305;47513;3143;Inactivos;8.429255;M
2005;3689;4305;47514;3143;Inactivos;9.136965;M
2005;3689;4305;47520;3143;Inactivos;2.77149;M
2005;3689;4305;47522;3143;Inactivos;0.317335;M
2005;3689;4305;47523;3143;Inactivos;458.94505;M
2005;3689;4306;47511;3143;Inactivos;208.3151425;M
2005;3689;4306;47512;3143;Inactivos;550.548975;M
2005;3689;4306;47517;3143;Inactivos;46.94658;M
2005;3689;4306;47513;3143;Inactivos;85.680175;M
2005;3689;4306;47514;3143;Inactivos;40.7418025;M
2005;3689;4306;47520;3143;Inactivos;53.27758;M
2005;3689;4306;47522;3143;Inactivos;25.50695;M
2005;3689;4306;47523;3143;Inactivos;1011.017205;M
2005;3690;4191;47511;3143;Inactivos;212.97276;M
2005;3690;4191;47512;3143;Inactivos;0.06256;M
2005;3690;4191;47517;3143;Inactivos;36.301075;M
2005;3690;4191;47513;3143;Inactivos;2.1564525;M
2005;3690;4191;47514;3143;Inactivos;1.3432775;M
2005;3690;4191;47520;3143;Inactivos;6.3428525;M
2005;3690;4191;47522;3143;Inactivos;2.4010425;M
2005;3690;4191;47523;3143;Inactivos;261.58002;M
2005;3690;4210;47511;3143;Inactivos;35.5803775;M
2005;3690;4210;47512;3143;Inactivos;1.6958575;M
2005;3690;4210;47517;3143;Inactivos;350.4066575;M
2005;3690;4210;47513;3143;Inactivos;16.2922625;M
2005;3690;4210;47514;3143;Inactivos;15.8746525;M
2005;3690;4210;47520;3143;Inactivos;8.5123925;M
2005;3690;4210;47522;3143;Inactivos;5.2982075;M
2005;3690;4210;47523;3143;Inactivos;433.6604075;M
2005;3690;4235;47511;3143;Inactivos;10.584215;M
2005;3690;4235;47512;3143;Inactivos;30.8857675;M
2005;3690;4235;47517;3143;Inactivos;394.217255;M
2005;3690;4235;47513;3143;Inactivos;44.1832925;M
2005;3690;4235;47514;3143;Inactivos;63.9808575;M
2005;3690;4235;47520;3143;Inactivos;3.7244075;M
2005;3690;4235;47522;3143;Inactivos;2.9240575;M
2005;3690;4235;47523;3143;Inactivos;550.4998525;M
2005;3690;4305;47511;3143;Inactivos;4.9607325;M
2005;3690;4305;47512;3143;Inactivos;175.6645725;M
2005;3690;4305;47517;3143;Inactivos;160.8385425;M
2005;3690;4305;47513;3143;Inactivos;61.0484;M
2005;3690;4305;47514;3143;Inactivos;220.4793525;M
2005;3690;4305;47520;3143;Inactivos;5.9319575;M
2005;3690;4305;47522;3143;Inactivos;0.4705675;M
2005;3690;4305;47523;3143;Inactivos;629.394125;M
2005;3690;4306;47511;3143;Inactivos;264.098085;M
2005;3690;4306;47512;3143;Inactivos;208.3087575;M
2005;3690;4306;47517;3143;Inactivos;941.76353;M
2005;3690;4306;47513;3143;Inactivos;123.6804075;M
2005;3690;4306;47514;3143;Inactivos;301.67814;M
2005;3690;4306;47520;3143;Inactivos;24.51161;M
2005;3690;4306;47522;3143;Inactivos;11.093875;M
2005;3690;4306;47523;3143;Inactivos;1875.134405;M
2005;3691;4191;47511;3143;Inactivos;389.298395;M
2005;3691;4191;47512;3143;Inactivos;0.06256;M
2005;3691;4191;47517;3143;Inactivos;42.3995075;M
2005;3691;4191;47513;3143;Inactivos;5.784225;M
2005;3691;4191;47514;3143;Inactivos;2.7343425;M
2005;3691;4191;47520;3143;Inactivos;17.1753475;M
2005;3691;4191;47522;3143;Inactivos;7.859765;M
2005;3691;4191;47523;3143;Inactivos;465.3141425;M
2005;3691;4210;47511;3143;Inactivos;66.0982325;M
2005;3691;4210;47512;3143;Inactivos;5.445105;M
2005;3691;4210;47517;3143;Inactivos;369.477775;M
2005;3691;4210;47513;3143;Inactivos;39.06741;M
2005;3691;4210;47514;3143;Inactivos;25.0878175;M
2005;3691;4210;47520;3143;Inactivos;28.927215;M
2005;3691;4210;47522;3143;Inactivos;17.36014;M
2005;3691;4210;47523;3143;Inactivos;551.463695;M
2005;3691;4235;47511;3143;Inactivos;11.566915;M
2005;3691;4235;47512;3143;Inactivos;141.730785;M
2005;3691;4235;47517;3143;Inactivos;414.1479425;M
2005;3691;4235;47513;3143;Inactivos;95.0312925;M
2005;3691;4235;47514;3143;Inactivos;84.981465;M
2005;3691;4235;47520;3143;Inactivos;22.98318;M
2005;3691;4235;47522;3143;Inactivos;10.5930175;M
2005;3691;4235;47523;3143;Inactivos;781.0345975;M
2005;3691;4305;47511;3143;Inactivos;5.449685;M
2005;3691;4305;47512;3143;Inactivos;611.6192825;M
2005;3691;4305;47517;3143;Inactivos;162.684885;M
2005;3691;4305;47513;3143;Inactivos;69.477655;M
2005;3691;4305;47514;3143;Inactivos;229.6163175;M
2005;3691;4305;47520;3143;Inactivos;8.7034475;M
2005;3691;4305;47522;3143;Inactivos;0.7879025;M
2005;3691;4305;47523;3143;Inactivos;1088.339175;M
2005;3691;4306;47511;3143;Inactivos;472.4132275;M
2005;3691;4306;47512;3143;Inactivos;758.8577325;M
2005;3691;4306;47517;3143;Inactivos;988.71011;M
2005;3691;4306;47513;3143;Inactivos;209.3605825;M
2005;3691;4306;47514;3143;Inactivos;342.4199425;M
2005;3691;4306;47520;3143;Inactivos;77.78919;M
2005;3691;4306;47522;3143;Inactivos;36.600825;M
2005;3691;4306;47523;3143;Inactivos;2886.15161;M
2006;3689;4191;47511;3143;Inactivos;176.495355;M
2006;3689;4191;47512;3143;Inactivos;0.1373075;M
2006;3689;4191;47517;3143;Inactivos;4.27331;M
2006;3689;4191;47513;3143;Inactivos;4.05234;M
2006;3689;4191;47514;3143;Inactivos;1.7655975;M
2006;3689;4191;47520;3143;Inactivos;13.4906075;M
2006;3689;4191;47522;3143;Inactivos;4.06299;M
2006;3689;4191;47523;3143;Inactivos;204.2775075;M
2006;3689;4210;47511;3143;Inactivos;29.4510375;M
2006;3689;4210;47512;3143;Inactivos;2.43743;M
2006;3689;4210;47517;3143;Inactivos;19.5993825;M
2006;3689;4210;47513;3143;Inactivos;27.45198;M
2006;3689;4210;47514;3143;Inactivos;10.1337075;M
2006;3689;4210;47520;3143;Inactivos;20.015705;M
2006;3689;4210;47522;3143;Inactivos;7.46093;M
2006;3689;4210;47523;3143;Inactivos;116.5501725;M
2006;3689;4235;47511;3143;Inactivos;1.2906925;M
2006;3689;4235;47512;3143;Inactivos;91.5842975;M
2006;3689;4235;47517;3143;Inactivos;26.6219425;M
2006;3689;4235;47513;3143;Inactivos;60.086715;M
2006;3689;4235;47514;3143;Inactivos;24.3380275;M
2006;3689;4235;47520;3143;Inactivos;19.8401675;M
2006;3689;4235;47522;3143;Inactivos;6.4591225;M
2006;3689;4235;47523;3143;Inactivos;230.220965;M
2006;3689;4305;47511;3143;Inactivos;0.57165;M
2006;3689;4305;47512;3143;Inactivos;450.1749225;M
2006;3689;4305;47517;3143;Inactivos;2.239895;M
2006;3689;4305;47513;3143;Inactivos;7.743395;M
2006;3689;4305;47514;3143;Inactivos;8.31352;M
2006;3689;4305;47520;3143;Inactivos;1.4630125;M
2006;3689;4305;47522;3143;Inactivos;0.1111425;M
2006;3689;4305;47523;3143;Inactivos;470.6175375;M
2006;3689;4306;47511;3143;Inactivos;207.808735;M
2006;3689;4306;47512;3143;Inactivos;544.3339575;M
2006;3689;4306;47517;3143;Inactivos;52.73453;M
2006;3689;4306;47513;3143;Inactivos;99.33443;M
2006;3689;4306;47514;3143;Inactivos;44.5508525;M
2006;3689;4306;47520;3143;Inactivos;54.8094925;M
2006;3689;4306;47522;3143;Inactivos;18.094185;M
2006;3689;4306;47523;3143;Inactivos;1021.6661825;M
2006;3690;4191;47511;3143;Inactivos;208.23729;M
2006;3690;4191;47512;3143;Inactivos;;M
2006;3690;4191;47517;3143;Inactivos;30.764305;M
2006;3690;4191;47513;3143;Inactivos;1.8195825;M
2006;3690;4191;47514;3143;Inactivos;2.7889425;M
2006;3690;4191;47520;3143;Inactivos;3.49865;M
2006;3690;4191;47522;3143;Inactivos;2.1176825;M
2006;3690;4191;47523;3143;Inactivos;249.2264525;M
