D_TEMPORAL_0;D_EPA_ESTRUCHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;48985;48952;3690;3143;Población;19.918395;M
2005;48985;48952;3691;3143;Población;31.406735;M
2005;48985;48940;3689;3143;Población;1.6246925;M
2005;48985;48940;3690;3143;Población;7.2494225;M
2005;48985;48940;3691;3143;Población;8.874115;M
2005;48985;48936;3689;3143;Población;0.95958;M
2005;48985;48936;3690;3143;Población;5.953165;M
2005;48985;48936;3691;3143;Población;6.912745;M
2005;48985;48939;3689;3143;Población;0.6651125;M
2005;48985;48939;3690;3143;Población;1.2962575;M
2005;48985;48939;3691;3143;Población;1.96137;M
2005;48985;48946;3689;3143;Población;0.296575;M
2005;48985;48946;3690;3143;Población;2.4860575;M
2005;48985;48946;3691;3143;Población;2.7826325;M
2005;48986;48952;3689;3143;Población;52.189335;M
2005;48986;48952;3690;3143;Población;77.19001;M
2005;48986;48952;3691;3143;Población;129.379345;M
2005;48986;48940;3689;3143;Población;15.37855;M
2005;48986;48940;3690;3143;Población;33.656385;M
2005;48986;48940;3691;3143;Población;49.034935;M
2005;48986;48936;3689;3143;Población;13.3607125;M
2005;48986;48936;3690;3143;Población;27.437265;M
2005;48986;48936;3691;3143;Población;40.7979775;M
2005;48986;48939;3689;3143;Población;2.0178375;M
2005;48986;48939;3690;3143;Población;6.21912;M
2005;48986;48939;3691;3143;Población;8.2369575;M
2005;48986;48946;3689;3143;Población;5.735985;M
2005;48986;48946;3690;3143;Población;14.4963925;M
2005;48986;48946;3691;3143;Población;20.2323775;M
2005;48987;48952;3689;3143;Población;57.078555;M
2005;48987;48952;3690;3143;Población;90.74887;M
2005;48987;48952;3691;3143;Población;147.827425;M
2005;48987;48940;3689;3143;Población;36.1349375;M
2005;48987;48940;3690;3143;Población;47.893145;M
2005;48987;48940;3691;3143;Población;84.0280825;M
2005;48987;48936;3689;3143;Población;29.11808;M
2005;48987;48936;3690;3143;Población;36.4093575;M
2005;48987;48936;3691;3143;Población;65.5274375;M
2005;48987;48939;3689;3143;Población;7.0168575;M
2005;48987;48939;3690;3143;Población;11.4837875;M
2005;48987;48939;3691;3143;Población;18.500645;M
2005;48987;48946;3689;3143;Población;19.88496;M
2005;48987;48946;3690;3143;Población;40.1669625;M
2005;48987;48946;3691;3143;Población;60.0519225;M
2005;48988;48952;3689;3143;Población;171.7921075;M
2005;48988;48952;3690;3143;Población;219.695915;M
2005;48988;48952;3691;3143;Población;391.4880225;M
2005;48988;48940;3689;3143;Población;106.4096225;M
2005;48988;48940;3690;3143;Población;77.4934225;M
2005;48988;48940;3691;3143;Población;183.903045;M
2005;48988;48936;3689;3143;Población;89.02892;M
2005;48988;48936;3690;3143;Población;62.800145;M
2005;48988;48936;3691;3143;Población;151.829065;M
2005;48988;48939;3689;3143;Población;17.3807025;M
2005;48988;48939;3690;3143;Población;14.6932775;M
2005;48988;48939;3691;3143;Población;32.07398;M
2005;48988;48946;3689;3143;Población;50.0349375;M
2005;48988;48946;3690;3143;Población;128.777665;M
2005;48988;48946;3691;3143;Población;178.8126025;M
2005;48992;48952;3689;3143;Población;468.433705;M
2005;48992;48952;3690;3143;Población;467.052905;M
2005;48992;48952;3691;3143;Población;935.48661;M
2005;48992;48940;3689;3143;Población;217.19956;M
2005;48992;48940;3690;3143;Población;164.5653875;M
2005;48992;48940;3691;3143;Población;381.7649475;M
2005;48992;48936;3689;3143;Población;201.6990075;M
2005;48992;48936;3690;3143;Población;140.0576425;M
2005;48992;48936;3691;3143;Población;341.75665;M
2005;48992;48939;3689;3143;Población;15.5005525;M
2005;48992;48939;3690;3143;Población;24.507745;M
2005;48992;48939;3691;3143;Población;40.0082975;M
2005;48992;48946;3689;3143;Población;251.234145;M
2005;48992;48946;3690;3143;Población;302.4875175;M
2005;48992;48946;3691;3143;Población;553.7216625;M
2005;48990;48952;3689;3143;Población;184.33342;M
2005;48990;48952;3690;3143;Población;185.138695;M
2005;48990;48952;3691;3143;Población;369.472115;M
2005;48990;48940;3689;3143;Población;173.76832;M
2005;48990;48940;3690;3143;Población;138.63054;M
2005;48990;48940;3691;3143;Población;312.39886;M
2005;48990;48936;3689;3143;Población;162.75875;M
2005;48990;48936;3690;3143;Población;118.8857475;M
2005;48990;48936;3691;3143;Población;281.6444975;M
2005;48990;48939;3689;3143;Población;11.00957;M
2005;48990;48939;3690;3143;Población;19.7447925;M
2005;48990;48939;3691;3143;Población;30.7543625;M
2005;48990;48946;3689;3143;Población;10.5651;M
2005;48990;48946;3690;3143;Población;46.508155;M
2005;48990;48946;3691;3143;Población;57.073255;M
2005;48991;48952;3689;3143;Población;284.100285;M
2005;48991;48952;3690;3143;Población;281.91421;M
2005;48991;48952;3691;3143;Población;566.014495;M
2005;48991;48940;3689;3143;Población;43.43124;M
2005;48991;48940;3690;3143;Población;25.9348475;M
2005;48991;48940;3691;3143;Población;69.3660875;M
2005;48991;48936;3689;3143;Población;38.9402575;M
2005;48991;48936;3690;3143;Población;21.171895;M
2005;48991;48936;3691;3143;Población;60.1121525;M
2005;48991;48939;3689;3143;Población;4.4909825;M
2005;48991;48939;3690;3143;Población;4.7629525;M
2005;48991;48939;3691;3143;Población;9.253935;M
2005;48991;48946;3689;3143;Población;240.669045;M
2005;48991;48946;3690;3143;Población;255.9793625;M
2005;48991;48946;3691;3143;Población;496.6484075;M
2005;48994;48952;3689;3143;Población;45.19728;M
2005;48994;48952;3690;3143;Población;51.2284;M
2005;48994;48952;3691;3143;Población;96.42568;M
2005;48994;48940;3689;3143;Población;22.9997075;M
2005;48994;48940;3690;3143;Población;12.7747925;M
2005;48994;48940;3691;3143;Población;35.7745;M
2005;48994;48936;3689;3143;Población;20.578115;M
2005;48994;48936;3690;3143;Población;10.210625;M
2005;48994;48936;3691;3143;Población;30.78874;M
2005;48994;48939;3689;3143;Población;2.4215925;M
2005;48994;48939;3690;3143;Población;2.5641675;M
2005;48994;48939;3691;3143;Población;4.98576;M
2005;48994;48946;3689;3143;Población;20.16766;M
2005;48994;48946;3690;3143;Población;34.86682;M
2005;48994;48946;3691;3143;Población;55.03448;M
2005;49000;48952;3689;3143;Población;2361.3449475;M
2005;49000;48952;3690;3143;Población;2199.50255;M
2005;49000;48952;3691;3143;Población;4560.8474975;M
2005;49000;48940;3689;3143;Población;1341.2686875;M
2005;49000;48940;3690;3143;Población;780.59193;M
2005;49000;48940;3691;3143;Población;2121.8606175;M
2005;49000;48936;3689;3143;Población;1211.8928925;M
2005;49000;48936;3690;3143;Población;624.4655925;M
2005;49000;48936;3691;3143;Población;1836.358485;M
2005;49000;48939;3689;3143;Población;129.375795;M
2005;49000;48939;3690;3143;Población;156.1263375;M
2005;49000;48939;3691;3143;Población;285.5021325;M
2005;49000;48946;3689;3143;Población;433.2101175;M
2005;49000;48946;3690;3143;Población;872.84198;M
2005;49000;48946;3691;3143;Población;1306.0520975;M
2005;48995;48952;3689;3143;Población;364.096305;M
2005;48995;48952;3690;3143;Población;353.50939;M
2005;48995;48952;3691;3143;Población;717.605695;M
2005;48995;48940;3689;3143;Población;190.354855;M
2005;48995;48940;3690;3143;Población;103.24837;M
2005;48995;48940;3691;3143;Población;293.603225;M
2005;48995;48936;3689;3143;Población;178.4819375;M
2005;48995;48936;3690;3143;Población;83.1069725;M
2005;48995;48936;3691;3143;Población;261.58891;M
2005;48995;48939;3689;3143;Población;11.8729175;M
