D_TEMPORAL_0;D_SEXO_0;D_EPA_NACIONALIDAD_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2007;3690;46944;4235;3143;Activos;384.44067;M
2007;3690;46944;4305;3143;Activos;4.825115;M
2007;3690;46944;4306;3143;Activos;1512.1992975;M
2007;3691;46925;4191;3143;Activos;917.04551;M
2007;3691;46925;4210;3143;Activos;1417.495265;M
2007;3691;46925;4235;3143;Activos;1000.5192325;M
2007;3691;46925;4305;3143;Activos;16.1632575;M
2007;3691;46925;4306;3143;Activos;3351.223265;M
2007;3691;46943;4191;3143;Activos;121.5014375;M
2007;3691;46943;4210;3143;Activos;181.70542;M
2007;3691;46943;4235;3143;Activos;56.54646;M
2007;3691;46943;4305;3143;Activos;1.1839325;M
2007;3691;46943;4306;3143;Activos;360.93725;M
2007;3691;46944;4191;3143;Activos;1038.5469475;M
2007;3691;46944;4210;3143;Activos;1599.200685;M
2007;3691;46944;4235;3143;Activos;1057.0656925;M
2007;3691;46944;4305;3143;Activos;17.34719;M
2007;3691;46944;4306;3143;Activos;3712.160515;M
2008;3689;46925;4191;3143;Activos;500.2122825;M
2008;3689;46925;4210;3143;Activos;852.85057;M
2008;3689;46925;4235;3143;Activos;667.4411775;M
2008;3689;46925;4305;3143;Activos;10.9614775;M
2008;3689;46925;4306;3143;Activos;2031.4655075;M
2008;3689;46943;4191;3143;Activos;70.602995;M
2008;3689;46943;4210;3143;Activos;108.2178025;M
2008;3689;46943;4235;3143;Activos;32.863105;M
2008;3689;46943;4305;3143;Activos;;M
2008;3689;46943;4306;3143;Activos;211.6839025;M
2008;3689;46944;4191;3143;Activos;570.8152775;M
2008;3689;46944;4210;3143;Activos;961.0683725;M
2008;3689;46944;4235;3143;Activos;700.3042825;M
2008;3689;46944;4305;3143;Activos;10.9614775;M
2008;3689;46944;4306;3143;Activos;2243.14941;M
2008;3690;46925;4191;3143;Activos;407.594365;M
2008;3690;46925;4210;3143;Activos;628.258365;M
2008;3690;46925;4235;3143;Activos;379.49322;M
2008;3690;46925;4305;3143;Activos;7.7270925;M
2008;3690;46925;4306;3143;Activos;1423.0730425;M
2008;3690;46943;4191;3143;Activos;59.629985;M
2008;3690;46943;4210;3143;Activos;87.508545;M
2008;3690;46943;4235;3143;Activos;27.3894625;M
2008;3690;46943;4305;3143;Activos;1.19718;M
2008;3690;46943;4306;3143;Activos;175.7251725;M
2008;3690;46944;4191;3143;Activos;467.22435;M
2008;3690;46944;4210;3143;Activos;715.76691;M
2008;3690;46944;4235;3143;Activos;406.8826825;M
2008;3690;46944;4305;3143;Activos;8.9242725;M
2008;3690;46944;4306;3143;Activos;1598.798215;M
2008;3691;46925;4191;3143;Activos;907.8066475;M
2008;3691;46925;4210;3143;Activos;1481.108935;M
2008;3691;46925;4235;3143;Activos;1046.9343975;M
2008;3691;46925;4305;3143;Activos;18.68857;M
2008;3691;46925;4306;3143;Activos;3454.53855;M
2008;3691;46943;4191;3143;Activos;130.23298;M
2008;3691;46943;4210;3143;Activos;195.7263475;M
2008;3691;46943;4235;3143;Activos;60.2525675;M
2008;3691;46943;4305;3143;Activos;1.19718;M
2008;3691;46943;4306;3143;Activos;387.409075;M
2008;3691;46944;4191;3143;Activos;1038.0396275;M
2008;3691;46944;4210;3143;Activos;1676.8352825;M
2008;3691;46944;4235;3143;Activos;1107.186965;M
2008;3691;46944;4305;3143;Activos;19.88575;M
2008;3691;46944;4306;3143;Activos;3841.947625;M
2009;3689;46925;4191;3143;Activos;470.663775;M
2009;3689;46925;4210;3143;Activos;860.0420425;M
2009;3689;46925;4235;3143;Activos;688.1068125;M
2009;3689;46925;4305;3143;Activos;10.801175;M
2009;3689;46925;4306;3143;Activos;2029.613805;M
2009;3689;46943;4191;3143;Activos;60.867965;M
2009;3689;46943;4210;3143;Activos;115.87549;M
2009;3689;46943;4235;3143;Activos;41.6509425;M
2009;3689;46943;4305;3143;Activos;0.764235;M
2009;3689;46943;4306;3143;Activos;219.1586325;M
2009;3689;46944;4191;3143;Activos;531.53174;M
2009;3689;46944;4210;3143;Activos;975.9175325;M
2009;3689;46944;4235;3143;Activos;729.757755;M
2009;3689;46944;4305;3143;Activos;11.56541;M
2009;3689;46944;4306;3143;Activos;2248.7724375;M
2009;3690;46925;4191;3143;Activos;394.5543725;M
2009;3690;46925;4210;3143;Activos;661.38515;M
2009;3690;46925;4235;3143;Activos;419.965555;M
2009;3690;46925;4305;3143;Activos;7.6513525;M
2009;3690;46925;4306;3143;Activos;1483.55643;M
2009;3690;46943;4191;3143;Activos;54.900395;M
2009;3690;46943;4210;3143;Activos;99.95281;M
2009;3690;46943;4235;3143;Activos;33.64247;M
2009;3690;46943;4305;3143;Activos;1.5270975;M
2009;3690;46943;4306;3143;Activos;190.0227725;M
2009;3690;46944;4191;3143;Activos;449.4547675;M
2009;3690;46944;4210;3143;Activos;761.33796;M
2009;3690;46944;4235;3143;Activos;453.608025;M
2009;3690;46944;4305;3143;Activos;9.17845;M
2009;3690;46944;4306;3143;Activos;1673.5792025;M
2009;3691;46925;4191;3143;Activos;865.2181475;M
2009;3691;46925;4210;3143;Activos;1521.4271925;M
2009;3691;46925;4235;3143;Activos;1108.0723675;M
2009;3691;46925;4305;3143;Activos;18.4525275;M
2009;3691;46925;4306;3143;Activos;3513.170235;M
2009;3691;46943;4191;3143;Activos;115.76836;M
2009;3691;46943;4210;3143;Activos;215.8283;M
2009;3691;46943;4235;3143;Activos;75.2934125;M
2009;3691;46943;4305;3143;Activos;2.2913325;M
2009;3691;46943;4306;3143;Activos;409.181405;M
2009;3691;46944;4191;3143;Activos;980.9865075;M
2009;3691;46944;4210;3143;Activos;1737.2554925;M
2009;3691;46944;4235;3143;Activos;1183.36578;M
2009;3691;46944;4305;3143;Activos;20.74386;M
2009;3691;46944;4306;3143;Activos;3922.35164;M
