D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;7889;3691;3143;Parados;20.827495;M
2010;8032;3689;3143;Parados;19.57842;M
2010;8032;3690;3143;Parados;23.19927;M
2010;8032;3691;3143;Parados;42.77769;M
2010;8256;3689;3143;Parados;32.732575;M
2010;8256;3690;3143;Parados;46.9693725;M
2010;8256;3691;3143;Parados;79.7019475;M
2010;8346;3689;3143;Parados;12.2930625;M
2010;8346;3690;3143;Parados;33.0049625;M
2010;8346;3691;3143;Parados;45.298025;M
2010;8456;3689;3143;Parados;209.351735;M
2010;8456;3690;3143;Parados;202.495355;M
2010;8456;3691;3143;Parados;411.84709;M
2010;6950;3689;3143;Parados;33.99959;M
2010;6950;3690;3143;Parados;47.69799;M
2010;6950;3691;3143;Parados;81.69758;M
2010;6949;3689;3143;Parados;600.0548075;M
2010;6949;3690;3143;Parados;504.9624375;M
2010;6949;3691;3143;Parados;1105.017245;M
2011;6980;3689;3143;Parados;77.27338;M
2011;6980;3690;3143;Parados;64.7400625;M
2011;6980;3691;3143;Parados;142.0134425;M
2011;7057;3689;3143;Parados;29.289655;M
2011;7057;3690;3143;Parados;8.912355;M
2011;7057;3691;3143;Parados;38.20201;M
2011;7662;3689;3143;Parados;102.7097025;M
2011;7662;3690;3143;Parados;3.163025;M
2011;7662;3691;3143;Parados;105.8727275;M
2011;7715;3689;3143;Parados;157.2898175;M
2011;7715;3690;3143;Parados;187.4931375;M
2011;7715;3691;3143;Parados;344.782955;M
2011;7716;3689;3143;Parados;58.063175;M
2011;7716;3690;3143;Parados;75.41222;M
2011;7716;3691;3143;Parados;133.475395;M
2011;7889;3689;3143;Parados;16.715555;M
2011;7889;3690;3143;Parados;6.5167675;M
2011;7889;3691;3143;Parados;23.2323225;M
2011;8032;3689;3143;Parados;19.9671475;M
2011;8032;3690;3143;Parados;19.863935;M
2011;8032;3691;3143;Parados;39.8310825;M
2011;8256;3689;3143;Parados;45.573335;M
2011;8256;3690;3143;Parados;54.54197;M
2011;8256;3691;3143;Parados;100.115305;M
2011;8346;3689;3143;Parados;16.970605;M
2011;8346;3690;3143;Parados;31.158245;M
2011;8346;3691;3143;Parados;48.12885;M
2011;8456;3689;3143;Parados;238.23806;M
2011;8456;3690;3143;Parados;242.1177775;M
2011;8456;3691;3143;Parados;480.3558375;M
2011;6950;3689;3143;Parados;39.787965;M
2011;6950;3690;3143;Parados;55.4937475;M
2011;6950;3691;3143;Parados;95.2817125;M
2011;6949;3689;3143;Parados;644.58858;M
2011;6949;3690;3143;Parados;561.920105;M
2011;6949;3691;3143;Parados;1206.508685;M
2012;6980;3689;3143;Parados;91.533055;M
2012;6980;3690;3143;Parados;63.64785;M
2012;6980;3691;3143;Parados;155.180905;M
2012;7057;3689;3143;Parados;36.39888;M
2012;7057;3690;3143;Parados;8.9241875;M
2012;7057;3691;3143;Parados;45.3230675;M
2012;7662;3689;3143;Parados;95.947705;M
2012;7662;3690;3143;Parados;4.7267;M
2012;7662;3691;3143;Parados;100.674405;M
2012;7715;3689;3143;Parados;169.0747875;M
2012;7715;3690;3143;Parados;220.462105;M
2012;7715;3691;3143;Parados;389.5368925;M
2012;7716;3689;3143;Parados;66.96813;M
2012;7716;3690;3143;Parados;88.8397375;M
2012;7716;3691;3143;Parados;155.8078675;M
2012;7889;3689;3143;Parados;17.9539875;M
2012;7889;3690;3143;Parados;7.5455375;M
2012;7889;3691;3143;Parados;25.499525;M
2012;8032;3689;3143;Parados;22.8629975;M
2012;8032;3690;3143;Parados;25.3195775;M
2012;8032;3691;3143;Parados;48.182575;M
2012;8256;3689;3143;Parados;42.2487625;M
2012;8256;3690;3143;Parados;63.3817675;M
2012;8256;3691;3143;Parados;105.63053;M
2012;8346;3689;3143;Parados;19.04091;M
2012;8346;3690;3143;Parados;35.375485;M
2012;8346;3691;3143;Parados;54.416395;M
2012;8456;3689;3143;Parados;299.94062;M
2012;8456;3690;3143;Parados;278.7354025;M
2012;8456;3691;3143;Parados;578.6760225;M
2012;6950;3689;3143;Parados;51.1674725;M
2012;6950;3690;3143;Parados;69.1066275;M
2012;6950;3691;3143;Parados;120.2741;M
2012;6949;3689;3143;Parados;744.06252;M
2012;6949;3690;3143;Parados;645.6028725;M
2012;6949;3691;3143;Parados;1389.6653925;M
2013;6980;3689;3143;Parados;90.3077725;M
2013;6980;3690;3143;Parados;65.88936;M
2013;6980;3691;3143;Parados;156.1971325;M
2013;7057;3689;3143;Parados;29.2047275;M
2013;7057;3690;3143;Parados;11.418785;M
2013;7057;3691;3143;Parados;40.6235125;M
2013;7662;3689;3143;Parados;81.0711025;M
2013;7662;3690;3143;Parados;3.06417;M
2013;7662;3691;3143;Parados;84.1352725;M
2013;7715;3689;3143;Parados;174.4623925;M
2013;7715;3690;3143;Parados;214.3753825;M
2013;7715;3691;3143;Parados;388.837775;M
2013;7716;3689;3143;Parados;74.9869925;M
2013;7716;3690;3143;Parados;87.9083775;M
2013;7716;3691;3143;Parados;162.89537;M
2013;7889;3689;3143;Parados;21.3050875;M
2013;7889;3690;3143;Parados;7.8016425;M
2013;7889;3691;3143;Parados;29.10673;M
2013;8032;3689;3143;Parados;19.54594;M
2013;8032;3690;3143;Parados;23.30315;M
2013;8032;3691;3143;Parados;42.84909;M
2013;8256;3689;3143;Parados;41.59756;M
2013;8256;3690;3143;Parados;58.61488;M
2013;8256;3691;3143;Parados;100.21244;M
2013;8346;3689;3143;Parados;17.0268125;M
2013;8346;3690;3143;Parados;36.7473325;M
2013;8346;3691;3143;Parados;53.774145;M
2013;8456;3689;3143;Parados;341.9924225;M
2013;8456;3690;3143;Parados;323.577195;M
2013;8456;3691;3143;Parados;665.5696175;M
2013;6950;3689;3143;Parados;50.9045375;M
2013;6950;3690;3143;Parados;74.2922;M
2013;6950;3691;3143;Parados;125.1967375;M
2013;6949;3689;3143;Parados;767.942955;M
2013;6949;3690;3143;Parados;692.6170925;M
2013;6949;3691;3143;Parados;1460.5600475;M
2014;6980;3689;3143;Parados;93.3708075;M
2014;6980;3690;3143;Parados;62.7163625;M
2014;6980;3691;3143;Parados;156.08717;M
2014;7057;3689;3143;Parados;22.74842;M
2014;7057;3690;3143;Parados;10.198625;M
2014;7057;3691;3143;Parados;32.947045;M
2014;7662;3689;3143;Parados;63.839735;M
2014;7662;3690;3143;Parados;2.2171775;M
2014;7662;3691;3143;Parados;66.0569125;M
2014;7715;3689;3143;Parados;161.888175;M
2014;7715;3690;3143;Parados;207.5835175;M
2014;7715;3691;3143;Parados;369.4716925;M
2014;7716;3689;3143;Parados;72.399145;M
2014;7716;3690;3143;Parados;84.6939175;M
2014;7716;3691;3143;Parados;157.0930625;M
2014;7889;3689;3143;Parados;15.6219625;M
2014;7889;3690;3143;Parados;6.0587675;M
2014;7889;3691;3143;Parados;21.68073;M
2014;8032;3689;3143;Parados;18.39714;M
2014;8032;3690;3143;Parados;20.9835675;M
2014;8032;3691;3143;Parados;39.3807075;M
2014;8256;3689;3143;Parados;39.6117675;M
2014;8256;3690;3143;Parados;59.6620775;M
2014;8256;3691;3143;Parados;99.273845;M
2014;8346;3689;3143;Parados;15.85816;M
2014;8346;3690;3143;Parados;36.1851875;M
2014;8346;3691;3143;Parados;52.0433475;M
2014;8456;3689;3143;Parados;325.75244;M
2014;8456;3690;3143;Parados;326.2766875;M
2014;8456;3691;3143;Parados;652.0291275;M
2014;6950;3689;3143;Parados;56.9199175;M
2014;6950;3690;3143;Parados;71.1140625;M
2014;6950;3691;3143;Parados;128.03398;M
2014;6949;3689;3143;Parados;724.519495;M
2014;6949;3690;3143;Parados;680.1064325;M
2014;6949;3691;3143;Parados;1404.6259275;M
2015;6980;3689;3143;Parados;90.2821275;M
2015;6980;3690;3143;Parados;60.5704075;M
2015;6980;3691;3143;Parados;150.852535;M
2015;7057;3689;3143;Parados;19.184245;M
2015;7057;3690;3143;Parados;7.09405;M
2015;7057;3691;3143;Parados;26.278295;M
2015;7662;3689;3143;Parados;58.0277125;M
2015;7662;3690;3143;Parados;1.042955;M
2015;7662;3691;3143;Parados;59.0706675;M
2015;7715;3689;3143;Parados;158.49401;M
2015;7715;3690;3143;Parados;201.01463;M
2015;7715;3691;3143;Parados;359.50864;M
2015;7716;3689;3143;Parados;63.391015;M
2015;7716;3690;3143;Parados;73.135635;M
