D_TEMPORAL_0;D_EPA_TIPACTIVIDADHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;49014;48952;3689;3143;Población;501.637965;M
2005;49014;48952;3690;3143;Población;666.96397;M
2005;49014;48952;3691;3143;Población;1168.601935;M
2005;49014;48940;3689;3143;Población;;M
2005;49014;48940;3690;3143;Población;;M
2005;49014;48940;3691;3143;Población;;M
2005;49014;48936;3689;3143;Población;;M
2005;49014;48936;3690;3143;Población;;M
2005;49014;48936;3691;3143;Población;;M
2005;49014;48939;3689;3143;Población;;M
2005;49014;48939;3690;3143;Población;;M
2005;49014;48939;3691;3143;Población;;M
2005;49014;48946;3689;3143;Población;470.77153;M
2005;49014;48946;3690;3143;Población;641.617225;M
2005;49014;48946;3691;3143;Población;1112.388755;M
2005;49010;48952;3689;3143;Población;36.63224;M
2005;49010;48952;3690;3143;Población;56.826985;M
2005;49010;48952;3691;3143;Población;93.459225;M
2005;49010;48940;3689;3143;Población;;M
2005;49010;48940;3690;3143;Población;;M
2005;49010;48940;3691;3143;Población;;M
2005;49010;48936;3689;3143;Población;;M
2005;49010;48936;3690;3143;Población;;M
2005;49010;48936;3691;3143;Población;;M
2005;49010;48939;3689;3143;Población;;M
2005;49010;48939;3690;3143;Población;;M
2005;49010;48939;3691;3143;Población;;M
2005;49010;48946;3689;3143;Población;28.040495;M
2005;49010;48946;3690;3143;Población;49.77315;M
2005;49010;48946;3691;3143;Población;77.813645;M
2005;49011;48952;3689;3143;Población;23.8474825;M
2005;49011;48952;3690;3143;Población;20.925455;M
2005;49011;48952;3691;3143;Población;44.7729375;M
2005;49011;48940;3689;3143;Población;;M
2005;49011;48940;3690;3143;Población;;M
2005;49011;48940;3691;3143;Población;;M
2005;49011;48936;3689;3143;Población;;M
2005;49011;48936;3690;3143;Población;;M
2005;49011;48936;3691;3143;Población;;M
2005;49011;48939;3689;3143;Población;;M
2005;49011;48939;3690;3143;Población;;M
2005;49011;48939;3691;3143;Población;;M
2005;49011;48946;3689;3143;Población;17.368905;M
2005;49011;48946;3690;3143;Población;16.2850125;M
2005;49011;48946;3691;3143;Población;33.6539175;M
2005;49012;48952;3689;3143;Población;32.9768125;M
2005;49012;48952;3690;3143;Población;35.6196;M
2005;49012;48952;3691;3143;Población;68.5964125;M
2005;49012;48940;3689;3143;Población;;M
2005;49012;48940;3690;3143;Población;;M
2005;49012;48940;3691;3143;Población;;M
2005;49012;48936;3689;3143;Población;;M
2005;49012;48936;3690;3143;Población;;M
2005;49012;48936;3691;3143;Población;;M
2005;49012;48939;3689;3143;Población;;M
2005;49012;48939;3690;3143;Población;;M
2005;49012;48939;3691;3143;Población;;M
2005;49012;48946;3689;3143;Población;29.8058;M
2005;49012;48946;3690;3143;Población;33.208815;M
2005;49012;48946;3691;3143;Población;63.014615;M
2005;49013;48952;3689;3143;Población;408.18143;M
2005;49013;48952;3690;3143;Población;553.59193;M
2005;49013;48952;3691;3143;Población;961.77336;M
2005;49013;48940;3689;3143;Población;;M
2005;49013;48940;3690;3143;Población;;M
2005;49013;48940;3691;3143;Población;;M
2005;49013;48936;3689;3143;Población;;M
2005;49013;48936;3690;3143;Población;;M
2005;49013;48936;3691;3143;Población;;M
2005;49013;48939;3689;3143;Población;;M
2005;49013;48939;3690;3143;Población;;M
2005;49013;48939;3691;3143;Población;;M
2005;49013;48946;3689;3143;Población;395.55633;M
2005;49013;48946;3690;3143;Población;542.3502475;M
2005;49013;48946;3691;3143;Población;937.9065775;M
2005;49017;48952;3689;3143;Población;3150.016375;M
