D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;6949;3689;3143;Asalariados;1505.1058475;M
2005;6949;3690;3143;Asalariados;934.2853575;M
2005;6949;3691;3143;Asalariados;2439.391205;M
2006;6949;3689;3143;Asalariados;1552.4946225;M
2006;6949;3690;3143;Asalariados;1016.8622425;M
2006;6949;3691;3143;Asalariados;2569.356865;M
2007;6949;3689;3143;Asalariados;1589.2043475;M
2007;6949;3690;3143;Asalariados;1075.53726;M
2007;6949;3691;3143;Asalariados;2664.7416075;M
2008;7056;3689;3143;Asalariados;104.8889225;M
2008;7056;3690;3143;Asalariados;52.2732525;M
2008;7056;3691;3143;Asalariados;157.162175;M
2008;7109;3689;3143;Asalariados;3.9229525;M
2008;7109;3690;3143;Asalariados;0.0944525;M
2008;7109;3691;3143;Asalariados;4.017405;M
2008;7605;3689;3143;Asalariados;186.2199675;M
2008;7605;3690;3143;Asalariados;52.56428;M
2008;7605;3691;3143;Asalariados;238.7842475;M
2008;7627;3689;3143;Asalariados;8.7724225;M
2008;7627;3690;3143;Asalariados;2.415595;M
2008;7627;3691;3143;Asalariados;11.1880175;M
2008;7661;3689;3143;Asalariados;13.10291;M
2008;7661;3690;3143;Asalariados;2.3308325;M
2008;7661;3691;3143;Asalariados;15.4337425;M
2008;7714;3689;3143;Asalariados;330.766485;M
2008;7714;3690;3143;Asalariados;18.099005;M
2008;7714;3691;3143;Asalariados;348.86549;M
2008;7859;3689;3143;Asalariados;204.4767475;M
2008;7859;3690;3143;Asalariados;191.580525;M
2008;7859;3691;3143;Asalariados;396.0572725;M
2008;7958;3689;3143;Asalariados;79.54345;M
2008;7958;3690;3143;Asalariados;13.8989875;M
2008;7958;3691;3143;Asalariados;93.4424375;M
2008;7888;3689;3143;Asalariados;87.9488825;M
2008;7888;3690;3143;Asalariados;109.40694;M
2008;7888;3691;3143;Asalariados;197.3558225;M
2008;8031;3689;3143;Asalariados;28.538975;M
2008;8031;3690;3143;Asalariados;15.8505675;M
2008;8031;3691;3143;Asalariados;44.3895425;M
2008;8080;3689;3143;Asalariados;26.4100325;M
2008;8080;3690;3143;Asalariados;22.7283275;M
2008;8080;3691;3143;Asalariados;49.13836;M
2008;8094;3689;3143;Asalariados;5.32739;M
2008;8094;3690;3143;Asalariados;5.761275;M
2008;8094;3691;3143;Asalariados;11.088665;M
2008;8165;3689;3143;Asalariados;33.37368;M
2008;8165;3690;3143;Asalariados;31.5030175;M
2008;8165;3691;3143;Asalariados;64.8766975;M
2008;8255;3689;3143;Asalariados;54.3374025;M
2008;8255;3690;3143;Asalariados;70.87029;M
2008;8255;3691;3143;Asalariados;125.2076925;M
2008;8275;3689;3143;Asalariados;166.626595;M
2008;8275;3690;3143;Asalariados;82.8677325;M
2008;8275;3691;3143;Asalariados;249.4943275;M
2008;8303;3689;3143;Asalariados;78.2902775;M
2008;8303;3690;3143;Asalariados;112.2554525;M
2008;8303;3691;3143;Asalariados;190.54573;M
2008;8345;3689;3143;Asalariados;43.5503975;M
2008;8345;3690;3143;Asalariados;135.700245;M
2008;8345;3691;3143;Asalariados;179.2506425;M
2008;8385;3689;3143;Asalariados;27.7345375;M
2008;8385;3690;3143;Asalariados;17.930305;M
2008;8385;3691;3143;Asalariados;45.6648425;M
2008;8426;3689;3143;Asalariados;14.4936775;M
2008;8426;3690;3143;Asalariados;27.6968;M
2008;8426;3691;3143;Asalariados;42.1904775;M
2008;8442;3689;3143;Asalariados;10.465115;M
2008;8442;3690;3143;Asalariados;118.562385;M
2008;8442;3691;3143;Asalariados;129.0275;M
2008;6949;3689;3143;Asalariados;1508.79082;M
2008;6949;3690;3143;Asalariados;1084.3902675;M
2008;6949;3691;3143;Asalariados;2593.1810875;M
2009;7056;3689;3143;Asalariados;108.8003775;M
2009;7056;3690;3143;Asalariados;47.435235;M
2009;7056;3691;3143;Asalariados;156.2356125;M
2009;7109;3689;3143;Asalariados;3.439485;M
2009;7109;3690;3143;Asalariados;0.247135;M
2009;7109;3691;3143;Asalariados;3.68662;M
2009;7605;3689;3143;Asalariados;159.7432875;M
2009;7605;3690;3143;Asalariados;43.048735;M
2009;7605;3691;3143;Asalariados;202.7920225;M
2009;7627;3689;3143;Asalariados;9.96335;M
2009;7627;3690;3143;Asalariados;2.6374725;M
2009;7627;3691;3143;Asalariados;12.6008225;M
2009;7661;3689;3143;Asalariados;12.8025775;M
2009;7661;3690;3143;Asalariados;2.0367575;M
2009;7661;3691;3143;Asalariados;14.839335;M
2009;7714;3689;3143;Asalariados;204.415785;M
2009;7714;3690;3143;Asalariados;17.2133125;M
2009;7714;3691;3143;Asalariados;221.6290975;M
2009;7859;3689;3143;Asalariados;184.3555825;M
2009;7859;3690;3143;Asalariados;185.305025;M
2009;7859;3691;3143;Asalariados;369.6606075;M
2009;7958;3689;3143;Asalariados;79.387525;M
2009;7958;3690;3143;Asalariados;15.0925275;M
2009;7958;3691;3143;Asalariados;94.4800525;M
2009;7888;3689;3143;Asalariados;81.7831425;M
2009;7888;3690;3143;Asalariados;96.8096;M
2009;7888;3691;3143;Asalariados;178.5927425;M
2009;8031;3689;3143;Asalariados;31.906095;M
2009;8031;3690;3143;Asalariados;14.667955;M
2009;8031;3691;3143;Asalariados;46.57405;M
2009;8080;3689;3143;Asalariados;28.482715;M
2009;8080;3690;3143;Asalariados;19.20063;M
2009;8080;3691;3143;Asalariados;47.683345;M
2009;8094;3689;3143;Asalariados;2.018075;M
2009;8094;3690;3143;Asalariados;3.2540375;M
2009;8094;3691;3143;Asalariados;5.2721125;M
2009;8165;3689;3143;Asalariados;35.850085;M
2009;8165;3690;3143;Asalariados;31.88294;M
2009;8165;3691;3143;Asalariados;67.733025;M
2009;8255;3689;3143;Asalariados;52.7434225;M
2009;8255;3690;3143;Asalariados;65.75708;M
2009;8255;3691;3143;Asalariados;118.5005025;M
2009;8275;3689;3143;Asalariados;169.13391;M
2009;8275;3690;3143;Asalariados;102.417545;M
2009;8275;3691;3143;Asalariados;271.551455;M
2009;8303;3689;3143;Asalariados;79.3991525;M
2009;8303;3690;3143;Asalariados;114.2006175;M
2009;8303;3691;3143;Asalariados;193.59977;M
2009;8345;3689;3143;Asalariados;48.84273;M
2009;8345;3690;3143;Asalariados;143.00487;M
2009;8345;3691;3143;Asalariados;191.8476;M
2009;8385;3689;3143;Asalariados;20.1417125;M
2009;8385;3690;3143;Asalariados;16.60619;M
2009;8385;3691;3143;Asalariados;36.7479025;M
2009;8426;3689;3143;Asalariados;12.715475;M
2009;8426;3690;3143;Asalariados;29.18495;M
2009;8426;3691;3143;Asalariados;41.900425;M
2009;8442;3689;3143;Asalariados;14.823295;M
2009;8442;3690;3143;Asalariados;106.55526;M
2009;8442;3691;3143;Asalariados;121.378555;M
2009;6949;3689;3143;Asalariados;1340.74778;M
2009;6949;3690;3143;Asalariados;1056.557875;M
2009;6949;3691;3143;Asalariados;2397.305655;M
2010;7056;3689;3143;Asalariados;120.905835;M
2010;7056;3690;3143;Asalariados;49.0671025;M
2010;7056;3691;3143;Asalariados;169.9729375;M
2010;7109;3689;3143;Asalariados;2.892675;M
2010;7109;3690;3143;Asalariados;0.3023525;M
2010;7109;3691;3143;Asalariados;3.1950275;M
2010;7605;3689;3143;Asalariados;149.3919875;M
2010;7605;3690;3143;Asalariados;42.940045;M
2010;7605;3691;3143;Asalariados;192.3320325;M
2010;7627;3689;3143;Asalariados;8.14484;M
2010;7627;3690;3143;Asalariados;2.3720275;M
2010;7627;3691;3143;Asalariados;10.5168675;M
2010;7661;3689;3143;Asalariados;15.79979;M
2010;7661;3690;3143;Asalariados;2.05914;M
2010;7661;3691;3143;Asalariados;17.85893;M
2010;7714;3689;3143;Asalariados;175.9806675;M
2010;7714;3690;3143;Asalariados;15.17907;M
2010;7714;3691;3143;Asalariados;191.1597375;M
2010;7859;3689;3143;Asalariados;184.1039825;M
2010;7859;3690;3143;Asalariados;177.8725375;M
2010;7859;3691;3143;Asalariados;361.97652;M
2010;7958;3689;3143;Asalariados;76.77603;M
2010;7958;3690;3143;Asalariados;16.537155;M
2010;7958;3691;3143;Asalariados;93.313185;M
2010;7888;3689;3143;Asalariados;80.378945;M
2010;7888;3690;3143;Asalariados;92.2268975;M
2010;7888;3691;3143;Asalariados;172.6058425;M
2010;8031;3689;3143;Asalariados;28.299645;M
2010;8031;3690;3143;Asalariados;15.50919;M
2010;8031;3691;3143;Asalariados;43.808835;M
2010;8080;3689;3143;Asalariados;25.347185;M
2010;8080;3690;3143;Asalariados;26.1614025;M
2010;8080;3691;3143;Asalariados;51.5085875;M
2010;8094;3689;3143;Asalariados;1.6507275;M
2010;8094;3690;3143;Asalariados;2.84251;M
2010;8094;3691;3143;Asalariados;4.4932375;M
2010;8165;3689;3143;Asalariados;31.2549425;M
2010;8165;3690;3143;Asalariados;37.6750025;M
2010;8165;3691;3143;Asalariados;68.929945;M
2010;8255;3689;3143;Asalariados;57.173595;M
2010;8255;3690;3143;Asalariados;60.22931;M
2010;8255;3691;3143;Asalariados;117.402905;M
2010;8275;3689;3143;Asalariados;174.8887525;M
2010;8275;3690;3143;Asalariados;119.7207825;M
2010;8275;3691;3143;Asalariados;294.609535;M
2010;8303;3689;3143;Asalariados;73.5421;M
2010;8303;3690;3143;Asalariados;115.8244725;M
2010;8303;3691;3143;Asalariados;189.3665725;M
2010;8345;3689;3143;Asalariados;49.5295025;M
2010;8345;3690;3143;Asalariados;148.862125;M
2010;8345;3691;3143;Asalariados;198.3916275;M
2010;8385;3689;3143;Asalariados;25.52945;M
2010;8385;3690;3143;Asalariados;15.8065575;M
2010;8385;3691;3143;Asalariados;41.3360075;M
2010;8426;3689;3143;Asalariados;12.042945;M
2010;8426;3690;3143;Asalariados;30.2013525;M
2010;8426;3691;3143;Asalariados;42.2442975;M
2010;8442;3689;3143;Asalariados;14.36335;M
2010;8442;3690;3143;Asalariados;100.0612775;M
2010;8442;3691;3143;Asalariados;114.4246275;M
2010;6949;3689;3143;Asalariados;1307.9969475;M
2010;6949;3690;3143;Asalariados;1071.45031;M
