TIME_PERIOD,REF_AREA,D_REL_RESIDENANT_0,INDICATOR,OBS_VALUE,FREQ
2020,2290,61635,MARRIAGE,3.0,A
2020,2290,61633,MARRIAGE,3.0,A
2020,2290,61636,MARRIAGE,12.0,A
2020,2293,61638,MARRIAGE,37.0,A
2020,2293,61631,MARRIAGE,1.0,A
2020,2293,61635,MARRIAGE,4.0,A
2020,2293,61633,MARRIAGE,2.0,A
2020,2293,61634,MARRIAGE,2.0,A
2020,2293,61636,MARRIAGE,32.0,A
2020,2294,61638,MARRIAGE,36.0,A
2020,2294,61631,MARRIAGE,1.0,A
2020,2294,61635,MARRIAGE,5.0,A
2020,2294,61633,MARRIAGE,4.0,A
2020,2294,61634,MARRIAGE,1.0,A
2020,2294,61636,MARRIAGE,30.0,A
2020,2295,61638,MARRIAGE,1.0,A
2020,2295,61636,MARRIAGE,1.0,A
2020,2297,61638,MARRIAGE,1.0,A
2020,2297,61636,MARRIAGE,1.0,A
2020,2298,61638,MARRIAGE,2.0,A
2020,2298,61635,MARRIAGE,1.0,A
2020,2298,61634,MARRIAGE,1.0,A
2020,2298,61636,MARRIAGE,1.0,A
2020,2299,61638,MARRIAGE,1.0,A
2020,2299,61636,MARRIAGE,1.0,A
2020,2300,61638,MARRIAGE,1.0,A
2020,2300,61636,MARRIAGE,1.0,A
2020,2301,61638,MARRIAGE,1.0,A
2020,2301,61631,MARRIAGE,1.0,A
2020,2302,61638,MARRIAGE,1.0,A
2020,2302,61635,MARRIAGE,1.0,A
2020,2302,61633,MARRIAGE,1.0,A
2020,2303,61638,MARRIAGE,8.0,A
2020,2303,61635,MARRIAGE,3.0,A
2020,2303,61633,MARRIAGE,3.0,A
2020,2303,61636,MARRIAGE,5.0,A
2020,2304,61638,MARRIAGE,1.0,A
2020,2304,61636,MARRIAGE,1.0,A
2020,2305,61638,MARRIAGE,7.0,A
2020,2305,61631,MARRIAGE,1.0,A
2020,2305,61636,MARRIAGE,6.0,A
2020,2348,61638,MARRIAGE,13.0,A
2020,2348,61631,MARRIAGE,1.0,A
2020,2348,61635,MARRIAGE,1.0,A
2020,2348,61634,MARRIAGE,1.0,A
2020,2348,61636,MARRIAGE,11.0,A
2020,2306,61638,MARRIAGE,1.0,A
2020,2306,61635,MARRIAGE,1.0,A
2020,2306,61633,MARRIAGE,1.0,A
2020,2307,61638,MARRIAGE,40.0,A
2020,2307,61631,MARRIAGE,3.0,A
2020,2307,61635,MARRIAGE,6.0,A
2020,2307,61633,MARRIAGE,3.0,A
2020,2307,61634,MARRIAGE,3.0,A
2020,2307,61636,MARRIAGE,31.0,A
2020,2308,61638,MARRIAGE,2.0,A
2020,2308,61636,MARRIAGE,2.0,A
2020,2310,61638,MARRIAGE,8.0,A
2020,2310,61635,MARRIAGE,2.0,A
2020,2310,61634,MARRIAGE,2.0,A
2020,2310,61636,MARRIAGE,6.0,A
2020,2311,61638,MARRIAGE,4.0,A
2020,2311,61635,MARRIAGE,2.0,A
2020,2311,61633,MARRIAGE,1.0,A
2020,2311,61634,MARRIAGE,1.0,A
2020,2311,61636,MARRIAGE,2.0,A
2020,2315,61638,MARRIAGE,11.0,A
2020,2315,61631,MARRIAGE,1.0,A
2020,2315,61636,MARRIAGE,10.0,A
2020,2316,61638,MARRIAGE,14.0,A
2020,2316,61631,MARRIAGE,1.0,A
2020,2316,61635,MARRIAGE,1.0,A
2020,2316,61634,MARRIAGE,1.0,A
2020,2316,61636,MARRIAGE,12.0,A
2020,2317,61638,MARRIAGE,1.0,A
2020,2317,61636,MARRIAGE,1.0,A
2020,2319,61638,MARRIAGE,2.0,A
2020,2319,61636,MARRIAGE,2.0,A
2020,2320,61638,MARRIAGE,173.0,A
2020,2320,61631,MARRIAGE,8.0,A
2020,2320,61635,MARRIAGE,15.0,A
2020,2320,61633,MARRIAGE,9.0,A
2020,2320,61634,MARRIAGE,6.0,A
2020,2320,61636,MARRIAGE,150.0,A
2020,2321,61638,MARRIAGE,1.0,A
2020,2321,61636,MARRIAGE,1.0,A
2020,2322,61638,MARRIAGE,1.0,A
2020,2322,61635,MARRIAGE,1.0,A
2020,2322,61634,MARRIAGE,1.0,A
2020,2324,61638,MARRIAGE,3.0,A
2020,2324,61635,MARRIAGE,2.0,A
2020,2324,61633,MARRIAGE,1.0,A
2020,2324,61634,MARRIAGE,1.0,A
2020,2324,61636,MARRIAGE,1.0,A
2020,2325,61638,MARRIAGE,1.0,A
2020,2325,61636,MARRIAGE,1.0,A
2020,2326,61638,MARRIAGE,1.0,A
2020,2326,61636,MARRIAGE,1.0,A
2020,2327,61638,MARRIAGE,2.0,A
2020,2327,61635,MARRIAGE,1.0,A
2020,2327,61634,MARRIAGE,1.0,A
2020,2327,61636,MARRIAGE,1.0,A
2020,2329,61638,MARRIAGE,7.0,A
2020,2329,61636,MARRIAGE,7.0,A
2020,2333,61638,MARRIAGE,5.0,A
2020,2333,61635,MARRIAGE,1.0,A
2020,2333,61633,MARRIAGE,1.0,A
2020,2333,61636,MARRIAGE,4.0,A
2020,2334,61638,MARRIAGE,4.0,A
2020,2334,61635,MARRIAGE,1.0,A
2020,2334,61633,MARRIAGE,1.0,A
2020,2334,61636,MARRIAGE,3.0,A
2020,2335,61638,MARRIAGE,1.0,A
2020,2335,61635,MARRIAGE,1.0,A
2020,2335,61633,MARRIAGE,1.0,A
2020,2336,61638,MARRIAGE,3.0,A
2020,2336,61635,MARRIAGE,1.0,A
2020,2336,61633,MARRIAGE,1.0,A
2020,2336,61636,MARRIAGE,2.0,A
2020,2337,61638,MARRIAGE,1.0,A
2020,2337,61636,MARRIAGE,1.0,A
2020,2339,61638,MARRIAGE,2.0,A
2020,2339,61635,MARRIAGE,1.0,A
2020,2339,61634,MARRIAGE,1.0,A
2020,2339,61636,MARRIAGE,1.0,A
2020,2340,61638,MARRIAGE,8.0,A
2020,2340,61631,MARRIAGE,1.0,A
2020,2340,61636,MARRIAGE,7.0,A
2020,2341,61638,MARRIAGE,24.0,A
2020,2341,61631,MARRIAGE,4.0,A
2020,2341,61635,MARRIAGE,4.0,A
2020,2341,61633,MARRIAGE,3.0,A
2020,2341,61634,MARRIAGE,1.0,A
2020,2341,61636,MARRIAGE,16.0,A
2020,2342,61638,MARRIAGE,10.0,A
2020,2342,61631,MARRIAGE,2.0,A
2020,2342,61635,MARRIAGE,1.0,A
2020,2342,61633,MARRIAGE,1.0,A
2020,2342,61636,MARRIAGE,7.0,A
2020,2343,61638,MARRIAGE,39.0,A
2020,2343,61631,MARRIAGE,4.0,A
2020,2343,61635,MARRIAGE,6.0,A
2020,2343,61633,MARRIAGE,3.0,A
2020,2343,61634,MARRIAGE,3.0,A
2020,2343,61636,MARRIAGE,29.0,A
2020,2344,61638,MARRIAGE,4.0,A
2020,2344,61636,MARRIAGE,4.0,A
2020,ES612,61638,MARRIAGE,2472.0,A
2020,ES612,61631,MARRIAGE,95.0,A
2020,ES612,61635,MARRIAGE,280.0,A
2020,ES612,61633,MARRIAGE,160.0,A
2020,ES612,61634,MARRIAGE,120.0,A
2020,ES612,61636,MARRIAGE,2097.0,A
2020,2353,61638,MARRIAGE,11.0,A
2020,2353,61635,MARRIAGE,1.0,A
2020,2353,61633,MARRIAGE,1.0,A
2020,2353,61636,MARRIAGE,10.0,A
2020,2354,61638,MARRIAGE,3.0,A
2020,2354,61635,MARRIAGE,1.0,A
2020,2354,61634,MARRIAGE,1.0,A
2020,2354,61636,MARRIAGE,2.0,A
2020,2355,61638,MARRIAGE,5.0,A
2020,2355,61635,MARRIAGE,1.0,A
2020,2355,61634,MARRIAGE,1.0,A
2020,2355,61636,MARRIAGE,4.0,A
2020,2356,61638,MARRIAGE,281.0,A
2020,2356,61631,MARRIAGE,7.0,A
2020,2356,61635,MARRIAGE,26.0,A
2020,2356,61633,MARRIAGE,10.0,A
2020,2356,61634,MARRIAGE,16.0,A
2020,2356,61636,MARRIAGE,248.0,A
2020,2357,61638,MARRIAGE,9.0,A
2020,2357,61636,MARRIAGE,9.0,A
2020,2358,61638,MARRIAGE,84.0,A
2020,2358,61631,MARRIAGE,3.0,A
2020,2358,61635,MARRIAGE,11.0,A
2020,2358,61633,MARRIAGE,7.0,A
2020,2358,61634,MARRIAGE,4.0,A
2020,2358,61636,MARRIAGE,70.0,A
2020,2359,61638,MARRIAGE,47.0,A
2020,2359,61631,MARRIAGE,1.0,A
2020,2359,61635,MARRIAGE,2.0,A
2020,2359,61633,MARRIAGE,2.0,A
2020,2359,61636,MARRIAGE,44.0,A
2020,2361,61638,MARRIAGE,61.0,A
2020,2361,61631,MARRIAGE,11.0,A
2020,2361,61635,MARRIAGE,6.0,A
2020,2361,61633,MARRIAGE,4.0,A
2020,2361,61634,MARRIAGE,2.0,A
2020,2361,61636,MARRIAGE,44.0,A
2020,2397,61638,MARRIAGE,25.0,A
2020,2397,61631,MARRIAGE,1.0,A
2020,2397,61635,MARRIAGE,3.0,A
2020,2397,61633,MARRIAGE,2.0,A
2020,2397,61634,MARRIAGE,1.0,A
2020,2397,61636,MARRIAGE,21.0,A
2020,2363,61638,MARRIAGE,15.0,A
2020,2363,61635,MARRIAGE,4.0,A
2020,2363,61633,MARRIAGE,3.0,A
2020,2363,61634,MARRIAGE,1.0,A
2020,2363,61636,MARRIAGE,11.0,A
2020,2364,61638,MARRIAGE,4.0,A
2020,2364,61636,MARRIAGE,4.0,A
2020,2365,61638,MARRIAGE,237.0,A
2020,2365,61631,MARRIAGE,6.0,A
2020,2365,61635,MARRIAGE,41.0,A
2020,2365,61633,MARRIAGE,25.0,A
2020,2365,61634,MARRIAGE,16.0,A
2020,2365,61636,MARRIAGE,190.0,A
2020,2366,61638,MARRIAGE,5.0,A
2020,2366,61635,MARRIAGE,3.0,A
2020,2366,61633,MARRIAGE,2.0,A
2020,2366,61634,MARRIAGE,1.0,A
2020,2366,61636,MARRIAGE,2.0,A
2020,2368,61638,MARRIAGE,136.0,A
2020,2368,61631,MARRIAGE,3.0,A
2020,2368,61635,MARRIAGE,18.0,A
2020,2368,61633,MARRIAGE,9.0,A
