D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;4306;3691;Nacimientos;65522.0;A
2020;3143;4306;3689;Nacimientos;33527.0;A
2020;3143;4306;3690;Nacimientos;31995.0;A
2020;3143;4172;3691;Nacimientos;14.0;A
2020;3143;4172;3689;Nacimientos;10.0;A
2020;3143;4172;3690;Nacimientos;4.0;A
2020;3143;4191;3691;Nacimientos;1618.0;A
2020;3143;4191;3689;Nacimientos;829.0;A
2020;3143;4191;3690;Nacimientos;789.0;A
2020;3143;215038;3691;Nacimientos;5838.0;A
2020;3143;215038;3689;Nacimientos;2973.0;A
2020;3143;215038;3690;Nacimientos;2865.0;A
2020;3143;215039;3691;Nacimientos;12862.0;A
2020;3143;215039;3689;Nacimientos;6592.0;A
2020;3143;215039;3690;Nacimientos;6270.0;A
2020;3143;215040;3691;Nacimientos;21603.0;A
2020;3143;215040;3689;Nacimientos;11174.0;A
2020;3143;215040;3690;Nacimientos;10429.0;A
2020;3143;215041;3691;Nacimientos;18045.0;A
2020;3143;215041;3689;Nacimientos;9152.0;A
2020;3143;215041;3690;Nacimientos;8893.0;A
2020;3143;4210;3691;Nacimientos;5087.0;A
2020;3143;4210;3689;Nacimientos;2579.0;A
2020;3143;4210;3690;Nacimientos;2508.0;A
2020;3143;4235;3691;Nacimientos;426.0;A
2020;3143;4235;3689;Nacimientos;206.0;A
2020;3143;4235;3690;Nacimientos;220.0;A
2020;3143;4305;3691;Nacimientos;29.0;A
2020;3143;4305;3689;Nacimientos;12.0;A
2020;3143;4305;3690;Nacimientos;17.0;A
2020;2352;4306;3691;Nacimientos;6874.0;A
2020;2352;4306;3689;Nacimientos;3580.0;A
2020;2352;4306;3690;Nacimientos;3294.0;A
2020;2352;4172;3691;Nacimientos;2.0;A
2020;2352;4172;3689;Nacimientos;2.0;A
2020;2352;4191;3691;Nacimientos;219.0;A
2020;2352;4191;3689;Nacimientos;101.0;A
2020;2352;4191;3690;Nacimientos;118.0;A
2020;2352;215038;3691;Nacimientos;880.0;A
2020;2352;215038;3689;Nacimientos;465.0;A
2020;2352;215038;3690;Nacimientos;415.0;A
2020;2352;215039;3691;Nacimientos;1527.0;A
2020;2352;215039;3689;Nacimientos;798.0;A
2020;2352;215039;3690;Nacimientos;729.0;A
2020;2352;215040;3691;Nacimientos;2131.0;A
2020;2352;215040;3689;Nacimientos;1119.0;A
2020;2352;215040;3690;Nacimientos;1012.0;A
2020;2352;215041;3691;Nacimientos;1566.0;A
2020;2352;215041;3689;Nacimientos;823.0;A
2020;2352;215041;3690;Nacimientos;743.0;A
2020;2352;4210;3691;Nacimientos;512.0;A
2020;2352;4210;3689;Nacimientos;256.0;A
2020;2352;4210;3690;Nacimientos;256.0;A
2020;2352;4235;3691;Nacimientos;36.0;A
2020;2352;4235;3689;Nacimientos;15.0;A
2020;2352;4235;3690;Nacimientos;21.0;A
2020;2352;4305;3691;Nacimientos;1.0;A
2020;2352;4305;3689;Nacimientos;1.0;A
2020;2241;4306;3691;Nacimientos;6.0;A
2020;2241;4306;3689;Nacimientos;5.0;A
2020;2241;4306;3690;Nacimientos;1.0;A
2020;2241;215038;3691;Nacimientos;2.0;A
2020;2241;215038;3689;Nacimientos;1.0;A
2020;2241;215038;3690;Nacimientos;1.0;A
2020;2241;215040;3691;Nacimientos;2.0;A
2020;2241;215040;3689;Nacimientos;2.0;A
2020;2241;215041;3691;Nacimientos;2.0;A
2020;2241;215041;3689;Nacimientos;2.0;A
2020;2242;4306;3691;Nacimientos;7.0;A
2020;2242;4306;3689;Nacimientos;2.0;A
2020;2242;4306;3690;Nacimientos;5.0;A
2020;2242;215038;3691;Nacimientos;1.0;A
2020;2242;215038;3690;Nacimientos;1.0;A
2020;2242;215040;3691;Nacimientos;2.0;A
2020;2242;215040;3690;Nacimientos;2.0;A
2020;2242;215041;3691;Nacimientos;4.0;A
2020;2242;215041;3689;Nacimientos;2.0;A
2020;2242;215041;3690;Nacimientos;2.0;A
2020;2243;4306;3691;Nacimientos;236.0;A
2020;2243;4306;3689;Nacimientos;126.0;A
2020;2243;4306;3690;Nacimientos;110.0;A
2020;2243;4191;3691;Nacimientos;6.0;A
