D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;2383;Nacimientos;118.0;A
2020;3690;2384;Nacimientos;273.0;A
2020;3690;2398;Nacimientos;21.0;A
2020;3690;280346;Nacimientos;10.0;A
2020;3690;2386;Nacimientos;126.0;A
2020;3690;2385;Nacimientos;290.0;A
2020;3690;2387;Nacimientos;2.0;A
2020;3690;2388;Nacimientos;75.0;A
2020;3690;2389;Nacimientos;1.0;A
2020;3690;2390;Nacimientos;24.0;A
2020;3690;2391;Nacimientos;49.0;A
2020;3690;2392;Nacimientos;41.0;A
2020;3690;2393;Nacimientos;3.0;A
2020;3690;2394;Nacimientos;46.0;A
2020;3690;2395;Nacimientos;1.0;A
2020;3690;2482;Nacimientos;2777.0;A
2020;3690;2403;Nacimientos;15.0;A
2020;3690;2404;Nacimientos;44.0;A
2020;3690;2405;Nacimientos;8.0;A
2020;3690;2406;Nacimientos;12.0;A
2020;3690;2407;Nacimientos;39.0;A
2020;3690;2408;Nacimientos;4.0;A
2020;3690;2409;Nacimientos;82.0;A
2020;3690;2410;Nacimientos;14.0;A
2020;3690;2411;Nacimientos;8.0;A
2020;3690;2412;Nacimientos;26.0;A
2020;3690;2413;Nacimientos;2.0;A
2020;3690;2414;Nacimientos;32.0;A
2020;3690;2415;Nacimientos;64.0;A
2020;3690;2416;Nacimientos;7.0;A
2020;3690;2417;Nacimientos;4.0;A
2020;3690;2418;Nacimientos;1.0;A
2020;3690;2419;Nacimientos;73.0;A
2020;3690;2420;Nacimientos;16.0;A
2020;3690;2421;Nacimientos;20.0;A
2020;3690;2422;Nacimientos;4.0;A
2020;3690;2423;Nacimientos;1099.0;A
2020;3690;2424;Nacimientos;15.0;A
2020;3690;2425;Nacimientos;7.0;A
2020;3690;2426;Nacimientos;6.0;A
2020;3690;2427;Nacimientos;9.0;A
2020;3690;2428;Nacimientos;7.0;A
2020;3690;2429;Nacimientos;46.0;A
2020;3690;280347;Nacimientos;5.0;A
2020;3690;2430;Nacimientos;;A
2020;3690;2431;Nacimientos;10.0;A
2020;3690;2432;Nacimientos;54.0;A
2020;3690;2433;Nacimientos;;A
2020;3690;2434;Nacimientos;;A
