D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2010;3143;3691;4306;Defunciones;64471.0;A
2010;3143;3691;58924;Defunciones;348.0;A
2010;3143;3691;4159;Defunciones;78.0;A
2010;3143;3691;4165;Defunciones;44.0;A
2010;3143;3691;4171;Defunciones;56.0;A
2010;3143;3691;4178;Defunciones;113.0;A
2010;3143;3691;4184;Defunciones;155.0;A
2010;3143;3691;4190;Defunciones;193.0;A
2010;3143;3691;4197;Defunciones;328.0;A
2010;3143;3691;4203;Defunciones;528.0;A
2010;3143;3691;4209;Defunciones;933.0;A
2010;3143;3691;4216;Defunciones;1384.0;A
2010;3143;3691;4222;Defunciones;1860.0;A
2010;3143;3691;4228;Defunciones;2181.0;A
2010;3143;3691;4234;Defunciones;3193.0;A
2010;3143;3691;4241;Defunciones;4177.0;A
2010;3143;3691;4247;Defunciones;6010.0;A
2010;3143;3691;4253;Defunciones;10129.0;A
2010;3143;3691;4259;Defunciones;12382.0;A
2010;3143;3691;58926;Defunciones;11501.0;A
2010;3143;3691;58927;Defunciones;6327.0;A
2010;3143;3691;4277;Defunciones;2167.0;A
2010;3143;3691;4304;Defunciones;384.0;A
2010;3143;3689;4306;Defunciones;33911.0;A
2010;3143;3689;58924;Defunciones;197.0;A
2010;3143;3689;4159;Defunciones;34.0;A
2010;3143;3689;4165;Defunciones;24.0;A
2010;3143;3689;4171;Defunciones;31.0;A
2010;3143;3689;4178;Defunciones;82.0;A
2010;3143;3689;4184;Defunciones;110.0;A
2010;3143;3689;4190;Defunciones;143.0;A
2010;3143;3689;4197;Defunciones;230.0;A
2010;3143;3689;4203;Defunciones;349.0;A
2010;3143;3689;4209;Defunciones;637.0;A
2010;3143;3689;4216;Defunciones;955.0;A
2010;3143;3689;4222;Defunciones;1322.0;A
2010;3143;3689;4228;Defunciones;1532.0;A
2010;3143;3689;4234;Defunciones;2275.0;A
2010;3143;3689;4241;Defunciones;2855.0;A
2010;3143;3689;4247;Defunciones;3881.0;A
2010;3143;3689;4253;Defunciones;5777.0;A
2010;3143;3689;4259;Defunciones;6127.0;A
2010;3143;3689;58926;Defunciones;4691.0;A
2010;3143;3689;58927;Defunciones;2012.0;A
2010;3143;3689;4277;Defunciones;572.0;A
2010;3143;3689;4304;Defunciones;75.0;A
2010;3143;3690;4306;Defunciones;30560.0;A
2010;3143;3690;58924;Defunciones;151.0;A
2010;3143;3690;4159;Defunciones;44.0;A
2010;3143;3690;4165;Defunciones;20.0;A
2010;3143;3690;4171;Defunciones;25.0;A
2010;3143;3690;4178;Defunciones;31.0;A
2010;3143;3690;4184;Defunciones;45.0;A
2010;3143;3690;4190;Defunciones;50.0;A
2010;3143;3690;4197;Defunciones;98.0;A
2010;3143;3690;4203;Defunciones;179.0;A
2010;3143;3690;4209;Defunciones;296.0;A
2010;3143;3690;4216;Defunciones;429.0;A
2010;3143;3690;4222;Defunciones;538.0;A
2010;3143;3690;4228;Defunciones;649.0;A
2010;3143;3690;4234;Defunciones;918.0;A
2010;3143;3690;4241;Defunciones;1322.0;A
2010;3143;3690;4247;Defunciones;2129.0;A
2010;3143;3690;4253;Defunciones;4352.0;A
2010;3143;3690;4259;Defunciones;6255.0;A
2010;3143;3690;58926;Defunciones;6810.0;A
2010;3143;3690;58927;Defunciones;4315.0;A
2010;3143;3690;4277;Defunciones;1595.0;A
2010;3143;3690;4304;Defunciones;309.0;A
2010;2352;3691;4306;Defunciones;4579.0;A
2010;2352;3691;58924;Defunciones;32.0;A
2010;2352;3691;4159;Defunciones;10.0;A
2010;2352;3691;4165;Defunciones;6.0;A
2010;2352;3691;4171;Defunciones;2.0;A
2010;2352;3691;4178;Defunciones;8.0;A
2010;2352;3691;4184;Defunciones;11.0;A
2010;2352;3691;4190;Defunciones;15.0;A
2010;2352;3691;4197;Defunciones;30.0;A
2010;2352;3691;4203;Defunciones;55.0;A
2010;2352;3691;4209;Defunciones;74.0;A
2010;2352;3691;4216;Defunciones;92.0;A
2010;2352;3691;4222;Defunciones;155.0;A
2010;2352;3691;4228;Defunciones;167.0;A
2010;2352;3691;4234;Defunciones;236.0;A
2010;2352;3691;4241;Defunciones;281.0;A
2010;2352;3691;4247;Defunciones;389.0;A
2010;2352;3691;4253;Defunciones;710.0;A
2010;2352;3691;4259;Defunciones;874.0;A
2010;2352;3691;58926;Defunciones;824.0;A
2010;2352;3691;58927;Defunciones;436.0;A
2010;2352;3691;4277;Defunciones;142.0;A
2010;2352;3691;4304;Defunciones;30.0;A
2010;2352;3689;4306;Defunciones;2457.0;A
2010;2352;3689;58924;Defunciones;21.0;A
2010;2352;3689;4159;Defunciones;3.0;A
2010;2352;3689;4165;Defunciones;4.0;A
2010;2352;3689;4171;Defunciones;1.0;A
2010;2352;3689;4178;Defunciones;4.0;A
2010;2352;3689;4184;Defunciones;9.0;A
2010;2352;3689;4190;Defunciones;7.0;A
2010;2352;3689;4197;Defunciones;20.0;A
2010;2352;3689;4203;Defunciones;37.0;A
2010;2352;3689;4209;Defunciones;49.0;A
2010;2352;3689;4216;Defunciones;58.0;A
2010;2352;3689;4222;Defunciones;105.0;A
2010;2352;3689;4228;Defunciones;127.0;A
2010;2352;3689;4234;Defunciones;161.0;A
2010;2352;3689;4241;Defunciones;190.0;A
2010;2352;3689;4247;Defunciones;253.0;A
2010;2352;3689;4253;Defunciones;417.0;A
2010;2352;3689;4259;Defunciones;445.0;A
2010;2352;3689;58926;Defunciones;354.0;A
2010;2352;3689;58927;Defunciones;137.0;A
2010;2352;3689;4277;Defunciones;46.0;A
2010;2352;3689;4304;Defunciones;9.0;A
2010;2352;3690;4306;Defunciones;2122.0;A
2010;2352;3690;58924;Defunciones;11.0;A
2010;2352;3690;4159;Defunciones;7.0;A
2010;2352;3690;4165;Defunciones;2.0;A
2010;2352;3690;4171;Defunciones;1.0;A
2010;2352;3690;4178;Defunciones;4.0;A
2010;2352;3690;4184;Defunciones;2.0;A
2010;2352;3690;4190;Defunciones;8.0;A
2010;2352;3690;4197;Defunciones;10.0;A
2010;2352;3690;4203;Defunciones;18.0;A
2010;2352;3690;4209;Defunciones;25.0;A
2010;2352;3690;4216;Defunciones;34.0;A
2010;2352;3690;4222;Defunciones;50.0;A
2010;2352;3690;4228;Defunciones;40.0;A
2010;2352;3690;4234;Defunciones;75.0;A
2010;2352;3690;4241;Defunciones;91.0;A
2010;2352;3690;4247;Defunciones;136.0;A
2010;2352;3690;4253;Defunciones;293.0;A
2010;2352;3690;4259;Defunciones;429.0;A
2010;2352;3690;58926;Defunciones;470.0;A
2010;2352;3690;58927;Defunciones;299.0;A
2010;2352;3690;4277;Defunciones;96.0;A
2010;2352;3690;4304;Defunciones;21.0;A
2010;2241;3691;4306;Defunciones;19.0;A
2010;2241;3691;4234;Defunciones;1.0;A
2010;2241;3691;4241;Defunciones;1.0;A
2010;2241;3691;4247;Defunciones;1.0;A
2010;2241;3691;4253;Defunciones;2.0;A
2010;2241;3691;4259;Defunciones;3.0;A
2010;2241;3691;58926;Defunciones;4.0;A
2010;2241;3691;58927;Defunciones;3.0;A
