D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2014;2244;215039;3691;Nacimientos;2.0;A
2014;2244;215039;3689;Nacimientos;1.0;A
2014;2244;215039;3690;Nacimientos;1.0;A
2014;2244;215041;3691;Nacimientos;1.0;A
2014;2244;215041;3689;Nacimientos;1.0;A
2014;2245;4306;3691;Nacimientos;3.0;A
2014;2245;4306;3690;Nacimientos;3.0;A
2014;2245;215038;3691;Nacimientos;1.0;A
2014;2245;215038;3690;Nacimientos;1.0;A
2014;2245;215040;3691;Nacimientos;2.0;A
2014;2245;215040;3690;Nacimientos;2.0;A
2014;2246;4306;3691;Nacimientos;127.0;A
2014;2246;4306;3689;Nacimientos;74.0;A
2014;2246;4306;3690;Nacimientos;53.0;A
2014;2246;4191;3691;Nacimientos;2.0;A
2014;2246;4191;3689;Nacimientos;2.0;A
2014;2246;215038;3691;Nacimientos;16.0;A
2014;2246;215038;3689;Nacimientos;6.0;A
2014;2246;215038;3690;Nacimientos;10.0;A
2014;2246;215039;3691;Nacimientos;26.0;A
2014;2246;215039;3689;Nacimientos;18.0;A
2014;2246;215039;3690;Nacimientos;8.0;A
2014;2246;215040;3691;Nacimientos;47.0;A
2014;2246;215040;3689;Nacimientos;29.0;A
2014;2246;215040;3690;Nacimientos;18.0;A
2014;2246;215041;3691;Nacimientos;31.0;A
2014;2246;215041;3689;Nacimientos;16.0;A
2014;2246;215041;3690;Nacimientos;15.0;A
2014;2246;4210;3691;Nacimientos;5.0;A
2014;2246;4210;3689;Nacimientos;3.0;A
2014;2246;4210;3690;Nacimientos;2.0;A
2014;2247;4306;3691;Nacimientos;4.0;A
2014;2247;4306;3689;Nacimientos;4.0;A
2014;2247;215039;3691;Nacimientos;4.0;A
2014;2247;215039;3689;Nacimientos;4.0;A
2014;2248;4306;3691;Nacimientos;2.0;A
2014;2248;4306;3689;Nacimientos;1.0;A
2014;2248;4306;3690;Nacimientos;1.0;A
2014;2248;215039;3691;Nacimientos;1.0;A
2014;2248;215039;3690;Nacimientos;1.0;A
2014;2248;215041;3691;Nacimientos;1.0;A
2014;2248;215041;3689;Nacimientos;1.0;A
2014;2250;4306;3691;Nacimientos;5.0;A
2014;2250;4306;3689;Nacimientos;4.0;A
2014;2250;4306;3690;Nacimientos;1.0;A
2014;2250;215038;3691;Nacimientos;1.0;A
2014;2250;215038;3689;Nacimientos;1.0;A
2014;2250;215039;3691;Nacimientos;1.0;A
2014;2250;215039;3689;Nacimientos;1.0;A
2014;2250;215040;3691;Nacimientos;2.0;A
2014;2250;215040;3689;Nacimientos;2.0;A
2014;2250;215041;3691;Nacimientos;1.0;A
2014;2250;215041;3690;Nacimientos;1.0;A
2014;2251;4306;3691;Nacimientos;40.0;A
2014;2251;4306;3689;Nacimientos;19.0;A
2014;2251;4306;3690;Nacimientos;21.0;A
2014;2251;4191;3691;Nacimientos;3.0;A
2014;2251;4191;3689;Nacimientos;1.0;A
2014;2251;4191;3690;Nacimientos;2.0;A
2014;2251;215038;3691;Nacimientos;5.0;A
2014;2251;215038;3689;Nacimientos;3.0;A
2014;2251;215038;3690;Nacimientos;2.0;A
2014;2251;215039;3691;Nacimientos;10.0;A
2014;2251;215039;3689;Nacimientos;5.0;A
2014;2251;215039;3690;Nacimientos;5.0;A
2014;2251;215040;3691;Nacimientos;11.0;A
2014;2251;215040;3689;Nacimientos;5.0;A
2014;2251;215040;3690;Nacimientos;6.0;A
2014;2251;215041;3691;Nacimientos;7.0;A
2014;2251;215041;3689;Nacimientos;5.0;A
2014;2251;215041;3690;Nacimientos;2.0;A
2014;2251;4210;3691;Nacimientos;4.0;A
2014;2251;4210;3690;Nacimientos;4.0;A
2014;2252;4306;3691;Nacimientos;1.0;A
2014;2252;4306;3689;Nacimientos;1.0;A
2014;2252;215040;3691;Nacimientos;1.0;A
2014;2252;215040;3689;Nacimientos;1.0;A
2014;2253;4306;3691;Nacimientos;2188.0;A
2014;2253;4306;3689;Nacimientos;1146.0;A
2014;2253;4306;3690;Nacimientos;1042.0;A
2014;2253;4172;3691;Nacimientos;1.0;A
2014;2253;4172;3689;Nacimientos;1.0;A
2014;2253;4191;3691;Nacimientos;79.0;A
2014;2253;4191;3689;Nacimientos;37.0;A
2014;2253;4191;3690;Nacimientos;42.0;A
2014;2253;215038;3691;Nacimientos;232.0;A
2014;2253;215038;3689;Nacimientos;118.0;A
2014;2253;215038;3690;Nacimientos;114.0;A
2014;2253;215039;3691;Nacimientos;439.0;A
2014;2253;215039;3689;Nacimientos;228.0;A
2014;2253;215039;3690;Nacimientos;211.0;A
2014;2253;215040;3691;Nacimientos;761.0;A
2014;2253;215040;3689;Nacimientos;412.0;A
2014;2253;215040;3690;Nacimientos;349.0;A
2014;2253;215041;3691;Nacimientos;545.0;A
2014;2253;215041;3689;Nacimientos;280.0;A
2014;2253;215041;3690;Nacimientos;265.0;A
2014;2253;4210;3691;Nacimientos;118.0;A
2014;2253;4210;3689;Nacimientos;63.0;A
2014;2253;4210;3690;Nacimientos;55.0;A
2014;2253;4235;3691;Nacimientos;11.0;A
2014;2253;4235;3689;Nacimientos;6.0;A
2014;2253;4235;3690;Nacimientos;5.0;A
2014;2253;4305;3691;Nacimientos;2.0;A
2014;2253;4305;3689;Nacimientos;1.0;A
2014;2253;4305;3690;Nacimientos;1.0;A
2014;2254;4306;3691;Nacimientos;2.0;A
2014;2254;4306;3689;Nacimientos;2.0;A
2014;2254;215039;3691;Nacimientos;2.0;A
2014;2254;215039;3689;Nacimientos;2.0;A
2014;2256;4306;3691;Nacimientos;31.0;A
2014;2256;4306;3689;Nacimientos;17.0;A
2014;2256;4306;3690;Nacimientos;14.0;A
2014;2256;4172;3691;Nacimientos;1.0;A
2014;2256;4172;3689;Nacimientos;1.0;A
2014;2256;4191;3691;Nacimientos;2.0;A
2014;2256;4191;3689;Nacimientos;1.0;A
2014;2256;4191;3690;Nacimientos;1.0;A
2014;2256;215038;3691;Nacimientos;3.0;A
2014;2256;215038;3689;Nacimientos;2.0;A
2014;2256;215038;3690;Nacimientos;1.0;A
2014;2256;215039;3691;Nacimientos;8.0;A
2014;2256;215039;3689;Nacimientos;1.0;A
2014;2256;215039;3690;Nacimientos;7.0;A
2014;2256;215040;3691;Nacimientos;11.0;A
2014;2256;215040;3689;Nacimientos;8.0;A
2014;2256;215040;3690;Nacimientos;3.0;A
2014;2256;215041;3691;Nacimientos;5.0;A
2014;2256;215041;3689;Nacimientos;4.0;A
2014;2256;215041;3690;Nacimientos;1.0;A
2014;2256;4210;3691;Nacimientos;1.0;A
2014;2256;4210;3690;Nacimientos;1.0;A
2014;2257;4306;3691;Nacimientos;18.0;A
2014;2257;4306;3689;Nacimientos;13.0;A
2014;2257;4306;3690;Nacimientos;5.0;A
2014;2257;215038;3691;Nacimientos;2.0;A
2014;2257;215038;3689;Nacimientos;2.0;A
2014;2257;215039;3691;Nacimientos;4.0;A
2014;2257;215039;3689;Nacimientos;3.0;A
2014;2257;215039;3690;Nacimientos;1.0;A
2014;2257;215040;3691;Nacimientos;6.0;A
2014;2257;215040;3689;Nacimientos;3.0;A
2014;2257;215040;3690;Nacimientos;3.0;A
2014;2257;215041;3691;Nacimientos;5.0;A
2014;2257;215041;3689;Nacimientos;4.0;A
