D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2016;3023;70391;Muertes fetales tardías;45.0;A
2016;3023;70394;Muertes fetales tardías;48.0;A
2016;3142;70395;Muertes fetales tardías;117.0;A
2016;3142;70391;Muertes fetales tardías;59.0;A
2016;3142;70394;Muertes fetales tardías;58.0;A
2016;3143;70395;Muertes fetales tardías;491.0;A
2016;3143;70391;Muertes fetales tardías;245.0;A
2016;3143;70394;Muertes fetales tardías;246.0;A
2015;2352;70395;Muertes fetales tardías;19.0;A
2015;2352;70391;Muertes fetales tardías;10.0;A
2015;2352;70394;Muertes fetales tardías;9.0;A
2015;2402;70395;Muertes fetales tardías;78.0;A
2015;2402;70391;Muertes fetales tardías;38.0;A
2015;2402;70394;Muertes fetales tardías;40.0;A
2015;2482;70395;Muertes fetales tardías;35.0;A
2015;2482;70391;Muertes fetales tardías;17.0;A
2015;2482;70394;Muertes fetales tardías;18.0;A
2015;2713;70395;Muertes fetales tardías;74.0;A
2015;2713;70391;Muertes fetales tardías;36.0;A
2015;2713;70394;Muertes fetales tardías;38.0;A
2015;2797;70395;Muertes fetales tardías;1.0;A
2015;2797;70391;Muertes fetales tardías;1.0;A
2015;2911;70395;Muertes fetales tardías;57.0;A
2015;2911;70391;Muertes fetales tardías;29.0;A
2015;2911;70394;Muertes fetales tardías;28.0;A
2015;3023;70395;Muertes fetales tardías;103.0;A
2015;3023;70391;Muertes fetales tardías;51.0;A
2015;3023;70394;Muertes fetales tardías;52.0;A
2015;3142;70395;Muertes fetales tardías;134.0;A
2015;3142;70391;Muertes fetales tardías;68.0;A
2015;3142;70394;Muertes fetales tardías;66.0;A
2015;3143;70395;Muertes fetales tardías;501.0;A
2015;3143;70391;Muertes fetales tardías;250.0;A
2015;3143;70394;Muertes fetales tardías;251.0;A
2014;2352;70395;Muertes fetales tardías;68.0;A
2014;2352;70391;Muertes fetales tardías;35.0;A
2014;2352;70394;Muertes fetales tardías;33.0;A
2014;2402;70395;Muertes fetales tardías;67.0;A
2014;2402;70391;Muertes fetales tardías;34.0;A
2014;2402;70394;Muertes fetales tardías;33.0;A
2014;2482;70395;Muertes fetales tardías;41.0;A
2014;2482;70391;Muertes fetales tardías;20.0;A
2014;2482;70394;Muertes fetales tardías;21.0;A
2014;2713;70395;Muertes fetales tardías;78.0;A
2014;2713;70391;Muertes fetales tardías;38.0;A
2014;2713;70394;Muertes fetales tardías;40.0;A
2014;2797;70395;Muertes fetales tardías;1.0;A
2014;2797;70391;Muertes fetales tardías;1.0;A
2014;2911;70395;Muertes fetales tardías;38.0;A
2014;2911;70391;Muertes fetales tardías;19.0;A
2014;2911;70394;Muertes fetales tardías;19.0;A
2014;3023;70395;Muertes fetales tardías;113.0;A
2014;3023;70391;Muertes fetales tardías;54.0;A
2014;3023;70394;Muertes fetales tardías;59.0;A
2014;3142;70395;Muertes fetales tardías;127.0;A
2014;3142;70391;Muertes fetales tardías;64.0;A
2014;3142;70394;Muertes fetales tardías;63.0;A
2014;3143;70395;Muertes fetales tardías;533.0;A
2014;3143;70391;Muertes fetales tardías;265.0;A
2014;3143;70394;Muertes fetales tardías;268.0;A
2013;2352;70395;Muertes fetales tardías;44.0;A
2013;2352;70391;Muertes fetales tardías;22.0;A
2013;2352;70394;Muertes fetales tardías;22.0;A
2013;2402;70395;Muertes fetales tardías;78.0;A
2013;2402;70391;Muertes fetales tardías;40.0;A
2013;2402;70394;Muertes fetales tardías;38.0;A
2013;2482;70395;Muertes fetales tardías;45.0;A
2013;2482;70391;Muertes fetales tardías;23.0;A
2013;2482;70394;Muertes fetales tardías;22.0;A
2013;2713;70395;Muertes fetales tardías;81.0;A
2013;2713;70391;Muertes fetales tardías;38.0;A
2013;2713;70394;Muertes fetales tardías;43.0;A
2013;2797;70395;Muertes fetales tardías;5.0;A
2013;2797;70391;Muertes fetales tardías;4.0;A
2013;2797;70394;Muertes fetales tardías;1.0;A
2013;2911;70395;Muertes fetales tardías;47.0;A
2013;2911;70391;Muertes fetales tardías;25.0;A
2013;2911;70394;Muertes fetales tardías;22.0;A
2013;3023;70395;Muertes fetales tardías;99.0;A
2013;3023;70391;Muertes fetales tardías;47.0;A
2013;3023;70394;Muertes fetales tardías;52.0;A
2013;3142;70395;Muertes fetales tardías;140.0;A
2013;3142;70391;Muertes fetales tardías;69.0;A
2013;3142;70394;Muertes fetales tardías;71.0;A
2013;3143;70395;Muertes fetales tardías;539.0;A
2013;3143;70391;Muertes fetales tardías;268.0;A
2013;3143;70394;Muertes fetales tardías;271.0;A
2012;2352;70395;Muertes fetales tardías;38.0;A
2012;2352;70391;Muertes fetales tardías;18.0;A
2012;2352;70394;Muertes fetales tardías;20.0;A
2012;2402;70395;Muertes fetales tardías;67.0;A
2012;2402;70391;Muertes fetales tardías;34.0;A
2012;2402;70394;Muertes fetales tardías;33.0;A
2012;2482;70395;Muertes fetales tardías;53.0;A
2012;2482;70391;Muertes fetales tardías;25.0;A
2012;2482;70394;Muertes fetales tardías;28.0;A
2012;2713;70395;Muertes fetales tardías;73.0;A
2012;2713;70391;Muertes fetales tardías;36.0;A
2012;2713;70394;Muertes fetales tardías;37.0;A
2012;2797;70395;Muertes fetales tardías;18.0;A
2012;2797;70391;Muertes fetales tardías;9.0;A
2012;2797;70394;Muertes fetales tardías;9.0;A
2012;2911;70395;Muertes fetales tardías;54.0;A
2012;2911;70391;Muertes fetales tardías;28.0;A
2012;2911;70394;Muertes fetales tardías;26.0;A
2012;3023;70395;Muertes fetales tardías;112.0;A
2012;3023;70391;Muertes fetales tardías;56.0;A
2012;3023;70394;Muertes fetales tardías;56.0;A
2012;3142;70395;Muertes fetales tardías;163.0;A
2012;3142;70391;Muertes fetales tardías;82.0;A
2012;3142;70394;Muertes fetales tardías;81.0;A
2012;3143;70395;Muertes fetales tardías;578.0;A
2012;3143;70391;Muertes fetales tardías;288.0;A
2012;3143;70394;Muertes fetales tardías;290.0;A
2011;2352;70395;Muertes fetales tardías;32.0;A
2011;2352;70391;Muertes fetales tardías;17.0;A
2011;2352;70394;Muertes fetales tardías;15.0;A
2011;2402;70395;Muertes fetales tardías;87.0;A
2011;2402;70391;Muertes fetales tardías;44.0;A
2011;2402;70394;Muertes fetales tardías;43.0;A
2011;2482;70395;Muertes fetales tardías;47.0;A
2011;2482;70391;Muertes fetales tardías;24.0;A
