D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2001;3142;70394;Muertes fetales tardías;122.0;A
2001;3143;70395;Muertes fetales tardías;713.0;A
2001;3143;70391;Muertes fetales tardías;355.0;A
2001;3143;70394;Muertes fetales tardías;358.0;A
2000;2352;70395;Muertes fetales tardías;50.0;A
2000;2352;70391;Muertes fetales tardías;25.0;A
2000;2352;70394;Muertes fetales tardías;25.0;A
2000;2402;70395;Muertes fetales tardías;104.0;A
2000;2402;70391;Muertes fetales tardías;52.0;A
2000;2402;70394;Muertes fetales tardías;52.0;A
2000;2482;70395;Muertes fetales tardías;67.0;A
2000;2482;70391;Muertes fetales tardías;34.0;A
2000;2482;70394;Muertes fetales tardías;33.0;A
2000;2713;70395;Muertes fetales tardías;88.0;A
2000;2713;70391;Muertes fetales tardías;42.0;A
2000;2713;70394;Muertes fetales tardías;46.0;A
2000;2797;70395;Muertes fetales tardías;6.0;A
2000;2797;70391;Muertes fetales tardías;5.0;A
2000;2797;70394;Muertes fetales tardías;1.0;A
2000;2911;70395;Muertes fetales tardías;50.0;A
2000;2911;70391;Muertes fetales tardías;26.0;A
2000;2911;70394;Muertes fetales tardías;24.0;A
2000;3023;70395;Muertes fetales tardías;100.0;A
2000;3023;70391;Muertes fetales tardías;49.0;A
2000;3023;70394;Muertes fetales tardías;51.0;A
2000;3142;70395;Muertes fetales tardías;221.0;A
2000;3142;70391;Muertes fetales tardías;110.0;A
2000;3142;70394;Muertes fetales tardías;111.0;A
2000;3143;70395;Muertes fetales tardías;686.0;A
2000;3143;70391;Muertes fetales tardías;343.0;A
2000;3143;70394;Muertes fetales tardías;343.0;A
1999;2352;70395;Muertes fetales tardías;39.0;A
1999;2352;70391;Muertes fetales tardías;20.0;A
1999;2352;70394;Muertes fetales tardías;19.0;A
1999;2402;70395;Muertes fetales tardías;125.0;A
1999;2402;70391;Muertes fetales tardías;63.0;A
1999;2402;70394;Muertes fetales tardías;62.0;A
1999;2482;70395;Muertes fetales tardías;101.0;A
1999;2482;70391;Muertes fetales tardías;51.0;A
1999;2482;70394;Muertes fetales tardías;50.0;A
1999;2713;70395;Muertes fetales tardías;97.0;A
1999;2713;70391;Muertes fetales tardías;46.0;A
1999;2713;70394;Muertes fetales tardías;51.0;A
1999;2797;70395;Muertes fetales tardías;1.0;A
1999;2797;70391;Muertes fetales tardías;1.0;A
1999;2911;70395;Muertes fetales tardías;51.0;A
1999;2911;70391;Muertes fetales tardías;27.0;A
1999;2911;70394;Muertes fetales tardías;24.0;A
1999;3023;70395;Muertes fetales tardías;110.0;A
1999;3023;70391;Muertes fetales tardías;54.0;A
1999;3023;70394;Muertes fetales tardías;56.0;A
1999;3142;70395;Muertes fetales tardías;201.0;A
1999;3142;70391;Muertes fetales tardías;99.0;A
1999;3142;70394;Muertes fetales tardías;102.0;A
1999;3143;70395;Muertes fetales tardías;725.0;A
1999;3143;70391;Muertes fetales tardías;361.0;A
1999;3143;70394;Muertes fetales tardías;364.0;A
1998;2352;70395;Muertes fetales tardías;27.0;A
1998;2352;70391;Muertes fetales tardías;14.0;A
1998;2352;70394;Muertes fetales tardías;13.0;A
1998;2402;70395;Muertes fetales tardías;131.0;A
1998;2402;70391;Muertes fetales tardías;67.0;A
1998;2402;70394;Muertes fetales tardías;64.0;A
1998;2482;70395;Muertes fetales tardías;100.0;A
1998;2482;70391;Muertes fetales tardías;49.0;A
1998;2482;70394;Muertes fetales tardías;51.0;A
1998;2713;70395;Muertes fetales tardías;81.0;A
1998;2713;70391;Muertes fetales tardías;39.0;A
1998;2713;70394;Muertes fetales tardías;42.0;A
1998;2797;70395;Muertes fetales tardías;1.0;A
1998;2797;70391;Muertes fetales tardías;1.0;A
1998;2911;70395;Muertes fetales tardías;32.0;A
1998;2911;70391;Muertes fetales tardías;18.0;A
1998;2911;70394;Muertes fetales tardías;14.0;A
1998;3023;70395;Muertes fetales tardías;130.0;A
1998;3023;70391;Muertes fetales tardías;62.0;A
1998;3023;70394;Muertes fetales tardías;68.0;A
1998;3142;70395;Muertes fetales tardías;187.0;A
1998;3142;70391;Muertes fetales tardías;93.0;A
1998;3142;70394;Muertes fetales tardías;94.0;A
1998;3143;70395;Muertes fetales tardías;689.0;A
1998;3143;70391;Muertes fetales tardías;343.0;A
1998;3143;70394;Muertes fetales tardías;346.0;A
1997;2352;70395;Muertes fetales tardías;60.0;A
1997;2352;70391;Muertes fetales tardías;30.0;A
1997;2352;70394;Muertes fetales tardías;30.0;A
1997;2402;70395;Muertes fetales tardías;104.0;A
1997;2402;70391;Muertes fetales tardías;52.0;A
1997;2402;70394;Muertes fetales tardías;52.0;A
1997;2482;70395;Muertes fetales tardías;88.0;A
1997;2482;70391;Muertes fetales tardías;44.0;A
1997;2482;70394;Muertes fetales tardías;44.0;A
1997;2713;70395;Muertes fetales tardías;90.0;A
1997;2713;70391;Muertes fetales tardías;44.0;A
1997;2713;70394;Muertes fetales tardías;46.0;A
1997;2797;70395;Muertes fetales tardías;25.0;A
1997;2797;70391;Muertes fetales tardías;13.0;A
1997;2797;70394;Muertes fetales tardías;12.0;A
1997;2911;70395;Muertes fetales tardías;69.0;A
1997;2911;70391;Muertes fetales tardías;36.0;A
1997;2911;70394;Muertes fetales tardías;33.0;A
1997;3023;70395;Muertes fetales tardías;121.0;A
1997;3023;70391;Muertes fetales tardías;60.0;A
1997;3023;70394;Muertes fetales tardías;61.0;A
1997;3142;70395;Muertes fetales tardías;209.0;A
1997;3142;70391;Muertes fetales tardías;104.0;A
1997;3142;70394;Muertes fetales tardías;105.0;A
1997;3143;70395;Muertes fetales tardías;766.0;A
1997;3143;70391;Muertes fetales tardías;383.0;A
1997;3143;70394;Muertes fetales tardías;383.0;A
1996;2352;70395;Muertes fetales tardías;67.0;A
1996;2352;70391;Muertes fetales tardías;33.0;A
1996;2352;70394;Muertes fetales tardías;34.0;A
1996;2402;70395;Muertes fetales tardías;121.0;A
1996;2402;70391;Muertes fetales tardías;63.0;A
1996;2402;70394;Muertes fetales tardías;58.0;A
1996;2482;70395;Muertes fetales tardías;82.0;A
1996;2482;70391;Muertes fetales tardías;40.0;A
1996;2482;70394;Muertes fetales tardías;42.0;A
1996;2713;70395;Muertes fetales tardías;98.0;A
1996;2713;70391;Muertes fetales tardías;49.0;A
1996;2713;70394;Muertes fetales tardías;49.0;A
1996;2797;70395;Muertes fetales tardías;58.0;A
1996;2797;70391;Muertes fetales tardías;29.0;A
1996;2797;70394;Muertes fetales tardías;29.0;A
1996;2911;70395;Muertes fetales tardías;63.0;A
1996;2911;70391;Muertes fetales tardías;32.0;A
1996;2911;70394;Muertes fetales tardías;31.0;A
1996;3023;70395;Muertes fetales tardías;113.0;A
1996;3023;70391;Muertes fetales tardías;55.0;A
1996;3023;70394;Muertes fetales tardías;58.0;A
1996;3142;70395;Muertes fetales tardías;178.0;A
1996;3142;70391;Muertes fetales tardías;88.0;A
1996;3142;70394;Muertes fetales tardías;90.0;A
1996;3143;70395;Muertes fetales tardías;780.0;A
1996;3143;70391;Muertes fetales tardías;389.0;A
1996;3143;70394;Muertes fetales tardías;391.0;A
