D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2020;2352;3689;58927;Defunciones;300.0;A
2020;2352;3689;4277;Defunciones;68.0;A
2020;2352;3689;4304;Defunciones;14.0;A
2020;2352;3690;4306;Defunciones;2647.0;A
2020;2352;3690;58924;Defunciones;18.0;A
2020;2352;3690;4159;Defunciones;1.0;A
2020;2352;3690;4165;Defunciones;3.0;A
2020;2352;3690;4171;Defunciones;1.0;A
2020;2352;3690;4184;Defunciones;3.0;A
2020;2352;3690;4190;Defunciones;8.0;A
2020;2352;3690;4197;Defunciones;10.0;A
2020;2352;3690;4203;Defunciones;22.0;A
2020;2352;3690;4209;Defunciones;25.0;A
2020;2352;3690;4216;Defunciones;33.0;A
2020;2352;3690;4222;Defunciones;68.0;A
2020;2352;3690;4228;Defunciones;88.0;A
2020;2352;3690;4234;Defunciones;91.0;A
2020;2352;3690;4241;Defunciones;114.0;A
2020;2352;3690;4247;Defunciones;163.0;A
2020;2352;3690;4253;Defunciones;226.0;A
2020;2352;3690;4259;Defunciones;402.0;A
2020;2352;3690;58926;Defunciones;645.0;A
2020;2352;3690;58927;Defunciones;503.0;A
2020;2352;3690;4277;Defunciones;192.0;A
2020;2352;3690;4304;Defunciones;31.0;A
2020;2241;3691;4306;Defunciones;8.0;A
2020;2241;3691;4241;Defunciones;1.0;A
2020;2241;3691;4259;Defunciones;2.0;A
2020;2241;3691;58926;Defunciones;2.0;A
2020;2241;3691;58927;Defunciones;3.0;A
2020;2241;3689;4306;Defunciones;3.0;A
2020;2241;3689;4241;Defunciones;1.0;A
2020;2241;3689;4259;Defunciones;1.0;A
2020;2241;3689;58927;Defunciones;1.0;A
2020;2241;3690;4306;Defunciones;5.0;A
2020;2241;3690;4259;Defunciones;1.0;A
2020;2241;3690;58926;Defunciones;2.0;A
2020;2241;3690;58927;Defunciones;2.0;A
2020;2242;3691;4306;Defunciones;17.0;A
2020;2242;3691;4222;Defunciones;1.0;A
2020;2242;3691;4234;Defunciones;1.0;A
2020;2242;3691;4253;Defunciones;1.0;A
2020;2242;3691;4259;Defunciones;2.0;A
2020;2242;3691;58926;Defunciones;3.0;A
2020;2242;3691;58927;Defunciones;8.0;A
2020;2242;3691;4304;Defunciones;1.0;A
2020;2242;3689;4306;Defunciones;6.0;A
2020;2242;3689;4234;Defunciones;1.0;A
2020;2242;3689;4259;Defunciones;1.0;A
2020;2242;3689;58926;Defunciones;2.0;A
2020;2242;3689;58927;Defunciones;2.0;A
2020;2242;3690;4306;Defunciones;11.0;A
2020;2242;3690;4222;Defunciones;1.0;A
2020;2242;3690;4253;Defunciones;1.0;A
2020;2242;3690;4259;Defunciones;1.0;A
2020;2242;3690;58926;Defunciones;1.0;A
2020;2242;3690;58927;Defunciones;6.0;A
2020;2242;3690;4304;Defunciones;1.0;A
2020;2243;3691;4306;Defunciones;206.0;A
2020;2243;3691;4159;Defunciones;1.0;A
2020;2243;3691;4190;Defunciones;1.0;A
2020;2243;3691;4197;Defunciones;2.0;A
2020;2243;3691;4203;Defunciones;2.0;A
2020;2243;3691;4209;Defunciones;1.0;A
2020;2243;3691;4216;Defunciones;3.0;A
2020;2243;3691;4222;Defunciones;8.0;A
2020;2243;3691;4228;Defunciones;14.0;A
2020;2243;3691;4234;Defunciones;13.0;A
2020;2243;3691;4241;Defunciones;10.0;A
2020;2243;3691;4247;Defunciones;16.0;A
2020;2243;3691;4253;Defunciones;23.0;A
2020;2243;3691;4259;Defunciones;36.0;A
2020;2243;3691;58926;Defunciones;40.0;A
2020;2243;3691;58927;Defunciones;30.0;A
2020;2243;3691;4277;Defunciones;6.0;A
2020;2243;3689;4306;Defunciones;105.0;A
2020;2243;3689;4159;Defunciones;1.0;A
2020;2243;3689;4190;Defunciones;1.0;A
2020;2243;3689;4197;Defunciones;2.0;A
2020;2243;3689;4203;Defunciones;1.0;A
2020;2243;3689;4209;Defunciones;1.0;A
2020;2243;3689;4216;Defunciones;2.0;A
2020;2243;3689;4222;Defunciones;4.0;A
2020;2243;3689;4228;Defunciones;6.0;A
2020;2243;3689;4234;Defunciones;8.0;A
2020;2243;3689;4241;Defunciones;6.0;A
2020;2243;3689;4247;Defunciones;9.0;A
2020;2243;3689;4253;Defunciones;13.0;A
2020;2243;3689;4259;Defunciones;17.0;A
2020;2243;3689;58926;Defunciones;20.0;A
