D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2019;2713;5630;Divorcios;1634.5488;A
2019;2713;5622;Divorcios;1507.2496;A
2019;2713;5621;Divorcios;1507.2496;A
2019;2713;5620;Divorcios;1507.2496;A
2019;2713;5629;Divorcios;127.2992;A
2019;2713;5625;Divorcios;103.3264;A
2019;2713;5623;Divorcios;57.20128;A
2019;2713;5624;Divorcios;46.12512;A
2019;2713;5628;Divorcios;23.9728;A
2019;2713;5626;Divorcios;23.9728;A
2019;2797;5630;Divorcios;1003.79841;A
2019;2797;5622;Divorcios;918.32539;A
2019;2797;5621;Divorcios;918.32539;A
2019;2797;5620;Divorcios;918.32539;A
2019;2797;5629;Divorcios;85.47302;A
2019;2797;5625;Divorcios;55.96305;A
2019;2797;5623;Divorcios;23.39619;A
2019;2797;5624;Divorcios;32.56686;A
2019;2797;5628;Divorcios;29.50997;A
2019;2797;5626;Divorcios;23.39619;A
2019;2797;5627;Divorcios;6.11378;A
2019;2911;5630;Divorcios;1181.24056;A
2019;2911;5622;Divorcios;1149.30296;A
2019;2911;5621;Divorcios;1149.30296;A
2019;2911;5620;Divorcios;1149.30296;A
2019;2911;5629;Divorcios;31.9376;A
2019;2911;5625;Divorcios;18.75312;A
2019;2911;5623;Divorcios;12.67268;A
2019;2911;5624;Divorcios;6.08044;A
2019;2911;5628;Divorcios;13.18448;A
2019;2911;5626;Divorcios;6.08044;A
2019;2911;5627;Divorcios;7.10404;A
2019;3023;5630;Divorcios;3795.50761;A
2019;3023;5622;Divorcios;3122.14949;A
2019;3023;5621;Divorcios;3122.14949;A
2019;3023;5620;Divorcios;3122.14949;A
2019;3023;5629;Divorcios;673.35812;A
2019;3023;5625;Divorcios;459.35853;A
2019;3023;5623;Divorcios;205.0105;A
2019;3023;5624;Divorcios;254.34803;A
2019;3023;5628;Divorcios;213.99959;A
2019;3023;5626;Divorcios;148.24328;A
2019;3023;5627;Divorcios;65.75631;A
2019;3142;5630;Divorcios;4059.5542;A
2019;3142;5622;Divorcios;3802.42187;A
2019;3142;5621;Divorcios;3802.42187;A
