D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2018;2352;5638;Divorcios;336.9339;A
2018;2352;5640;Divorcios;37.4371;A
2018;2352;5642;Divorcios;1.6277;A
2018;2402;5661;Divorcios;2490.3415;A
2018;2402;5634;Divorcios;1102.8918;A
2018;2402;5636;Divorcios;731.8416;A
2018;2402;5638;Divorcios;594.6213;A
2018;2402;5640;Divorcios;60.9868;A
2018;2402;5642;Divorcios;;A
2018;2482;5661;Divorcios;1405.7198;A
2018;2482;5634;Divorcios;610.6478;A
2018;2482;5636;Divorcios;377.856;A
2018;2482;5638;Divorcios;377.856;A
2018;2482;5640;Divorcios;34.112;A
2018;2482;5642;Divorcios;5.248;A
2018;2482;5660;Divorcios;;A
2018;2713;5661;Divorcios;1684.5826;A
2018;2713;5634;Divorcios;822.0082;A
2018;2713;5636;Divorcios;399.7296;A
2018;2713;5638;Divorcios;404.4048;A
2018;2713;5640;Divorcios;53.7648;A
2018;2713;5642;Divorcios;4.6752;A
2018;2797;5661;Divorcios;986.218;A
2018;2797;5634;Divorcios;432.72;A
2018;2797;5636;Divorcios;287.452;A
2018;2797;5638;Divorcios;253.814;A
2018;2797;5640;Divorcios;9.174;A
2018;2797;5642;Divorcios;3.058;A
2018;2911;5661;Divorcios;1108.2069;A
2018;2911;5634;Divorcios;627.8725;A
2018;2911;5636;Divorcios;214.7649;A
2018;2911;5638;Divorcios;240.1672;A
2018;2911;5640;Divorcios;23.093;A
2018;2911;5642;Divorcios;2.3093;A
2018;3023;5661;Divorcios;3718.358;A
2018;3023;5634;Divorcios;1836.8003;A
2018;3023;5636;Divorcios;920.1348;A
2018;3023;5638;Divorcios;823.7959;A
2018;3023;5640;Divorcios;121.8982;A
2018;3023;5642;Divorcios;13.7627;A
2018;3023;5660;Divorcios;1.9661;A
2018;3142;5661;Divorcios;4085.2617;A
2018;3142;5634;Divorcios;1712.6652;A
2018;3142;5636;Divorcios;1123.8615;A
2018;3142;5638;Divorcios;1094.4795;A
2018;3142;5640;Divorcios;138.0954;A
2018;3142;5642;Divorcios;13.2219;A
2018;3142;5660;Divorcios;2.9382;A
2017;3143;5661;Divorcios;17436.6101;A
2017;3143;5634;Divorcios;8012.7218;A
2017;3143;5636;Divorcios;4613.873;A
2017;3143;5638;Divorcios;4198.5134;A
2017;3143;5640;Divorcios;549.6071;A
2017;3143;5642;Divorcios;55.2921;A
2017;3143;5660;Divorcios;6.6027;A
2017;2352;5661;Divorcios;1454.7143;A
2017;2352;5634;Divorcios;709.3263;A
2017;2352;5636;Divorcios;403.118;A
2017;2352;5638;Divorcios;304.24;A
2017;2352;5640;Divorcios;27.3816;A
2017;2352;5642;Divorcios;9.1272;A
2017;2352;5660;Divorcios;1.5212;A
2017;2402;5661;Divorcios;2406.3281;A
2017;2402;5634;Divorcios;1047.8127;A
2017;2402;5636;Divorcios;680.1036;A
2017;2402;5638;Divorcios;603.9726;A
2017;2402;5640;Divorcios;69.3638;A
2017;2402;5642;Divorcios;3.3836;A
2017;2402;5660;Divorcios;1.6918;A
2017;2482;5661;Divorcios;1426.032;A
2017;2482;5634;Divorcios;586.859;A
2017;2482;5636;Divorcios;435.578;A
2017;2482;5638;Divorcios;360.951;A
2017;2482;5640;Divorcios;39.598;A
2017;2482;5642;Divorcios;3.046;A
2017;2713;5661;Divorcios;1990.6668;A
2017;2713;5634;Divorcios;912.5348;A
2017;2713;5636;Divorcios;465.5112;A
2017;2713;5638;Divorcios;519.9216;A
2017;2713;5640;Divorcios;84.6384;A
2017;2713;5642;Divorcios;6.0456;A
2017;2713;5660;Divorcios;2.0152;A
2017;2797;5661;Divorcios;1060.4795;A
2017;2797;5634;Divorcios;458.3163;A
2017;2797;5636;Divorcios;301.0816;A
2017;2797;5638;Divorcios;269.3888;A
2017;2797;5640;Divorcios;29.712;A
2017;2797;5642;Divorcios;1.9808;A
2017;2911;5661;Divorcios;1127.8821;A
2017;2911;5634;Divorcios;616.0821;A
2017;2911;5636;Divorcios;247.7112;A
2017;2911;5638;Divorcios;229.2864;A
2017;2911;5640;Divorcios;32.7552;A
2017;2911;5642;Divorcios;2.0472;A
2017;3023;5661;Divorcios;3652.1307;A
2017;3023;5634;Divorcios;1827.8925;A
2017;3023;5636;Divorcios;909.6954;A
2017;3023;5638;Divorcios;783.663;A
2017;3023;5640;Divorcios;116.3376;A
2017;3023;5642;Divorcios;14.5422;A
2017;3142;5661;Divorcios;4318.3766;A
2017;3142;5634;Divorcios;1853.8981;A
2017;3142;5636;Divorcios;1171.074;A
2017;3142;5638;Divorcios;1127.09;A
2017;3142;5640;Divorcios;149.8205;A
2017;3142;5642;Divorcios;15.1195;A
2017;3142;5660;Divorcios;1.3745;A
2016;3143;5661;Divorcios;16968.2676;A
2016;3143;5634;Divorcios;7577.9682;A
2016;3143;5636;Divorcios;4777.3752;A
2016;3143;5638;Divorcios;4003.6689;A
2016;3143;5640;Divorcios;554.4398;A
2016;3143;5642;Divorcios;46.2014;A
2016;3143;5660;Divorcios;8.6141;A
2016;2352;5661;Divorcios;1425.5804;A
2016;2352;5634;Divorcios;676.8467;A
2016;2352;5636;Divorcios;387.0009;A
2016;2352;5638;Divorcios;316.5162;A
2016;2352;5640;Divorcios;43.8867;A
2016;2352;5642;Divorcios;1.3299;A
2016;2402;5661;Divorcios;2275.825;A
2016;2402;5634;Divorcios;908.9128;A
