D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2019;2713;5104;Divorcios;2.39728;A
2019;2713;5107;Divorcios;788.30896;A
2019;2797;5105;Divorcios;1003.79841;A
2019;2797;5101;Divorcios;39.73957;A
2019;2797;5102;Divorcios;467.70417;A
2019;2797;5103;Divorcios;113.10493;A
2019;2797;5104;Divorcios;3.05689;A
2019;2797;5107;Divorcios;380.19285;A
2019;2911;5105;Divorcios;1181.24056;A
2019;2911;5101;Divorcios;15.2011;A
2019;2911;5102;Divorcios;337.46442;A
2019;2911;5103;Divorcios;124.64902;A
2019;2911;5104;Divorcios;9.12066;A
2019;2911;5107;Divorcios;694.80536;A
2019;3023;5105;Divorcios;3795.50761;A
2019;3023;5101;Divorcios;79.74836;A
2019;3023;5102;Divorcios;1386.21414;A
2019;3023;5103;Divorcios;419.85166;A
2019;3023;5104;Divorcios;9.38216;A
2019;3023;5107;Divorcios;1900.31129;A
2019;3142;5105;Divorcios;4059.5542;A
2019;3142;5101;Divorcios;108.73044;A
2019;3142;5102;Divorcios;1555.01788;A
2019;3142;5103;Divorcios;679.99672;A
2019;3142;5104;Divorcios;12.08116;A
2019;3142;5107;Divorcios;1703.728;A
2018;3143;5105;Divorcios;16934.828;A
2018;3143;5101;Divorcios;395.6731;A
2018;3143;5102;Divorcios;6642.8322;A
2018;3143;5103;Divorcios;2033.3118;A
2018;3143;5104;Divorcios;44.1893;A
2018;3143;5107;Divorcios;7818.8216;A
2018;2352;5105;Divorcios;1456.1395;A
2018;2352;5101;Divorcios;45.5756;A
2018;2352;5102;Divorcios;522.4917;A
2018;2352;5103;Divorcios;209.9733;A
2018;2352;5104;Divorcios;4.8831;A
2018;2352;5107;Divorcios;673.2158;A
2018;2402;5105;Divorcios;2490.3415;A
2018;2402;5101;Divorcios;37.0277;A
2018;2402;5102;Divorcios;1115.1872;A
2018;2402;5103;Divorcios;235.2348;A
2018;2402;5107;Divorcios;1102.8918;A
2018;2482;5105;Divorcios;1405.7198;A
2018;2482;5101;Divorcios;41.984;A
2018;2482;5102;Divorcios;566.784;A
2018;2482;5103;Divorcios;182.368;A
2018;2482;5104;Divorcios;3.936;A
2018;2482;5107;Divorcios;610.6478;A
2018;2713;5105;Divorcios;1684.5826;A
2018;2713;5101;Divorcios;39.7392;A
2018;2713;5102;Divorcios;598.4256;A
2018;2713;5103;Divorcios;222.072;A
2018;2713;5104;Divorcios;2.3376;A
2018;2713;5107;Divorcios;822.0082;A
2018;2797;5105;Divorcios;986.218;A
2018;2797;5101;Divorcios;33.638;A
2018;2797;5102;Divorcios;422.004;A
2018;2797;5103;Divorcios;85.624;A
2018;2797;5104;Divorcios;12.232;A
2018;2797;5107;Divorcios;432.72;A
2018;2911;5105;Divorcios;1108.2069;A
2018;2911;5101;Divorcios;39.2581;A
2018;2911;5102;Divorcios;351.0136;A
2018;2911;5103;Divorcios;85.4441;A
2018;2911;5104;Divorcios;4.6186;A
2018;2911;5107;Divorcios;627.8725;A
2018;3023;5105;Divorcios;3718.358;A
2018;3023;5101;Divorcios;74.7118;A
2018;3023;5102;Divorcios;1433.2869;A
2018;3023;5103;Divorcios;367.6607;A
2018;3023;5104;Divorcios;5.8983;A
2018;3023;5107;Divorcios;1836.8003;A
2018;3142;5105;Divorcios;4085.2617;A
2018;3142;5101;Divorcios;83.7387;A
2018;3142;5102;Divorcios;1633.6392;A
2018;3142;5103;Divorcios;644.9349;A
2018;3142;5104;Divorcios;10.2837;A
2018;3142;5107;Divorcios;1712.6652;A
2017;3143;5105;Divorcios;17436.6101;A
2017;3143;5101;Divorcios;379.8199;A
2017;3143;5102;Divorcios;7175.7275;A
2017;3143;5103;Divorcios;1828.2458;A
2017;3143;5104;Divorcios;40.0951;A
2017;3143;5107;Divorcios;8012.7218;A
2017;2352;5105;Divorcios;1454.7143;A
2017;2352;5101;Divorcios;31.9452;A
2017;2352;5102;Divorcios;553.7168;A
2017;2352;5103;Divorcios;150.5988;A
2017;2352;5104;Divorcios;9.1272;A
2017;2352;5107;Divorcios;709.3263;A
2017;2402;5105;Divorcios;2406.3281;A
2017;2402;5101;Divorcios;57.5212;A
2017;2402;5102;Divorcios;1057.375;A
2017;2402;5103;Divorcios;240.2356;A
2017;2402;5104;Divorcios;3.3836;A
2017;2402;5107;Divorcios;1047.8127;A
2017;2482;5105;Divorcios;1426.032;A
2017;2482;5101;Divorcios;38.075;A
2017;2482;5102;Divorcios;616.815;A
2017;2482;5103;Divorcios;182.76;A
2017;2482;5104;Divorcios;1.523;A
2017;2482;5107;Divorcios;586.859;A
2017;2713;5105;Divorcios;1990.6668;A
2017;2713;5101;Divorcios;32.2432;A
2017;2713;5102;Divorcios;796.004;A
2017;2713;5103;Divorcios;247.8696;A
2017;2713;5104;Divorcios;2.0152;A
2017;2713;5107;Divorcios;912.5348;A
2017;2797;5105;Divorcios;1060.4795;A
2017;2797;5101;Divorcios;15.8464;A
2017;2797;5102;Divorcios;511.0464;A
2017;2797;5103;Divorcios;73.2896;A
2017;2797;5104;Divorcios;1.9808;A
2017;2797;5107;Divorcios;458.3163;A
2017;2911;5105;Divorcios;1127.8821;A
2017;2911;5101;Divorcios;32.7552;A
2017;2911;5102;Divorcios;403.2984;A
2017;2911;5103;Divorcios;75.7464;A
2017;2911;5107;Divorcios;616.0821;A
2017;3023;5105;Divorcios;3652.1307;A
2017;3023;5101;Divorcios;71.0952;A
2017;3023;5102;Divorcios;1402.5144;A
2017;3023;5103;Divorcios;340.9338;A
2017;3023;5104;Divorcios;9.6948;A
2017;3023;5107;Divorcios;1827.8925;A
2017;3142;5105;Divorcios;4318.3766;A
2017;3142;5101;Divorcios;100.3385;A
2017;3142;5102;Divorcios;1834.9575;A
2017;3142;5103;Divorcios;516.812;A
2017;3142;5104;Divorcios;12.3705;A
2017;3142;5107;Divorcios;1853.8981;A
2016;3143;5105;Divorcios;16968.2676;A
2016;3143;5101;Divorcios;384.1741;A
2016;3143;5102;Divorcios;7356.5474;A
2016;3143;5103;Divorcios;1611.2765;A
2016;3143;5104;Divorcios;38.3014;A
2016;3143;5107;Divorcios;7577.9682;A
2016;2352;5105;Divorcios;1425.5804;A
2016;2352;5101;Divorcios;25.2681;A
2016;2352;5102;Divorcios;617.0736;A
2016;2352;5103;Divorcios;105.0621;A
2016;2352;5104;Divorcios;1.3299;A
2016;2352;5107;Divorcios;676.8467;A
2016;2402;5105;Divorcios;2275.825;A
2016;2402;5101;Divorcios;55.181;A
2016;2402;5102;Divorcios;1133.5754;A
2016;2402;5103;Divorcios;175.0026;A
2016;2402;5104;Divorcios;3.1532;A
2016;2402;5107;Divorcios;908.9128;A
2016;2482;5105;Divorcios;1473.292;A
2016;2482;5101;Divorcios;36.5372;A
2016;2482;5102;Divorcios;567.6315;A
2016;2482;5103;Divorcios;259.6751;A
2016;2482;5104;Divorcios;2.6098;A
2016;2482;5107;Divorcios;606.8384;A
2016;2713;5105;Divorcios;1937.4432;A
2016;2713;5101;Divorcios;38.0336;A
2016;2713;5102;Divorcios;784.8752;A
2016;2713;5103;Divorcios;179.7952;A
2016;2713;5104;Divorcios;6.9152;A
2016;2713;5107;Divorcios;927.824;A
2016;2797;5105;Divorcios;1053.5608;A
2016;2797;5101;Divorcios;29.3964;A
2016;2797;5102;Divorcios;504.9264;A
2016;2797;5103;Divorcios;91.6476;A
2016;2797;5104;Divorcios;6.9168;A
2016;2797;5107;Divorcios;420.6736;A
2016;2911;5105;Divorcios;1120.7404;A
2016;2911;5101;Divorcios;20.9272;A
2016;2911;5102;Divorcios;469.3672;A
2016;2911;5103;Divorcios;100.1516;A
2016;2911;5104;Divorcios;1.4948;A
2016;2911;5107;Divorcios;528.7996;A
2016;3023;5105;Divorcios;3657.8326;A
2016;3023;5101;Divorcios;78.0312;A
2016;3023;5102;Divorcios;1484.0934;A
2016;3023;5103;Divorcios;285.114;A
2016;3023;5104;Divorcios;12.0048;A
2016;3023;5107;Divorcios;1798.5892;A
2016;3142;5105;Divorcios;4023.9932;A
2016;3142;5101;Divorcios;100.7994;A
2016;3142;5102;Divorcios;1795.0047;A
2016;3142;5103;Divorcios;414.8283;A
2016;3142;5104;Divorcios;3.8769;A
2016;3142;5107;Divorcios;1709.4839;A
2015;3143;5105;Divorcios;17029.5907;A
2015;3143;5101;Divorcios;408.4571;A
2015;3143;5102;Divorcios;7475.2695;A
2015;3143;5103;Divorcios;1483.341;A
2015;3143;5104;Divorcios;24.6436;A
2015;3143;5107;Divorcios;7637.8795;A
2015;2352;5105;Divorcios;1398.5163;A
2015;2352;5101;Divorcios;31.572;A
2015;2352;5102;Divorcios;601.4466;A
2015;2352;5103;Divorcios;77.3514;A
2015;2352;5104;Divorcios;6.3144;A
2015;2352;5107;Divorcios;681.8319;A
2015;2402;5105;Divorcios;2355.5567;A
2015;2402;5101;Divorcios;71.721;A
2015;2402;5102;Divorcios;1099.722;A
2015;2402;5103;Divorcios;183.287;A
2015;2402;5104;Divorcios;1.5938;A
2015;2402;5107;Divorcios;999.2329;A
2015;2482;5105;Divorcios;1621.987;A
2015;2482;5101;Divorcios;22.3425;A
2015;2482;5102;Divorcios;618.1425;A
2015;2482;5103;Divorcios;305.3475;A
2015;2482;5104;Divorcios;1.4895;A
2015;2482;5107;Divorcios;674.665;A
2015;2713;5105;Divorcios;1864.9266;A
2015;2713;5101;Divorcios;61.884;A
2015;2713;5102;Divorcios;740.889;A
2015;2713;5103;Divorcios;213.156;A
2015;2713;5104;Divorcios;6.876;A
2015;2713;5107;Divorcios;842.1216;A
2015;2797;5105;Divorcios;1022.9657;A
2015;2797;5101;Divorcios;31.2039;A
2015;2797;5102;Divorcios;524.5227;A
2015;2797;5103;Divorcios;62.4078;A
2015;2797;5104;Divorcios;1.4859;A
2015;2797;5107;Divorcios;403.3454;A
2015;2911;5105;Divorcios;1197.5493;A
2015;2911;5101;Divorcios;36.4584;A
2015;2911;5102;Divorcios;516.494;A
2015;2911;5103;Divorcios;101.7797;A
2015;2911;5104;Divorcios;;A
2015;2911;5107;Divorcios;542.8172;A
2015;3023;5105;Divorcios;3560.4711;A
2015;3023;5101;Divorcios;77.1265;A
2015;3023;5102;Divorcios;1448.5759;A
2015;3023;5103;Divorcios;229.9772;A
2015;3023;5104;Divorcios;2.8046;A
2015;3023;5107;Divorcios;1801.9869;A
2015;3142;5105;Divorcios;4007.618;A
2015;3142;5101;Divorcios;76.1488;A
2015;3142;5102;Divorcios;1925.4768;A
2015;3142;5103;Divorcios;310.0344;A
2015;3142;5104;Divorcios;4.0794;A
2015;3142;5107;Divorcios;1691.8786;A
2014;3143;5105;Divorcios;17376.98787;A
2014;3143;5101;Divorcios;404.16361;A
2014;3143;5102;Divorcios;8422.29921;A
2014;3143;5103;Divorcios;1086.24678;A
2014;3143;5104;Divorcios;36.11287;A
2014;3143;5107;Divorcios;7428.1654;A
2014;2352;5105;Divorcios;1315.503;A
2014;2352;5101;Divorcios;38.151;A
2014;2352;5102;Divorcios;633.024;A
2014;2352;5103;Divorcios;72.063;A
2014;2352;5104;Divorcios;1.413;A
2014;2352;5107;Divorcios;570.852;A
2014;2402;5105;Divorcios;2485.68082;A
2014;2402;5101;Divorcios;54.10188;A
2014;2402;5102;Divorcios;1226.30928;A
2014;2402;5103;Divorcios;193.86507;A
2014;2402;5104;Divorcios;7.51415;A
2014;2402;5107;Divorcios;1003.89044;A
2014;2482;5105;Divorcios;1712.10316;A
2014;2482;5101;Divorcios;48.29863;A
2014;2482;5102;Divorcios;852.72064;A
2014;2482;5103;Divorcios;89.93538;A
2014;2482;5104;Divorcios;3.33094;A
2014;2482;5107;Divorcios;717.81757;A
2014;2713;5105;Divorcios;1848.68385;A
2014;2713;5101;Divorcios;50.12865;A
2014;2713;5102;Divorcios;879.52995;A
2014;2713;5103;Divorcios;129.11925;A
2014;2713;5104;Divorcios;4.55715;A
2014;2713;5107;Divorcios;785.34885;A
2014;2797;5105;Divorcios;1140.17566;A
2014;2797;5101;Divorcios;31.12142;A
2014;2797;5102;Divorcios;621.01379;A
2014;2797;5103;Divorcios;65.07206;A
2014;2797;5104;Divorcios;1.41461;A
2014;2797;5107;Divorcios;421.55378;A
2014;2911;5105;Divorcios;1180.1112;A
2014;2911;5101;Divorcios;24.9526;A
2014;2911;5102;Divorcios;607.6692;A
2014;2911;5103;Divorcios;67.5188;A
2014;2911;5104;Divorcios;1.4678;A
2014;2911;5107;Divorcios;478.5028;A
2014;3023;5105;Divorcios;3567.8708;A
2014;3023;5101;Divorcios;72.45225;A
2014;3023;5102;Divorcios;1600.3897;A
2014;3023;5103;Divorcios;193.206;A
2014;3023;5104;Divorcios;4.83015;A
2014;3023;5107;Divorcios;1696.9927;A
2014;3142;5105;Divorcios;4126.85938;A
2014;3142;5101;Divorcios;84.95718;A
2014;3142;5102;Divorcios;2001.64265;A
2014;3142;5103;Divorcios;275.46722;A
2014;3142;5104;Divorcios;11.58507;A
2014;3142;5107;Divorcios;1753.20726;A
2013;3143;5105;Divorcios;16473.17478;A
2013;3143;5101;Divorcios;408.44832;A
2013;3143;5102;Divorcios;7891.05951;A
2013;3143;5103;Divorcios;922.83164;A
2013;3143;5104;Divorcios;30.76155;A
2013;3143;5107;Divorcios;7220.07376;A
2013;2352;5105;Divorcios;1267.4696;A
2013;2352;5101;Divorcios;31.1942;A
2013;2352;5102;Divorcios;510.5998;A
2013;2352;5103;Divorcios;116.5678;A
2013;2352;5104;Divorcios;1.6418;A
2013;2352;5107;Divorcios;607.466;A
2013;2402;5105;Divorcios;2358.7305;A
2013;2402;5101;Divorcios;54.20685;A
2013;2402;5102;Divorcios;1141.27395;A
2013;2402;5103;Divorcios;150.90015;A
2013;2402;5104;Divorcios;2.9301;A
2013;2402;5107;Divorcios;1009.41945;A
2013;2482;5105;Divorcios;1452.76866;A
2013;2482;5101;Divorcios;42.05026;A
2013;2482;5102;Divorcios;739.2707;A
2013;2482;5103;Divorcios;59.68424;A
2013;2482;5104;Divorcios;2.71292;A
2013;2482;5107;Divorcios;609.05054;A
2013;2713;5105;Divorcios;1822.15704;A
2013;2713;5101;Divorcios;61.37505;A
2013;2713;5102;Divorcios;878.34516;A
2013;2713;5103;Divorcios;77.74173;A
2013;2713;5104;Divorcios;4.09167;A
2013;2713;5107;Divorcios;800.60343;A
2013;2797;5105;Divorcios;995.33511;A
2013;2797;5101;Divorcios;34.47048;A
2013;2797;5102;Divorcios;492.64061;A
2013;2797;5103;Divorcios;34.47048;A
2013;2797;5104;Divorcios;1.43627;A
2013;2797;5107;Divorcios;432.31727;A
2013;2911;5105;Divorcios;1155.71547;A
2013;2911;5101;Divorcios;22.57808;A
2013;2911;5102;Divorcios;554.57409;A
2013;2911;5103;Divorcios;67.73424;A
2013;2911;5104;Divorcios;4.23339;A
2013;2911;5107;Divorcios;506.59567;A
2013;3023;5105;Divorcios;3581.6334;A
2013;3023;5101;Divorcios;77.5494;A
2013;3023;5102;Divorcios;1675.9287;A
2013;3023;5103;Divorcios;193.8735;A
2013;3023;5104;Divorcios;5.7444;A
2013;3023;5107;Divorcios;1628.5374;A
2013;3142;5105;Divorcios;3839.365;A
2013;3142;5101;Divorcios;85.024;A
2013;3142;5102;Divorcios;1898.4265;A
2013;3142;5103;Divorcios;221.8595;A
2013;3142;5104;Divorcios;7.971;A
2013;3142;5107;Divorcios;1626.084;A
2012;3143;5105;Divorcios;19100.05171;A
2012;3143;5101;Divorcios;921.13843;A
2012;3143;5102;Divorcios;9086.29046;A
2012;3143;5103;Divorcios;757.45712;A
2012;3143;5104;Divorcios;57.49162;A
2012;3143;5107;Divorcios;8277.67408;A
2012;2352;5105;Divorcios;1673.28115;A
2012;2352;5101;Divorcios;72.22676;A
2012;2352;5102;Divorcios;743.24091;A
2012;2352;5103;Divorcios;58.89033;A
2012;2352;5104;Divorcios;4.88613;A
