TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES614;6949;ESTABLECIMIENTO;69615.0;A
2020;ES614;7057;ESTABLECIMIENTO;4856.0;A
2020;ES614;7058;ESTABLECIMIENTO;4856.0;A
2020;ES614;7109;ESTABLECIMIENTO;83.0;A
2020;ES614;7067;ESTABLECIMIENTO;2.0;A
2020;ES614;7061;ESTABLECIMIENTO;2.0;A
2020;ES614;7086;ESTABLECIMIENTO;3.0;A
2020;ES614;7079;ESTABLECIMIENTO;2.0;A
2020;ES614;7083;ESTABLECIMIENTO;1.0;A
2020;ES614;7099;ESTABLECIMIENTO;77.0;A
2020;ES614;7090;ESTABLECIMIENTO;62.0;A
2020;ES614;7096;ESTABLECIMIENTO;15.0;A
2020;ES614;7108;ESTABLECIMIENTO;1.0;A
2020;ES614;7105;ESTABLECIMIENTO;1.0;A
2020;ES614;7605;ESTABLECIMIENTO;4254.0;A
2020;ES614;7158;ESTABLECIMIENTO;1057.0;A
2020;ES614;7114;ESTABLECIMIENTO;146.0;A
2020;ES614;7118;ESTABLECIMIENTO;11.0;A
2020;ES614;7123;ESTABLECIMIENTO;58.0;A
2020;ES614;7128;ESTABLECIMIENTO;137.0;A
2020;ES614;7133;ESTABLECIMIENTO;47.0;A
2020;ES614;7137;ESTABLECIMIENTO;18.0;A
2020;ES614;7142;ESTABLECIMIENTO;525.0;A
2020;ES614;7151;ESTABLECIMIENTO;103.0;A
2020;ES614;7155;ESTABLECIMIENTO;12.0;A
2020;ES614;7170;ESTABLECIMIENTO;87.0;A
2020;ES614;7167;ESTABLECIMIENTO;87.0;A
2020;ES614;7197;ESTABLECIMIENTO;144.0;A
2020;ES614;7179;ESTABLECIMIENTO;2.0;A
2020;ES614;7182;ESTABLECIMIENTO;2.0;A
2020;ES614;7185;ESTABLECIMIENTO;25.0;A
2020;ES614;7194;ESTABLECIMIENTO;115.0;A
2020;ES614;7214;ESTABLECIMIENTO;203.0;A
2020;ES614;7204;ESTABLECIMIENTO;201.0;A
2020;ES614;7207;ESTABLECIMIENTO;1.0;A
2020;ES614;7211;ESTABLECIMIENTO;1.0;A
2020;ES614;7224;ESTABLECIMIENTO;17.0;A
2020;ES614;7218;ESTABLECIMIENTO;8.0;A
2020;ES614;7221;ESTABLECIMIENTO;9.0;A
2020;ES614;7237;ESTABLECIMIENTO;215.0;A
2020;ES614;7227;ESTABLECIMIENTO;12.0;A
2020;ES614;7234;ESTABLECIMIENTO;203.0;A
2020;ES614;7251;ESTABLECIMIENTO;29.0;A
2020;ES614;7241;ESTABLECIMIENTO;6.0;A
2020;ES614;7248;ESTABLECIMIENTO;23.0;A
2020;ES614;7263;ESTABLECIMIENTO;330.0;A
2020;ES614;7257;ESTABLECIMIENTO;330.0;A
2020;ES614;7272;ESTABLECIMIENTO;1.0;A
2020;ES614;7269;ESTABLECIMIENTO;1.0;A
2020;ES614;7303;ESTABLECIMIENTO;123.0;A
2020;ES614;7281;ESTABLECIMIENTO;41.0;A
2020;ES614;7284;ESTABLECIMIENTO;1.0;A
2020;ES614;7287;ESTABLECIMIENTO;8.0;A
2020;ES614;7291;ESTABLECIMIENTO;45.0;A
2020;ES614;7297;ESTABLECIMIENTO;27.0;A
2020;ES614;7300;ESTABLECIMIENTO;1.0;A
2020;ES614;7312;ESTABLECIMIENTO;31.0;A
2020;ES614;7306;ESTABLECIMIENTO;2.0;A
2020;ES614;7309;ESTABLECIMIENTO;29.0;A
2020;ES614;7325;ESTABLECIMIENTO;63.0;A
2020;ES614;7316;ESTABLECIMIENTO;8.0;A
2020;ES614;7322;ESTABLECIMIENTO;55.0;A
2020;ES614;7368;ESTABLECIMIENTO;260.0;A
2020;ES614;7332;ESTABLECIMIENTO;19.0;A
2020;ES614;7335;ESTABLECIMIENTO;1.0;A
2020;ES614;7339;ESTABLECIMIENTO;13.0;A
2020;ES614;7346;ESTABLECIMIENTO;23.0;A
2020;ES614;7350;ESTABLECIMIENTO;3.0;A
2020;ES614;7358;ESTABLECIMIENTO;102.0;A
2020;ES614;7361;ESTABLECIMIENTO;86.0;A
2020;ES614;7365;ESTABLECIMIENTO;13.0;A
2020;ES614;7397;ESTABLECIMIENTO;16.0;A
2020;ES614;7371;ESTABLECIMIENTO;3.0;A
2020;ES614;7380;ESTABLECIMIENTO;2.0;A
2020;ES614;7388;ESTABLECIMIENTO;2.0;A
2020;ES614;7394;ESTABLECIMIENTO;9.0;A
2020;ES614;7433;ESTABLECIMIENTO;818.0;A
2020;ES614;7401;ESTABLECIMIENTO;649.0;A
2020;ES614;7405;ESTABLECIMIENTO;7.0;A
2020;ES614;7414;ESTABLECIMIENTO;12.0;A
2020;ES614;7418;ESTABLECIMIENTO;101.0;A
2020;ES614;7423;ESTABLECIMIENTO;22.0;A
2020;ES614;7430;ESTABLECIMIENTO;27.0;A
2020;ES614;7462;ESTABLECIMIENTO;62.0;A
2020;ES614;7437;ESTABLECIMIENTO;12.0;A
2020;ES614;7440;ESTABLECIMIENTO;26.0;A
2020;ES614;7443;ESTABLECIMIENTO;2.0;A
2020;ES614;7446;ESTABLECIMIENTO;3.0;A
2020;ES614;7450;ESTABLECIMIENTO;13.0;A
2020;ES614;7453;ESTABLECIMIENTO;3.0;A
2020;ES614;7456;ESTABLECIMIENTO;3.0;A
2020;ES614;7487;ESTABLECIMIENTO;23.0;A
2020;ES614;7466;ESTABLECIMIENTO;6.0;A
2020;ES614;7474;ESTABLECIMIENTO;2.0;A
2020;ES614;7477;ESTABLECIMIENTO;9.0;A
2020;ES614;7481;ESTABLECIMIENTO;5.0;A
2020;ES614;7484;ESTABLECIMIENTO;1.0;A
2020;ES614;7521;ESTABLECIMIENTO;85.0;A
2020;ES614;7494;ESTABLECIMIENTO;3.0;A
2020;ES614;7502;ESTABLECIMIENTO;12.0;A
2020;ES614;7505;ESTABLECIMIENTO;23.0;A
2020;ES614;7509;ESTABLECIMIENTO;7.0;A
2020;ES614;7518;ESTABLECIMIENTO;40.0;A
2020;ES614;7534;ESTABLECIMIENTO;34.0;A
2020;ES614;7524;ESTABLECIMIENTO;2.0;A
2020;ES614;7527;ESTABLECIMIENTO;22.0;A
2020;ES614;7531;ESTABLECIMIENTO;10.0;A
2020;ES614;7555;ESTABLECIMIENTO;13.0;A
2020;ES614;7538;ESTABLECIMIENTO;3.0;A
2020;ES614;7541;ESTABLECIMIENTO;1.0;A
2020;ES614;7544;ESTABLECIMIENTO;4.0;A
2020;ES614;7552;ESTABLECIMIENTO;5.0;A
2020;ES614;7564;ESTABLECIMIENTO;240.0;A
2020;ES614;7561;ESTABLECIMIENTO;240.0;A
2020;ES614;7588;ESTABLECIMIENTO;187.0;A
2020;ES614;7569;ESTABLECIMIENTO;25.0;A
2020;ES614;7572;ESTABLECIMIENTO;28.0;A
2020;ES614;7575;ESTABLECIMIENTO;2.0;A
2020;ES614;7578;ESTABLECIMIENTO;4.0;A
2020;ES614;7581;ESTABLECIMIENTO;98.0;A
2020;ES614;7585;ESTABLECIMIENTO;30.0;A
2020;ES614;7604;ESTABLECIMIENTO;216.0;A
2020;ES614;7598;ESTABLECIMIENTO;214.0;A
2020;ES614;7601;ESTABLECIMIENTO;2.0;A
2020;ES614;7627;ESTABLECIMIENTO;284.0;A
2020;ES614;7626;ESTABLECIMIENTO;284.0;A
2020;ES614;7615;ESTABLECIMIENTO;268.0;A
2020;ES614;7620;ESTABLECIMIENTO;5.0;A
2020;ES614;7623;ESTABLECIMIENTO;11.0;A
2020;ES614;7661;ESTABLECIMIENTO;235.0;A
2020;ES614;7633;ESTABLECIMIENTO;112.0;A
2020;ES614;7630;ESTABLECIMIENTO;112.0;A
2020;ES614;7639;ESTABLECIMIENTO;15.0;A
2020;ES614;7636;ESTABLECIMIENTO;15.0;A
2020;ES614;7654;ESTABLECIMIENTO;62.0;A
2020;ES614;7643;ESTABLECIMIENTO;48.0;A
2020;ES614;7647;ESTABLECIMIENTO;11.0;A
2020;ES614;7651;ESTABLECIMIENTO;3.0;A
2020;ES614;7660;ESTABLECIMIENTO;46.0;A
2020;ES614;7657;ESTABLECIMIENTO;46.0;A
2020;ES614;7662;ESTABLECIMIENTO;7464.0;A
2020;ES614;7663;ESTABLECIMIENTO;7464.0;A
