TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES618;7524;ESTABLECIMIENTO;5.0;A
2020;ES618;7527;ESTABLECIMIENTO;63.0;A
2020;ES618;7531;ESTABLECIMIENTO;21.0;A
2020;ES618;7555;ESTABLECIMIENTO;96.0;A
2020;ES618;7538;ESTABLECIMIENTO;11.0;A
2020;ES618;7541;ESTABLECIMIENTO;15.0;A
2020;ES618;7544;ESTABLECIMIENTO;60.0;A
2020;ES618;7552;ESTABLECIMIENTO;10.0;A
2020;ES618;7564;ESTABLECIMIENTO;580.0;A
2020;ES618;7561;ESTABLECIMIENTO;580.0;A
2020;ES618;7588;ESTABLECIMIENTO;450.0;A
2020;ES618;7569;ESTABLECIMIENTO;107.0;A
2020;ES618;7572;ESTABLECIMIENTO;15.0;A
2020;ES618;7575;ESTABLECIMIENTO;13.0;A
2020;ES618;7578;ESTABLECIMIENTO;10.0;A
2020;ES618;7581;ESTABLECIMIENTO;208.0;A
2020;ES618;7585;ESTABLECIMIENTO;97.0;A
2020;ES618;7604;ESTABLECIMIENTO;530.0;A
2020;ES618;7598;ESTABLECIMIENTO;515.0;A
2020;ES618;7601;ESTABLECIMIENTO;15.0;A
2020;ES618;7627;ESTABLECIMIENTO;353.0;A
2020;ES618;7626;ESTABLECIMIENTO;353.0;A
2020;ES618;7615;ESTABLECIMIENTO;325.0;A
2020;ES618;7620;ESTABLECIMIENTO;4.0;A
2020;ES618;7623;ESTABLECIMIENTO;24.0;A
2020;ES618;7661;ESTABLECIMIENTO;293.0;A
2020;ES618;7633;ESTABLECIMIENTO;57.0;A
2020;ES618;7630;ESTABLECIMIENTO;57.0;A
2020;ES618;7639;ESTABLECIMIENTO;63.0;A
2020;ES618;7636;ESTABLECIMIENTO;63.0;A
2020;ES618;7654;ESTABLECIMIENTO;87.0;A
2020;ES618;7643;ESTABLECIMIENTO;61.0;A
2020;ES618;7647;ESTABLECIMIENTO;18.0;A
2020;ES618;7651;ESTABLECIMIENTO;8.0;A
2020;ES618;7660;ESTABLECIMIENTO;86.0;A
2020;ES618;7657;ESTABLECIMIENTO;86.0;A
2020;ES618;7662;ESTABLECIMIENTO;12519.0;A
2020;ES618;7663;ESTABLECIMIENTO;12519.0;A
2020;ES618;7714;ESTABLECIMIENTO;12519.0;A
2020;ES618;7673;ESTABLECIMIENTO;5589.0;A
2020;ES618;7666;ESTABLECIMIENTO;2874.0;A
2020;ES618;7670;ESTABLECIMIENTO;2715.0;A
