TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES616;6949;ESTABLECIMIENTO;41424.0;A
2020;ES616;7057;ESTABLECIMIENTO;4160.0;A
2020;ES616;7058;ESTABLECIMIENTO;4160.0;A
2020;ES616;7109;ESTABLECIMIENTO;61.0;A
2020;ES616;7086;ESTABLECIMIENTO;2.0;A
2020;ES616;7079;ESTABLECIMIENTO;2.0;A
2020;ES616;7099;ESTABLECIMIENTO;59.0;A
2020;ES616;7090;ESTABLECIMIENTO;54.0;A
2020;ES616;7096;ESTABLECIMIENTO;5.0;A
2020;ES616;7605;ESTABLECIMIENTO;3818.0;A
2020;ES616;7158;ESTABLECIMIENTO;1040.0;A
2020;ES616;7114;ESTABLECIMIENTO;92.0;A
2020;ES616;7118;ESTABLECIMIENTO;5.0;A
2020;ES616;7123;ESTABLECIMIENTO;24.0;A
2020;ES616;7128;ESTABLECIMIENTO;415.0;A
2020;ES616;7133;ESTABLECIMIENTO;25.0;A
2020;ES616;7137;ESTABLECIMIENTO;3.0;A
2020;ES616;7142;ESTABLECIMIENTO;414.0;A
2020;ES616;7151;ESTABLECIMIENTO;48.0;A
2020;ES616;7155;ESTABLECIMIENTO;14.0;A
2020;ES616;7170;ESTABLECIMIENTO;24.0;A
2020;ES616;7167;ESTABLECIMIENTO;24.0;A
2020;ES616;7197;ESTABLECIMIENTO;132.0;A
2020;ES616;7179;ESTABLECIMIENTO;15.0;A
2020;ES616;7182;ESTABLECIMIENTO;2.0;A
2020;ES616;7185;ESTABLECIMIENTO;16.0;A
2020;ES616;7194;ESTABLECIMIENTO;99.0;A
2020;ES616;7214;ESTABLECIMIENTO;133.0;A
2020;ES616;7204;ESTABLECIMIENTO;131.0;A
2020;ES616;7207;ESTABLECIMIENTO;1.0;A
2020;ES616;7211;ESTABLECIMIENTO;1.0;A
2020;ES616;7224;ESTABLECIMIENTO;9.0;A
2020;ES616;7218;ESTABLECIMIENTO;9.0;A
2020;ES616;7237;ESTABLECIMIENTO;182.0;A
2020;ES616;7227;ESTABLECIMIENTO;15.0;A
2020;ES616;7234;ESTABLECIMIENTO;167.0;A
2020;ES616;7251;ESTABLECIMIENTO;16.0;A
2020;ES616;7241;ESTABLECIMIENTO;2.0;A
2020;ES616;7248;ESTABLECIMIENTO;14.0;A
2020;ES616;7263;ESTABLECIMIENTO;210.0;A
2020;ES616;7257;ESTABLECIMIENTO;210.0;A
2020;ES616;7303;ESTABLECIMIENTO;72.0;A
2020;ES616;7281;ESTABLECIMIENTO;24.0;A
2020;ES616;7284;ESTABLECIMIENTO;3.0;A
2020;ES616;7287;ESTABLECIMIENTO;13.0;A
2020;ES616;7291;ESTABLECIMIENTO;19.0;A
2020;ES616;7297;ESTABLECIMIENTO;11.0;A
2020;ES616;7300;ESTABLECIMIENTO;2.0;A
2020;ES616;7312;ESTABLECIMIENTO;17.0;A
2020;ES616;7306;ESTABLECIMIENTO;2.0;A
2020;ES616;7309;ESTABLECIMIENTO;15.0;A
2020;ES616;7325;ESTABLECIMIENTO;74.0;A
2020;ES616;7316;ESTABLECIMIENTO;9.0;A
2020;ES616;7322;ESTABLECIMIENTO;65.0;A
2020;ES616;7368;ESTABLECIMIENTO;272.0;A
2020;ES616;7332;ESTABLECIMIENTO;17.0;A
2020;ES616;7339;ESTABLECIMIENTO;23.0;A
2020;ES616;7346;ESTABLECIMIENTO;74.0;A
2020;ES616;7350;ESTABLECIMIENTO;5.0;A
