TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;2583;6949;EMPRESA;13.0;A
2020;2583;7662;EMPRESA;3.0;A
2020;2583;7663;EMPRESA;3.0;A
2020;2583;7714;EMPRESA;3.0;A
2020;2583;7713;EMPRESA;3.0;A
2020;2583;7694;EMPRESA;3.0;A
2020;2583;7715;EMPRESA;10.0;A
2020;2583;7716;EMPRESA;10.0;A
2020;2583;7859;EMPRESA;4.0;A
2020;2583;7800;EMPRESA;1.0;A
2020;2583;7750;EMPRESA;1.0;A
2020;2583;7858;EMPRESA;3.0;A
2020;2583;7804;EMPRESA;1.0;A
2020;2583;7813;EMPRESA;1.0;A
2020;2583;7846;EMPRESA;1.0;A
2020;2583;7888;EMPRESA;6.0;A
2020;2583;7887;EMPRESA;6.0;A
2020;2583;7877;EMPRESA;1.0;A
2020;2583;7884;EMPRESA;5.0;A
2020;2584;6949;EMPRESA;53.0;A
2020;2584;7057;EMPRESA;8.0;A
2020;2584;7058;EMPRESA;8.0;A
2020;2584;7109;EMPRESA;1.0;A
2020;2584;7099;EMPRESA;1.0;A
2020;2584;7090;EMPRESA;1.0;A
2020;2584;7605;EMPRESA;6.0;A
2020;2584;7158;EMPRESA;4.0;A
2020;2584;7128;EMPRESA;1.0;A
2020;2584;7142;EMPRESA;3.0;A
2020;2584;7433;EMPRESA;1.0;A
2020;2584;7401;EMPRESA;1.0;A
2020;2584;7604;EMPRESA;1.0;A
2020;2584;7598;EMPRESA;1.0;A
2020;2584;7627;EMPRESA;1.0;A
2020;2584;7626;EMPRESA;1.0;A
2020;2584;7615;EMPRESA;1.0;A
2020;2584;7662;EMPRESA;10.0;A
2020;2584;7663;EMPRESA;10.0;A
2020;2584;7714;EMPRESA;10.0;A
2020;2584;7673;EMPRESA;6.0;A
2020;2584;7666;EMPRESA;1.0;A
2020;2584;7670;EMPRESA;5.0;A
2020;2584;7689;EMPRESA;2.0;A
2020;2584;7682;EMPRESA;1.0;A
2020;2584;7686;EMPRESA;1.0;A
2020;2584;7713;EMPRESA;2.0;A
2020;2584;7694;EMPRESA;1.0;A
2020;2584;7699;EMPRESA;1.0;A
2020;2584;7715;EMPRESA;35.0;A
2020;2584;7716;EMPRESA;22.0;A
2020;2584;7859;EMPRESA;14.0;A
2020;2584;7733;EMPRESA;1.0;A
2020;2584;7723;EMPRESA;1.0;A
2020;2584;7800;EMPRESA;1.0;A
2020;2584;7744;EMPRESA;1.0;A
2020;2584;7858;EMPRESA;12.0;A
2020;2584;7804;EMPRESA;4.0;A
2020;2584;7813;EMPRESA;1.0;A
2020;2584;7816;EMPRESA;2.0;A
2020;2584;7846;EMPRESA;2.0;A
2020;2584;7851;EMPRESA;2.0;A
2020;2584;7855;EMPRESA;1.0;A
2020;2584;7888;EMPRESA;8.0;A
2020;2584;7874;EMPRESA;2.0;A
2020;2584;7865;EMPRESA;2.0;A
2020;2584;7887;EMPRESA;6.0;A
2020;2584;7877;EMPRESA;2.0;A
2020;2584;7884;EMPRESA;4.0;A
2020;2584;7889;EMPRESA;3.0;A
2020;2584;7958;EMPRESA;3.0;A
2020;2584;7910;EMPRESA;3.0;A
2020;2584;7900;EMPRESA;1.0;A
2020;2584;7904;EMPRESA;2.0;A
