TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES613;6949;ESTABLECIMIENTO;56357.0;A
2020;ES613;7057;ESTABLECIMIENTO;5763.0;A
2020;ES613;7058;ESTABLECIMIENTO;5763.0;A
2020;ES613;7109;ESTABLECIMIENTO;64.0;A
2020;ES613;7067;ESTABLECIMIENTO;2.0;A
2020;ES613;7061;ESTABLECIMIENTO;2.0;A
2020;ES613;7086;ESTABLECIMIENTO;4.0;A
2020;ES613;7079;ESTABLECIMIENTO;4.0;A
2020;ES613;7099;ESTABLECIMIENTO;56.0;A
2020;ES613;7090;ESTABLECIMIENTO;47.0;A
2020;ES613;7096;ESTABLECIMIENTO;9.0;A
2020;ES613;7108;ESTABLECIMIENTO;2.0;A
2020;ES613;7102;ESTABLECIMIENTO;1.0;A
2020;ES613;7105;ESTABLECIMIENTO;1.0;A
2020;ES613;7605;ESTABLECIMIENTO;5395.0;A
2020;ES613;7158;ESTABLECIMIENTO;1050.0;A
2020;ES613;7114;ESTABLECIMIENTO;147.0;A
2020;ES613;7118;ESTABLECIMIENTO;6.0;A
2020;ES613;7123;ESTABLECIMIENTO;69.0;A
2020;ES613;7128;ESTABLECIMIENTO;291.0;A
2020;ES613;7133;ESTABLECIMIENTO;34.0;A
2020;ES613;7137;ESTABLECIMIENTO;6.0;A
2020;ES613;7142;ESTABLECIMIENTO;363.0;A
2020;ES613;7151;ESTABLECIMIENTO;113.0;A
2020;ES613;7155;ESTABLECIMIENTO;21.0;A
2020;ES613;7170;ESTABLECIMIENTO;99.0;A
2020;ES613;7167;ESTABLECIMIENTO;99.0;A
2020;ES613;7197;ESTABLECIMIENTO;168.0;A
2020;ES613;7179;ESTABLECIMIENTO;4.0;A
2020;ES613;7185;ESTABLECIMIENTO;27.0;A
2020;ES613;7194;ESTABLECIMIENTO;137.0;A
2020;ES613;7214;ESTABLECIMIENTO;220.0;A
2020;ES613;7204;ESTABLECIMIENTO;217.0;A
