TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES614;6949;EMPRESA;58169.0;A
2020;ES614;7057;EMPRESA;4041.0;A
2020;ES614;7058;EMPRESA;4041.0;A
2020;ES614;7109;EMPRESA;64.0;A
2020;ES614;7086;EMPRESA;2.0;A
2020;ES614;7079;EMPRESA;2.0;A
2020;ES614;7099;EMPRESA;57.0;A
2020;ES614;7090;EMPRESA;46.0;A
2020;ES614;7096;EMPRESA;11.0;A
2020;ES614;7108;EMPRESA;5.0;A
2020;ES614;7102;EMPRESA;5.0;A
2020;ES614;7605;EMPRESA;3539.0;A
2020;ES614;7158;EMPRESA;892.0;A
2020;ES614;7114;EMPRESA;119.0;A
2020;ES614;7118;EMPRESA;6.0;A
2020;ES614;7123;EMPRESA;41.0;A
2020;ES614;7128;EMPRESA;123.0;A
2020;ES614;7133;EMPRESA;35.0;A
2020;ES614;7137;EMPRESA;16.0;A
2020;ES614;7142;EMPRESA;455.0;A
2020;ES614;7151;EMPRESA;85.0;A
2020;ES614;7155;EMPRESA;12.0;A
2020;ES614;7170;EMPRESA;73.0;A
2020;ES614;7167;EMPRESA;73.0;A
2020;ES614;7197;EMPRESA;104.0;A
2020;ES614;7179;EMPRESA;2.0;A
2020;ES614;7182;EMPRESA;1.0;A
2020;ES614;7185;EMPRESA;15.0;A
2020;ES614;7194;EMPRESA;86.0;A
2020;ES614;7214;EMPRESA;184.0;A
2020;ES614;7204;EMPRESA;182.0;A
2020;ES614;7207;EMPRESA;1.0;A
2020;ES614;7211;EMPRESA;1.0;A
2020;ES614;7224;EMPRESA;14.0;A
2020;ES614;7218;EMPRESA;8.0;A
2020;ES614;7221;EMPRESA;6.0;A
2020;ES614;7237;EMPRESA;193.0;A
2020;ES614;7227;EMPRESA;15.0;A
2020;ES614;7234;EMPRESA;178.0;A
2020;ES614;7251;EMPRESA;16.0;A
2020;ES614;7241;EMPRESA;5.0;A
