TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-03;ES;62113;INX;103.264;M
2021-03;ES;62114;INX;105.071;M
2021-03;ES;62105;INX;105.094;M
2021-03;ES;62115;INX;107.271;M
2021-03;ES;62116;INX;102.946;M
2021-03;ES;62097;INX;103.076;M
2021-03;ES;62099;INX;105.416;M
2021-03;ES;62091;INX;106.97;M
2021-03;ES;62092;INX;112.274;M
2021-03;ES;62098;INX;99.565;M
2021-03;ES;62117;INX;104.275;M
2021-03;ES61;62089;INX;103.28;M
2021-03;ES61;62090;INX;113.82;M
2021-03;ES61;62093;INX;102.732;M
2021-03;ES61;62100;INX;105.816;M
2021-03;ES61;62096;INX;115.055;M
2021-03;ES61;62094;INX;98.88;M
2021-03;ES61;62095;INX;111.617;M
2021-03;ES61;62101;INX;104.307;M
2021-03;ES61;62102;INX;104.894;M
2021-03;ES61;62106;INX;104.148;M
2021-03;ES61;62103;INX;104.123;M
2021-03;ES61;62104;INX;103.207;M
2021-03;ES61;62107;INX;104.351;M
2021-03;ES61;62108;INX;104.331;M
2021-03;ES61;62109;INX;104.29;M
2021-03;ES61;62110;INX;103.189;M
2021-03;ES61;62111;INX;103.085;M
2021-03;ES61;62112;INX;102.862;M
2021-03;ES61;62113;INX;102.732;M
2021-03;ES61;62114;INX;104.463;M
2021-03;ES61;62105;INX;104.936;M
2021-03;ES61;62115;INX;106.796;M
2021-03;ES61;62116;INX;102.396;M
2021-03;ES61;62097;INX;102.489;M
2021-03;ES61;62099;INX;105.748;M
2021-03;ES61;62091;INX;106.429;M
2021-03;ES61;62092;INX;112.38;M
2021-03;ES61;62098;INX;99.239;M
2021-03;ES61;62117;INX;104.237;M
2021-04;ES;62089;INX;104.276;M
2021-04;ES;62090;INX;113.521;M
2021-04;ES;62093;INX;106.466;M
2021-04;ES;62100;INX;105.541;M
2021-04;ES;62096;INX;115.031;M
2021-04;ES;62094;INX;99.241;M
2021-04;ES;62095;INX;116.514;M
2021-04;ES;62101;INX;106.045;M
2021-04;ES;62102;INX;106.339;M
2021-04;ES;62106;INX;105.615;M
2021-04;ES;62103;INX;105.108;M
2021-04;ES;62104;INX;104.326;M
2021-04;ES;62107;INX;106.691;M
2021-04;ES;62108;INX;106.745;M
2021-04;ES;62109;INX;106.072;M
2021-04;ES;62110;INX;105.05;M
2021-04;ES;62111;INX;104.29;M
2021-04;ES;62112;INX;106.408;M
2021-04;ES;62113;INX;106.466;M
2021-04;ES;62114;INX;109.551;M
2021-04;ES;62105;INX;106.359;M
2021-04;ES;62115;INX;107.575;M
2021-04;ES;62116;INX;103.262;M
2021-04;ES;62097;INX;105.116;M
2021-04;ES;62099;INX;105.514;M
2021-04;ES;62091;INX;107.251;M
2021-04;ES;62092;INX;114.967;M
2021-04;ES;62098;INX;102.176;M
2021-04;ES;62117;INX;105.591;M
2021-04;ES61;62089;INX;103.48;M
2021-04;ES61;62090;INX;114.596;M
2021-04;ES61;62093;INX;106.04;M
2021-04;ES61;62100;INX;105.996;M
2021-04;ES61;62096;INX;115.158;M
2021-04;ES61;62094;INX;98.927;M
2021-04;ES61;62095;INX;116.629;M
2021-04;ES61;62101;INX;106.07;M
2021-04;ES61;62102;INX;106.291;M
2021-04;ES61;62106;INX;105.606;M
2021-04;ES61;62103;INX;105.065;M
2021-04;ES61;62104;INX;104.167;M
2021-04;ES61;62107;INX;106.309;M
2021-04;ES61;62108;INX;106.352;M
2021-04;ES61;62109;INX;106.105;M
2021-04;ES61;62110;INX;105.12;M
2021-04;ES61;62111;INX;104.29;M
2021-04;ES61;62112;INX;105.992;M
2021-04;ES61;62113;INX;106.04;M
2021-04;ES61;62114;INX;109.165;M
