D_TEMPORAL_0;D_CNAE09_0;D_PUB_PRIV_0;D_TERRITORIO_0;D_TIPO_EMPRESA_0;D_TIPO_ESTAB_0;INDICATOR;OBS_VALUE;FREQ
2009;217314;215135;3143;215124;213227;Unidades;;A
2009;217314;215136;3143;215124;213227;Unidades;11.765714286;A
2009;217315;215134;3143;215124;213227;Unidades;6.267049246;A
2009;217315;215135;3143;215124;213227;Unidades;;A
2009;217315;215136;3143;215124;213227;Unidades;6.267049246;A
2009;217316;215134;3143;215124;213227;Unidades;4.316425121;A
2009;217316;215135;3143;215124;213227;Unidades;;A
2009;217316;215136;3143;215124;213227;Unidades;4.316425121;A
2009;7605;215134;3143;215124;213227;Unidades;5.200592886;A
2009;7605;215135;3143;215124;213227;Unidades;;A
2009;7605;215136;3143;215124;213227;Unidades;5.200592886;A
2009;7627;215134;3143;215124;213227;Unidades;7.384615385;A
2009;7627;215135;3143;215124;213227;Unidades;3.0;A
2009;7627;215136;3143;215124;213227;Unidades;4.384615385;A
2009;7661;215134;3143;215124;213227;Unidades;7.428571429;A
2009;7661;215135;3143;215124;213227;Unidades;2.0;A
2009;7661;215136;3143;215124;213227;Unidades;5.428571429;A
2010;7109;215134;3143;215124;213227;Unidades;2.0;A
2010;7109;215135;3143;215124;213227;Unidades;;A
2010;7109;215136;3143;215124;213227;Unidades;2.0;A
2010;217302;215134;3143;215124;213227;Unidades;57.375654472;A
2010;217302;215135;3143;215124;213227;Unidades;;A
2010;217302;215136;3143;215124;213227;Unidades;57.375654472;A
2010;217304;215134;3143;215124;213227;Unidades;6.506924983;A
2010;217304;215135;3143;215124;213227;Unidades;;A
2010;217304;215136;3143;215124;213227;Unidades;6.506924983;A
2010;217305;215134;3143;215124;213227;Unidades;8.311011269;A
2010;217305;215135;3143;215124;213227;Unidades;;A
2010;217305;215136;3143;215124;213227;Unidades;8.311011269;A
2010;217306;215134;3143;215124;213227;Unidades;54.316692437;A
2010;217306;215135;3143;215124;213227;Unidades;1.047761194;A
2010;217306;215136;3143;215124;213227;Unidades;53.268931243;A
2010;217307;215134;3143;215124;213227;Unidades;12.71401515;A
2010;217307;215135;3143;215124;213227;Unidades;;A
2010;217307;215136;3143;215124;213227;Unidades;12.71401515;A
2010;217308;215134;3143;215124;213227;Unidades;12.278313329;A
2010;217308;215135;3143;215124;213227;Unidades;;A
2010;217308;215136;3143;215124;213227;Unidades;12.278313329;A
2010;217309;215134;3143;215124;213227;Unidades;14.698477701;A
2010;217309;215135;3143;215124;213227;Unidades;;A
2010;217309;215136;3143;215124;213227;Unidades;14.698477701;A
2010;217310;215134;3143;215124;213227;Unidades;25.078214859;A
2010;217310;215135;3143;215124;213227;Unidades;;A
2010;217310;215136;3143;215124;213227;Unidades;25.078214859;A
2010;217311;215134;3143;215124;213227;Unidades;13.370551314;A
2010;217311;215135;3143;215124;213227;Unidades;;A
2010;217311;215136;3143;215124;213227;Unidades;13.370551314;A
2010;217312;215134;3143;215124;213227;Unidades;29.151585531;A
2010;217312;215135;3143;215124;213227;Unidades;;A
2010;217312;215136;3143;215124;213227;Unidades;29.151585531;A
2010;217313;215134;3143;215124;213227;Unidades;8.576242223;A
2010;217313;215135;3143;215124;213227;Unidades;;A
2010;217313;215136;3143;215124;213227;Unidades;8.576242223;A
2010;217314;215134;3143;215124;213227;Unidades;12.999999999;A
2010;217314;215135;3143;215124;213227;Unidades;;A
2010;217314;215136;3143;215124;213227;Unidades;12.999999999;A
2010;217315;215134;3143;215124;213227;Unidades;4.215517241;A
2010;217315;215135;3143;215124;213227;Unidades;1.077586207;A
2010;217315;215136;3143;215124;213227;Unidades;3.137931034;A
2010;217316;215134;3143;215124;213227;Unidades;7.9509133;A
2010;217316;215135;3143;215124;213227;Unidades;1.096774194;A
2010;217316;215136;3143;215124;213227;Unidades;6.854139106;A
2010;7605;215134;3143;215124;213227;Unidades;3.0;A
2010;7605;215135;3143;215124;213227;Unidades;;A
2010;7605;215136;3143;215124;213227;Unidades;3.0;A
2010;7627;215134;3143;215124;213227;Unidades;6.25;A
2010;7627;215135;3143;215124;213227;Unidades;3.0;A
2010;7627;215136;3143;215124;213227;Unidades;3.25;A
2010;7661;215134;3143;215124;213227;Unidades;2.0;A
2010;7661;215135;3143;215124;213227;Unidades;1.0;A
2010;7661;215136;3143;215124;213227;Unidades;1.0;A
2011;7109;215134;3143;215124;213227;Unidades;3.181818182;A
2011;7109;215135;3143;215124;213227;Unidades;;A
2011;7109;215136;3143;215124;213227;Unidades;3.181818182;A
2011;217302;215134;3143;215124;213227;Unidades;55.536442321;A
2011;217302;215135;3143;215124;213227;Unidades;;A
2011;217302;215136;3143;215124;213227;Unidades;55.536442321;A
2011;217304;215134;3143;215124;213227;Unidades;7.804077098;A
2011;217304;215135;3143;215124;213227;Unidades;;A
2011;217304;215136;3143;215124;213227;Unidades;7.804077098;A
2011;217305;215134;3143;215124;213227;Unidades;11.606935418;A
2011;217305;215135;3143;215124;213227;Unidades;;A
2011;217305;215136;3143;215124;213227;Unidades;11.606935418;A
2011;217306;215134;3143;215124;213227;Unidades;52.503035365;A
2011;217306;215135;3143;215124;213227;Unidades;1.032352941;A
2011;217306;215136;3143;215124;213227;Unidades;51.470682424;A
2011;217307;215134;3143;215124;213227;Unidades;15.578636188;A
2011;217307;215135;3143;215124;213227;Unidades;;A
2011;217307;215136;3143;215124;213227;Unidades;15.578636188;A
2011;217308;215134;3143;215124;213227;Unidades;9.337092195;A
2011;217308;215135;3143;215124;213227;Unidades;;A
2011;217308;215136;3143;215124;213227;Unidades;9.337092195;A
2011;217309;215134;3143;215124;213227;Unidades;19.072204407;A
2011;217309;215135;3143;215124;213227;Unidades;;A
2011;217309;215136;3143;215124;213227;Unidades;19.072204407;A
2011;217310;215134;3143;215124;213227;Unidades;18.66712944;A
2011;217310;215135;3143;215124;213227;Unidades;;A
2011;217310;215136;3143;215124;213227;Unidades;18.66712944;A
2011;217311;215134;3143;215124;213227;Unidades;8.456971678;A
2011;217311;215135;3143;215124;213227;Unidades;;A
2011;217311;215136;3143;215124;213227;Unidades;8.456971678;A
2011;217312;215134;3143;215124;213227;Unidades;34.821133623;A
2011;217312;215135;3143;215124;213227;Unidades;;A
2011;217312;215136;3143;215124;213227;Unidades;34.821133623;A
2011;217313;215134;3143;215124;213227;Unidades;9.117216118;A
2011;217313;215135;3143;215124;213227;Unidades;;A
2011;217313;215136;3143;215124;213227;Unidades;9.117216118;A
2011;217314;215134;3143;215124;213227;Unidades;7.298780488;A
2011;217314;215135;3143;215124;213227;Unidades;;A
2011;217314;215136;3143;215124;213227;Unidades;7.298780488;A
2011;217315;215134;3143;215124;213227;Unidades;3.609486166;A
2011;217315;215135;3143;215124;213227;Unidades;;A
2011;217315;215136;3143;215124;213227;Unidades;3.609486166;A
2011;217316;215134;3143;215124;213227;Unidades;10.286896223;A
2011;217316;215135;3143;215124;213227;Unidades;;A
2011;217316;215136;3143;215124;213227;Unidades;10.286896223;A
2011;7605;215134;3143;215124;213227;Unidades;2.125;A
2011;7605;215135;3143;215124;213227;Unidades;;A
2011;7605;215136;3143;215124;213227;Unidades;2.125;A
2011;7627;215134;3143;215124;213227;Unidades;7.260869565;A
2011;7627;215135;3143;215124;213227;Unidades;4.0;A
2011;7627;215136;3143;215124;213227;Unidades;3.260869565;A
2011;7661;215134;3143;215124;213227;Unidades;5.583333333;A
2011;7661;215135;3143;215124;213227;Unidades;;A
2011;7661;215136;3143;215124;213227;Unidades;5.583333333;A
2012;7109;215134;3143;215124;213227;Unidades;2.0;A
2012;7109;215135;3143;215124;213227;Unidades;;A
2012;7109;215136;3143;215124;213227;Unidades;2.0;A
2012;217302;215134;3143;215124;213227;Unidades;62.617643874;A
2012;217302;215135;3143;215124;213227;Unidades;;A
2012;217302;215136;3143;215124;213227;Unidades;62.617643874;A
2012;217304;215134;3143;215124;213227;Unidades;5.64418203;A
2012;217304;215135;3143;215124;213227;Unidades;;A
2012;217304;215136;3143;215124;213227;Unidades;5.64418203;A
2012;217305;215134;3143;215124;213227;Unidades;4.320408163;A
2012;217305;215135;3143;215124;213227;Unidades;;A
2012;217305;215136;3143;215124;213227;Unidades;4.320408163;A
2012;217306;215134;3143;215124;213227;Unidades;50.518797173;A
2012;217306;215135;3143;215124;213227;Unidades;1.039039039;A
2012;217306;215136;3143;215124;213227;Unidades;49.479758134;A
2012;217307;215134;3143;215124;213227;Unidades;12.405184732;A
2012;217307;215135;3143;215124;213227;Unidades;;A
2012;217307;215136;3143;215124;213227;Unidades;12.405184732;A
2012;217308;215134;3143;215124;213227;Unidades;11.599831648;A
2012;217308;215135;3143;215124;213227;Unidades;;A
