D_TEMPORAL_0;D_TIPO_EMPRESA_0;D_NAT_GASTO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008;215125;215185;3143;Importe;1538946.8076007024;A
2008;215125;215177;3143;Importe;1229204.2899545273;A
2008;215125;215183;3143;Importe;309742.5176461753;A
2008;215117;215185;3143;Importe;361330.02;A
2008;215117;215177;3143;Importe;289824.83853490296;A
2008;215117;215183;3143;Importe;71505.18146509705;A
2008;215120;215185;3143;Importe;661049.3200000001;A
2008;215120;215177;3143;Importe;545861.4346533334;A
2008;215120;215183;3143;Importe;115187.88534666652;A
2008;215122;215185;3143;Importe;955.227;A
2008;215122;215177;3143;Importe;726.686401281961;A
2008;215122;215183;3143;Importe;228.540598718039;A
2008;215124;215185;3143;Importe;515612.2406007024;A
2008;215124;215177;3143;Importe;392791.33036500873;A
2008;215124;215183;3143;Importe;122820.9102356937;A
2009;215125;215185;3143;Importe;1578084.9350913574;A
2009;215125;215177;3143;Importe;1349163.5002554301;A
2009;215125;215183;3143;Importe;228921.43483592768;A
2009;215117;215185;3143;Importe;390854.693;A
2009;215117;215177;3143;Importe;320430.7120719139;A
2009;215117;215183;3143;Importe;70423.9809280861;A
2009;215120;215185;3143;Importe;683680.1240000001;A
2009;215120;215177;3143;Importe;594635.5848604323;A
2009;215120;215183;3143;Importe;89044.5391395677;A
2009;215122;215185;3143;Importe;2078.634;A
2009;215122;215177;3143;Importe;2036.651662262817;A
2009;215122;215183;3143;Importe;41.982337737183;A
2009;215124;215185;3143;Importe;501471.4840913576;A
2009;215124;215177;3143;Importe;432060.55166082084;A
2009;215124;215183;3143;Importe;69410.9324305367;A
2010;215125;215185;3143;Importe;1726765.7347606674;A
2010;215125;215177;3143;Importe;1427407.7532760918;A
2010;215125;215183;3143;Importe;299357.98148457566;A
2010;215117;215185;3143;Importe;382958.435;A
2010;215117;215177;3143;Importe;312355.2792320863;A
2010;215117;215183;3143;Importe;70603.15576791373;A
2010;215120;215185;3143;Importe;723401.1780000001;A
2010;215120;215177;3143;Importe;618797.5231411001;A
2010;215120;215183;3143;Importe;104603.65485889987;A
2010;215122;215185;3143;Importe;917.4490000000001;A
2010;215122;215177;3143;Importe;868.6810010878711;A
2010;215122;215183;3143;Importe;48.767998912129;A
2010;215124;215185;3143;Importe;619488.6727606675;A
2010;215124;215177;3143;Importe;495386.2699018175;A
2010;215124;215183;3143;Importe;124102.40285884994;A
2011;215125;215185;3143;Importe;1648470.734717182;A
2011;215125;215177;3143;Importe;1402281.6690069854;A
2011;215125;215183;3143;Importe;246189.0657101966;A
2011;215117;215185;3143;Importe;340204.31;A
2011;215117;215177;3143;Importe;305772.411466473;A
2011;215117;215183;3143;Importe;34431.89853352703;A
2011;215120;215185;3143;Importe;708973.18;A
2011;215120;215177;3143;Importe;600871.103305088;A
2011;215120;215183;3143;Importe;108102.07669491203;A
2011;215122;215185;3143;Importe;1065.605;A
2011;215122;215177;3143;Importe;997.129093898864;A
2011;215122;215183;3143;Importe;68.475906101136;A
2011;215124;215185;3143;Importe;598227.6397171819;A
2011;215124;215177;3143;Importe;494641.02514152555;A
2011;215124;215183;3143;Importe;103586.6145756564;A
2012;215125;215185;3143;Importe;1480460.07438178;A
2012;215125;215177;3143;Importe;1309323.0798080622;A
2012;215125;215183;3143;Importe;171136.99457371794;A
2012;215117;215185;3143;Importe;316838.01;A
2012;215117;215177;3143;Importe;288232.77842387377;A
2012;215117;215183;3143;Importe;28605.231576126265;A
2012;215120;215185;3143;Importe;626913.911;A
2012;215120;215177;3143;Importe;538986.772663112;A
2012;215120;215183;3143;Importe;87927.13833688799;A
2012;215122;215185;3143;Importe;1943.402;A
2012;215122;215177;3143;Importe;1834.987;A
2012;215122;215183;3143;Importe;108.415;A
2012;215124;215185;3143;Importe;534764.7513817801;A
2012;215124;215177;3143;Importe;480268.54172107636;A
2012;215124;215183;3143;Importe;54496.209660703666;A
2013;215125;215185;3143;Importe;1471261.2366506597;A
2013;215125;215177;3143;Importe;1332371.2659563024;A
2013;215125;215183;3143;Importe;138889.97069435706;A
2013;215117;215185;3143;Importe;304688.748;A
2013;215117;215177;3143;Importe;288510.57821669086;A
2013;215117;215183;3143;Importe;16178.169783309182;A
2013;215120;215185;3143;Importe;626118.274;A
2013;215120;215177;3143;Importe;554953.2404399338;A
2013;215120;215183;3143;Importe;71165.0335600662;A
2013;215122;215185;3143;Importe;2029.3020000000001;A
2013;215122;215177;3143;Importe;2006.203;A
2013;215122;215183;3143;Importe;23.099;A
2013;215124;215185;3143;Importe;538424.9126506594;A
2013;215124;215177;3143;Importe;486901.2442996778;A
2013;215124;215183;3143;Importe;51523.6683509817;A
2014;215125;215185;3143;Importe;1465739.746170263;A
