D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2008;215154;215124;215130;3691;3143;213227;215166;Personas;;A
2008;215154;215124;215130;3689;3143;213227;215166;Personas;;A
2008;215154;215124;215130;3690;3143;213227;215166;Personas;;A
2008;215154;215124;215131;3691;3143;213227;215166;Personas;;A
2008;215154;215124;215131;3689;3143;213227;215166;Personas;;A
2008;215154;215124;215131;3690;3143;213227;215166;Personas;;A
2008;215155;215117;215132;3691;3143;213227;215166;Personas;3209.000000002;A
2008;215155;215117;215132;3689;3143;213227;215166;Personas;1696.000000001;A
2008;215155;215117;215132;3690;3143;213227;215166;Personas;1513.000000001;A
2008;215155;215117;215126;3691;3143;213227;215166;Personas;52.570694038;A
2008;215155;215117;215126;3689;3143;213227;215166;Personas;29.325371457;A
2008;215155;215117;215126;3690;3143;213227;215166;Personas;23.245322581;A
2008;215155;215117;215127;3691;3143;213227;215166;Personas;129.28113852;A
2008;215155;215117;215127;3689;3143;213227;215166;Personas;92.966250934;A
2008;215155;215117;215127;3690;3143;213227;215166;Personas;36.314887586;A
2008;215155;215117;215128;3691;3143;213227;215166;Personas;2304.473001833;A
2008;215155;215117;215128;3689;3143;213227;215166;Personas;1187.002061634;A
2008;215155;215117;215128;3690;3143;213227;215166;Personas;1117.470940199;A
2008;215155;215117;215129;3691;3143;213227;215166;Personas;401.523636364;A
2008;215155;215117;215129;3689;3143;213227;215166;Personas;222.09;A
2008;215155;215117;215129;3690;3143;213227;215166;Personas;179.433636364;A
2008;215155;215117;215130;3691;3143;213227;215166;Personas;264.206349785;A
2008;215155;215117;215130;3689;3143;213227;215166;Personas;127.595373106;A
2008;215155;215117;215130;3690;3143;213227;215166;Personas;136.610976679;A
2008;215155;215117;215131;3691;3143;213227;215166;Personas;56.945179462;A
2008;215155;215117;215131;3689;3143;213227;215166;Personas;37.02094287;A
2008;215155;215117;215131;3690;3143;213227;215166;Personas;19.924236592;A
2008;215155;215120;215132;3691;3143;213227;215166;Personas;19855.0;A
2008;215155;215120;215132;3689;3143;213227;215166;Personas;12596.0;A
2008;215155;215120;215132;3690;3143;213227;215166;Personas;7259.0;A
2008;215155;215120;215126;3691;3143;213227;215166;Personas;4073.226215578;A
2008;215155;215120;215126;3689;3143;213227;215166;Personas;2579.424346632;A
2008;215155;215120;215126;3690;3143;213227;215166;Personas;1493.801868946;A
2008;215155;215120;215127;3691;3143;213227;215166;Personas;3571.450107271;A
2008;215155;215120;215127;3689;3143;213227;215166;Personas;2289.412153236;A
2008;215155;215120;215127;3690;3143;213227;215166;Personas;1282.037954035;A
2008;215155;215120;215128;3691;3143;213227;215166;Personas;3076.984896583;A
2008;215155;215120;215128;3689;3143;213227;215166;Personas;1963.772459072;A
2008;215155;215120;215128;3690;3143;213227;215166;Personas;1113.212437511;A
2008;215155;215120;215129;3691;3143;213227;215166;Personas;563.346383525;A
2008;215155;215120;215129;3689;3143;213227;215166;Personas;364.074591901;A
2008;215155;215120;215129;3690;3143;213227;215166;Personas;199.271791624;A
2008;215155;215120;215130;3691;3143;213227;215166;Personas;4897.901839599;A
2008;215155;215120;215130;3689;3143;213227;215166;Personas;3067.726820183;A
2008;215155;215120;215130;3690;3143;213227;215166;Personas;1830.175019416;A
2008;215155;215120;215131;3691;3143;213227;215166;Personas;3672.090557444;A
2008;215155;215120;215131;3689;3143;213227;215166;Personas;2331.589628976;A
2008;215155;215120;215131;3690;3143;213227;215166;Personas;1340.500928468;A
2008;215155;215122;215132;3691;3143;213227;215166;Personas;16.0;A
2008;215155;215122;215132;3689;3143;213227;215166;Personas;5.0;A
2008;215155;215122;215132;3690;3143;213227;215166;Personas;11.0;A
2008;215155;215122;215126;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215126;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215126;3690;3143;213227;215166;Personas;;A
2008;215155;215122;215127;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215127;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215127;3690;3143;213227;215166;Personas;;A
2008;215155;215122;215128;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215128;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215128;3690;3143;213227;215166;Personas;;A
2008;215155;215122;215129;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215129;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215129;3690;3143;213227;215166;Personas;;A
2008;215155;215122;215130;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215130;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215130;3690;3143;213227;215166;Personas;;A
2008;215155;215122;215131;3691;3143;213227;215166;Personas;;A
2008;215155;215122;215131;3689;3143;213227;215166;Personas;;A
2008;215155;215122;215131;3690;3143;213227;215166;Personas;;A
2008;215155;215124;215132;3691;3143;213227;215166;Personas;3420.422881368;A
2008;215155;215124;215132;3689;3143;213227;215166;Personas;2439.247951687;A
2008;215155;215124;215132;3690;3143;213227;215166;Personas;981.174929681;A
2008;215155;215124;215126;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215126;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215126;3690;3143;213227;215166;Personas;;A
2008;215155;215124;215127;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215127;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215127;3690;3143;213227;215166;Personas;;A
