TEMPORAL;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ
2019;6776;GAST_MEDI_DIAR;64.869008644;A
2019;6778;GAST_MEDI_DIAR;75.443887061;A
2019;6779;GAST_MEDI_DIAR;86.551488839;A
2020;6782;GAST_MEDI_DIAR;63.621797307;A
2020;6775;GAST_MEDI_DIAR;54.582769681;A
2020;6776;GAST_MEDI_DIAR;64.587514524;A
2020;6778;GAST_MEDI_DIAR;72.488290719;A
2020;6779;GAST_MEDI_DIAR;81.973124215;A
2021;6782;GAST_MEDI_DIAR;68.553613728;A
2021;6775;GAST_MEDI_DIAR;60.920034774;A
2021;6776;GAST_MEDI_DIAR;70.857027339;A
2021;6778;GAST_MEDI_DIAR;77.601299441;A
2021;6779;GAST_MEDI_DIAR;89.166067216;A
1998;6782;TASA_VARI_INTE;-5.071045843537248;A
1998;6775;TASA_VARI_INTE;-28.48152322616393;A
1998;6776;TASA_VARI_INTE;-25.912429946134118;A
1998;6778;TASA_VARI_INTE;18.784605219020982;A
1998;6779;TASA_VARI_INTE;7.898041860023562;A
1999;6782;TASA_VARI_INTE;-17.19273173161783;A
1999;6775;TASA_VARI_INTE;15.927658123097435;A
1999;6776;TASA_VARI_INTE;-1.7617101502030539;A
1999;6778;TASA_VARI_INTE;-31.3198897536659;A
1999;6779;TASA_VARI_INTE;-28.517453757357746;A
2000;6782;TASA_VARI_INTE;0.16497747925816447;A
2000;6775;TASA_VARI_INTE;3.970311472656838;A
2000;6776;TASA_VARI_INTE;8.386812929551686;A
2000;6778;TASA_VARI_INTE;-9.396337503290862;A
2000;6779;TASA_VARI_INTE;-1.1554097409700923;A
2001;6782;TASA_VARI_INTE;0.4871887911484962;A
2001;6775;TASA_VARI_INTE;5.715056146640186;A
2001;6776;TASA_VARI_INTE;-29.966173755856225;A
2001;6778;TASA_VARI_INTE;-0.2771996017175642;A
2001;6779;TASA_VARI_INTE;-4.477156988464214;A
2002;6782;TASA_VARI_INTE;1.3440862338736643;A
2002;6775;TASA_VARI_INTE;10.432729585614608;A
2002;6776;TASA_VARI_INTE;42.7817190879756;A
2002;6778;TASA_VARI_INTE;0.50119821101912;A
2002;6779;TASA_VARI_INTE;2.501051195895991;A
2003;6782;TASA_VARI_INTE;5.513282792204232;A
2003;6775;TASA_VARI_INTE;1.1958555878034682;A
2003;6776;TASA_VARI_INTE;10.525878589019316;A
2003;6778;TASA_VARI_INTE;11.658514943673172;A
2003;6779;TASA_VARI_INTE;-1.8117379237172548;A
2004;6782;TASA_VARI_INTE;5.67456072418181;A
2004;6775;TASA_VARI_INTE;10.855159563302607;A
2004;6776;TASA_VARI_INTE;1.1324713515746907;A
2004;6778;TASA_VARI_INTE;4.462058425100772;A
2004;6779;TASA_VARI_INTE;-1.0846639981360904;A
2005;6782;TASA_VARI_INTE;6.582026025663564;A
2005;6775;TASA_VARI_INTE;4.918493554770625;A
2005;6776;TASA_VARI_INTE;4.63158478870709;A
2005;6778;TASA_VARI_INTE;11.361468350796896;A
2005;6779;TASA_VARI_INTE;6.3093538938863825;A
2006;6782;TASA_VARI_INTE;3.35130928596971;A
2006;6775;TASA_VARI_INTE;5.395831409058208;A
2006;6776;TASA_VARI_INTE;4.831251207927245;A
2006;6778;TASA_VARI_INTE;0.020396417150748993;A
2006;6779;TASA_VARI_INTE;-3.0460565942535687;A
