TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES61;5215;DIV;13992.45022;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5114;DIV;87.64552;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5126;DIV;316.26234;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5137;DIV;462.75017;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5148;DIV;569.72828;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5159;DIV;603.04781;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5170;DIV;602.31422;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5181;DIV;539.19392;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5192;DIV;511.19353;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5203;DIV;412.05948;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5214;DIV;417.19437;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5116;DIV;429.17683;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5117;DIV;418.71524;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5118;DIV;534.12974;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5119;DIV;550.0961;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5120;DIV;496.8288;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5121;DIV;451.25514;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5122;DIV;375.92234;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5123;DIV;455.99497;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5124;DIV;454.18921;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5125;DIV;367.69542;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5127;DIV;402.79001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5128;DIV;402.08369;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5129;DIV;367.8291;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5130;DIV;285.89441;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5131;DIV;260.45945;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5132;DIV;248.89909;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5133;DIV;224.10011;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5134;DIV;229.95501;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5135;DIV;322.15678;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5136;DIV;278.20965;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5138;DIV;195.71512;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5139;DIV;215.49089;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5140;DIV;175.94017;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5141;DIV;156.06201;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5142;DIV;99.99217;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5143;DIV;96.38275;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5144;DIV;133.05631;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5145;DIV;86.95084;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5146;DIV;123.48742;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5147;DIV;65.78243;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5149;DIV;88.15513;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;5150;DIV;92.76715;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
