TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES61;Y40-44;4851;DIV;1310.64281;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y40-44;4858;DIV;338.5416;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y40-44;4864;DIV;54.31882;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y40-44;4870;DIV;12.48016;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y40-44;4876;DIV;2.35115;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4948;DIV;2902.14107;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4826;DIV;5.90448;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4832;DIV;14.66901;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4839;DIV;67.54921;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4845;DIV;232.78955;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4851;DIV;983.50943;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4858;DIV;1327.37572;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4864;DIV;199.29066;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4870;DIV;53.81758;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4876;DIV;12.41384;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y45-49;4888;DIV;4.82159;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4948;DIV;2388.09181;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4832;DIV;5.24411;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4839;DIV;13.7217;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4845;DIV;68.83663;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4851;DIV;254.70675;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4858;DIV;881.93828;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4864;DIV;945.10159;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4870;DIV;190.83861;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4876;DIV;18.02707;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y50-54;4882;DIV;9.67707;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4948;DIV;1464.96694;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4839;DIV;10.52768;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4845;DIV;9.52389;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4851;DIV;71.38155;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4858;DIV;191.45827;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4864;DIV;584.98766;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4870;DIV;513.01174;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4876;DIV;76.14832;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y55-59;4882;DIV;7.92783;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4948;DIV;934.58943;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4839;DIV;4.45659;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4845;DIV;12.53534;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4851;DIV;8.56127;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4858;DIV;61.30638;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4864;DIV;152.55645;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4870;DIV;367.128;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4876;DIV;286.32233;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4882;DIV;39.67433;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y60-64;4888;DIV;2.04874;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4948;DIV;461.54359;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4832;DIV;3.13867;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4839;DIV;2.92256;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4845;DIV;1.71681;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4851;DIV;8.34588;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4858;DIV;24.30697;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4864;DIV;35.50061;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4870;DIV;58.06147;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4876;DIV;162.78652;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4882;DIV;146.15179;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4888;DIV;16.56357;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y65-69;4947;DIV;2.04874;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4948;DIV;203.71069;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4845;DIV;5.87099;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
