TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES613;4316;4958;DIV;1136.33444;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4316;4962;DIV;5.02571;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4316;4965;DIV;31.46705;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4320;4967;DIV;10.05142;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4320;4958;DIV;8.00268;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4320;4965;DIV;2.04874;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4323;4967;DIV;112.80664;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4323;4958;DIV;63.47777;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4323;4962;DIV;2.04874;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4323;4965;DIV;47.28013;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;TOTAL;4967;DIV;1333.9225;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;TOTAL;4958;DIV;1255.01003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;TOTAL;4962;DIV;2.59639;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;TOTAL;4965;DIV;76.31608;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4316;4967;DIV;1240.31934;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4316;4958;DIV;1203.90332;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4316;4962;DIV;2.59639;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4316;4965;DIV;33.81963;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4323;4967;DIV;93.60316;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4323;4958;DIV;51.10671;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES614;4323;4965;DIV;42.49645;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;TOTAL;4967;DIV;832.55851;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;TOTAL;4958;DIV;765.02667;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;TOTAL;4962;DIV;6.11231;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;TOTAL;4965;DIV;61.41953;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4316;4967;DIV;763.27627;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4316;4958;DIV;723.39804;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4316;4962;DIV;6.11231;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4316;4965;DIV;33.76592;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4323;4967;DIV;69.28224;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4323;4958;DIV;41.62863;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES615;4323;4965;DIV;27.65361;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;TOTAL;4967;DIV;886.77634;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;TOTAL;4958;DIV;839.78409;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;TOTAL;4965;DIV;46.99225;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4316;4967;DIV;796.74465;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
