TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;DURACMATRIM;NUMHIJOSMENORED;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES618;5107;DIV;1524.09282;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5105;DIV;17078.2748;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5101;DIV;457.113;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5102;DIV;6377.00035;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5103;DIV;2328.20643;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5104;DIV;42.60528;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;5107;DIV;7873.34974;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;5105;DIV;1684.43364;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;5101;DIV;46.69851;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;5102;DIV;647.68803;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;5103;DIV;227.40144;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;5107;DIV;762.64566;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5105;DIV;2350.11045;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5101;DIV;74.12476;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5102;DIV;935.28006;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5103;DIV;292.13876;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5104;DIV;2.18014;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;5107;DIV;1046.38673;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5105;DIV;1369.08113;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5101;DIV;49.71922;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5102;DIV;498.65453;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5103;DIV;219.3495;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5104;DIV;4.38699;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;5107;DIV;596.97089;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5105;DIV;1634.5488;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5101;DIV;43.15104;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5102;DIV;548.97712;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5103;DIV;251.7144;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5104;DIV;2.39728;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;5107;DIV;788.30896;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5105;DIV;1003.79841;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5101;DIV;39.73957;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5102;DIV;467.70417;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5103;DIV;113.10493;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5104;DIV;3.05689;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;5107;DIV;380.19285;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;5105;DIV;1181.24056;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;5101;DIV;15.2011;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;5102;DIV;337.46442;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
