TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA;TIPO_ALOJAM_ECTA
1998;;GAST_MEDI_DIAR;52.531877185;A;_Z;_Z;_Z
1998;ES611;GAST_MEDI_DIAR;31.302781879;A;_Z;_Z;_Z
1998;ES612;GAST_MEDI_DIAR;58.191613544;A;_Z;_Z;_Z
1998;ES613;GAST_MEDI_DIAR;54.108712671;A;_Z;_Z;_Z
1998;ES614;GAST_MEDI_DIAR;58.434630259;A;_Z;_Z;_Z
1998;ES615;GAST_MEDI_DIAR;34.148806131;A;_Z;_Z;_Z
1998;ES616;GAST_MEDI_DIAR;29.053618734;A;_Z;_Z;_Z
1998;ES617;GAST_MEDI_DIAR;60.758371681;A;_Z;_Z;_Z
1998;ES618;GAST_MEDI_DIAR;63.981130517;A;_Z;_Z;_Z
1999;;GAST_MEDI_DIAR;43.500212467;A;_Z;_Z;_Z
1999;ES611;GAST_MEDI_DIAR;30.985927653;A;_Z;_Z;_Z
1999;ES612;GAST_MEDI_DIAR;40.493954896;A;_Z;_Z;_Z
1999;ES613;GAST_MEDI_DIAR;42.548552798;A;_Z;_Z;_Z
1999;ES614;GAST_MEDI_DIAR;49.791860581;A;_Z;_Z;_Z
1999;ES615;GAST_MEDI_DIAR;27.426062398;A;_Z;_Z;_Z
1999;ES616;GAST_MEDI_DIAR;30.17476875;A;_Z;_Z;_Z
1999;ES617;GAST_MEDI_DIAR;43.204640647;A;_Z;_Z;_Z
1999;ES618;GAST_MEDI_DIAR;57.651543266;A;_Z;_Z;_Z
2000;;GAST_MEDI_DIAR;43.571978021;A;_Z;_Z;_Z
2000;ES611;GAST_MEDI_DIAR;34.704254357;A;_Z;_Z;_Z
2000;ES612;GAST_MEDI_DIAR;46.948645972;A;_Z;_Z;_Z
2000;ES613;GAST_MEDI_DIAR;60.293077601;A;_Z;_Z;_Z
2000;ES614;GAST_MEDI_DIAR;45.113280426;A;_Z;_Z;_Z
2000;ES615;GAST_MEDI_DIAR;29.731068498;A;_Z;_Z;_Z
2000;ES616;GAST_MEDI_DIAR;41.091693176;A;_Z;_Z;_Z
2000;ES617;GAST_MEDI_DIAR;36.677347272;A;_Z;_Z;_Z
2000;ES618;GAST_MEDI_DIAR;57.945190374;A;_Z;_Z;_Z
2001;;GAST_MEDI_DIAR;43.784255814;A;_Z;_Z;_Z
2001;ES611;GAST_MEDI_DIAR;34.074297036;A;_Z;_Z;_Z
2001;ES612;GAST_MEDI_DIAR;53.744237833;A;_Z;_Z;_Z
2001;ES613;GAST_MEDI_DIAR;54.789151443;A;_Z;_Z;_Z
2001;ES614;GAST_MEDI_DIAR;45.342519653;A;_Z;_Z;_Z
2001;ES615;GAST_MEDI_DIAR;33.670832899;A;_Z;_Z;_Z
2001;ES616;GAST_MEDI_DIAR;41.338952716;A;_Z;_Z;_Z
2001;ES617;GAST_MEDI_DIAR;33.451129594;A;_Z;_Z;_Z
2001;ES618;GAST_MEDI_DIAR;69.475882477;A;_Z;_Z;_Z
2002;;GAST_MEDI_DIAR;44.372753969;A;_Z;_Z;_Z
2002;ES611;GAST_MEDI_DIAR;32.939589789;A;_Z;_Z;_Z
2002;ES612;GAST_MEDI_DIAR;57.092465465;A;_Z;_Z;_Z
2002;ES613;GAST_MEDI_DIAR;54.681962927;A;_Z;_Z;_Z
2002;ES614;GAST_MEDI_DIAR;49.3233521;A;_Z;_Z;_Z
2002;ES615;GAST_MEDI_DIAR;34.56251929;A;_Z;_Z;_Z
2002;ES616;GAST_MEDI_DIAR;43.640300339;A;_Z;_Z;_Z
2002;ES617;GAST_MEDI_DIAR;31.772443001;A;_Z;_Z;_Z
2002;ES618;GAST_MEDI_DIAR;65.9105612;A;_Z;_Z;_Z
2003;;GAST_MEDI_DIAR;46.819149378;A;_Z;_Z;_Z
2003;ES611;GAST_MEDI_DIAR;34.922031479;A;_Z;_Z;_Z
2003;ES612;GAST_MEDI_DIAR;56.574051645;A;_Z;_Z;_Z
2003;ES613;GAST_MEDI_DIAR;50.998183771;A;_Z;_Z;_Z
2003;ES614;GAST_MEDI_DIAR;51.64756672;A;_Z;_Z;_Z
2003;ES615;GAST_MEDI_DIAR;33.398111072;A;_Z;_Z;_Z
2003;ES616;GAST_MEDI_DIAR;50.954601724;A;_Z;_Z;_Z
2003;ES617;GAST_MEDI_DIAR;36.965744927;A;_Z;_Z;_Z
2003;ES618;GAST_MEDI_DIAR;67.612408066;A;_Z;_Z;_Z
2004;;GAST_MEDI_DIAR;49.47593044;A;_Z;_Z;_Z
2004;ES611;GAST_MEDI_DIAR;39.375984538;A;_Z;_Z;_Z
2004;ES612;GAST_MEDI_DIAR;54.591623101;A;_Z;_Z;_Z
2004;ES613;GAST_MEDI_DIAR;41.897857371;A;_Z;_Z;_Z
2004;ES614;GAST_MEDI_DIAR;54.650140095;A;_Z;_Z;_Z
2004;ES615;GAST_MEDI_DIAR;40.309335064;A;_Z;_Z;_Z
2004;ES616;GAST_MEDI_DIAR;61.741136676;A;_Z;_Z;_Z
2004;ES617;GAST_MEDI_DIAR;40.615275891;A;_Z;_Z;_Z
2004;ES618;GAST_MEDI_DIAR;65.485514435;A;_Z;_Z;_Z
2005;;GAST_MEDI_DIAR;52.732449058;A;_Z;_Z;_Z
2005;ES611;GAST_MEDI_DIAR;50.058194009;A;_Z;_Z;_Z
2005;ES612;GAST_MEDI_DIAR;54.874940618;A;_Z;_Z;_Z
2005;ES613;GAST_MEDI_DIAR;42.001092001;A;_Z;_Z;_Z
2005;ES614;GAST_MEDI_DIAR;67.107079378;A;_Z;_Z;_Z
2005;ES615;GAST_MEDI_DIAR;43.866759204;A;_Z;_Z;_Z
2005;ES616;GAST_MEDI_DIAR;63.543196547;A;_Z;_Z;_Z
2005;ES617;GAST_MEDI_DIAR;39.784730657;A;_Z;_Z;_Z
2005;ES618;GAST_MEDI_DIAR;59.577057949;A;_Z;_Z;_Z
2006;;GAST_MEDI_DIAR;54.49967652;A;_Z;_Z;_Z
2006;ES611;GAST_MEDI_DIAR;51.965982414;A;_Z;_Z;_Z
2006;ES612;GAST_MEDI_DIAR;54.016318287;A;_Z;_Z;_Z
2006;ES613;GAST_MEDI_DIAR;50.181945522;A;_Z;_Z;_Z
2006;ES614;GAST_MEDI_DIAR;71.106580693;A;_Z;_Z;_Z
2006;ES615;GAST_MEDI_DIAR;47.615489963;A;_Z;_Z;_Z
2006;ES616;GAST_MEDI_DIAR;68.455466151;A;_Z;_Z;_Z
2006;ES617;GAST_MEDI_DIAR;46.819838812;A;_Z;_Z;_Z
2006;ES618;GAST_MEDI_DIAR;58.212218528;A;_Z;_Z;_Z
2007;;GAST_MEDI_DIAR;57.057841819;A;_Z;_Z;_Z
2007;ES611;GAST_MEDI_DIAR;52.53125849;A;_Z;_Z;_Z
2007;ES612;GAST_MEDI_DIAR;57.232246485;A;_Z;_Z;_Z
2007;ES613;GAST_MEDI_DIAR;59.568620241;A;_Z;_Z;_Z
2007;ES614;GAST_MEDI_DIAR;68.860867753;A;_Z;_Z;_Z
2007;ES615;GAST_MEDI_DIAR;49.04494044;A;_Z;_Z;_Z
2007;ES616;GAST_MEDI_DIAR;69.221162609;A;_Z;_Z;_Z
2007;ES617;GAST_MEDI_DIAR;51.421031922;A;_Z;_Z;_Z
2007;ES618;GAST_MEDI_DIAR;64.601704395;A;_Z;_Z;_Z
2008;;GAST_MEDI_DIAR;58.651936602;A;_Z;_Z;_Z
2008;ES611;GAST_MEDI_DIAR;56.200252195;A;_Z;_Z;_Z
2008;ES612;GAST_MEDI_DIAR;59.292857646;A;_Z;_Z;_Z
2008;ES613;GAST_MEDI_DIAR;65.693558772;A;_Z;_Z;_Z
2008;ES614;GAST_MEDI_DIAR;67.527492014;A;_Z;_Z;_Z
2008;ES615;GAST_MEDI_DIAR;49.709654647;A;_Z;_Z;_Z
2008;ES616;GAST_MEDI_DIAR;83.557798802;A;_Z;_Z;_Z
2008;ES617;GAST_MEDI_DIAR;51.702983115;A;_Z;_Z;_Z
2008;ES618;GAST_MEDI_DIAR;65.787500674;A;_Z;_Z;_Z
2009;;GAST_MEDI_DIAR;59.85006234;A;_Z;_Z;_Z
2009;ES611;GAST_MEDI_DIAR;58.184860169;A;_Z;_Z;_Z
2009;ES612;GAST_MEDI_DIAR;62.144747818;A;_Z;_Z;_Z
2009;ES613;GAST_MEDI_DIAR;74.560557935;A;_Z;_Z;_Z
2009;ES614;GAST_MEDI_DIAR;73.25171473;A;_Z;_Z;_Z
2009;ES615;GAST_MEDI_DIAR;47.630861932;A;_Z;_Z;_Z
2009;ES616;GAST_MEDI_DIAR;85.001388348;A;_Z;_Z;_Z
2009;ES617;GAST_MEDI_DIAR;48.984236453;A;_Z;_Z;_Z
2009;ES618;GAST_MEDI_DIAR;68.7565442;A;_Z;_Z;_Z
2010;;GAST_MEDI_DIAR;60.377524419;A;_Z;_Z;_Z
2010;ES611;GAST_MEDI_DIAR;52.833948168;A;_Z;_Z;_Z
2010;ES612;GAST_MEDI_DIAR;69.828334846;A;_Z;_Z;_Z
2010;ES613;GAST_MEDI_DIAR;64.665373728;A;_Z;_Z;_Z
2010;ES614;GAST_MEDI_DIAR;72.39555649;A;_Z;_Z;_Z
2010;ES615;GAST_MEDI_DIAR;47.249593821;A;_Z;_Z;_Z
2010;ES616;GAST_MEDI_DIAR;85.191376246;A;_Z;_Z;_Z
2010;ES617;GAST_MEDI_DIAR;47.396470896;A;_Z;_Z;_Z
2010;ES618;GAST_MEDI_DIAR;75.972076401;A;_Z;_Z;_Z
2011;;GAST_MEDI_DIAR;60.204573542;A;_Z;_Z;_Z
2011;ES611;GAST_MEDI_DIAR;46.415423759;A;_Z;_Z;_Z
2011;ES612;GAST_MEDI_DIAR;68.390074342;A;_Z;_Z;_Z
2011;ES613;GAST_MEDI_DIAR;56.308044211;A;_Z;_Z;_Z
2011;ES614;GAST_MEDI_DIAR;69.430257673;A;_Z;_Z;_Z
2011;ES615;GAST_MEDI_DIAR;46.911672394;A;_Z;_Z;_Z
