TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA;TIPO_ALOJAM_ECTA
2005;ES614;ESTANCIA_MEDIA;5.474261277;A;_Z;_Z;_Z
2005;ES615;ESTANCIA_MEDIA;8.036260139;A;_Z;_Z;_Z
2005;ES616;ESTANCIA_MEDIA;4.353119493;A;_Z;_Z;_Z
2005;ES617;ESTANCIA_MEDIA;13.414015277;A;_Z;_Z;_Z
2005;ES618;ESTANCIA_MEDIA;4.454271738;A;_Z;_Z;_Z
2006;;ESTANCIA_MEDIA;8.975502801;A;_Z;_Z;_Z
2006;ES611;ESTANCIA_MEDIA;8.206014417;A;_Z;_Z;_Z
2006;ES612;ESTANCIA_MEDIA;7.120393897;A;_Z;_Z;_Z
2006;ES613;ESTANCIA_MEDIA;3.647200355;A;_Z;_Z;_Z
2006;ES614;ESTANCIA_MEDIA;4.47415215;A;_Z;_Z;_Z
2006;ES615;ESTANCIA_MEDIA;9.658111481;A;_Z;_Z;_Z
2006;ES616;ESTANCIA_MEDIA;4.53986292;A;_Z;_Z;_Z
2006;ES617;ESTANCIA_MEDIA;11.316963932;A;_Z;_Z;_Z
2006;ES618;ESTANCIA_MEDIA;4.043909411;A;_Z;_Z;_Z
2007;;ESTANCIA_MEDIA;8.223302548;A;_Z;_Z;_Z
2007;ES611;ESTANCIA_MEDIA;7.534650651;A;_Z;_Z;_Z
2007;ES612;ESTANCIA_MEDIA;6.606045092;A;_Z;_Z;_Z
2007;ES613;ESTANCIA_MEDIA;3.097931031;A;_Z;_Z;_Z
2007;ES614;ESTANCIA_MEDIA;5.130785348;A;_Z;_Z;_Z
2007;ES615;ESTANCIA_MEDIA;8.785986069;A;_Z;_Z;_Z
2007;ES616;ESTANCIA_MEDIA;4.353401302;A;_Z;_Z;_Z
2007;ES617;ESTANCIA_MEDIA;10.374025313;A;_Z;_Z;_Z
2007;ES618;ESTANCIA_MEDIA;4.040498111;A;_Z;_Z;_Z
2008;;ESTANCIA_MEDIA;8.55107921;A;_Z;_Z;_Z
2008;ES611;ESTANCIA_MEDIA;7.496669282;A;_Z;_Z;_Z
2008;ES612;ESTANCIA_MEDIA;7.266211568;A;_Z;_Z;_Z
2008;ES613;ESTANCIA_MEDIA;2.937347726;A;_Z;_Z;_Z
2008;ES614;ESTANCIA_MEDIA;5.039534306;A;_Z;_Z;_Z
2008;ES615;ESTANCIA_MEDIA;7.902512169;A;_Z;_Z;_Z
2008;ES616;ESTANCIA_MEDIA;4.325959952;A;_Z;_Z;_Z
2008;ES617;ESTANCIA_MEDIA;11.189517577;A;_Z;_Z;_Z
2008;ES618;ESTANCIA_MEDIA;4.070347939;A;_Z;_Z;_Z
2009;;ESTANCIA_MEDIA;8.788552838;A;_Z;_Z;_Z
2009;ES611;ESTANCIA_MEDIA;7.82244169;A;_Z;_Z;_Z
2009;ES612;ESTANCIA_MEDIA;7.810492021;A;_Z;_Z;_Z
2009;ES613;ESTANCIA_MEDIA;2.902318775;A;_Z;_Z;_Z
2009;ES614;ESTANCIA_MEDIA;5.302892539;A;_Z;_Z;_Z
2009;ES615;ESTANCIA_MEDIA;7.920065556;A;_Z;_Z;_Z
2009;ES616;ESTANCIA_MEDIA;3.278087412;A;_Z;_Z;_Z
2009;ES617;ESTANCIA_MEDIA;12.027595851;A;_Z;_Z;_Z
2009;ES618;ESTANCIA_MEDIA;3.721812493;A;_Z;_Z;_Z
2010;;ESTANCIA_MEDIA;9.011505791;A;_Z;_Z;_Z
2010;ES611;ESTANCIA_MEDIA;8.025346048;A;_Z;_Z;_Z
2010;ES612;ESTANCIA_MEDIA;7.749888327;A;_Z;_Z;_Z
2010;ES613;ESTANCIA_MEDIA;3.208538953;A;_Z;_Z;_Z
2010;ES614;ESTANCIA_MEDIA;5.298074532;A;_Z;_Z;_Z
2010;ES615;ESTANCIA_MEDIA;7.262250492;A;_Z;_Z;_Z
2010;ES616;ESTANCIA_MEDIA;3.650327152;A;_Z;_Z;_Z
2010;ES617;ESTANCIA_MEDIA;11.90420292;A;_Z;_Z;_Z
2010;ES618;ESTANCIA_MEDIA;3.361217333;A;_Z;_Z;_Z
2011;;ESTANCIA_MEDIA;9.053612601;A;_Z;_Z;_Z
2011;ES611;ESTANCIA_MEDIA;8.319546708;A;_Z;_Z;_Z
2011;ES612;ESTANCIA_MEDIA;7.6357846;A;_Z;_Z;_Z
2011;ES613;ESTANCIA_MEDIA;3.691044479;A;_Z;_Z;_Z
2011;ES614;ESTANCIA_MEDIA;5.920274028;A;_Z;_Z;_Z
2011;ES615;ESTANCIA_MEDIA;8.062124346;A;_Z;_Z;_Z
2011;ES616;ESTANCIA_MEDIA;2.780300707;A;_Z;_Z;_Z
2011;ES617;ESTANCIA_MEDIA;11.368585633;A;_Z;_Z;_Z
2011;ES618;ESTANCIA_MEDIA;3.32764201;A;_Z;_Z;_Z
2012;;ESTANCIA_MEDIA;9.145334408;A;_Z;_Z;_Z
2012;ES611;ESTANCIA_MEDIA;9.647107459;A;_Z;_Z;_Z
2012;ES612;ESTANCIA_MEDIA;7.991140931;A;_Z;_Z;_Z
2012;ES613;ESTANCIA_MEDIA;3.781889873;A;_Z;_Z;_Z
2012;ES614;ESTANCIA_MEDIA;5.546486251;A;_Z;_Z;_Z
2012;ES615;ESTANCIA_MEDIA;8.294437536;A;_Z;_Z;_Z
2012;ES616;ESTANCIA_MEDIA;2.734403479;A;_Z;_Z;_Z
2012;ES617;ESTANCIA_MEDIA;12.018032507;A;_Z;_Z;_Z
2012;ES618;ESTANCIA_MEDIA;3.633726414;A;_Z;_Z;_Z
2013;;ESTANCIA_MEDIA;9.022718259;A;_Z;_Z;_Z
2013;ES611;ESTANCIA_MEDIA;9.154141654;A;_Z;_Z;_Z
2013;ES612;ESTANCIA_MEDIA;9.075329183;A;_Z;_Z;_Z
2013;ES613;ESTANCIA_MEDIA;3.921808522;A;_Z;_Z;_Z
2013;ES614;ESTANCIA_MEDIA;5.011026543;A;_Z;_Z;_Z
2013;ES615;ESTANCIA_MEDIA;7.937052022;A;_Z;_Z;_Z
2013;ES616;ESTANCIA_MEDIA;2.404525249;A;_Z;_Z;_Z
2013;ES617;ESTANCIA_MEDIA;10.714893541;A;_Z;_Z;_Z
2013;ES618;ESTANCIA_MEDIA;3.490249072;A;_Z;_Z;_Z
2014;;ESTANCIA_MEDIA;8.867510014;A;_Z;_Z;_Z
2014;ES611;ESTANCIA_MEDIA;8.780959993;A;_Z;_Z;_Z
2014;ES612;ESTANCIA_MEDIA;8.597480476;A;_Z;_Z;_Z
2014;ES613;ESTANCIA_MEDIA;3.895527525;A;_Z;_Z;_Z
2014;ES614;ESTANCIA_MEDIA;5.062656132;A;_Z;_Z;_Z
2014;ES615;ESTANCIA_MEDIA;7.028027454;A;_Z;_Z;_Z
2014;ES616;ESTANCIA_MEDIA;2.363347541;A;_Z;_Z;_Z
2014;ES617;ESTANCIA_MEDIA;9.438279327;A;_Z;_Z;_Z
2014;ES618;ESTANCIA_MEDIA;3.389037711;A;_Z;_Z;_Z
2015;;ESTANCIA_MEDIA;8.694870927;A;_Z;_Z;_Z
2015;ES611;ESTANCIA_MEDIA;7.106480784;A;_Z;_Z;_Z
2015;ES612;ESTANCIA_MEDIA;8.353653976;A;_Z;_Z;_Z
2015;ES613;ESTANCIA_MEDIA;3.846892199;A;_Z;_Z;_Z
2015;ES614;ESTANCIA_MEDIA;5.302499968;A;_Z;_Z;_Z
2015;ES615;ESTANCIA_MEDIA;7.51906636;A;_Z;_Z;_Z
2015;ES616;ESTANCIA_MEDIA;2.951950466;A;_Z;_Z;_Z
2015;ES617;ESTANCIA_MEDIA;9.735809075;A;_Z;_Z;_Z
2015;ES618;ESTANCIA_MEDIA;3.534030117;A;_Z;_Z;_Z
2016;;ESTANCIA_MEDIA;8.579452834;A;_Z;_Z;_Z
2016;ES611;ESTANCIA_MEDIA;6.992583689;A;_Z;_Z;_Z
2016;ES612;ESTANCIA_MEDIA;6.853439269;A;_Z;_Z;_Z
2016;ES613;ESTANCIA_MEDIA;3.736471681;A;_Z;_Z;_Z
2016;ES614;ESTANCIA_MEDIA;5.400591539;A;_Z;_Z;_Z
2016;ES615;ESTANCIA_MEDIA;7.211072673;A;_Z;_Z;_Z
2016;ES616;ESTANCIA_MEDIA;2.74697781;A;_Z;_Z;_Z
2016;ES617;ESTANCIA_MEDIA;10.037081858;A;_Z;_Z;_Z
2016;ES618;ESTANCIA_MEDIA;3.335339214;A;_Z;_Z;_Z
2017;;ESTANCIA_MEDIA;8.517037301;A;_Z;_Z;_Z
2017;ES611;ESTANCIA_MEDIA;7.727249312;A;_Z;_Z;_Z
2017;ES612;ESTANCIA_MEDIA;6.710435602;A;_Z;_Z;_Z
2017;ES613;ESTANCIA_MEDIA;3.513520491;A;_Z;_Z;_Z
2017;ES614;ESTANCIA_MEDIA;5.277157965;A;_Z;_Z;_Z
2017;ES615;ESTANCIA_MEDIA;7.922150312;A;_Z;_Z;_Z
2017;ES616;ESTANCIA_MEDIA;2.893068814;A;_Z;_Z;_Z
2017;ES617;ESTANCIA_MEDIA;9.346365672;A;_Z;_Z;_Z
2017;ES618;ESTANCIA_MEDIA;3.396748613;A;_Z;_Z;_Z
2018;;ESTANCIA_MEDIA;8.287717311;A;_Z;_Z;_Z
2018;ES611;ESTANCIA_MEDIA;7.748381503;A;_Z;_Z;_Z
2018;ES612;ESTANCIA_MEDIA;6.419398763;A;_Z;_Z;_Z
2018;ES613;ESTANCIA_MEDIA;3.285272929;A;_Z;_Z;_Z
2018;ES614;ESTANCIA_MEDIA;5.14958622;A;_Z;_Z;_Z
2018;ES615;ESTANCIA_MEDIA;8.099847631;A;_Z;_Z;_Z
2018;ES616;ESTANCIA_MEDIA;2.617284229;A;_Z;_Z;_Z
2018;ES617;ESTANCIA_MEDIA;9.423299042;A;_Z;_Z;_Z
2018;ES618;ESTANCIA_MEDIA;3.366455537;A;_Z;_Z;_Z
2019;;ESTANCIA_MEDIA;8.199248489;A;_Z;_Z;_Z
2019;ES611;ESTANCIA_MEDIA;7.880081035;A;_Z;_Z;_Z
2019;ES612;ESTANCIA_MEDIA;6.313648648;A;_Z;_Z;_Z
2019;ES613;ESTANCIA_MEDIA;3.193263974;A;_Z;_Z;_Z
2019;ES614;ESTANCIA_MEDIA;5.102416195;A;_Z;_Z;_Z
2019;ES615;ESTANCIA_MEDIA;7.885910264;A;_Z;_Z;_Z
2019;ES616;ESTANCIA_MEDIA;2.553770834;A;_Z;_Z;_Z
2019;ES617;ESTANCIA_MEDIA;9.172520795;A;_Z;_Z;_Z
2019;ES618;ESTANCIA_MEDIA;3.347058817;A;_Z;_Z;_Z
2020;;ESTANCIA_MEDIA;7.877292242;A;_Z;_Z;_Z
2020;ES611;ESTANCIA_MEDIA;7.637934931;A;_Z;_Z;_Z
2020;ES612;ESTANCIA_MEDIA;7.700182133;A;_Z;_Z;_Z
2020;ES613;ESTANCIA_MEDIA;3.07691389;A;_Z;_Z;_Z
2020;ES614;ESTANCIA_MEDIA;5.314756321;A;_Z;_Z;_Z
2020;ES615;ESTANCIA_MEDIA;8.921770479;A;_Z;_Z;_Z
2020;ES616;ESTANCIA_MEDIA;2.527505882;A;_Z;_Z;_Z
2020;ES617;ESTANCIA_MEDIA;10.365794561;A;_Z;_Z;_Z
2020;ES618;ESTANCIA_MEDIA;3.08683828;A;_Z;_Z;_Z
2021;;ESTANCIA_MEDIA;6.948186352;A;_Z;_Z;_Z
2021;ES611;ESTANCIA_MEDIA;7.495866901;A;_Z;_Z;_Z
2021;ES612;ESTANCIA_MEDIA;7.116561237;A;_Z;_Z;_Z
2021;ES613;ESTANCIA_MEDIA;2.996690272;A;_Z;_Z;_Z
2021;ES614;ESTANCIA_MEDIA;4.788631946;A;_Z;_Z;_Z
2021;ES615;ESTANCIA_MEDIA;7.486889155;A;_Z;_Z;_Z
2021;ES616;ESTANCIA_MEDIA;2.722747838;A;_Z;_Z;_Z
2021;ES617;ESTANCIA_MEDIA;8.253430997;A;_Z;_Z;_Z
2021;ES618;ESTANCIA_MEDIA;3.781085625;A;_Z;_Z;_Z
1998;;TASA_VARI_INTE;-5.227710564667834;A;_Z;_Z;_Z
1998;ES611;TASA_VARI_INTE;-23.28140988142885;A;_Z;_Z;_Z
1998;ES612;TASA_VARI_INTE;-31.059569244228392;A;_Z;_Z;_Z
1998;ES613;TASA_VARI_INTE;-29.096907655939496;A;_Z;_Z;_Z
1998;ES614;TASA_VARI_INTE;-20.93219436649384;A;_Z;_Z;_Z
1998;ES615;TASA_VARI_INTE;-24.35033850896275;A;_Z;_Z;_Z
1998;ES616;TASA_VARI_INTE;-12.821421183544974;A;_Z;_Z;_Z
1998;ES617;TASA_VARI_INTE;-5.90415727880436;A;_Z;_Z;_Z
1998;ES618;TASA_VARI_INTE;-28.56883279689052;A;_Z;_Z;_Z
1999;;TASA_VARI_INTE;-13.022084241454104;A;_Z;_Z;_Z
1999;ES611;TASA_VARI_INTE;-3.826891921670319;A;_Z;_Z;_Z
1999;ES612;TASA_VARI_INTE;-14.108892599585502;A;_Z;_Z;_Z
1999;ES613;TASA_VARI_INTE;-45.995645206806756;A;_Z;_Z;_Z
1999;ES614;TASA_VARI_INTE;-35.69836830216769;A;_Z;_Z;_Z
1999;ES615;TASA_VARI_INTE;7.877366004508142;A;_Z;_Z;_Z
1999;ES616;TASA_VARI_INTE;-22.635410613074473;A;_Z;_Z;_Z
1999;ES617;TASA_VARI_INTE;-19.270666478733254;A;_Z;_Z;_Z
1999;ES618;TASA_VARI_INTE;-40.34057572875935;A;_Z;_Z;_Z
2000;;TASA_VARI_INTE;3.779367890964839;A;_Z;_Z;_Z
2000;ES611;TASA_VARI_INTE;-13.461199883912176;A;_Z;_Z;_Z
2000;ES612;TASA_VARI_INTE;6.772826081200926;A;_Z;_Z;_Z
2000;ES613;TASA_VARI_INTE;-9.450836577314723;A;_Z;_Z;_Z
2000;ES614;TASA_VARI_INTE;8.656501873500385;A;_Z;_Z;_Z
2000;ES615;TASA_VARI_INTE;-14.48710798872975;A;_Z;_Z;_Z
