D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55125;55551;2020;Viajeros;509.271220551;A
40123;55125;55551;2019;Viajeros;800.329188465;A
40123;55125;55551;2018;Viajeros;603.985705408;A
40123;55125;55551;2017;Viajeros;881.01398484;A
40123;55125;55551;2016;Viajeros;423.05997466;A
40123;55125;55551;2015;Viajeros;471.96004346;A
40123;55125;55551;2014;Viajeros;462.56348042;A
40123;55125;55551;2013;Viajeros;581.74503289;A
40123;55125;55551;2012;Viajeros;397.7132264;A
40123;55125;55551;2011;Viajeros;813.26911226;A
40123;55125;55551;2010;Viajeros;890.757483568;A
40123;55125;55551;2009;Viajeros;858.020715557;A
40123;55125;55551;2008;Viajeros;675.462216148;A
40123;55125;55551;2007;Viajeros;1061.220541003;A
40123;55125;55552;2020;Viajeros;709.816601126;A
40123;55125;55552;2019;Viajeros;1297.873302041;A
40123;55125;55552;2018;Viajeros;1047.13917142;A
40123;55125;55552;2017;Viajeros;1354.4201454;A
40123;55125;55552;2016;Viajeros;1182.6462247;A
40123;55125;55552;2015;Viajeros;724.646289054;A
40123;55125;55552;2014;Viajeros;882.15196828;A
40123;55125;55552;2013;Viajeros;909.78025247;A
40123;55125;55552;2012;Viajeros;1228.57515066;A
40123;55125;55552;2011;Viajeros;1108.04153637;A
40123;55125;55552;2010;Viajeros;837.29941159;A
40123;55125;55552;2009;Viajeros;1241.67895426;A
40123;55125;55552;2008;Viajeros;1677.581959968;A
40123;55125;55552;2007;Viajeros;1300.910226586;A
40123;55125;55553;2020;Viajeros;-;A
40123;55125;55553;2019;Viajeros;185.557976013;A
40123;55125;55553;2018;Viajeros;-;A
40123;55125;55553;2017;Viajeros;178.58186948;A
40123;55125;55553;2016;Viajeros;111.841647606;A
40123;55125;55553;2015;Viajeros;104.064127843;A
40123;55125;55553;2014;Viajeros;133.385099877;A
40123;55125;55553;2013;Viajeros;-;A
40123;55125;55553;2012;Viajeros;108.542240624;A
40123;55125;55553;2011;Viajeros;197.749765131;A
40123;55125;55553;2010;Viajeros;121.14371644;A
40123;55125;55553;2009;Viajeros;109.087577503;A
40123;55125;55553;2008;Viajeros;-;A
40123;55125;55553;2007;Viajeros;106.457982652;A
40123;55125;55554;2020;Viajeros;-;A
40123;55125;55554;2019;Viajeros;205.684164542;A
40123;55125;55554;2018;Viajeros;128.224340969;A
40123;55125;55554;2017;Viajeros;-;A
40123;55125;55554;2016;Viajeros;-;A
40123;55125;55554;2015;Viajeros;100.049005238;A
40123;55125;55554;2014;Viajeros;167.40309743;A
40123;55125;55554;2013;Viajeros;130.066686516;A
40123;55125;55554;2012;Viajeros;-;A
40123;55125;55554;2011;Viajeros;-;A
40123;55125;55554;2010;Viajeros;-;A
40123;55125;55554;2009;Viajeros;112.329495291;A
40123;55125;55554;2008;Viajeros;171.540281482;A
40123;55125;55554;2007;Viajeros;-;A
40123;55125;55555;2020;Viajeros;575.246530961;A
40123;55125;55555;2019;Viajeros;1213.582281849;A
40123;55125;55555;2018;Viajeros;1035.496513626;A
40123;55125;55555;2017;Viajeros;989.06373694;A
40123;55125;55555;2016;Viajeros;665.97448823;A
40123;55125;55555;2015;Viajeros;1138.14983543;A
40123;55125;55555;2014;Viajeros;625.13005426;A
40123;55125;55555;2013;Viajeros;821.089483747;A
40123;55125;55555;2012;Viajeros;719.16084843;A
40123;55125;55555;2011;Viajeros;1184.036857253;A
40123;55125;55555;2010;Viajeros;994.44490006;A
40123;55125;55555;2009;Viajeros;776.65511949;A
40123;55125;55555;2008;Viajeros;1195.711738966;A
40123;55125;55555;2007;Viajeros;974.735922809;A
40123;55125;55556;2020;Viajeros;510.819901642;A
40123;55125;55556;2019;Viajeros;899.464078225;A
40123;55125;55556;2018;Viajeros;565.095054923;A
40123;55125;55556;2017;Viajeros;1031.25862931;A
40123;55125;55556;2016;Viajeros;738.46084906;A
40123;55125;55556;2015;Viajeros;572.190799532;A
40123;55125;55556;2014;Viajeros;650.5759298;A
40123;55125;55556;2013;Viajeros;478.13899004;A
40123;55125;55556;2012;Viajeros;684.41680262;A
40123;55125;55556;2011;Viajeros;945.05958044;A
40123;55125;55556;2010;Viajeros;772.36274901;A
40123;55125;55556;2009;Viajeros;854.528172289;A
40123;55125;55556;2008;Viajeros;1011.39890366;A
40123;55125;55556;2007;Viajeros;1094.40341894;A
40123;55125;55557;2020;Viajeros;-;A
40123;55125;55557;2019;Viajeros;-;A
40123;55125;55557;2018;Viajeros;-;A
40123;55125;55557;2017;Viajeros;-;A
40123;55125;55557;2016;Viajeros;-;A
40123;55125;55557;2015;Viajeros;-;A
40123;55125;55557;2014;Viajeros;-;A
40123;55125;55557;2013;Viajeros;-;A
40123;55125;55557;2012;Viajeros;-;A
40123;55125;55557;2011;Viajeros;142.368489863;A
40123;55125;55557;2010;Viajeros;-;A
40123;55125;55557;2009;Viajeros;133.433041946;A
40123;55125;55557;2008;Viajeros;-;A
40123;55125;55557;2007;Viajeros;128.767267604;A
40123;55125;55558;2020;Viajeros;229.59879738;A
40123;55125;55558;2019;Viajeros;419.590410035;A
40123;55125;55558;2018;Viajeros;298.063344444;A
40123;55125;55558;2017;Viajeros;488.95375935;A
40123;55125;55558;2016;Viajeros;341.56130006;A
40123;55125;55558;2015;Viajeros;322.513166159;A
40123;55125;55558;2014;Viajeros;321.4654516;A
40123;55125;55558;2013;Viajeros;518.06399395;A
40123;55125;55558;2012;Viajeros;419.18896086;A
40123;55125;55558;2011;Viajeros;523.48321954;A
40123;55125;55558;2010;Viajeros;890.15304155;A
40123;55125;55558;2009;Viajeros;550.025537743;A
40123;55125;55558;2008;Viajeros;526.22850926;A
40123;55125;55558;2007;Viajeros;347.267302048;A
40123;55125;55559;2020;Viajeros;-;A
40123;55125;55559;2018;Viajeros;-;A
40123;55125;55559;2017;Viajeros;-;A
40123;55125;55559;2015;Viajeros;-;A
40123;55125;55559;2014;Viajeros;-;A
40123;55125;55559;2013;Viajeros;-;A
40123;55125;55559;2012;Viajeros;-;A
40123;55125;55559;2011;Viajeros;-;A
40123;55125;55559;2008;Viajeros;-;A
40123;55125;55559;2007;Viajeros;-;A
40123;55125;55544;2020;Viajeros;-;A
40123;55125;55544;2019;Viajeros;111.907202358;A
40123;55125;55544;2018;Viajeros;-;A
40123;55125;55544;2017;Viajeros;133.919015672;A
40123;55125;55544;2016;Viajeros;-;A
40123;55125;55544;2015;Viajeros;-;A
40123;55125;55544;2014;Viajeros;177.622076672;A
40123;55125;55544;2013;Viajeros;-;A
40123;55125;55544;2012;Viajeros;-;A
40123;55125;55544;2011;Viajeros;-;A
40123;55125;55544;2010;Viajeros;-;A
40123;55125;55544;2009;Viajeros;-;A
40123;55125;55544;2008;Viajeros;-;A
40123;55125;55544;2007;Viajeros;-;A
40123;55125;55561;2020;Viajeros;-;A
40123;55125;55561;2019;Viajeros;-;A
40123;55125;55561;2018;Viajeros;-;A
40123;55125;55561;2017;Viajeros;-;A
40123;55125;55561;2015;Viajeros;-;A
40123;55125;55561;2014;Viajeros;-;A
40123;55125;55561;2013;Viajeros;-;A
40123;55125;55561;2012;Viajeros;-;A
40123;55125;55561;2011;Viajeros;-;A
40123;55125;55561;2010;Viajeros;-;A
40123;55125;55561;2009;Viajeros;-;A
40123;55125;55561;2007;Viajeros;-;A
40123;55125;55562;2020;Viajeros;-;A
40123;55125;55562;2019;Viajeros;-;A
40123;55125;55562;2016;Viajeros;-;A
40123;55125;55562;2014;Viajeros;-;A
40123;55125;55562;2011;Viajeros;-;A
40123;55126;55564;2020;Viajeros;6737.58174487;A
40123;55126;55564;2019;Viajeros;15989.214700186;A
40123;55126;55564;2018;Viajeros;16968.215718195;A
40123;55126;55564;2017;Viajeros;16054.070691679;A
40123;55126;55564;2016;Viajeros;13963.967760686;A
40123;55126;55564;2015;Viajeros;12620.46542997;A
40123;55126;55564;2010;Viajeros;16503.213126032;A
40123;55126;55543;2020;Viajeros;5105.553067604;A
40123;55126;55543;2019;Viajeros;11107.53250362;A
40123;55126;55543;2018;Viajeros;12052.312207;A
