D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55537;55564;2020;Viajeros;59364.035761727;A
40123;55537;55564;2019;Viajeros;71792.554320063;A
40123;55537;55564;2018;Viajeros;58667.514217415;A
40123;55537;55564;2017;Viajeros;61990.661336815;A
40123;55537;55564;2016;Viajeros;59805.410550086;A
40123;55537;55564;2015;Viajeros;55309.19949886;A
40123;55537;55564;2014;Viajeros;50784.567919058;A
40123;55537;55564;2013;Viajeros;49119.604851717;A
40123;55537;55564;2012;Viajeros;48257.827266842;A
40123;55537;55564;2011;Viajeros;48122.801302092;A
40123;55537;55564;2010;Viajeros;45105.349892501;A
40123;55537;55564;2009;Viajeros;44600.82934628;A
40123;55537;55564;2008;Viajeros;51918.592718521;A
40123;55537;55564;2007;Viajeros;54362.128518684;A
40123;55537;55543;2020;Viajeros;32861.516708673;A
40123;55537;55543;2019;Viajeros;39666.403469437;A
40123;55537;55543;2018;Viajeros;33273.926983;A
40123;55537;55543;2017;Viajeros;34079.5741769;A
40123;55537;55543;2016;Viajeros;35147.7588659;A
40123;55537;55543;2015;Viajeros;30642.6895167;A
40123;55537;55543;2014;Viajeros;26596.0035548;A
40123;55537;55543;2013;Viajeros;25124.03670103;A
40123;55537;55543;2012;Viajeros;23578.68588893;A
40123;55537;55543;2011;Viajeros;22661.16562723;A
40123;55537;55543;2010;Viajeros;22862.30553514;A
40123;55537;55543;2009;Viajeros;21494.93461597;A
40123;55537;55543;2008;Viajeros;24737.45725501;A
40123;55537;55543;2007;Viajeros;26485.79940392;A
40123;55537;55563;2020;Viajeros;26502.519053054;A
40123;55537;55563;2019;Viajeros;32126.150850626;A
40123;55537;55563;2018;Viajeros;25393.587234415;A
40123;55537;55563;2017;Viajeros;27911.087159915;A
40123;55537;55563;2016;Viajeros;24657.651684186;A
40123;55537;55563;2015;Viajeros;24666.50998216;A
40123;55537;55563;2014;Viajeros;24188.564364258;A
40123;55537;55563;2013;Viajeros;23995.568150687;A
40123;55537;55563;2012;Viajeros;24679.141377912;A
40123;55537;55563;2011;Viajeros;25461.635674862;A
40123;55537;55563;2010;Viajeros;22243.044357361;A
40123;55537;55563;2009;Viajeros;23105.89473031;A
40123;55537;55563;2008;Viajeros;27181.135463511;A
40123;55537;55563;2007;Viajeros;27876.329114764;A
40123;55537;55545;2020;Viajeros;609.407641517;A
40123;55537;55545;2019;Viajeros;478.586713322;A
