D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3142;2015;Personal medio empleado;43.961258165;A
40123;3142;2014;Personal medio empleado;31.453712080000003;A
40123;3142;2013;Personal medio empleado;29.870334388;A
40123;3142;2012;Personal medio empleado;35.70872124;A
40123;3142;2011;Personal medio empleado;29.606568993000003;A
40123;3142;2010;Personal medio empleado;37.748951767;A
40123;3142;2009;Personal medio empleado;36.597006236;A
40123;3142;2008;Personal medio empleado;60.600081508;A
40123;3142;2007;Personal medio empleado;58.773508242999995;A
40123;3143;2020;Personal medio empleado;716.744989094;A
40123;3143;2019;Personal medio empleado;987.51967023;A
40123;3143;2018;Personal medio empleado;927.6481618980001;A
40123;3143;2017;Personal medio empleado;891.931546069;A
40123;3143;2016;Personal medio empleado;870.920958669;A
40123;3143;2015;Personal medio empleado;844.890648662;A
40123;3143;2014;Personal medio empleado;803.4852188259999;A
40123;3143;2013;Personal medio empleado;801.813905872;A
40123;3143;2012;Personal medio empleado;796.7270529580001;A
40123;3143;2011;Personal medio empleado;791.897498175;A
40123;3143;2010;Personal medio empleado;787.547619879;A
40123;3143;2009;Personal medio empleado;827.519304899;A
40123;3143;2008;Personal medio empleado;891.5821122929999;A
40123;3143;2007;Personal medio empleado;921.185884096;A
40124;2352;2021;Personal medio empleado;129.715708444;A
40124;2402;2021;Personal medio empleado;247.411136219;A
40124;2482;2021;Personal medio empleado;36.441154523;A
40124;2713;2021;Personal medio empleado;88.70766969299999;A
40124;2797;2021;Personal medio empleado;115.959374863;A
40124;2911;2021;Personal medio empleado;44.260750134;A
40124;3023;2021;Personal medio empleado;213.659703955;A
40124;3142;2021;Personal medio empleado;51.92173863400001;A
40124;3143;2021;Personal medio empleado;928.077236465;A
40123;2352;2020;Establecimientos medios abiertos estimados;18.741809925;A
40123;2352;2019;Establecimientos medios abiertos estimados;19.702310548;A
40123;2352;2018;Establecimientos medios abiertos estimados;17.654851511;A
40123;2352;2017;Establecimientos medios abiertos estimados;16.41702509;A
40123;2352;2016;Establecimientos medios abiertos estimados;16.51762452;A
40123;2352;2015;Establecimientos medios abiertos estimados;16.90188172;A
40123;2352;2014;Establecimientos medios abiertos estimados;18.008333334;A
40123;2352;2013;Establecimientos medios abiertos estimados;18.733333333;A
40123;2352;2012;Establecimientos medios abiertos estimados;18.5;A
40123;2352;2011;Establecimientos medios abiertos estimados;18.125;A
40123;2352;2010;Establecimientos medios abiertos estimados;17.497311828;A
40123;2352;2009;Establecimientos medios abiertos estimados;17.577777777;A
40123;2352;2008;Establecimientos medios abiertos estimados;17.42016129;A
40123;2352;2007;Establecimientos medios abiertos estimados;18.178225805;A
40123;2402;2020;Establecimientos medios abiertos estimados;14.562974096;A
40123;2402;2019;Establecimientos medios abiertos estimados;19.740738791;A
40123;2402;2018;Establecimientos medios abiertos estimados;19.621482174;A
40123;2402;2017;Establecimientos medios abiertos estimados;20.137903225;A
40123;2402;2016;Establecimientos medios abiertos estimados;21.214782094;A
40123;2402;2015;Establecimientos medios abiertos estimados;20.618237168;A
40123;2402;2014;Establecimientos medios abiertos estimados;20.725610254;A
40123;2402;2013;Establecimientos medios abiertos estimados;21.164964157;A
40123;2402;2012;Establecimientos medios abiertos estimados;22.393263309;A
40123;2402;2011;Establecimientos medios abiertos estimados;20.490945418;A
40123;2402;2010;Establecimientos medios abiertos estimados;20.910536557;A
40123;2402;2009;Establecimientos medios abiertos estimados;21.71644812;A
40123;2402;2008;Establecimientos medios abiertos estimados;21.792799678;A
40123;2402;2007;Establecimientos medios abiertos estimados;23.317286159;A
40123;2482;2020;Establecimientos medios abiertos estimados;5.29423265;A
40123;2482;2019;Establecimientos medios abiertos estimados;6.887634409;A
40123;2482;2018;Establecimientos medios abiertos estimados;6.858333333;A
40123;2482;2017;Establecimientos medios abiertos estimados;6.939516129;A
40123;2482;2016;Establecimientos medios abiertos estimados;6.850925926;A
40123;2482;2015;Establecimientos medios abiertos estimados;6.652598567;A
40123;2482;2014;Establecimientos medios abiertos estimados;6.669354839;A
40123;2482;2013;Establecimientos medios abiertos estimados;6.896505376;A
40123;2482;2012;Establecimientos medios abiertos estimados;6.833333334;A
40123;2482;2011;Establecimientos medios abiertos estimados;7.247311828;A
40123;2482;2010;Establecimientos medios abiertos estimados;7.331989247;A
40123;2482;2009;Establecimientos medios abiertos estimados;7.975806451;A
40123;2482;2008;Establecimientos medios abiertos estimados;7.623655914;A
40123;2482;2007;Establecimientos medios abiertos estimados;7.454883513;A
40123;2713;2020;Establecimientos medios abiertos estimados;15.631834475;A
40123;2713;2019;Establecimientos medios abiertos estimados;21.032828283;A
40123;2713;2018;Establecimientos medios abiertos estimados;20.772759857;A
40123;2713;2017;Establecimientos medios abiertos estimados;20.7640745;A
40123;2713;2016;Establecimientos medios abiertos estimados;22.596326164;A
40123;2713;2015;Establecimientos medios abiertos estimados;21.630197132;A
40123;2713;2014;Establecimientos medios abiertos estimados;22.213888888;A
40123;2713;2013;Establecimientos medios abiertos estimados;22.020250896;A
40123;2713;2012;Establecimientos medios abiertos estimados;22.267222222;A
40123;2713;2011;Establecimientos medios abiertos estimados;21.003464755;A
40123;2713;2010;Establecimientos medios abiertos estimados;20.191173835;A
40123;2713;2009;Establecimientos medios abiertos estimados;21.083960574;A
40123;2713;2008;Establecimientos medios abiertos estimados;21.295698925;A
40123;2713;2007;Establecimientos medios abiertos estimados;19.622401434;A
40123;2797;2020;Establecimientos medios abiertos estimados;7.340860214;A
40123;2797;2019;Establecimientos medios abiertos estimados;9.392473119;A
40123;2797;2018;Establecimientos medios abiertos estimados;8.312634409;A
40123;2797;2017;Establecimientos medios abiertos estimados;9.4422043;A
40123;2797;2016;Establecimientos medios abiertos estimados;10.682616487;A
40123;2797;2015;Establecimientos medios abiertos estimados;10.819892473;A
40123;2797;2014;Establecimientos medios abiertos estimados;9.693637993;A
40123;2797;2013;Establecimientos medios abiertos estimados;8.704480287;A
40123;2797;2012;Establecimientos medios abiertos estimados;9.028109937;A
40123;2797;2011;Establecimientos medios abiertos estimados;8.65483871;A
40123;2797;2010;Establecimientos medios abiertos estimados;10.980555556;A
40123;2797;2009;Establecimientos medios abiertos estimados;11.916666667;A
40123;2797;2008;Establecimientos medios abiertos estimados;11.459677419;A
40123;2797;2007;Establecimientos medios abiertos estimados;10.954301075;A
40123;2911;2020;Establecimientos medios abiertos estimados;6.242946708;A
40123;2911;2019;Establecimientos medios abiertos estimados;10.559856631;A
40123;2911;2018;Establecimientos medios abiertos estimados;10.659318996;A
40123;2911;2017;Establecimientos medios abiertos estimados;10.733781362;A
40123;2911;2016;Establecimientos medios abiertos estimados;11.517958225;A
40123;2911;2015;Establecimientos medios abiertos estimados;9.993100358;A
40123;2911;2014;Establecimientos medios abiertos estimados;9.487692012;A
40123;2911;2013;Establecimientos medios abiertos estimados;11.351583034;A
40123;2911;2012;Establecimientos medios abiertos estimados;11.083813364;A
40123;2911;2011;Establecimientos medios abiertos estimados;9.735111225;A
40123;2911;2010;Establecimientos medios abiertos estimados;11.553363201;A
40123;2911;2009;Establecimientos medios abiertos estimados;11.763511975;A
40123;2911;2008;Establecimientos medios abiertos estimados;9.846326165;A
40123;2911;2007;Establecimientos medios abiertos estimados;9.64281234;A
40123;3023;2020;Establecimientos medios abiertos estimados;24.653710121;A
40123;3023;2019;Establecimientos medios abiertos estimados;30.301344086;A
40123;3023;2018;Establecimientos medios abiertos estimados;28.590949821;A
40123;3023;2017;Establecimientos medios abiertos estimados;29.49516129;A
40123;3023;2016;Establecimientos medios abiertos estimados;30.574537037;A
40123;3023;2015;Establecimientos medios abiertos estimados;28.475070404;A
40123;3023;2014;Establecimientos medios abiertos estimados;27.929569893;A
40123;3023;2013;Establecimientos medios abiertos estimados;28.415604198;A
40123;3023;2012;Establecimientos medios abiertos estimados;27.772670252;A
40123;3023;2011;Establecimientos medios abiertos estimados;27.245014082;A
40123;3023;2010;Establecimientos medios abiertos estimados;27.455408346;A
40123;3023;2009;Establecimientos medios abiertos estimados;26.418625192;A
40123;3023;2008;Establecimientos medios abiertos estimados;25.606071561;A
40123;3023;2007;Establecimientos medios abiertos estimados;24.600537633;A
40123;3142;2020;Establecimientos medios abiertos estimados;2.905669599;A
40123;3142;2019;Establecimientos medios abiertos estimados;4.525985664;A
40123;3142;2018;Establecimientos medios abiertos estimados;4.34811828;A
40123;3142;2017;Establecimientos medios abiertos estimados;4.366039427;A
40123;3142;2016;Establecimientos medios abiertos estimados;4.059343715;A
40123;3142;2015;Establecimientos medios abiertos estimados;4.147670251;A
40123;3142;2014;Establecimientos medios abiertos estimados;4.531848438;A
40123;3142;2013;Establecimientos medios abiertos estimados;3.788082438;A
