D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;2911;6949;Establecimientos;41424.0;A
2020;2911;6980;Establecimientos;;A
2020;2911;6981;Establecimientos;;A
2020;2911;7056;Establecimientos;;A
2020;2911;7029;Establecimientos;;A
2020;2911;6990;Establecimientos;;A
2020;2911;7001;Establecimientos;;A
2020;2911;7004;Establecimientos;;A
2020;2911;7014;Establecimientos;;A
2020;2911;7017;Establecimientos;;A
2020;2911;7023;Establecimientos;;A
2020;2911;7026;Establecimientos;;A
2020;2911;7028;Establecimientos;;A
2020;2911;7044;Establecimientos;;A
2020;2911;7032;Establecimientos;;A
2020;2911;7035;Establecimientos;;A
2020;2911;7038;Establecimientos;;A
2020;2911;7041;Establecimientos;;A
2020;2911;7043;Establecimientos;;A
2020;2911;7055;Establecimientos;;A
2020;2911;7048;Establecimientos;;A
2020;2911;7052;Establecimientos;;A
2020;2911;7054;Establecimientos;;A
2020;2911;7057;Establecimientos;4160.0;A
2020;2911;7058;Establecimientos;4160.0;A
2020;2911;7109;Establecimientos;61.0;A
2020;2911;7067;Establecimientos;;A
2020;2911;7061;Establecimientos;;A
2020;2911;7064;Establecimientos;;A
2020;2911;7066;Establecimientos;;A
2020;2911;7076;Establecimientos;;A
2020;2911;7070;Establecimientos;;A
2020;2911;7073;Establecimientos;;A
2020;2911;7075;Establecimientos;;A
2020;2911;7086;Establecimientos;2.0;A
2020;2911;7079;Establecimientos;2.0;A
2020;2911;7083;Establecimientos;;A
2020;2911;7085;Establecimientos;;A
2020;2911;7099;Establecimientos;59.0;A
2020;2911;7090;Establecimientos;54.0;A
2020;2911;7096;Establecimientos;5.0;A
2020;2911;7098;Establecimientos;;A
2020;2911;7108;Establecimientos;;A
2020;2911;7102;Establecimientos;;A
2020;2911;7105;Establecimientos;;A
2020;2911;7107;Establecimientos;;A
2020;2911;7605;Establecimientos;3818.0;A
2020;2911;7158;Establecimientos;1040.0;A
2020;2911;7114;Establecimientos;92.0;A
2020;2911;7118;Establecimientos;5.0;A
2020;2911;7123;Establecimientos;24.0;A
2020;2911;7128;Establecimientos;415.0;A
2020;2911;7133;Establecimientos;25.0;A
2020;2911;7137;Establecimientos;3.0;A
2020;2911;7142;Establecimientos;414.0;A
2020;2911;7151;Establecimientos;48.0;A
2020;2911;7155;Establecimientos;14.0;A
2020;2911;7157;Establecimientos;;A
2020;2911;7170;Establecimientos;24.0;A
2020;2911;7167;Establecimientos;24.0;A
2020;2911;7169;Establecimientos;;A
2020;2911;7176;Establecimientos;;A
2020;2911;7173;Establecimientos;;A
2020;2911;7175;Establecimientos;;A
2020;2911;7197;Establecimientos;132.0;A
2020;2911;7179;Establecimientos;15.0;A
2020;2911;7182;Establecimientos;2.0;A
2020;2911;7185;Establecimientos;16.0;A
2020;2911;7194;Establecimientos;99.0;A
2020;2911;7196;Establecimientos;;A
2020;2911;7214;Establecimientos;133.0;A
2020;2911;7204;Establecimientos;131.0;A
2020;2911;7207;Establecimientos;1.0;A
2020;2911;7211;Establecimientos;1.0;A
2020;2911;7213;Establecimientos;;A
2020;2911;7224;Establecimientos;9.0;A
2020;2911;7218;Establecimientos;9.0;A
2020;2911;7221;Establecimientos;;A
2020;2911;7223;Establecimientos;;A
2020;2911;7237;Establecimientos;182.0;A
2020;2911;7227;Establecimientos;15.0;A
2020;2911;7234;Establecimientos;167.0;A
2020;2911;7236;Establecimientos;;A
2020;2911;7251;Establecimientos;16.0;A
2020;2911;7241;Establecimientos;2.0;A
2020;2911;7248;Establecimientos;14.0;A
2020;2911;7250;Establecimientos;;A
2020;2911;7263;Establecimientos;210.0;A
2020;2911;7257;Establecimientos;210.0;A
2020;2911;7260;Establecimientos;;A
2020;2911;7262;Establecimientos;;A
2020;2911;7272;Establecimientos;;A
2020;2911;7266;Establecimientos;;A
2020;2911;7269;Establecimientos;;A
2020;2911;7271;Establecimientos;;A
2020;2911;7303;Establecimientos;72.0;A
2020;2911;7281;Establecimientos;24.0;A
2020;2911;7284;Establecimientos;3.0;A
2020;2911;7287;Establecimientos;13.0;A
2020;2911;7291;Establecimientos;19.0;A
2020;2911;7297;Establecimientos;11.0;A
2020;2911;7300;Establecimientos;2.0;A
2020;2911;7302;Establecimientos;;A
2020;2911;7312;Establecimientos;17.0;A
2020;2911;7306;Establecimientos;2.0;A
2020;2911;7309;Establecimientos;15.0;A
2020;2911;7311;Establecimientos;;A
2020;2911;7325;Establecimientos;74.0;A
2020;2911;7316;Establecimientos;9.0;A
2020;2911;7322;Establecimientos;65.0;A
2020;2911;7324;Establecimientos;;A
2020;2911;7368;Establecimientos;272.0;A
2020;2911;7332;Establecimientos;17.0;A
2020;2911;7335;Establecimientos;;A
2020;2911;7339;Establecimientos;23.0;A
2020;2911;7346;Establecimientos;74.0;A
2020;2911;7350;Establecimientos;5.0;A
2020;2911;7358;Establecimientos;76.0;A
2020;2911;7361;Establecimientos;74.0;A
2020;2911;7365;Establecimientos;3.0;A
2020;2911;7367;Establecimientos;;A
2020;2911;7397;Establecimientos;4.0;A
2020;2911;7371;Establecimientos;1.0;A
2020;2911;7374;Establecimientos;;A
2020;2911;7380;Establecimientos;;A
2020;2911;7388;Establecimientos;;A
2020;2911;7394;Establecimientos;3.0;A
2020;2911;7396;Establecimientos;;A
2020;2911;7433;Establecimientos;701.0;A
2020;2911;7401;Establecimientos;513.0;A
2020;2911;7405;Establecimientos;12.0;A
2020;2911;7408;Establecimientos;;A
2020;2911;7411;Establecimientos;;A
2020;2911;7414;Establecimientos;23.0;A
2020;2911;7418;Establecimientos;92.0;A
2020;2911;7423;Establecimientos;17.0;A
2020;2911;7430;Establecimientos;44.0;A
2020;2911;7432;Establecimientos;;A
2020;2911;7462;Establecimientos;32.0;A
2020;2911;7437;Establecimientos;8.0;A
2020;2911;7440;Establecimientos;8.0;A
2020;2911;7443;Establecimientos;4.0;A
2020;2911;7446;Establecimientos;1.0;A
2020;2911;7450;Establecimientos;10.0;A
2020;2911;7453;Establecimientos;1.0;A
2020;2911;7456;Establecimientos;;A
2020;2911;7459;Establecimientos;;A
2020;2911;7461;Establecimientos;;A
2020;2911;7487;Establecimientos;17.0;A
2020;2911;7466;Establecimientos;7.0;A
2020;2911;7469;Establecimientos;;A
2020;2911;7474;Establecimientos;1.0;A
2020;2911;7477;Establecimientos;5.0;A
2020;2911;7481;Establecimientos;;A
2020;2911;7484;Establecimientos;4.0;A
2020;2911;7486;Establecimientos;;A
2020;2911;7521;Establecimientos;84.0;A
2020;2911;7494;Establecimientos;3.0;A
2020;2911;7502;Establecimientos;9.0;A
2020;2911;7505;Establecimientos;42.0;A
2020;2911;7509;Establecimientos;2.0;A
2020;2911;7518;Establecimientos;28.0;A
2020;2911;7520;Establecimientos;;A
2020;2911;7534;Establecimientos;88.0;A
2020;2911;7524;Establecimientos;4.0;A
2020;2911;7527;Establecimientos;25.0;A
2020;2911;7531;Establecimientos;59.0;A
2020;2911;7533;Establecimientos;;A
2020;2911;7555;Establecimientos;5.0;A
2020;2911;7538;Establecimientos;1.0;A
2020;2911;7541;Establecimientos;2.0;A
2020;2911;7544;Establecimientos;1.0;A
2020;2911;7547;Establecimientos;;A
2020;2911;7552;Establecimientos;1.0;A
2020;2911;7554;Establecimientos;;A
2020;2911;7564;Establecimientos;395.0;A
2020;2911;7561;Establecimientos;395.0;A
2020;2911;7563;Establecimientos;;A
2020;2911;7588;Establecimientos;94.0;A
2020;2911;7569;Establecimientos;16.0;A
2020;2911;7572;Establecimientos;;A
2020;2911;7575;Establecimientos;2.0;A
2020;2911;7578;Establecimientos;3.0;A
2020;2911;7581;Establecimientos;39.0;A
2020;2911;7585;Establecimientos;34.0;A
2020;2911;7587;Establecimientos;;A
2020;2911;7604;Establecimientos;217.0;A
2020;2911;7598;Establecimientos;207.0;A
2020;2911;7601;Establecimientos;10.0;A
2020;2911;7603;Establecimientos;;A
2020;2911;7627;Establecimientos;133.0;A
2020;2911;7626;Establecimientos;133.0;A
2020;2911;7615;Establecimientos;125.0;A
2020;2911;7620;Establecimientos;2.0;A
2020;2911;7623;Establecimientos;6.0;A
2020;2911;7625;Establecimientos;;A
2020;2911;7661;Establecimientos;148.0;A
2020;2911;7633;Establecimientos;90.0;A
2020;2911;7630;Establecimientos;90.0;A
2020;2911;7632;Establecimientos;;A
2020;2911;7639;Establecimientos;7.0;A
2020;2911;7636;Establecimientos;7.0;A
2020;2911;7638;Establecimientos;;A
2020;2911;7654;Establecimientos;32.0;A
2020;2911;7643;Establecimientos;29.0;A
2020;2911;7647;Establecimientos;3.0;A
2020;2911;7651;Establecimientos;;A
2020;2911;7653;Establecimientos;;A
2020;2911;7660;Establecimientos;19.0;A
2020;2911;7657;Establecimientos;19.0;A
2020;2911;7659;Establecimientos;;A
2020;2911;7662;Establecimientos;4050.0;A
2020;2911;7663;Establecimientos;4050.0;A
2020;2911;7714;Establecimientos;4050.0;A
2020;2911;7673;Establecimientos;1513.0;A
2020;2911;7666;Establecimientos;665.0;A
2020;2911;7670;Establecimientos;848.0;A
2020;2911;7672;Establecimientos;;A
