ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO
A;ES615;2008;PERS_MEDI_EMPL;164.06181279999998;A;_Z;_Z
A;ES615;2007;PERS_MEDI_EMPL;164.858714873;A;_Z;_Z
A;ES616;2020;PERS_MEDI_EMPL;30.674568576;A;_Z;_Z
A;ES616;2019;PERS_MEDI_EMPL;49.769168437000005;A;_Z;_Z
A;ES616;2018;PERS_MEDI_EMPL;48.588620888;A;_Z;_Z
A;ES616;2017;PERS_MEDI_EMPL;51.593009728;A;_Z;_Z
A;ES616;2016;PERS_MEDI_EMPL;49.33503279;A;_Z;_Z
A;ES616;2015;PERS_MEDI_EMPL;46.558474257;A;_Z;_Z
A;ES616;2014;PERS_MEDI_EMPL;39.447872302;A;_Z;_Z
A;ES616;2013;PERS_MEDI_EMPL;47.192001817999994;A;_Z;_Z
A;ES616;2012;PERS_MEDI_EMPL;46.472465983999996;A;_Z;_Z
A;ES616;2011;PERS_MEDI_EMPL;46.243470663000004;A;_Z;_Z
A;ES616;2010;PERS_MEDI_EMPL;49.844758104;A;_Z;_Z
A;ES616;2009;PERS_MEDI_EMPL;44.332047593;A;_Z;_Z
A;ES616;2008;PERS_MEDI_EMPL;40.586530148;A;_Z;_Z
A;ES616;2007;PERS_MEDI_EMPL;41.358316709;A;_Z;_Z
A;ES617;2020;PERS_MEDI_EMPL;170.847784504;A;_Z;_Z
A;ES617;2019;PERS_MEDI_EMPL;241.238356049;A;_Z;_Z
A;ES617;2018;PERS_MEDI_EMPL;234.735681144;A;_Z;_Z
A;ES617;2017;PERS_MEDI_EMPL;224.326539937;A;_Z;_Z
A;ES617;2016;PERS_MEDI_EMPL;207.21007306;A;_Z;_Z
A;ES617;2015;PERS_MEDI_EMPL;193.502525569;A;_Z;_Z
A;ES617;2014;PERS_MEDI_EMPL;183.827870233;A;_Z;_Z
A;ES617;2013;PERS_MEDI_EMPL;170.962478482;A;_Z;_Z
A;ES617;2012;PERS_MEDI_EMPL;167.934466305;A;_Z;_Z
A;ES617;2011;PERS_MEDI_EMPL;173.077503089;A;_Z;_Z
A;ES617;2010;PERS_MEDI_EMPL;159.840669969;A;_Z;_Z
A;ES617;2009;PERS_MEDI_EMPL;150.5198203;A;_Z;_Z
A;ES617;2008;PERS_MEDI_EMPL;172.72975093399998;A;_Z;_Z
A;ES617;2007;PERS_MEDI_EMPL;167.89463322400002;A;_Z;_Z
A;ES618;2020;PERS_MEDI_EMPL;39.625400259;A;_Z;_Z
A;ES618;2019;PERS_MEDI_EMPL;47.553353672;A;_Z;_Z
A;ES618;2018;PERS_MEDI_EMPL;39.054035956;A;_Z;_Z
A;ES618;2017;PERS_MEDI_EMPL;45.753997248000005;A;_Z;_Z
A;ES618;2016;PERS_MEDI_EMPL;42.884630673000004;A;_Z;_Z
A;ES618;2015;PERS_MEDI_EMPL;43.961258165;A;_Z;_Z
A;ES618;2014;PERS_MEDI_EMPL;31.453712080000003;A;_Z;_Z
A;ES618;2013;PERS_MEDI_EMPL;29.870334388;A;_Z;_Z
A;ES618;2012;PERS_MEDI_EMPL;35.70872124;A;_Z;_Z
A;ES618;2011;PERS_MEDI_EMPL;29.606568993000003;A;_Z;_Z
A;ES618;2010;PERS_MEDI_EMPL;37.748951767;A;_Z;_Z
A;ES618;2009;PERS_MEDI_EMPL;36.597006236;A;_Z;_Z
A;ES618;2008;PERS_MEDI_EMPL;60.600081508;A;_Z;_Z
A;ES618;2007;PERS_MEDI_EMPL;58.773508242999995;A;_Z;_Z
A;ES61;2020;PERS_MEDI_EMPL;716.744989094;A;_Z;_Z
A;ES61;2019;PERS_MEDI_EMPL;987.51967023;A;_Z;_Z
A;ES61;2018;PERS_MEDI_EMPL;927.6481618980001;A;_Z;_Z
A;ES61;2017;PERS_MEDI_EMPL;891.931546069;A;_Z;_Z
A;ES61;2016;PERS_MEDI_EMPL;870.920958669;A;_Z;_Z
A;ES61;2015;PERS_MEDI_EMPL;844.890648662;A;_Z;_Z
A;ES61;2014;PERS_MEDI_EMPL;803.4852188259999;A;_Z;_Z
A;ES61;2013;PERS_MEDI_EMPL;801.813905872;A;_Z;_Z
A;ES61;2012;PERS_MEDI_EMPL;796.7270529580001;A;_Z;_Z
A;ES61;2011;PERS_MEDI_EMPL;791.897498175;A;_Z;_Z
A;ES61;2010;PERS_MEDI_EMPL;787.547619879;A;_Z;_Z
A;ES61;2009;PERS_MEDI_EMPL;827.519304899;A;_Z;_Z
A;ES61;2008;PERS_MEDI_EMPL;891.5821122929999;A;_Z;_Z
A;ES61;2007;PERS_MEDI_EMPL;921.185884096;A;_Z;_Z
P;ES611;2021;PERS_MEDI_EMPL;129.715708444;A;_Z;_Z
P;ES612;2021;PERS_MEDI_EMPL;247.411136219;A;_Z;_Z
P;ES613;2021;PERS_MEDI_EMPL;36.441154523;A;_Z;_Z
P;ES614;2021;PERS_MEDI_EMPL;88.70766969299999;A;_Z;_Z
P;ES615;2021;PERS_MEDI_EMPL;115.959374863;A;_Z;_Z
P;ES616;2021;PERS_MEDI_EMPL;44.260750134;A;_Z;_Z
P;ES617;2021;PERS_MEDI_EMPL;213.659703955;A;_Z;_Z
P;ES618;2021;PERS_MEDI_EMPL;51.92173863400001;A;_Z;_Z
P;ES61;2021;PERS_MEDI_EMPL;928.077236465;A;_Z;_Z
A;ES611;2020;ESTA_MEDI_ABIE_ESTI;18.741809925;A;_Z;_Z
A;ES611;2019;ESTA_MEDI_ABIE_ESTI;19.702310548;A;_Z;_Z
A;ES611;2018;ESTA_MEDI_ABIE_ESTI;17.654851511;A;_Z;_Z
A;ES611;2017;ESTA_MEDI_ABIE_ESTI;16.41702509;A;_Z;_Z
A;ES611;2016;ESTA_MEDI_ABIE_ESTI;16.51762452;A;_Z;_Z
A;ES611;2015;ESTA_MEDI_ABIE_ESTI;16.90188172;A;_Z;_Z
A;ES611;2014;ESTA_MEDI_ABIE_ESTI;18.008333334;A;_Z;_Z
A;ES611;2013;ESTA_MEDI_ABIE_ESTI;18.733333333;A;_Z;_Z
A;ES611;2012;ESTA_MEDI_ABIE_ESTI;18.5;A;_Z;_Z
A;ES611;2011;ESTA_MEDI_ABIE_ESTI;18.125;A;_Z;_Z
A;ES611;2010;ESTA_MEDI_ABIE_ESTI;17.497311828;A;_Z;_Z
A;ES611;2009;ESTA_MEDI_ABIE_ESTI;17.577777777;A;_Z;_Z
A;ES611;2008;ESTA_MEDI_ABIE_ESTI;17.42016129;A;_Z;_Z
A;ES611;2007;ESTA_MEDI_ABIE_ESTI;18.178225805;A;_Z;_Z
A;ES612;2020;ESTA_MEDI_ABIE_ESTI;14.562974096;A;_Z;_Z
A;ES612;2019;ESTA_MEDI_ABIE_ESTI;19.740738791;A;_Z;_Z
A;ES612;2018;ESTA_MEDI_ABIE_ESTI;19.621482174;A;_Z;_Z
A;ES612;2017;ESTA_MEDI_ABIE_ESTI;20.137903225;A;_Z;_Z
A;ES612;2016;ESTA_MEDI_ABIE_ESTI;21.214782094;A;_Z;_Z
