D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57629;4191;3143;2000;55920;3691;Defunciones;1.0;A
57629;4191;3143;2000;55920;3689;Defunciones;1.0;A
57629;4191;3143;2000;55914;3691;Defunciones;1.0;A
57629;4191;3143;2000;55914;3689;Defunciones;1.0;A
57629;4210;3143;2000;55920;3691;Defunciones;2.0;A
57629;4210;3143;2000;55920;3689;Defunciones;1.0;A
57629;4210;3143;2000;55920;3690;Defunciones;1.0;A
57629;4210;3143;2000;55912;3691;Defunciones;1.0;A
57629;4210;3143;2000;55912;3689;Defunciones;1.0;A
57629;4210;3143;2000;55913;3691;Defunciones;1.0;A
57629;4210;3143;2000;55913;3690;Defunciones;1.0;A
57629;4210;3143;1999;55920;3691;Defunciones;1.0;A
57629;4210;3143;1999;55920;3690;Defunciones;1.0;A
57629;4210;3143;1999;55908;3691;Defunciones;1.0;A
57629;4210;3143;1999;55908;3690;Defunciones;1.0;A
57629;4235;3143;2000;55920;3691;Defunciones;1.0;A
57629;4235;3143;2000;55920;3689;Defunciones;1.0;A
57629;4235;3143;2000;55909;3691;Defunciones;1.0;A
57629;4235;3143;2000;55909;3689;Defunciones;1.0;A
57629;4305;3143;1999;55920;3691;Defunciones;1.0;A
57629;4305;3143;1999;55920;3689;Defunciones;1.0;A
57629;4305;3143;1999;55918;3691;Defunciones;1.0;A
57629;4305;3143;1999;55918;3689;Defunciones;1.0;A
57629;61613;3143;1999;55920;3691;Defunciones;1.0;A
57629;61613;3143;1999;55920;3689;Defunciones;1.0;A
57629;61613;3143;1999;55908;3691;Defunciones;1.0;A
57629;61613;3143;1999;55908;3689;Defunciones;1.0;A
57629;61615;3143;2000;55920;3691;Defunciones;2.0;A
57629;61615;3143;2000;55920;3689;Defunciones;1.0;A
57629;61615;3143;2000;55920;3690;Defunciones;1.0;A
57629;61615;3143;2000;55911;3691;Defunciones;1.0;A
57629;61615;3143;2000;55911;3689;Defunciones;1.0;A
57629;61615;3143;2000;55913;3691;Defunciones;1.0;A
57629;61615;3143;2000;55913;3690;Defunciones;1.0;A
57629;61616;3143;2000;55920;3691;Defunciones;3.0;A
57629;61616;3143;2000;55920;3689;Defunciones;2.0;A
57629;61616;3143;2000;55920;3690;Defunciones;1.0;A
57629;61616;3143;2000;55908;3691;Defunciones;1.0;A
57629;61616;3143;2000;55908;3689;Defunciones;1.0;A
57629;61616;3143;2000;55912;3691;Defunciones;1.0;A
57629;61616;3143;2000;55912;3690;Defunciones;1.0;A
57629;61616;3143;2000;55918;3691;Defunciones;1.0;A
57629;61616;3143;2000;55918;3689;Defunciones;1.0;A
