D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;61616;838411;3691;Defunciones;20.0;A
2020;3143;61616;57731;3689;Defunciones;3081.0;A
2020;3143;61616;57731;3690;Defunciones;1422.0;A
2020;3143;61616;57731;3691;Defunciones;4503.0;A
2020;3143;61616;583;3689;Defunciones;3377.0;A
2020;3143;61616;583;3690;Defunciones;1517.0;A
2020;3143;61616;583;3691;Defunciones;4894.0;A
2020;3143;61617;838410;3689;Defunciones;339.0;A
2020;3143;61617;838410;3690;Defunciones;178.0;A
2020;3143;61617;838410;3691;Defunciones;517.0;A
2020;3143;61617;838411;3689;Defunciones;34.0;A
2020;3143;61617;838411;3690;Defunciones;15.0;A
2020;3143;61617;838411;3691;Defunciones;49.0;A
2020;3143;61617;57731;3689;Defunciones;4084.0;A
2020;3143;61617;57731;3690;Defunciones;2193.0;A
2020;3143;61617;57731;3691;Defunciones;6277.0;A
2020;3143;61617;583;3689;Defunciones;4457.0;A
2020;3143;61617;583;3690;Defunciones;2386.0;A
2020;3143;61617;583;3691;Defunciones;6843.0;A
2020;3143;61618;838410;3689;Defunciones;526.0;A
2020;3143;61618;838410;3690;Defunciones;310.0;A
2020;3143;61618;838410;3691;Defunciones;836.0;A
2020;3143;61618;838411;3689;Defunciones;44.0;A
2020;3143;61618;838411;3690;Defunciones;20.0;A
2020;3143;61618;838411;3691;Defunciones;64.0;A
2020;3143;61618;57731;3689;Defunciones;4968.0;A
2020;3143;61618;57731;3690;Defunciones;3388.0;A
2020;3143;61618;57731;3691;Defunciones;8356.0;A
2020;3143;61618;583;3689;Defunciones;5538.0;A
2020;3143;61618;583;3690;Defunciones;3718.0;A
2020;3143;61618;583;3691;Defunciones;9256.0;A
2020;3143;61619;838410;3689;Defunciones;578.0;A
2020;3143;61619;838410;3690;Defunciones;479.0;A
2020;3143;61619;838410;3691;Defunciones;1057.0;A
2020;3143;61619;838411;3689;Defunciones;89.0;A
2020;3143;61619;838411;3690;Defunciones;63.0;A
2020;3143;61619;838411;3691;Defunciones;152.0;A
2020;3143;61619;57731;3689;Defunciones;5858.0;A
2020;3143;61619;57731;3690;Defunciones;5726.0;A
2020;3143;61619;57731;3691;Defunciones;11584.0;A
2020;3143;61619;583;3689;Defunciones;6525.0;A
2020;3143;61619;583;3690;Defunciones;6268.0;A
2020;3143;61619;583;3691;Defunciones;12793.0;A
2020;3143;61620;838410;3689;Defunciones;627.0;A
2020;3143;61620;838410;3690;Defunciones;694.0;A
2020;3143;61620;838410;3691;Defunciones;1321.0;A
2020;3143;61620;838411;3689;Defunciones;66.0;A
2020;3143;61620;838411;3690;Defunciones;116.0;A
2020;3143;61620;838411;3691;Defunciones;182.0;A
2020;3143;61620;57731;3689;Defunciones;6298.0;A
2020;3143;61620;57731;3690;Defunciones;8643.0;A
2020;3143;61620;57731;3691;Defunciones;14941.0;A
2020;3143;61620;583;3689;Defunciones;6991.0;A
2020;3143;61620;583;3690;Defunciones;9453.0;A
2020;3143;61620;583;3691;Defunciones;16444.0;A
2020;3143;61621;838410;3689;Defunciones;284.0;A
2020;3143;61621;838410;3690;Defunciones;488.0;A
2020;3143;61621;838410;3691;Defunciones;772.0;A
2020;3143;61621;838411;3689;Defunciones;50.0;A
2020;3143;61621;838411;3690;Defunciones;92.0;A
2020;3143;61621;838411;3691;Defunciones;142.0;A
2020;3143;61621;57731;3689;Defunciones;3570.0;A
2020;3143;61621;57731;3690;Defunciones;6918.0;A
2020;3143;61621;57731;3691;Defunciones;10488.0;A
2020;3143;61621;583;3689;Defunciones;3904.0;A
2020;3143;61621;583;3690;Defunciones;7498.0;A
2020;3143;61621;583;3691;Defunciones;11402.0;A
2020;3143;61622;838410;3689;Defunciones;82.0;A
2020;3143;61622;838410;3690;Defunciones;196.0;A
2020;3143;61622;838410;3691;Defunciones;278.0;A
2020;3143;61622;838411;3689;Defunciones;18.0;A
2020;3143;61622;838411;3690;Defunciones;23.0;A
2020;3143;61622;838411;3691;Defunciones;41.0;A
2020;3143;61622;57731;3689;Defunciones;927.0;A
2020;3143;61622;57731;3690;Defunciones;2626.0;A
2020;3143;61622;57731;3691;Defunciones;3553.0;A
2020;3143;61622;583;3689;Defunciones;1027.0;A
2020;3143;61622;583;3690;Defunciones;2845.0;A
2020;3143;61622;583;3691;Defunciones;3872.0;A
2020;3143;61623;838410;3689;Defunciones;9.0;A
2020;3143;61623;838410;3690;Defunciones;28.0;A
2020;3143;61623;838410;3691;Defunciones;37.0;A
2020;3143;61623;838411;3690;Defunciones;5.0;A
2020;3143;61623;838411;3691;Defunciones;5.0;A
2020;3143;61623;57731;3689;Defunciones;106.0;A
2020;3143;61623;57731;3690;Defunciones;424.0;A
2020;3143;61623;57731;3691;Defunciones;530.0;A
2020;3143;61623;583;3689;Defunciones;115.0;A
2020;3143;61623;583;3690;Defunciones;457.0;A
2020;3143;61623;583;3691;Defunciones;572.0;A
2020;3143;4306;838410;3689;Defunciones;3165.0;A
2020;3143;4306;838410;3690;Defunciones;2650.0;A
2020;3143;4306;838410;3691;Defunciones;5815.0;A
2020;3143;4306;838411;3689;Defunciones;355.0;A
2020;3143;4306;838411;3690;Defunciones;355.0;A
2020;3143;4306;838411;3691;Defunciones;710.0;A
2020;3143;4306;57731;3689;Defunciones;36760.0;A
2020;3143;4306;57731;3690;Defunciones;35176.0;A
2020;3143;4306;57731;3691;Defunciones;71936.0;A
2020;3143;4306;583;3689;Defunciones;40280.0;A
2020;3143;4306;583;3690;Defunciones;38181.0;A
2020;3143;4306;583;3691;Defunciones;78461.0;A
2020;2352;61611;57731;3689;Defunciones;18.0;A
2020;2352;61611;57731;3690;Defunciones;18.0;A
2020;2352;61611;57731;3691;Defunciones;36.0;A
2020;2352;61611;583;3689;Defunciones;18.0;A
2020;2352;61611;583;3690;Defunciones;18.0;A
2020;2352;61611;583;3691;Defunciones;36.0;A
2020;2352;4172;57731;3689;Defunciones;10.0;A
2020;2352;4172;57731;3690;Defunciones;5.0;A
2020;2352;4172;57731;3691;Defunciones;15.0;A
2020;2352;4172;583;3689;Defunciones;10.0;A
2020;2352;4172;583;3690;Defunciones;5.0;A
2020;2352;4172;583;3691;Defunciones;15.0;A
2020;2352;4191;838410;3690;Defunciones;1.0;A
2020;2352;4191;838410;3691;Defunciones;1.0;A
2020;2352;4191;838411;3689;Defunciones;1.0;A
2020;2352;4191;838411;3691;Defunciones;1.0;A
2020;2352;4191;57731;3689;Defunciones;40.0;A
2020;2352;4191;57731;3690;Defunciones;10.0;A
2020;2352;4191;57731;3691;Defunciones;50.0;A
2020;2352;4191;583;3689;Defunciones;41.0;A
2020;2352;4191;583;3690;Defunciones;11.0;A
2020;2352;4191;583;3691;Defunciones;52.0;A
2020;2352;4210;838410;3689;Defunciones;1.0;A
2020;2352;4210;838410;3690;Defunciones;1.0;A
2020;2352;4210;838410;3691;Defunciones;2.0;A
2020;2352;4210;57731;3689;Defunciones;51.0;A
2020;2352;4210;57731;3690;Defunciones;31.0;A
2020;2352;4210;57731;3691;Defunciones;82.0;A
2020;2352;4210;583;3689;Defunciones;52.0;A
2020;2352;4210;583;3690;Defunciones;32.0;A
2020;2352;4210;583;3691;Defunciones;84.0;A
2020;2352;4235;838410;3689;Defunciones;2.0;A
2020;2352;4235;838410;3690;Defunciones;1.0;A
2020;2352;4235;838410;3691;Defunciones;3.0;A
2020;2352;4235;57731;3689;Defunciones;42.0;A
2020;2352;4235;57731;3690;Defunciones;24.0;A
2020;2352;4235;57731;3691;Defunciones;66.0;A
2020;2352;4235;583;3689;Defunciones;44.0;A
2020;2352;4235;583;3690;Defunciones;25.0;A
2020;2352;4235;583;3691;Defunciones;69.0;A
2020;2352;4305;838410;3689;Defunciones;5.0;A
2020;2352;4305;838410;3690;Defunciones;2.0;A
2020;2352;4305;838410;3691;Defunciones;7.0;A
2020;2352;4305;57731;3689;Defunciones;61.0;A
2020;2352;4305;57731;3690;Defunciones;31.0;A
2020;2352;4305;57731;3691;Defunciones;92.0;A
2020;2352;4305;583;3689;Defunciones;66.0;A
2020;2352;4305;583;3690;Defunciones;33.0;A
2020;2352;4305;583;3691;Defunciones;99.0;A
2020;2352;61613;838410;3689;Defunciones;7.0;A
2020;2352;61613;838410;3690;Defunciones;1.0;A
2020;2352;61613;838410;3691;Defunciones;8.0;A
2020;2352;61613;838411;3689;Defunciones;1.0;A
2020;2352;61613;838411;3691;Defunciones;1.0;A
2020;2352;61613;57731;3689;Defunciones;97.0;A
2020;2352;61613;57731;3690;Defunciones;67.0;A
2020;2352;61613;57731;3691;Defunciones;164.0;A
2020;2352;61613;583;3689;Defunciones;105.0;A
2020;2352;61613;583;3690;Defunciones;68.0;A
2020;2352;61613;583;3691;Defunciones;173.0;A
2020;2352;61614;838410;3689;Defunciones;7.0;A
2020;2352;61614;838410;3690;Defunciones;1.0;A
2020;2352;61614;838410;3691;Defunciones;8.0;A
2020;2352;61614;57731;3689;Defunciones;137.0;A
2020;2352;61614;57731;3690;Defunciones;87.0;A
2020;2352;61614;57731;3691;Defunciones;224.0;A
2020;2352;61614;583;3689;Defunciones;144.0;A
2020;2352;61614;583;3690;Defunciones;88.0;A
2020;2352;61614;583;3691;Defunciones;232.0;A
2020;2352;61615;838410;3689;Defunciones;15.0;A
2020;2352;61615;838410;3690;Defunciones;5.0;A
2020;2352;61615;838410;3691;Defunciones;20.0;A
2020;2352;61615;838411;3689;Defunciones;2.0;A
2020;2352;61615;838411;3691;Defunciones;2.0;A
2020;2352;61615;57731;3689;Defunciones;225.0;A
2020;2352;61615;57731;3690;Defunciones;86.0;A
2020;2352;61615;57731;3691;Defunciones;311.0;A
2020;2352;61615;583;3689;Defunciones;242.0;A
2020;2352;61615;583;3690;Defunciones;91.0;A
2020;2352;61615;583;3691;Defunciones;333.0;A
2020;2352;61616;838410;3689;Defunciones;15.0;A
2020;2352;61616;838410;3690;Defunciones;1.0;A
2020;2352;61616;838410;3691;Defunciones;16.0;A
2020;2352;61616;838411;3689;Defunciones;2.0;A
2020;2352;61616;838411;3691;Defunciones;2.0;A
2020;2352;61616;57731;3689;Defunciones;222.0;A
2020;2352;61616;57731;3690;Defunciones;113.0;A
2020;2352;61616;57731;3691;Defunciones;335.0;A
2020;2352;61616;583;3689;Defunciones;239.0;A
2020;2352;61616;583;3690;Defunciones;114.0;A
2020;2352;61616;583;3691;Defunciones;353.0;A
2020;2352;61617;838410;3689;Defunciones;15.0;A
2020;2352;61617;838410;3690;Defunciones;7.0;A
2020;2352;61617;838410;3691;Defunciones;22.0;A
2020;2352;61617;838411;3689;Defunciones;3.0;A
2020;2352;61617;838411;3691;Defunciones;3.0;A
2020;2352;61617;57731;3689;Defunciones;348.0;A
2020;2352;61617;57731;3690;Defunciones;156.0;A
2020;2352;61617;57731;3691;Defunciones;504.0;A
2020;2352;61617;583;3689;Defunciones;366.0;A
2020;2352;61617;583;3690;Defunciones;163.0;A
2020;2352;61617;583;3691;Defunciones;529.0;A
2020;2352;61618;838410;3689;Defunciones;16.0;A
2020;2352;61618;838410;3690;Defunciones;15.0;A
2020;2352;61618;838410;3691;Defunciones;31.0;A
2020;2352;61618;838411;3689;Defunciones;3.0;A
2020;2352;61618;838411;3690;Defunciones;1.0;A
2020;2352;61618;838411;3691;Defunciones;4.0;A
2020;2352;61618;57731;3689;Defunciones;390.0;A
2020;2352;61618;57731;3690;Defunciones;210.0;A
2020;2352;61618;57731;3691;Defunciones;600.0;A
2020;2352;61618;583;3689;Defunciones;409.0;A
2020;2352;61618;583;3690;Defunciones;226.0;A
2020;2352;61618;583;3691;Defunciones;635.0;A
2020;2352;61619;838410;3689;Defunciones;25.0;A
2020;2352;61619;838410;3690;Defunciones;22.0;A
2020;2352;61619;838410;3691;Defunciones;47.0;A
2020;2352;61619;838411;3689;Defunciones;2.0;A
2020;2352;61619;838411;3690;Defunciones;3.0;A
2020;2352;61619;838411;3691;Defunciones;5.0;A
2020;2352;61619;57731;3689;Defunciones;430.0;A
2020;2352;61619;57731;3690;Defunciones;377.0;A
2020;2352;61619;57731;3691;Defunciones;807.0;A
2020;2352;61619;583;3689;Defunciones;457.0;A
2020;2352;61619;583;3690;Defunciones;402.0;A
2020;2352;61619;583;3691;Defunciones;859.0;A
2020;2352;61620;838410;3689;Defunciones;24.0;A
2020;2352;61620;838410;3690;Defunciones;28.0;A
2020;2352;61620;838410;3691;Defunciones;52.0;A
2020;2352;61620;838411;3689;Defunciones;3.0;A
2020;2352;61620;838411;3690;Defunciones;3.0;A
2020;2352;61620;838411;3691;Defunciones;6.0;A
